geometry_id,lambda_num,lambda_den,level,span_L,nx,ny,vertices,edges,batch,seed,sample_begin,samples,sum_J,sum_J2,count_1234,sum_J_1234,sum_J2_1234,count_12_34,sum_J_12_34,sum_J2_12_34,count_14_23,sum_J_14_23,sum_J2_14_23
lambda_2_3,2,3,1,15,91,61,5551,10950,8,202608290263,8000,1000,6665640,44431699542,20,133050,885123608,3,19997,133293849,8,53420,356718658
lambda_2_3,2,3,1,15,91,61,5551,10950,9,202608290263,9000,1000,6667225,44452773795,23,153275,1021469955,3,19964,132855218,3,19937,132498397
lambda_2_3,2,3,1,15,91,61,5551,10950,10,202608290263,10000,1000,6667563,44457290301,16,106556,709648140,1,6602,43586404,7,46726,311907820
lambda_2_3,2,3,1,15,91,61,5551,10950,11,202608290263,11000,1000,6667940,44462317906,20,133211,887286435,4,26652,177585962,4,26732,178652130
lambda_2_3,2,3,1,15,91,61,5551,10950,12,202608290263,12000,1000,6667875,44461469795,20,133133,886236457,2,13298,88418410,9,59955,399412531
lambda_2_3,2,3,1,15,91,61,5551,10950,13,202608290263,13000,1000,6668889,44474953013,28,186382,1240689714,2,13358,89218090,8,53319,355370553
lambda_2_3,2,3,1,15,91,61,5551,10950,14,202608290263,14000,1000,6667450,44455845076,23,153319,1022052555,2,13328,88820992,9,60020,400272582
lambda_2_3,2,3,1,15,91,61,5551,10950,15,202608290263,15000,1000,6668212,44465941660,20,133349,889115239,2,13332,88871690,5,33280,221514702
lambda_2_3,2,3,1,15,91,61,5551,10950,16,202608290263,16000,1000,6667950,44462521412,23,153323,1022106987,0,0,0,5,33234,220912798
lambda_2_3,2,3,1,15,91,61,5551,10950,17,202608290263,17000,1000,6669235,44479592715,20,133368,889367760,2,13450,90451250,7,46715,311758727
lambda_2_3,2,3,1,15,91,61,5551,10950,18,202608290263,18000,1000,6669032,44476920772,21,140074,934334686,2,13342,89005834,5,33405,223179539
lambda_2_3,2,3,1,15,91,61,5551,10950,19,202608290263,19000,1000,6667990,44463021480,12,80061,534154809,4,26700,178226714,8,53402,356475072
lambda_3_4,3,4,1,14,85,57,4845,9548,0,202608290263,0,1000,5822263,33899529261,33,191999,1117112799,0,0,0,10,58152,338169658
lambda_3_4,3,4,1,14,85,57,4845,9548,1,202608290263,1000,1000,5823531,33914288045,27,157238,915704952,1,5851,34234201,18,104729,609357971
lambda_3_4,3,4,1,14,85,57,4845,9548,2,202608290263,2000,1000,5821514,33890836012,18,104657,608513999,1,5865,34398225,10,58197,338695909
lambda_3_4,3,4,1,14,85,57,4845,9548,3,202608290263,3000,1000,5822797,33905735339,25,145528,847152462,1,5806,33709636,15,87250,507514626
lambda_3_4,3,4,1,14,85,57,4845,9548,4,202608290263,4000,1000,5821148,33886592830,15,87268,507722846,2,11594,67210516,10,58190,338614538
lambda_3_4,3,4,1,14,85,57,4845,9548,5,202608290263,5000,1000,5821719,33893223719,26,151250,879892200,2,11599,67270141,12,69859,406696667
lambda_3_4,3,4,1,14,85,57,4845,9548,6,202608290263,6000,1000,5821486,33890476532,20,116537,679057223,1,5844,34152336,8,46557,270947175
lambda_3_4,3,4,1,14,85,57,4845,9548,7,202608290263,7000,1000,5822595,33903385631,31,180485,1050834953,1,5836,34058896,9,52379,304848649
lambda_3_4,3,4,1,14,85,57,4845,9548,8,202608290263,8000,1000,5821912,33895562860,26,151295,880416979,0,0,0,14,81424,473576198
lambda_3_4,3,4,1,14,85,57,4845,9548,9,202608290263,9000,1000,5821675,33892629987,29,168752,981996436,0,0,0,10,58240,339191876
lambda_3_4,3,4,1,14,85,57,4845,9548,10,202608290263,10000,1000,5821292,33888248966,24,139647,812573691,1,5847,34187409,6,34823,202112135
lambda_3_4,3,4,1,14,85,57,4845,9548,11,202608290263,11000,1000,5821748,33893505234,27,157222,915526722,1,5802,33663204,10,58136,337985272
lambda_3_4,3,4,1,14,85,57,4845,9548,12,202608290263,12000,1000,5821914,33895491986,37,215036,1249775366,4,23285,135548213,6,34875,202715141
lambda_3_4,3,4,1,14,85,57,4845,9548,13,202608290263,13000,1000,5821438,33889915944,38,221237,1288084505,2,11594,67212730,6,34855,202480677
lambda_3_4,3,4,1,14,85,57,4845,9548,14,202608290263,14000,1000,5821213,33887352145,19,110478,642404092,0,0,0,6,34972,203841466
lambda_3_4,3,4,1,14,85,57,4845,9548,15,202608290263,15000,1000,5821929,33895659955,31,180379,1049590113,1,5831,34000561,10,58345,340418697
lambda_3_4,3,4,1,14,85,57,4845,9548,16,202608290263,16000,1000,5822221,33899129659,26,151237,879748691,4,23264,135306318,16,93208,542992212
lambda_3_4,3,4,1,14,85,57,4845,9548,17,202608290263,17000,1000,5821880,33895087686,22,128042,745240666,1,5849,34210801,12,69928,407499366
lambda_3_4,3,4,1,14,85,57,4845,9548,18,202608290263,18000,1000,5822359,33900591883,19,110595,643767137,0,0,0,13,75772,441655458
lambda_3_4,3,4,1,14,85,57,4845,9548,19,202608290263,19000,1000,5821607,33891837835,25,145299,844489569,1,5813,33790969,9,52415,305262297
