metric_i,N_i,metric_j,N_j,covariance,correlation
P4_S,85,P4_D_prime,145,3.303542677718767e-06,0.08656398571950309
P4_S,85,P4_D_prime,170,5.330000644522936e-06,0.0942169904386017
P4_S,130,P4_S,130,3.9122743320345484e-05,1.0
P4_S,130,P4_S,145,-4.5600361164243115e-06,-0.14152503551049636
P4_S,130,P4_S,170,1.7942755213302596e-06,0.0419537330591058
P4_S,130,P4_D,65,-3.426766225096966e-05,-0.08334654376896736
P4_S,130,P4_D,85,-0.00010131652444626052,-0.18699450226807643
P4_S,130,P4_D,130,-0.00010065224937383865,-0.0682189469894007
P4_S,130,P4_D,145,-0.0001815019714148156,-0.16351760914626937
P4_S,130,P4_D,170,7.567224184986083e-06,0.004523670334170122
P4_S,130,P4_S_prime,65,-5.871658140695806e-05,-0.0985487097903958
P4_S,130,P4_S_prime,85,-0.00010327444190095465,-0.14011554437356666
P4_S,130,P4_S_prime,130,-0.0004222897854054261,-0.21271502569241155
P4_S,130,P4_S_prime,145,-0.00018983494917035025,-0.11509079181107179
P4_S,130,P4_S_prime,170,-0.00015674783963926027,-0.05697650028160869
P4_S,130,P4_D_prime,65,1.8902381529855993e-07,0.0047144412634169755
P4_S,130,P4_D_prime,85,-2.5847690507622663e-07,-0.00582098328765978
P4_S,130,P4_D_prime,130,4.1873423210403e-05,0.4581421045116436
P4_S,130,P4_D_prime,145,-3.034221650244414e-06,-0.04318485446616329
P4_S,130,P4_D_prime,170,-8.357114308174835e-06,-0.08023893263733918
P4_S,145,P4_S,145,2.6536321450847994e-05,1.0
P4_S,145,P4_S,170,-2.842295575436935e-07,-0.00806946993342822
P4_S,145,P4_D,65,-1.2142277976869687e-05,-0.03585895084435475
P4_S,145,P4_D,85,-1.5118216315477846e-05,-0.03387999989877283
P4_S,145,P4_D,130,-4.7845785722961954e-05,-0.03937490399731432
P4_S,145,P4_D,145,2.844952507389172e-05,0.031120924733307156
P4_S,145,P4_D,170,4.1790899028310224e-05,0.030334046756916814
P4_S,145,P4_S_prime,65,-7.169405647285295e-05,-0.14610585655406277
P4_S,145,P4_S_prime,85,-2.6206397541709136e-05,-0.043171295070432374
P4_S,145,P4_S_prime,130,1.6125077607758274e-07,9.862424598309402e-05
P4_S,145,P4_S_prime,145,1.1577261610061593e-06,0.0008522451632736897
P4_S,145,P4_S_prime,170,0.00016210296023140759,0.07154502535575129
P4_S,145,P4_D_prime,65,-1.3904342046076558e-06,-0.04210740114809497
P4_S,145,P4_D_prime,85,2.692981113687898e-06,0.0736380374637348
P4_S,145,P4_D_prime,130,-5.639885006054791e-06,-0.0749249185390354
P4_S,145,P4_D_prime,145,1.6845490528232158e-05,0.29111334181824355
P4_S,145,P4_D_prime,170,4.37158002720438e-06,0.050963767292857697
P4_S,170,P4_S,170,4.675281263961154e-05,1.0
P4_S,170,P4_D,65,2.8818625435737242e-05,0.06411906169856633
P4_S,170,P4_D,85,6.490180503465312e-05,0.10957616808949398
P4_S,170,P4_D,130,0.00015571890499193586,0.09654585795499744
P4_S,170,P4_D,145,0.0002486376980813149,0.20490895426995703
P4_S,170,P4_D,170,-0.00034189513297970314,-0.18696402302936693
P4_S,170,P4_S_prime,65,7.403881058429723e-05,0.11367380374227858
P4_S,170,P4_S_prime,85,5.386913567390307e-05,0.0668565939974391
P4_S,170,P4_S_prime,130,0.0003434587068339921,0.15826063391936487
P4_S,170,P4_S_prime,145,0.000486844270278956,0.2700009233461763
P4_S,170,P4_S_prime,170,-0.0005192038133258085,-0.17264056865905966
P4_S,170,P4_D_prime,65,2.4417037111710226e-06,0.055707984537640184
P4_S,170,P4_D_prime,85,1.0004313838678631e-05,0.20609748556461477
P4_S,170,P4_D_prime,130,-1.004653201507524e-05,-0.10055153181755558
P4_S,170,P4_D_prime,145,-1.3361897465630296e-05,-0.17396547647639715
P4_S,170,P4_D_prime,170,2.5273115920598228e-05,0.2219720885857938
P4_D,65,P4_D,65,0.004320802991641346,1.0
P4_D,65,P4_D,85,0.0008153656252476233,0.14319681905420711
P4_D,65,P4_D,130,0.003294499682543789,0.21247283575598278
P4_D,65,P4_D,145,0.0009338463795013219,0.08005547505204517
P4_D,65,P4_D,170,-0.0028790354143140287,-0.1637697824517117
P4_D,65,P4_S_prime,65,0.005209360503858262,0.8319687451277813
P4_D,65,P4_S_prime,85,0.0005261822200761508,0.06793006785344835
P4_D,65,P4_S_prime,130,0.00377867937946844,0.1811173491793355
P4_D,65,P4_S_prime,145,0.0006474552825735932,0.03735137585706728
P4_D,65,P4_S_prime,170,-0.0037679974630350373,-0.13032784828575728
P4_D,65,P4_D_prime,65,-3.7093290489325e-05,-0.08803218528208681
P4_D,65,P4_D_prime,85,4.8488800746744025e-05,0.10390787617618133
