n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D,sum_local_R2_S,sum_local_R2_D,sum_q_local_R2_S,sum_q_local_R2_D,sum_local_R2_I02,sum_local_R4_S,sum_local_R4_D,sum_q_local_R4_S,sum_q_local_R4_D,sum_local_R4_I02
65,8,1,first,0,10000,37,-2663,5207,975,670,670,975,46060,-8540,46060,8540,46060,-8540,25892.3569609467455621,14027.8544662721893491,-4866.2229207100591716,-2672.73724970414201183,15379.2899408284023669,8350.29585798816568047,1064,728,-5908,1652,3780,-3780,0,10388,-980,-5880,5488,196
65,8,1,first,0,10000,38,-1018,4902,814,831,831,814,44415,459,44415,-459,44415,459,25632.0152520710059172,13887.5924449704142012,1417.95871242603550296,799.385069822485207101,12107.0282698224852071,6544.10368757396449704,2106,1188,-4779,891,2835,-2835,0,8235,1863,-3240,3132,54
65,8,1,first,0,10000,39,627,4919,709,1005,1005,709,44564,7696,44564,-7696,44564,7696,25362.6461538461538462,13770.8307692307692308,4204.25846153846153846,2282.73230769230769231,10579.1938461538461538,5744.04923076923076923,338,390,-5252,-1040,2106,-2106,0,8476,416,-4004,4056,-26
65,8,1,first,0,10000,40,2341,5215,526,1048,1048,526,39350,13050,39350,-13050,39350,13050,22321.9408284023668639,12119.8579881656804734,8129.05325443786982249,4413.72781065088757396,7096.44378698224852071,3853.0650887573964497,-675,225,-5725,-1975,1875,-1875,0,8550,4000,-2475,2075,200
65,8,1,first,0,10000,41,3915,5737,402,1068,1068,402,35280,15984,35280,-15984,35280,15984,20796.3152662721893491,11291.5086390532544379,10503.6156213017751479,5703.01349112426035503,5146.34982248520710059,2794.24757396449704142,-1224,-648,-5712,-2448,1632,-1632,0,7848,4680,-1704,1464,120
65,8,1,first,0,10000,42,5385,6403,238,936,936,238,27002,16054,27002,-16054,27002,16054,16817.0338461538461538,9130.92923076923076923,10429.7950295857988166,5662.93207100591715976,3193.61940828402366864,1733.99857988165680473,-713,253,-3726,-1794,966,-966,0,6325,4209,-1127,989,69
65,8,1,first,0,10000,43,6559,7101,139,870,870,139,22198,16082,22198,-16082,22198,16082,13785.1166863905325444,7484.72804733727810651,10227.6672189349112426,5553.18532544378698225,1778.72473372781065089,965.77136094674556213,-1518,-858,-3630,-2398,616,-616,0,4796,3256,-814,726,44
65,8,1,first,0,10000,44,7568,7832,66,663,663,66,15309,12537,15309,-12537,15309,12537,10906.9924260355029586,5922.02982248520710059,9135.29822485207100592,4960.0757396449704142,885.847100591715976331,480.977041420118343195,-462,-168,-1575,-1113,231,-231,0,3297,2793,-273,231,21
65,8,1,first,0,10000,45,8297,8429,32,541,541,32,11460,10180,11460,-10180,11460,10180,7808.1312189349112426,4217.63332544378698225,6859.00932544378698225,3702.3007810650887574,474.560946745562130178,257.666272189349112426,-440,-240,-1600,-1240,180,-180,0,2920,2560,-180,180,0
65,8,1,first,0,10000,46,8870,8938,20,422,422,20,8398,7638,8398,-7638,8398,7638,6144.68544378698224852,3336.30106508875739645,5743.9450887573964497,3118.71621301775147929,200.370177514792899408,108.79242603550295858,-760,-684,-1102,-988,57,-57,0,2280,2204,-38,38,0
