label,n,m00,m01,m10,m11,radius,batch,counter_first,counter_last_exclusive,samples,sum_score_t,sum_score_lambda,sum_score_t2,sum_score_lambda2,sum_score_cross,sum_global_twice,global_twice_score_t,global_twice_score_lambda,sum_epsilon_sign,epsilon_sign_score_t,epsilon_sign_score_lambda,sum_local_twice,local_twice_score_t,local_twice_score_lambda
N260_16_2,260,16,-2,2,16,2,8,15500001600,15500001800,200,416,400,204992,196096,10336,4,2356,1636,-12,496,304,-1,20,20
N260_16_2,260,16,-2,2,16,4,8,15500001600,15500001800,200,416,400,204992,196096,10336,4,2356,1636,-12,496,304,1,64,160
N260_16_2,260,16,-2,2,16,8,8,15500001600,15500001800,200,416,400,204992,196096,10336,4,2356,1636,-12,496,304,-3,-136,0
N340_18_4,340,18,-4,4,18,2,8,15500001600,15500001800,200,816,-640,263840,236896,-1280,-10,2216,1432,-12,1224,-72,2,-16,-8
N340_18_4,340,18,-4,4,18,4,8,15500001600,15500001800,200,816,-640,263840,236896,-1280,-10,2216,1432,-12,1224,-72,-6,-28,20
N340_18_4,340,18,-4,4,18,8,8,15500001600,15500001800,200,816,-640,263840,236896,-1280,-10,2216,1432,-12,1224,-72,1,24,-48
N260_16_2,260,16,-2,2,16,2,9,15500001800,15500002000,200,292,228,207440,231824,-976,0,2328,2136,-18,632,-968,1,-28,20
N260_16_2,260,16,-2,2,16,4,9,15500001800,15500002000,200,292,228,207440,231824,-976,0,2328,2136,-18,632,-968,0,-48,-24
N260_16_2,260,16,-2,2,16,8,9,15500001800,15500002000,200,292,228,207440,231824,-976,0,2328,2136,-18,632,-968,1,-144,104
N340_18_4,340,18,-4,4,18,2,9,15500001800,15500002000,200,412,-308,288016,280336,13840,6,2992,1864,-18,800,-832,2,64,56
N340_18_4,340,18,-4,4,18,4,9,15500001800,15500002000,200,412,-308,288016,280336,13840,6,2992,1864,-18,800,-832,4,208,8
N340_18_4,340,18,-4,4,18,8,9,15500001800,15500002000,200,412,-308,288016,280336,13840,6,2992,1864,-18,800,-832,1,-60,-12
N260_16_2,260,16,-2,2,16,2,10,15500002000,15500002200,200,-584,440,196128,199456,4576,6,2316,1788,-12,1712,-496,-2,-4,-108
N260_16_2,260,16,-2,2,16,4,10,15500002000,15500002200,200,-584,440,196128,199456,4576,6,2316,1788,-12,1712,-496,3,56,56
N260_16_2,260,16,-2,2,16,8,10,15500002000,15500002200,200,-584,440,196128,199456,4576,6,2316,1788,-12,1712,-496,3,104,112
N340_18_4,340,18,-4,4,18,2,10,15500002000,15500002200,200,-60,-348,253648,264272,14224,-4,2368,1584,-12,1704,-456,1,80,80
N340_18_4,340,18,-4,4,18,4,10,15500002000,15500002200,200,-60,-348,253648,264272,14224,-4,2368,1584,-12,1704,-456,0,-12,52
N340_18_4,340,18,-4,4,18,8,10,15500002000,15500002200,200,-60,-348,253648,264272,14224,-4,2368,1584,-12,1704,-456,2,-60,36
N260_16_2,260,16,-2,2,16,2,11,15500002200,15500002400,200,-832,-304,215136,223392,14528,-23,2460,2084,-6,272,400,1,-48,24
N260_16_2,260,16,-2,2,16,4,11,15500002200,15500002400,200,-832,-304,215136,223392,14528,-23,2460,2084,-6,272,400,0,84,92
N260_16_2,260,16,-2,2,16,8,11,15500002200,15500002400,200,-832,-304,215136,223392,14528,-23,2460,2084,-6,272,400,0,64,64
N340_18_4,340,18,-4,4,18,2,11,15500002200,15500002400,200,-1052,-284,263312,279248,-18000,-14,2720,1632,-6,112,160,1,20,-108
N340_18_4,340,18,-4,4,18,4,11,15500002200,15500002400,200,-1052,-284,263312,279248,-18000,-14,2720,1632,-6,112,160,2,-12,100
N340_18_4,340,18,-4,4,18,8,11,15500002200,15500002400,200,-1052,-284,263312,279248,-18000,-14,2720,1632,-6,112,160,1,0,-256
N260_16_2,260,16,-2,2,16,2,12,15500002400,15500002600,200,52,-212,206608,219664,-2448,-2,2672,1704,14,1136,-368,3,-84,-4
N260_16_2,260,16,-2,2,16,4,12,15500002400,15500002600,200,52,-212,206608,219664,-2448,-2,2672,1704,14,1136,-368,1,-40,16
N260_16_2,260,16,-2,2,16,8,12,15500002400,15500002600,200,52,-212,206608,219664,-2448,-2,2672,1704,14,1136,-368,1,20,28
N340_18_4,340,18,-4,4,18,2,12,15500002400,15500002600,200,176,-112,258400,276448,30432,-3,2700,1924,14,1776,400,0,0,0
N340_18_4,340,18,-4,4,18,4,12,15500002400,15500002600,200,176,-112,258400,276448,30432,-3,2700,1924,14,1776,400,0,-56,0
N340_18_4,340,18,-4,4,18,8,12,15500002400,15500002600,200,176,-112,258400,276448,30432,-3,2700,1924,14,1776,400,-1,-16,-48
N260_16_2,260,16,-2,2,16,2,13,15500002600,15500002800,200,188,244,227408,212112,-13296,6,2756,1428,-6,1080,312,4,-4,84
N260_16_2,260,16,-2,2,16,4,13,15500002600,15500002800,200,188,244,227408,212112,-13296,6,2756,1428,-6,1080,312,3,40,72
N260_16_2,260,16,-2,2,16,8,13,15500002600,15500002800,200,188,244,227408,212112,-13296,6,2756,1428,-6,1080,312,2,-24,8
N340_18_4,340,18,-4,4,18,2,13,15500002600,15500002800,200,252,76,308144,277808,-14800,9,2368,1752,-6,904,-1528,1,-16,-88
