n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
65,24,20000,0.59274605078999998,direction_1,8,1,7,4,10441,10252,10460,10297
65,25,20000,0.59274605078999998,cross,8,1,7,4,6274,6305,6193,6352
65,25,20000,0.59274605078999998,both,8,1,7,4,7014,7045,6963,7122
65,25,20000,0.59274605078999998,either,8,1,7,4,13695,13726,13648,13807
65,25,20000,0.59274605078999998,direction_0,8,1,7,4,10400,10431,10358,10517
65,25,20000,0.59274605078999998,direction_1,8,1,7,4,10309,10340,10253,10412
65,26,20000,0.59274605078999998,cross,8,1,7,4,6236,6246,6273,6294
65,26,20000,0.59274605078999998,both,8,1,7,4,6950,6960,6990,7011
65,26,20000,0.59274605078999998,either,8,1,7,4,13754,13764,13706,13727
65,26,20000,0.59274605078999998,direction_0,8,1,7,4,10401,10411,10289,10310
65,26,20000,0.59274605078999998,direction_1,8,1,7,4,10303,10313,10407,10428
65,27,20000,0.59274605078999998,cross,8,1,7,4,6279,6321,6219,6317
65,27,20000,0.59274605078999998,both,8,1,7,4,7064,7106,6923,7021
65,27,20000,0.59274605078999998,either,8,1,7,4,13679,13721,13683,13781
65,27,20000,0.59274605078999998,direction_0,8,1,7,4,10358,10400,10316,10414
65,27,20000,0.59274605078999998,direction_1,8,1,7,4,10385,10427,10290,10388
65,28,20000,0.59274605078999998,cross,8,1,7,4,6301,6341,6246,6229
65,28,20000,0.59274605078999998,both,8,1,7,4,7025,7065,6982,6965
65,28,20000,0.59274605078999998,either,8,1,7,4,13659,13699,13771,13754
65,28,20000,0.59274605078999998,direction_0,8,1,7,4,10315,10355,10442,10425
65,28,20000,0.59274605078999998,direction_1,8,1,7,4,10369,10409,10311,10294
65,29,20000,0.59274605078999998,cross,8,1,7,4,6211,6205,6351,6351
65,29,20000,0.59274605078999998,both,8,1,7,4,6939,6933,7067,7067
65,29,20000,0.59274605078999998,either,8,1,7,4,13795,13789,13649,13649
65,29,20000,0.59274605078999998,direction_0,8,1,7,4,10274,10268,10417,10417
65,29,20000,0.59274605078999998,direction_1,8,1,7,4,10460,10454,10299,10299
65,30,20000,0.59274605078999998,cross,8,1,7,4,6272,6254,6246,6291
65,30,20000,0.59274605078999998,both,8,1,7,4,7019,7001,7018,7063
65,30,20000,0.59274605078999998,either,8,1,7,4,13746,13728,13709,13754
65,30,20000,0.59274605078999998,direction_0,8,1,7,4,10466,10448,10408,10453
65,30,20000,0.59274605078999998,direction_1,8,1,7,4,10299,10281,10319,10364
65,31,20000,0.59274605078999998,cross,8,1,7,4,6303,6284,6233,6324
65,31,20000,0.59274605078999998,both,8,1,7,4,7019,7000,6962,7053
65,31,20000,0.59274605078999998,either,8,1,7,4,13716,13697,13676,13767
65,31,20000,0.59274605078999998,direction_0,8,1,7,4,10404,10385,10343,10434
65,31,20000,0.59274605078999998,direction_1,8,1,7,4,10331,10312,10295,10386
65,32,20000,0.59274605078999998,cross,8,1,7,4,6220,6301,6218,6391
65,32,20000,0.59274605078999998,both,8,1,7,4,6940,7021,6950,7123
65,32,20000,0.59274605078999998,either,8,1,7,4,13699,13780,13609,13782
65,32,20000,0.59274605078999998,direction_0,8,1,7,4,10329,10410,10299,10472
65,32,20000,0.59274605078999998,direction_1,8,1,7,4,10310,10391,10260,10433
65,33,20000,0.59274605078999998,cross,8,1,7,4,6338,6239,6346,6193
65,33,20000,0.59274605078999998,both,8,1,7,4,7079,6980,7073,6920
65,33,20000,0.59274605078999998,either,8,1,7,4,13761,13662,13807,13654
65,33,20000,0.59274605078999998,direction_0,8,1,7,4,10409,10310,10501,10348
65,33,20000,0.59274605078999998,direction_1,8,1,7,4,10431,10332,10379,10226
65,34,20000,0.59274605078999998,cross,8,1,7,4,6240,6143,6243,6265
65,34,20000,0.59274605078999998,both,8,1,7,4,7007,6910,6993,7015
65,34,20000,0.59274605078999998,either,8,1,7,4,13857,13760,13735,13757
65,34,20000,0.59274605078999998,direction_0,8,1,7,4,10461,10364,10349,10371
65,34,20000,0.59274605078999998,direction_1,8,1,7,4,10403,10306,10379,10401
65,35,20000,0.59274605078999998,cross,8,1,7,4,6366,6255,6326,6185
65,35,20000,0.59274605078999998,both,8,1,7,4,7082,6971,7090,6949
65,35,20000,0.59274605078999998,either,8,1,7,4,13745,13634,13815,13674
65,35,20000,0.59274605078999998,direction_0,8,1,7,4,10471,10360,10424,10283
65,35,20000,0.59274605078999998,direction_1,8,1,7,4,10356,10245,10481,10340
65,36,20000,0.59274605078999998,cross,8,1,7,4,6326,6218,6282,6258
65,36,20000,0.59274605078999998,both,8,1,7,4,7103,6995,7017,6993
65,36,20000,0.59274605078999998,either,8,1,7,4,13782,13674,13742,13718
65,36,20000,0.59274605078999998,direction_0,8,1,7,4,10435,10327,10386,10362
65,36,20000,0.59274605078999998,direction_1,8,1,7,4,10450,10342,10373,10349
65,37,20000,0.59274605078999998,cross,8,1,7,4,6375,6190,6241,6278
65,37,20000,0.59274605078999998,both,8,1,7,4,7137,6952,6982,7019
65,37,20000,0.59274605078999998,either,8,1,7,4,13810,13625,13722,13759
65,37,20000,0.59274605078999998,direction_0,8,1,7,4,10419,10234,10322,10359
65,37,20000,0.59274605078999998,direction_1,8,1,7,4,10528,10343,10382,10419
65,38,20000,0.59274605078999998,cross,8,1,7,4,6339,6163,6280,6165
65,38,20000,0.59274605078999998,both,8,1,7,4,7053,6877,7055,6940
65,38,20000,0.59274605078999998,either,8,1,7,4,13837,13661,13835,13720
65,38,20000,0.59274605078999998,direction_0,8,1,7,4,10364,10188,10471,10356
65,38,20000,0.59274605078999998,direction_1,8,1,7,4,10526,10350,10419,10304
65,39,20000,0.59274605078999998,cross,8,1,7,4,6317,6073,6312,6247
65,39,20000,0.59274605078999998,both,8,1,7,4,7101,6857,7040,6975
65,39,20000,0.59274605078999998,either,8,1,7,4,13927,13683,13753,13688
65,39,20000,0.59274605078999998,direction_0,8,1,7,4,10519,10275,10342,10277
65,39,20000,0.59274605078999998,direction_1,8,1,7,4,10509,10265,10451,10386
65,40,20000,0.59274605078999998,cross,8,1,7,4,6322,6275,6197,6322
65,40,20000,0.59274605078999998,both,8,1,7,4,7096,7049,6908,7033
65,40,20000,0.59274605078999998,either,8,1,7,4,13725,13678,13678,13803
65,40,20000,0.59274605078999998,direction_0,8,1,7,4,10358,10311,10379,10504
65,40,20000,0.59274605078999998,direction_1,8,1,7,4,10463,10416,10207,10332
65,41,20000,0.59274605078999998,cross,8,1,7,4,6345,6256,6261,6247
65,41,20000,0.59274605078999998,both,8,1,7,4,7024,6935,6980,6966
65,41,20000,0.59274605078999998,either,8,1,7,4,13744,13655,13753,13739
65,41,20000,0.59274605078999998,direction_0,8,1,7,4,10373,10284,10340,10326
65,41,20000,0.59274605078999998,direction_1,8,1,7,4,10395,10306,10393,10379
65,42,20000,0.59274605078999998,cross,8,1,7,4,6214,6390,6259,6235
65,42,20000,0.59274605078999998,both,8,1,7,4,6906,7082,7028,7004
65,42,20000,0.59274605078999998,either,8,1,7,4,13610,13786,13765,13741
65,42,20000,0.59274605078999998,direction_0,8,1,7,4,10252,10428,10459,10435
65,42,20000,0.59274605078999998,direction_1,8,1,7,4,10264,10440,10334,10310
65,43,20000,0.59274605078999998,cross,8,1,7,4,6258,6300,6274,6354
65,43,20000,0.59274605078999998,both,8,1,7,4,7009,7051,7043,7123
65,43,20000,0.59274605078999998,either,8,1,7,4,13700,13742,13646,13726
65,43,20000,0.59274605078999998,direction_0,8,1,7,4,10330,10372,10331,10411
