N,batch_deleted,first_primary,first_iota_pair,first_smith_site_pair,second_primary,second_iota_pair,second_smith_site_pair
325,62,-0.06678876825710185,-0.06678876825710185,-0.06682229529995684,-0.08077780291636688,-0.08077780291636688,-0.0807188686451024
325,63,-0.06908452782474139,-0.06908452782474139,-0.06912177934001783,-0.08230548911651184,-0.08230548911651184,-0.0822474142186329
325,64,-0.0677928239438728,-0.0677928239438728,-0.06781966723949326,-0.08310262059650998,-0.08310262059650998,-0.0830478236643842
325,65,-0.06819944002509654,-0.06819944002509654,-0.06823636868658826,-0.08096975437807781,-0.08096975437807781,-0.0809120634806951
325,66,-0.06802165958081399,-0.06802165958081399,-0.06806027277369259,-0.08246195390529598,-0.08246195390529598,-0.0824110662867371
325,67,-0.06744810202830663,-0.06744810202830663,-0.06749143673934406,-0.08232584140794899,-0.08232584140794899,-0.08226421729214226
325,68,-0.06758962929340916,-0.06758962929340916,-0.06762733978846538,-0.08106465850226044,-0.08106465850226044,-0.08099929930720383
325,69,-0.06626849609679439,-0.06626849609679439,-0.06630432630421075,-0.08152283866139352,-0.08152283866139352,-0.0814855594709686
325,70,-0.06648681710192973,-0.06648681710192973,-0.06652854273401615,-0.08315443283298457,-0.08315443283298457,-0.08309385935136049
325,71,-0.06655467040808634,-0.06655467040808634,-0.06659371787840683,-0.08294661329065267,-0.08294661329065267,-0.08287911493022934
325,72,-0.06680758902709706,-0.06680758902709706,-0.06684288475358312,-0.07993210704574648,-0.07993210704574648,-0.07986714465912728
325,73,-0.06542848068279808,-0.06542848068279808,-0.06546311022753039,-0.080799892253178,-0.080799892253178,-0.08073364748996449
325,74,-0.06776105219369938,-0.06776105219369938,-0.06779313908856303,-0.08209802467009011,-0.08209802467009011,-0.08203295535286273
325,75,-0.06679488728049447,-0.06679488728049447,-0.06683419686045569,-0.08025976160298702,-0.08025976160298702,-0.08020341488850163
325,76,-0.0667651148243465,-0.0667651148243465,-0.06679792175374948,-0.08170575520975802,-0.08170575520975802,-0.08164905412221535
325,77,-0.06618321587542268,-0.06618321587542268,-0.06622142452750847,-0.08155843053317072,-0.08155843053317072,-0.08150299765388379
325,78,-0.06887340979242036,-0.06887340979242036,-0.06890902986445063,-0.0832710878972312,-0.0832710878972312,-0.08320100008133463
325,79,-0.06835921203272328,-0.06835921203272328,-0.06839478135580408,-0.08120321740957574,-0.08120321740957574,-0.08114447969381847
325,80,-0.06660771579407185,-0.06660771579407185,-0.06663947103028511,-0.08231013347758366,-0.08231013347758366,-0.08225138908394751
325,81,-0.06765598569430861,-0.06765598569430861,-0.06770064619215348,-0.0825490107512837,-0.0825490107512837,-0.08248835160490771
325,82,-0.06663076879941693,-0.06663076879941693,-0.06666501408719243,-0.08174260844247891,-0.08174260844247891,-0.08168638412065209
325,83,-0.06770325016426723,-0.06770325016426723,-0.0677400725639255,-0.08195072168514475,-0.08195072168514475,-0.0818844256717745
325,84,-0.06777578456876125,-0.06777578456876125,-0.06780867750635143,-0.08036716677083203,-0.08036716677083203,-0.08031370379558075
325,85,-0.06673835446542133,-0.06673835446542133,-0.06676538458343544,-0.0812791019003164,-0.0812791019003164,-0.08122937854232985
325,86,-0.06847582179348273,-0.06847582179348273,-0.06850836383112745,-0.08018609972202934,-0.08018609972202934,-0.08012476128821977
325,87,-0.06727644773987247,-0.06727644773987247,-0.06730659143523443,-0.08153013187746382,-0.08153013187746382,-0.0814848204329551
325,88,-0.06940996746832968,-0.06940996746832968,-0.0694525630031889,-0.0815709109906401,-0.0815709109906401,-0.08151590597799317
325,89,-0.0671667059384308,-0.0671667059384308,-0.06720487136596533,-0.08173648588941337,-0.08173648588941337,-0.08166426424852269
325,90,-0.06745023505128388,-0.06745023505128388,-0.06748941024517341,-0.08124412839369079,-0.08124412839369079,-0.08118311532847884
325,91,-0.06816345138776934,-0.06816345138776934,-0.06820016404351582,-0.08099377847309151,-0.08099377847309151,-0.0809348410643983
325,92,-0.06536106394259043,-0.06536106394259043,-0.065401501414696,-0.08198219406183307,-0.08198219406183307,-0.0819269926493117
325,93,-0.06695698891736049,-0.06695698891736049,-0.06698543653987954,-0.07972858602669851,-0.07972858602669851,-0.07966156383527397
325,94,-0.06703865246863668,-0.06703865246863668,-0.06706833624175053,-0.0801493873781717,-0.0801493873781717,-0.08009242863253803
325,95,-0.0654408192196939,-0.0654408192196939,-0.06546945156325373,-0.08204610190687452,-0.08204610190687452,-0.08198315423740582
325,96,-0.06769711199951138,-0.06769711199951138,-0.06773009599346515,-0.08126824528986644,-0.08126824528986644,-0.0812119633192741
325,97,-0.06819001015392821,-0.06819001015392821,-0.06822937688070535,-0.08041285730032513,-0.08041285730032513,-0.08035788832936512
325,98,-0.0667020558051465,-0.0667020558051465,-0.06673337371510489,-0.08096986556916796,-0.08096986556916796,-0.08091607577859875
325,99,-0.0688539100620781,-0.0688539100620781,-0.06889502021357323,-0.0817886520473847,-0.0817886520473847,-0.08172621560035198
425,0,-0.06866385265181514,-0.06866385265181514,-0.06854355440663501,-0.06685765385650388,-0.06685765385650388,-0.06678305936807913
425,1,-0.0690544099517298,-0.0690544099517298,-0.06893974531916874,-0.06691378722563954,-0.06691378722563954,-0.06683710964876513
425,2,-0.06909379526395365,-0.06909379526395365,-0.06897164662082775,-0.06703859185835166,-0.06703859185835166,-0.06695529392741092
425,3,-0.06991534957805325,-0.06991534957805325,-0.06978635718483107,-0.06648930079413325,-0.06648930079413325,-0.06641000489893746
