batch,replica_first,samples,common_field_sha256,2omega_re,2omega_im,2omega_rank0,2omega_rank1,2omega_rank2,2omega_invalid
43,17000860000,20000,f5e53b597e312aa8bd80bb332d6ecc6febf9ca3f741f48083451909e4d2ff38b,9150.880152644217,-1.8349668413840665,4997,9935,5068,0
44,17000880000,20000,ab2fcd53d2e86136cdf708128485deabde19c3fd8bad9b939696ced1f268f292,9151.632105306928,5.163376353882208,5025,9912,5063,0
45,17000900000,20000,283e47b07b71b8c911b28cd8bd9711395860d647a252265eeb3c3c73e73c3407,9260.396765020427,14.345204718713642,5020,9994,4986,0
46,17000920000,20000,a85bffe19fe4d6f7707eeef9f266c7458df376909a376ff1e626f77be8cbfbaa,9250.327391236555,-14.786098247373335,4968,9928,5104,0
47,17000940000,20000,b01a614f4a1e65198c6f8e2033a71758172d6be8229dbe0b7a6ed51e7f1de57f,9256.89108956105,-35.42561534707996,5039,9997,4964,0
48,17000960000,20000,f0b32912b69e63925600e5a78da92c6293b0816fe380aa2f03d06d0225e3e694,9158.885497745432,-0.7894118568407853,5047,9890,5063,0
49,17000980000,20000,81b40df14c437bde95bce17d909ef3a3c68444544ade695e0ea6f4272f6618d5,9121.936572662926,23.35627099841008,5036,9903,5061,0
50,17001000000,20000,aca788d52b11cc48030912f34e5d548fd3aec49ae2b1c93e5b82e0f257a83d15,9142.83890522593,-15.746272189349117,5067,9885,5048,0
51,17001020000,20000,c68d049105c346dcf56c324bd951ddae01f5b2ed8c2bcf343ae3d884db521fed,9187.931676263022,10.148996464718318,4997,9877,5126,0
52,17001040000,20000,008b22aa62a834f3d5eed2a9b9981e4fe179a6782a1fa7d282c50bfa5c8b02a8,9144.618042124137,-13.911305347965051,5067,9898,5035,0
53,17001060000,20000,c58e7bb12ce1fb052a73acf335ba384d1824aaaec92c67b4349ff0ca4ce3210b,9028.601099389765,-20.212611886869137,5119,9786,5095,0
54,17001080000,20000,8793357fca6f45586a7b3963a49517f725500e8a4150d0fc03b8787b7f55463e,9261.76283020882,17.32509590303069,4992,9991,5017,0
55,17001100000,20000,6e7f5f7df96fcdccbb5c6d5a0f0133577e3e135d2234f11e07b140211db8b0cb,9325.554260155877,-17.666620073300685,5056,10032,4912,0
56,17001120000,20000,731ccca1c3e4ec8b3303b984b735cb219f59b9b573f8e5da8a80ab0efb28ee74,9215.066188147179,19.857099400776942,4989,10017,4994,0
57,17001140000,20000,4eb360e75692c63019849cffcf000f1453132bd416e2b9aba9fb3321e8bebb79,9206.5317256059,6.9983431952662745,5087,9908,5005,0
58,17001160000,20000,56a09d498d40227fbdf2b7cfdf0dca6d1f861367e409e6d8f3301c2e9ddff569,9223.233264067443,-14.34520471871364,5019,9944,5037,0
59,17001180000,20000,bf1a03a58c1ea8c68c8e9a60ad4ca0b5d8b4d395c739abd072cad8ccd577253a,9149.36575910327,22.922371627661487,5089,9880,5031,0
60,17001200000,20000,77d1741720fa790ddd4418ed12f922dc1807a7e73511a58a7f804e8a8890cb52,9203.545788788693,-8.747928994082843,5053,9912,5035,0
61,17001220000,20000,156ba5b31226e7fe18cc41d2fb55d6c2c5344e578b3155f70e1a277c8f1e43fc,9206.100769031626,1.401067470635474,5097,9917,4986,0
62,17001240000,20000,1445317fd83c727eadec020cb09dae5d154e231754815e01bdf465fd1b233155,9163.251562933825,61.32088400114739,4982,9890,5128,0
63,17001260000,20000,8af4e3bfce75949eca1a7a7f104d1506c9730180d72acd4480bdd4e44d282526,9313.1469475492,12.510237877329576,5002,9982,5016,0
64,17001280000,20000,0901096af16d5bb1d7059122e8a2c29a4096f00be7ac749bdcaa1123e3042629,9202.375586602462,48.37674675306923,5062,9941,4997,0
65,17001300000,20000,8b9777d30fd614eafc61941f74e490d81230dc9cad063ae92b09b0c3076f6726,9197.48377695438,2.9728970264059473,5020,9900,5080,0
66,17001320000,20000,a82f2056f1884b6ea5f1953ef91502e874b69037dd4a9378ca9c2c20c2cf4ffd,9280.357287736088,17.84437631634678,5000,10013,4987,0
67,17001340000,20000,5e4891e6922d6a1750c17af03e3cb74783315a7a8babc896b6dbd5896189e5a0,9068.740956375152,28.16413486620009,5075,9886,5039,0
68,17001360000,20000,e9b0620ada85e8fe19c0e617ef74f6277f8778636c4badf5c42f3174aef2f533,9210.199131884325,10.49751479289941,4959,9877,5164,0
69,17001380000,20000,c4df86b0f1d07688fabee516e94397b5d36af91936ad6a6f46bfd95287ad1ac8,9061.034521513704,-11.635444977921292,5121,9767,5112,0
70,17001400000,20000,0840a9357d0be3eda459a1ab43a66c291c7b33b6f0304ff13f1ffd099249439e,9172.962233478856,-24.231063897818363,4962,10010,5028,0
71,17001420000,20000,b2b7529aebe95e6769ffb1f68049e425453fb6a521456bba0839ba543bc4c1e7,9156.924561027863,26.15840593968103,5101,9858,5041,0
72,17001440000,20000,7a3011974ce0a1126f65c6c0f557b0142cbf108c41e6c2ae145c83f8b0b1090a,9190.690990875297,-7.261480480879872,5106,9906,4988,0
73,17001460000,20000,3fb1db107193db2c78773ddbca1546ab5b750cc55f4ec078f80f3045ba442eae,9228.28367826862,25.546750325886343,5112,9906,4982,0
74,17001480000,20000,76df2867f06f5cf0e2b3a92ac214eaefd92fdbc65f78894c976306a23c2ac78b,9255.917859794627,-19.94248044334444,4981,10000,5019,0
75,17001500000,20000,e05dfa098914fe2c0958e611dfb9fc18cbd02c9056d2c6160dde1c9ca54111e5,9199.355597327887,10.21652036454214,4980,9894,5126,0
76,17001520000,20000,525721352f5153f845bfa8c10dc1f0003f6f87475389a20ebf7c5b558c4ec3cb,9225.276977035373,14.608342004327238,4997,9946,5057,0
77,17001540000,20000,a8eb5dc8b484602f3307a2d3d33599b2701adccd77dc6dcc50c4559047ddb9e2,9085.158545182338,66.56964139759711,5160,9803,5037,0
78,17001560000,20000,c2f7813ef365192900a25081ab7679485a5c95f7bd9ed79155d6880066a55968,9189.406592519623,14.608342004327238,5067,9931,5002,0
79,17001580000,20000,ae3ed382b87cfe94affc2f0d9c1fb79e289f171ae6b7877d326bf1f6d200ac78,9225.390759202892,-4.722482825222517,4945,9919,5136,0
80,17001600000,20000,48c9aa05d26f4abd937ee285349535a8d3a5607beb01381d1b8b030287316c51,9220.113476082395,-8.136273380288156,5011,9928,5061,0
81,17001620000,20000,b959a9b5765223ca36132d53c523f9ea5c8a74395831b57726e5b0a20a108314,9052.061291747274,-3.847689925814231,5071,9762,5167,0
82,17001640000,20000,1c3eebd9e7d9c40c6f150844eb82d8a2014e310338aed4abebf70d65745202a9,9108.131774948783,0.8747928994082841,5041,9822,5137,0
83,17001660000,20000,948d2e0beb655be6bdec7ee1e1f0d23e080ed5c4f816c87b47a49d735a8d518b,9153.736059975246,-9.708102936058626,5205,9879,4916,0
84,17001680000,20000,27592e3317b72d061492b32f9317a2c613f64ccab60a8ba57b8f22c9c8f42939,9177.257568751362,-1.486448513202975,4942,9944,5114,0
85,17001700000,20000,e261d06d8837f8f1bd2170af6f18aeb120ec7b48953921fc57d6d489b22223a6,9141.06976311446,-12.424856834762076,5085,9849,5066,0
86,17001720000,20000,4175f45c11d5b0a36dcd4f4c93f92388209fc53ef603660f030d0a0ceb62f0c8,9160.714881557295,-19.245443786982253,5045,9891,5064,0
87,17001740000,20000,e61d9ef36017d076e39605a42da64232bbd8cc7d049f2a5908d0fb6bd4323387,9168.937268078644,10.846033121080506,5060,9867,5073,0
88,17001760000,20000,ff4ce7aa16f1d344ece5aac1be63fbfb0c7bfc9c66e273fa3637028c14e425ae,9005.326528533315,12.24710059171598,5075,9797,5128,0
89,17001780000,20000,825d57ec88334e362233ff065d026ddab156067f57dcd8c8f84f2549f9bef16b,9405.142711865617,-8.747928994082844,4916,10075,5009,0
90,17001800000,20000,04a9a560daaa786ccc2dceec9d964e14dbdfc3b735addadc688a6e5bd5d617eb,9211.504955372335,-16.7064461313249,5073,9909,5018,0
91,17001820000,20000,ef6dbdf4877c99a5c32b3804762716333e08ddcfa2ee69723143fc0a9ae21bc6,9134.125073715544,-10.760652078513008,5092,9891,5017,0
92,17001840000,20000,6eaccdbb510cd8cb9ee6b7b69cc56cfb5dd2f2d201a53e71a37fe22fe3559514,9181.42176512006,-19.771718358209444,5030,9878,5092,0
93,17001860000,20000,42113578c8d12f8dddf3defc65e3a597d7ab703b5726177f95afe9aff7d668ca,9064.837549093916,17.23272070255209,5066,9797,5137,0
94,17001880000,20000,55a1ae426e7cb5341f1ce86aed386ed98da93264779763c87d8bddb31cc1bbe4,9102.878135795889,-18.370650887573973,5081,9784,5135,0
95,17001900000,20000,69975ed0d8e7d05a359ffefff84cd2b8b29121e59471bf93fb604a2baa7021cb,9025.206493833868,12.161719549148483,5152,9742,5106,0
96,17001920000,20000,7e546c92ef1de4eef913c67fa7208eef908e6566116c6c70a21bd09941406ae7,9152.002159464533,27.11857988165681,5093,9845,5062,0
97,17001940000,20000,ceebaedf242ba169419cadbea175dc91ea44650e07f926e9bc084b2ca21d3372,9149.456311305095,-1.7495857988165668,5021,9931,5048,0
98,17001960000,20000,dc6826ec157f07757125b7ed56ed7608618b3234e9164e9d3f131284cd84fd6e,9243.573569181613,-19.223120274856186,4959,9958,5083,0
99,17001980000,20000,921844146eb704d27dd67cdc51299006c41a277fcfc7967547512717226db103,9099.368224652913,-19.771718358209444,5124,9788,5088,0
