N,batch,orientation,counter_first,counter_last,risk_count,solved_count,partial_pair_solved_count,h_zero_count,h_all_count,sum_hazard,sum_mu,sum_second_wait_moment,sum_wait_variance,integrated_B,integrated_V,canonical_B,canonical_V,h_zero_integrated_V,h_zero_canonical_V
325,5,first,43032505000,43032505999,454.0,454.0,2.0,29.0,0.0,28.85606060606064,5290.266501038216,98087.7919589588,31177.063705886583,0.024432409052067554,0.2933594010490282,2.048861254204528,9.141306232065356,0.02074680784337461,0.2829922610710319
325,5,second,43032505000,43032505999,430.0,428.0,0.0,31.0,0.0,27.318181818181845,5004.046762912165,93305.8053186362,29503.144806074277,0.022975637237538205,0.27760872451046587,1.9367258775308867,8.61964158564434,0.023670458611421606,0.28792287190003607
325,6,first,43032506000,43032506999,453.0,452.0,0.0,33.0,0.0,27.818181818181838,5312.218892515627,98620.08275258934,31109.70785723989,0.024050109550950504,0.29272561874026,2.015383507421712,9.063370797474446,0.024460910715747887,0.3087179760354179
325,6,second,43032506000,43032506999,420.0,418.0,0.0,27.0,0.0,26.780303030303067,4817.8654565155675,88465.40895503772,28280.208027397257,0.022564191993316426,0.2661015471733718,1.9116160472047639,8.493912761813533,0.019537073485827745,0.24263166809212736
325,7,first,43032507000,43032507999,422.0,422.0,1.0,32.0,0.0,26.431818181818198,4906.598148129022,90354.27137797017,28587.630217194997,0.022177571405638263,0.26899422463392486,1.883825851529591,8.472231565381794,0.02325263474816349,0.31348701687328756
325,7,second,43032507000,43032507999,471.0,470.0,0.0,32.0,0.0,30.128787878787907,5460.043070436311,101088.58031318775,31978.67402072606,0.02495590773789875,0.30090212296968294,2.117862249056206,9.439019301639144,0.024194303405563226,0.3001447086275117
325,8,first,43032508000,43032508999,437.0,435.0,0.0,30.0,0.0,28.590909090909115,4950.007259094966,90288.36810037334,28627.01498869836,0.022839063493356862,0.26936481415087465,1.977561537714195,8.770922980680831,0.023166313124644587,0.2823757024214684
325,8,second,43032508000,43032508999,462.0,461.0,0.0,36.0,0.0,29.55303030303035,5352.138655767973,99189.43950638558,31235.92740923393,0.02448485415133487,0.2939132768379872,2.088945070517594,9.280855804708573,0.02882507663996877,0.3044881552319181
325,9,first,43032509000,43032509999,437.0,436.0,1.0,29.0,0.0,26.916666666666703,5137.135189388102,95848.10120657877,30266.572620144103,0.02335643737338813,0.2847921696351394,1.9467444151558733,8.74750277805789,0.021640866236294864,0.2584361916217568
325,9,second,43032509000,43032509999,471.0,467.0,0.0,30.0,0.0,28.88636363636369,5515.9520436523,103139.73080510942,32436.860044222376,0.024930907968690047,0.30521340701778776,2.0814457312967787,9.335413753615146,0.021690270899005933,0.26324677163036503
325,10,first,43032510000,43032510999,468.0,468.0,1.0,31.0,0.0,29.12878787878793,5542.439170191509,104085.94686669798,32787.68187345849,0.025326661756800237,0.30851445174318287,2.099469939973516,9.385654857590334,0.0228431662729882,0.2794084421559921
325,10,second,43032510000,43032510999,451.0,449.0,0.0,31.0,0.0,28.000000000000043,5251.93269331415,97256.55178965042,30866.305236634747,0.023969625698869894,0.2904353309932134,2.0074163123741102,9.029747731163072,0.02162681635945527,0.30466865262116527
325,11,first,43032511000,43032511999,418.0,417.0,0.0,36.0,0.0,24.757575757575797,4987.508375306078,93767.18601157267,29328.433292678037,0.021998923850409594,0.27596478313709605,1.8182026128149584,8.28863607932673,0.02639635523267341,0.3455577486927739
325,11,second,43032511000,43032511999,456.0,454.0,0.0,31.0,0.0,30.280303030303045,5152.570201580865,93840.62555368016,30481.80786372568,0.024983571126968675,0.2868174175140739,2.1277931373787657,9.327166882248582,0.02201867332497916,0.29630551629749746
325,12,first,43032512000,43032512999,454.0,452.0,1.0,41.0,0.0,28.01515151515153,5308.961547675385,98584.03647186868,31097.91111295514,0.024025515549601542,0.2926146177213586,2.0135085123756764,9.055930213152083,0.02961820656326668,0.37163250952630644
325,12,second,43032512000,43032512999,481.0,479.0,0.0,40.0,0.0,30.287878787878796,5594.457913265103,104154.65784377747,32554.22640349173,0.024935273286168458,0.30631776133361904,2.1125524412948127,9.50949828773232,0.028834790051498804,0.36502809335193837
325,13,first,43032513000,43032513999,463.0,462.0,0.0,38.0,0.0,28.886363636363647,5396.935136877127,100307.92066088437,31677.12402956149,0.02443600176593364,0.2980646997399365,2.0643760741266335,9.276781689259833,0.0293878636704778,0.3490152738207525
325,13,second,43032513000,43032513999,457.0,457.0,0.0,27.0,0.0,30.4848484848485,5179.841210599869,94269.0711764335,30331.416836776625,0.02476454237074843,0.28540231883752337,2.124697747604845,9.328565605841904,0.02077737938859396,0.24914247657868915
325,14,first,43032514000,43032514999,436.0,435.0,0.0,38.0,0.0,27.69696969696974,5032.433045127328,92435.91422589854,29377.199292700432,0.02312366193342469,0.2764236449687647,1.9631116778224547,8.768749035096437,0.027741541135295197,0.34716792404264896
325,14,second,43032514000,43032514999,434.0,434.0,0.0,29.0,0.0,27.265151515151555,5041.40929823792,93078.8918583247,29702.4955675478,0.023211797911862935,0.2794845079561497,1.9568626325238407,8.775057472190216,0.021800004389972504,0.27789104994871755
325,15,first,43032515000,43032515999,469.0,465.0,2.0,30.0,0.0,29.416666666666714,5417.257104576938,100425.39079088271,32061.55281251617,0.02500867772666673,0.30168196782449663,2.0974626768640117,9.381856905470848,0.02211856645199797,0.29383928098163403
325,15,second,43032515000,43032515999,441.0,439.0,0.0,28.0,0.0,27.818181818181838,5142.982367938969,96163.78076676388,30439.531731193158,0.02387755348657765,0.2864196218449433,1.9923890293006274,8.86009040860619,0.02156265903232725,0.24790966090070857
325,16,first,43032516000,43032516999,439.0,437.0,1.0,34.0,0.0,27.295454545454557,5127.87645052326,95450.7235979595,30081.184705321884,0.02349602343810093,0.2830477690665991,1.9769296575548667,8.816363751916764,0.026506062997586413,0.2987087766389163
325,16,second,43032516000,43032516999,442.0,437.0,0.0,33.0,0.0,27.78787878787881,5082.31606340058,93958.78999402109,29978.924879514085,0.023794709304218477,0.28208555910566896,1.995222980312643,8.868371658841118,0.023280329268182524,0.32063084002871517
325,17,first,43032517000,43032517999,473.0,473.0,1.0,32.0,0.0,28.681818181818244,5633.6573339829665,106158.21427919141,33322.65317027586,0.025473117906794532,0.31354824391467356,2.1138732356766274,9.499364985725574,0.024858033617612935,0.29958316741758834
325,17,second,43032517000,43032517999,425.0,424.0,0.0,31.0,0.0,26.424242424242436,4976.718106008683,92615.65766226771,29232.86399773043,0.022724634909418416,0.27506552747309293,1.901135747632671,8.527562265762983,0.022736046910829106,0.30493761904009165
325,18,first,43032518000,43032518999,472.0,470.0,0.0,34.0,0.0,29.643939393939416,5556.324761589418,104479.43235700186,33010.084815946604,0.025672535964371617,0.31060714381371707,2.1301577510379923,9.46117688747022,0.025863060553716306,0.29743028803613414
325,18,second,43032518000,43032518999,448.0,446.0,0.0,24.0,0.0,29.250000000000064,5119.016014160998,94006.84251913695,29977.294274567088,0.024107258512176967,0.28207021599013005,2.0561875540594157,9.048089908785931,0.01787823881831713,0.20248178718111445
325,19,first,43032519000,43032519999,434.0,431.0,0.0,39.0,0.0,27.340909090909125,5028.084685359533,93203.78114032451,29221.105368094068,0.0223644773850052,0.27495488509253363,1.8986789152391579,8.536525725674192,0.028017103793704482,0.36292574328379257
325,19,second,43032519000,43032519999,460.0,457.0,0.0,34.0,0.0,28.674242424242472,5372.254595609251,100306.91301768356,31668.570124575854,0.024631068636889054,0.2979842120946956,2.053016075614427,9.173021694698493,0.024038679131662546,0.31146964719456494
