partition,components,shared,activation16
00112100,3,2,-2
00112101,3,2,-4
00112102,3,2,-3
00112103,4,2,-2
00112110,3,2,-2
00112111,3,1,0
00112112,3,1,0
00112113,4,1,0
00112120,3,2,-6
00112121,3,1,0
00112122,3,1,0
00112123,4,1,0
00112130,4,2,0
00112131,4,1,0
00112132,4,1,0
00112133,4,1,0
00112134,5,1,0
00112200,3,1,0
00112201,3,2,-3
00112202,3,1,0
00112203,4,1,0
00112210,3,2,-3
00112211,3,1,0
00112212,3,1,0
00112213,4,1,0
00112220,3,1,0
00112221,3,1,0
00112222,3,0,0
00112223,4,0,0
00112230,4,1,0
00112231,4,1,0
00112232,4,0,0
00112233,4,0,0
00112234,5,0,0
00112300,4,1,0
00112301,4,2,-2
00112302,4,1,0
00112303,4,1,0
00112304,5,1,0
00112310,4,2,-2
00112311,4,1,0
00112312,4,1,0
00112313,4,1,0
00112314,5,1,0
00112320,4,1,0
00112321,4,1,0
00112322,4,0,0
00112323,4,0,0
00112324,5,0,0
00112330,4,1,0
00112331,4,1,0
00112332,4,0,0
00112333,4,0,0
00112334,5,0,0
00112340,5,1,0
00112341,5,1,0
00112342,5,0,0
00112343,5,0,0
00112344,5,0,0
00112345,6,0,0
00120000,3,1,0
00120001,3,2,0
00120002,3,2,0
00120003,4,1,0
00120010,3,2,0
00120011,3,2,-2
00120012,3,3,-8
00120013,4,2,4
00120020,3,2,0
00120021,3,3,-8
00120022,3,2,-2
00120023,4,2,4
00120030,4,1,0
00120031,4,2,4
00120032,4,2,4
00120033,4,1,0
00120034,5,1,0
00120100,3,2,0
00120101,3,2,-4
00120102,3,3,-16
00120103,4,2,8
00120110,3,2,-2
00120111,3,2,0
00120112,3,3,-9
00120113,4,2,4
00120120,3,3,-8
00120121,3,3,-18
00120122,3,3,-9
00120123,4,3,10
00120130,4,2,4
00120131,4,2,8
00120132,4,3,8
00120133,4,2,6
00120134,5,2,4
00120200,3,2,0
00120201,3,3,-16
00120202,3,2,-4
00120203,4,2,8
00120210,3,3,-8
00120211,3,3,-9
00120212,3,3,-18
00120213,4,3,10
00120220,3,2,-2
00120221,3,3,-9
00120222,3,2,0
00120223,4,2,4
00120230,4,2,4
00120231,4,3,8
00120232,4,2,8
00120233,4,2,6
00120234,5,2,4
00120300,4,1,0
00120301,4,2,8
00120302,4,2,8
00120303,4,1,0
00120304,5,1,0
00120310,4,2,4
00120311,4,2,4
00120312,4,3,10
00120313,4,2,12
00120314,5,2,0
00120320,4,2,4
00120321,4,3,10
00120322,4,2,4
00120323,4,2,12
00120324,5,2,0
00120330,4,1,0
00120331,4,2,6
00120332,4,2,6
00120333,4,1,0
00120334,5,1,0
00120340,5,1,0
00120341,5,2,4
00120342,5,2,4
00120343,5,1,0
00120344,5,1,0
00120345,6,1,0
00121000,3,2,0
00121001,3,2,-2
00121002,3,3,-8
00121003,4,2,4
00121010,3,2,-4
00121011,3,2,0
00121012,3,3,-18
00121013,4,2,8
00121020,3,3,-16
00121021,3,3,-9
00121022,3,3,-9
00121023,4,3,8
00121030,4,2,8
00121031,4,2,4
00121032,4,3,10
00121033,4,2,6
00121034,5,2,4
00121100,3,2,-2
00121101,3,2,0
00121102,3,3,-9
00121103,4,2,4
00121110,3,2,0
00121111,3,1,0
00121112,3,2,0
00121113,4,1,0
00121120,3,3,-9
00121121,3,2,0
00121122,3,2,-3
00121123,4,2,6
00121130,4,2,4
00121131,4,1,0
00121132,4,2,6
00121133,4,1,0
00121134,5,1,0
00121200,3,3,-8
00121201,3,3,-9
00121202,3,3,-18
00121203,4,3,10
00121210,3,3,-18
00121211,3,2,0
00121212,3,2,-6
00121213,4,2,12
00121220,3,3,-9
00121221,3,2,-3
00121222,3,2,0
00121223,4,2,6
00121230,4,3,10
00121231,4,2,6
00121232,4,2,12
00121233,4,2,9
00121234,5,2,6
00121300,4,2,4
00121301,4,2,4
00121302,4,3,10
00121303,4,2,12
00121304,5,2,0
00121310,4,2,8
00121311,4,1,0
00121312,4,2,12
00121313,4,1,0
00121314,5,1,0
00121320,4,3,8
00121321,4,2,6
00121322,4,2,6
00121323,4,2,18
00121324,5,2,0
00121330,4,2,6
00121331,4,1,0
00121332,4,2,9
00121333,4,1,0
00121334,5,1,0
00121340,5,2,4
00121341,5,1,0
00121342,5,2,6
00121343,5,1,0
00121344,5,1,0
00121345,6,1,0
00122000,3,2,0
00122001,3,3,-8
00122002,3,2,-2
00122003,4,2,4
00122010,3,3,-16
00122011,3,3,-9
00122012,3,3,-9
00122013,4,3,8
00122020,3,2,-4
00122021,3,3,-18
00122022,3,2,0
00122023,4,2,8
00122030,4,2,8
00122031,4,3,10
00122032,4,2,4
00122033,4,2,6
00122034,5,2,4
00122100,3,3,-8
00122101,3,3,-18
00122102,3,3,-9
00122103,4,3,10
00122110,3,3,-9
00122111,3,2,0
00122112,3,2,-3
00122113,4,2,6
00122120,3,3,-18
00122121,3,2,-6
00122122,3,2,0
00122123,4,2,12
00122130,4,3,10
00122131,4,2,12
00122132,4,2,6
00122133,4,2,9
00122134,5,2,6
00122200,3,2,-2
00122201,3,3,-9
00122202,3,2,0
00122203,4,2,4
00122210,3,3,-9
00122211,3,2,-3
00122212,3,2,0
00122213,4,2,6
00122220,3,2,0
00122221,3,2,0
00122222,3,1,0
00122223,4,1,0
00122230,4,2,4
00122231,4,2,6
00122232,4,1,0
00122233,4,1,0
00122234,5,1,0
00122300,4,2,4
00122301,4,3,10
00122302,4,2,4
00122303,4,2,12
00122304,5,2,0
00122310,4,3,8
00122311,4,2,6
00122312,4,2,6
00122313,4,2,18
00122314,5,2,0
00122320,4,2,8
00122321,4,2,12
00122322,4,1,0
00122323,4,1,0
00122324,5,1,0
00122330,4,2,6
00122331,4,2,9
00122332,4,1,0
00122333,4,1,0
00122334,5,1,0
00122340,5,2,4
00122341,5,2,6
00122342,5,1,0
00122343,5,1,0
00122344,5,1,0
00122345,6,1,0
00123000,4,1,0
00123001,4,2,4
00123002,4,2,4
00123003,4,1,0
00123004,5,1,0
00123010,4,2,8
00123011,4,2,4
00123012,4,3,10
00123013,4,2,6
00123014,5,2,4
00123020,4,2,8
00123021,4,3,10
00123022,4,2,4
00123023,4,2,6
00123024,5,2,4
00123030,4,1,0
00123031,4,2,12
00123032,4,2,12
00123033,4,1,0
00123034,5,1,0
00123040,5,1,0
00123041,5,2,0
00123042,5,2,0
00123043,5,1,0
00123044,5,1,0
00123045,6,1,0
00123100,4,2,4
00123101,4,2,8
00123102,4,3,8
00123103,4,2,6
00123104,5,2,4
00123110,4,2,4
00123111,4,1,0
00123112,4,2,6
00123113,4,1,0
00123114,5,1,0
00123120,4,3,10
00123121,4,2,12
00123122,4,2,6
00123123,4,2,9
00123124,5,2,6
00123130,4,2,12
00123131,4,1,0
00123132,4,2,18
00123133,4,1,0
00123134,5,1,0
00123140,5,2,0
00123141,5,1,0
00123142,5,2,0
00123143,5,1,0
00123144,5,1,0
00123145,6,1,0
00123200,4,2,4
00123201,4,3,8
00123202,4,2,8
00123203,4,2,6
00123204,5,2,4
00123210,4,3,10
00123211,4,2,6
00123212,4,2,12
00123213,4,2,9
00123214,5,2,6
00123220,4,2,4
00123221,4,2,6
00123222,4,1,0
00123223,4,1,0
00123224,5,1,0
00123230,4,2,12
00123231,4,2,18
00123232,4,1,0
00123233,4,1,0
00123234,5,1,0
00123240,5,2,0
00123241,5,2,0
00123242,5,1,0
00123243,5,1,0
00123244,5,1,0
00123245,6,1,0
00123300,4,1,0
00123301,4,2,6
00123302,4,2,6
00123303,4,1,0
00123304,5,1,0
00123310,4,2,6
00123311,4,1,0
00123312,4,2,9
00123313,4,1,0
00123314,5,1,0
00123320,4,2,6
00123321,4,2,9
00123322,4,1,0
00123323,4,1,0
00123324,5,1,0
00123330,4,1,0
00123331,4,1,0
00123332,4,1,0
00123333,4,0,0
00123334,5,0,0
00123340,5,1,0
00123341,5,1,0
00123342,5,1,0
00123343,5,0,0
00123344,5,0,0
00123345,6,0,0
00123400,5,1,0
00123401,5,2,4
00123402,5,2,4
00123403,5,1,0
00123404,5,1,0
00123405,6,1,0
00123410,5,2,4
00123411,5,1,0
00123412,5,2,6
00123413,5,1,0
00123414,5,1,0
00123415,6,1,0
00123420,5,2,4
00123421,5,2,6
00123422,5,1,0
00123423,5,1,0
00123424,5,1,0
00123425,6,1,0
00123430,5,1,0
00123431,5,1,0
00123432,5,1,0
00123433,5,0,0
00123434,5,0,0
00123435,6,0,0
00123440,5,1,0
00123441,5,1,0
00123442,5,1,0
00123443,5,0,0
00123444,5,0,0
00123445,6,0,0
00123450,6,1,0
00123451,6,1,0
00123452,6,1,0
00123453,6,0,0
00123454,6,0,0
00123455,6,0,0
00123456,7,0,0
01000000,2,1,0
01000001,2,2,0
01000002,3,1,0
01000010,2,2,0
01000011,2,2,0
01000012,3,2,0
01000020,3,1,0
01000021,3,2,0
01000022,3,1,0
01000023,4,1,0
01000100,2,2,0
01000101,2,2,0
01000102,3,2,0
01000110,2,2,0
01000111,2,2,0
01000112,3,2,0
01000120,3,2,0
01000121,3,2,0
01000122,3,2,0
01000123,4,2,0
01000200,3,1,0
01000201,3,2,0
01000202,3,1,0
01000203,4,1,0
01000210,3,2,0
01000211,3,2,0
01000212,3,2,0
01000213,4,2,0
01000220,3,1,0
01000221,3,2,0
01000222,3,1,0
01000223,4,1,0
01000230,4,1,0
01000231,4,2,0
01000232,4,1,0
01000233,4,1,0
01000234,5,1,0
01001000,2,2,0
01001001,2,2,0
01001002,3,2,0
01001010,2,2,0
01001011,2,2,0
01001012,3,2,0
01001020,3,2,0
01001021,3,2,0
01001022,3,2,0
01001023,4,2,0
01001100,2,2,0
01001101,2,2,0
01001102,3,2,0
01001110,2,2,0
01001111,2,1,0
01001112,3,1,0
01001120,3,2,0
01001121,3,1,0
01001122,3,1,0
01001123,4,1,0
01001200,3,2,0
01001201,3,2,0
01001202,3,2,0
01001203,4,2,0
01001210,3,2,0
01001211,3,1,0
01001212,3,1,0
01001213,4,1,0
01001220,3,2,0
01001221,3,1,0
01001222,3,1,0
01001223,4,1,0
01001230,4,2,0
01001231,4,1,0
01001232,4,1,0
01001233,4,1,0
01001234,5,1,0
01002000,3,1,0
01002001,3,2,0
01002002,3,1,0
01002003,4,1,0
01002010,3,2,0
01002011,3,2,0
01002012,3,2,0
01002013,4,2,0
01002020,3,1,0
01002021,3,2,0
01002022,3,1,0
01002023,4,1,0
01002030,4,1,0
01002031,4,2,0
01002032,4,1,0
01002033,4,1,0
01002034,5,1,0
01002100,3,2,0
01002101,3,2,0
01002102,3,2,0
01002103,4,2,0
01002110,3,2,0
01002111,3,1,0
01002112,3,1,0
01002113,4,1,0
01002120,3,2,0
01002121,3,1,0
01002122,3,1,0
01002123,4,1,0
01002130,4,2,0
01002131,4,1,0
01002132,4,1,0
01002133,4,1,0
01002134,5,1,0
01002200,3,1,0
01002201,3,2,0
01002202,3,1,0
01002203,4,1,0
01002210,3,2,0
01002211,3,1,0
01002212,3,1,0
01002213,4,1,0
01002220,3,1,0
01002221,3,1,0
01002222,3,0,0
01002223,4,0,0
01002230,4,1,0
01002231,4,1,0
01002232,4,0,0
01002233,4,0,0
01002234,5,0,0
01002300,4,1,0
01002301,4,2,0
01002302,4,1,0
01002303,4,1,0
01002304,5,1,0
01002310,4,2,0
01002311,4,1,0
01002312,4,1,0
01002313,4,1,0
01002314,5,1,0
01002320,4,1,0
