n,a,b,orientation,batch,samples,sum_q,sum_e,sum_s,sum_k,sum_kk,sum_edges,sum_chi,sum_e_s,sum_e_k,sum_e_kk,sum_e_edges,sum_e_chi
65,8,1,first,36,10000,123,6293,44583,385744,14651298,457917,8424,28967,242881,9256188,288806,5286
65,7,4,second,36,10000,74,6220,44759,385744,14651298,457385,8777,28794,240010,9146510,284889,5426
65,8,1,first,37,10000,-118,6254,44610,385242,14612014,456470,8810,28867,240825,9156696,285469,5675
65,7,4,second,37,10000,-45,6203,44650,385242,14612014,456693,8711,28546,239058,9097340,283599,5467
65,8,1,first,38,10000,-48,6276,44499,385316,14617168,456809,8835,28922,241887,9205284,286891,5674
65,7,4,second,38,10000,13,6277,44492,385316,14617168,457113,8657,28883,242043,9214412,287102,5460
65,8,1,first,39,10000,44,6246,44616,385823,14657028,457569,8674,28698,241218,9200324,286536,5402
65,7,4,second,39,10000,48,6306,44615,385823,14657028,458194,8369,29062,243410,9278032,289213,5376
65,8,1,first,40,10000,-151,6265,44692,384127,14526772,454321,9247,28943,240416,9108898,284201,6070
65,7,4,second,40,10000,-158,6306,44615,384127,14526772,454104,9491,28968,241777,9151346,285606,6224
65,8,1,first,41,10000,81,6273,44695,385630,14640506,458185,8478,28895,242215,9234082,288259,5240
65,7,4,second,41,10000,10,6326,44636,385630,14640506,457637,8578,29181,243912,9283688,289304,5477
65,8,1,first,42,10000,69,6207,44984,385256,14608922,455974,8723,28871,239286,9105782,283630,5434
65,7,4,second,42,10000,-5,6221,44652,385256,14608922,456692,8553,28472,239816,9125110,284658,5235
65,8,1,first,43,10000,-143,6259,44540,384993,14595722,456010,9107,28837,240627,9136718,284805,5942
65,7,4,second,43,10000,-53,6355,44749,384993,14595722,455855,8934,29445,244460,9284964,289059,5910
65,8,1,first,44,10000,-9,6241,44736,385219,14612516,457011,8825,28874,240444,9149812,285398,5599
65,7,4,second,44,10000,62,6288,44957,385219,14612516,456595,8611,29255,242412,9228902,287614,5473
65,8,1,first,45,10000,-9,6267,44620,385030,14597550,456546,8859,28785,241452,9185854,286648,5534
65,7,4,second,45,10000,-84,6320,44687,385030,14597550,456169,8779,29292,243346,9253964,288453,5708
65,8,1,first,46,10000,77,6221,44439,385665,14641140,457807,8436,28455,240127,9149232,285563,5188
65,7,4,second,46,10000,27,6239,44356,385665,14641140,457803,8445,28485,240715,9166912,286163,5328
65,8,1,first,47,10000,-36,6318,44423,385159,14605048,456440,8825,28884,243236,9244392,288154,5554
65,7,4,second,47,10000,-48,6238,44678,385159,14605048,456597,8960,28689,240233,9134210,284916,5675
65,8,1,first,48,10000,-31,6249,44903,385120,14603234,456435,8918,29031,240406,9132966,284863,5672
65,7,4,second,48,10000,-60,6228,44916,385120,14603234,456063,9274,29051,239696,9110108,283913,5981
65,8,1,first,49,10000,-37,6239,44800,385171,14605770,456058,8991,28995,240528,9155558,285058,5728
65,7,4,second,49,10000,12,6216,44695,385171,14605770,456634,8855,28645,239620,9119700,284615,5373
65,8,1,first,50,10000,-92,6294,45092,384722,14574878,455252,9098,29289,242148,9200946,286561,5755
65,7,4,second,50,10000,-169,6361,44446,384722,14574878,455492,9197,29241,244505,9281384,289456,6188
65,8,1,first,51,10000,32,6316,44793,385312,14621674,456807,8811,29283,243064,9239610,287983,5679
65,7,4,second,51,10000,8,6362,44879,385312,14621674,456379,9025,29557,245227,9335942,290732,5767
65,8,1,first,52,10000,23,6301,44740,385574,14640974,457734,8581,29174,242979,9254852,288621,5433
65,7,4,second,52,10000,157,6327,44657,385574,14640974,457658,8564,29247,244205,9309668,290217,5386
65,8,1,first,53,10000,-58,6266,44606,384432,14550694,454922,9040,28976,240844,9140658,285008,5808
65,7,4,second,53,10000,-117,6237,44813,384432,14550694,454933,9228,28999,239506,9081552,283393,5908
65,8,1,first,54,10000,-40,6214,44573,385133,14605634,456217,8585,28531,239297,9100758,283701,5429
65,7,4,second,54,10000,64,6382,44778,385133,14605634,456672,8844,29587,245385,9316260,290768,5857
65,8,1,first,55,10000,33,6245,45019,385791,14655258,457902,8534,28974,241071,9190852,286508,5125
65,7,4,second,55,10000,48,6308,44872,385791,14655258,457658,8610,29239,243474,9278792,289075,5359
65,8,1,first,56,10000,56,6250,44686,384950,14590928,456200,8940,28870,240634,9149322,285310,5716
65,7,4,second,56,10000,-82,6272,44690,384950,14590928,456025,8994,28994,241040,9146324,285143,5980
65,8,1,first,57,10000,53,6237,44875,385581,14637616,457474,8676,28939,240771,9178008,286239,5316
65,7,4,second,57,10000,-65,6235,44434,385581,14637616,457169,8477,28661,240246,9141484,284897,5504
65,8,1,first,58,10000,13,6261,44828,385530,14635594,457321,8661,29002,241518,9199918,286648,5423
65,7,4,second,58,10000,75,6207,44862,385530,14635594,457246,8653,28763,239315,9113636,284164,5316
65,8,1,first,59,10000,50,6258,44802,385508,14633148,457260,8638,29016,241399,9195526,286708,5296
65,7,4,second,59,10000,41,6327,44631,385508,14633148,457580,8508,29206,243899,9282806,289727,5319
65,8,1,first,60,10000,60,6316,45027,385274,14619574,456844,8791,29267,243428,9267648,288746,5631
65,7,4,second,60,10000,-66,6326,44744,385274,14619574,456988,8736,29235,243681,9272188,289013,5671
65,8,1,first,61,10000,-19,6275,44842,385373,14625416,456952,8817,28985,241727,9198852,286801,5520
65,7,4,second,61,10000,60,6250,44719,385373,14625416,457060,8747,28986,240943,9175020,285983,5522
