n,a,b,orientation,batch,samples,sum_q,sum_e,sum_s,sum_k,sum_kk,sum_edges,sum_chi,sum_e_s,sum_e_k,sum_e_kk,sum_e_edges,sum_e_chi
85,7,6,second,12,10000,-49,6251,53189,504162,25119874,598492,11404,34178,314814,15700756,373287,7331
85,9,2,first,13,10000,9,6133,52938,504107,25109172,597675,11567,33347,309199,15435366,366731,7258
85,7,6,second,13,10000,128,6294,52765,504107,25109172,598320,10915,34093,317363,15843294,376771,6935
85,9,2,first,14,10000,43,6289,53187,504201,25128256,598143,11388,34475,317210,15847162,376387,7254
85,7,6,second,14,10000,-16,6290,53270,504201,25128256,598230,11370,34437,317238,15847948,376757,7169
85,9,2,first,15,10000,-62,6212,53135,503616,25061088,596368,11593,33951,312907,15608420,370726,7179
85,7,6,second,15,10000,-19,6229,52925,503616,25061088,596911,11412,33847,313507,15622586,371430,7286
85,9,2,first,16,10000,2,6308,52749,503752,25069632,596860,11525,34163,317898,15857978,376710,7301
85,7,6,second,16,10000,32,6268,53035,503752,25069632,597051,11421,34121,315746,15742998,374341,7155
85,9,2,first,17,10000,73,6281,53189,504082,25113134,598095,11124,34402,316482,15795102,375824,7069
85,7,6,second,17,10000,-89,6287,52960,504082,25113134,597945,11427,34367,316656,15793924,375242,7416
85,9,2,first,18,10000,63,6331,53204,504731,25176328,599067,11159,34594,319540,15971634,379196,7131
85,7,6,second,18,10000,93,6295,53098,504731,25176328,599594,11009,34330,317675,15875648,377585,6885
85,9,2,first,19,10000,113,6259,53240,503992,25098444,597525,11357,34171,315817,15777680,375161,6874
85,7,6,second,19,10000,3,6215,52763,503992,25098444,597580,11216,33729,313540,15659164,371916,7000
85,9,2,first,20,10000,-26,6286,52893,504148,25120538,597391,11347,34159,317158,15848576,376182,7099
85,7,6,second,20,10000,74,6254,53381,504148,25120538,598201,11545,34224,315612,15775036,374826,7154
85,9,2,first,21,10000,94,6276,52827,504403,25142920,599107,10907,34164,316765,15831106,376440,6780
85,7,6,second,21,10000,89,6217,52819,504403,25142920,598555,11124,33668,313861,15691872,373088,6743
85,9,2,first,22,10000,-41,6187,53248,503531,25056712,596481,11845,33951,311437,15527318,368962,7598
85,7,6,second,22,10000,40,6310,52941,503531,25056712,596369,11609,34251,317877,15857488,376810,7311
85,9,2,first,23,10000,-48,6250,53049,504514,25151174,598829,11395,34052,315300,15748520,374164,7122
85,7,6,second,23,10000,133,6283,52933,504514,25151174,598499,11062,34000,317419,15876566,376929,6755
85,9,2,first,24,10000,20,6308,52892,503364,25036926,596310,11560,34283,317452,15817712,376206,7423
85,7,6,second,24,10000,5,6209,52741,503364,25036926,596272,11584,33734,312464,15571638,370077,7375
85,9,2,first,25,10000,75,6175,53336,503955,25094788,597178,11573,33788,311352,15543148,368807,7161
85,7,6,second,25,10000,-101,6269,52972,503955,25094788,597402,11553,34265,315812,15750966,374189,7496
85,9,2,first,26,10000,9,6235,52926,503702,25076616,597389,11671,33926,314045,15666656,372550,7307
85,7,6,second,26,10000,98,6360,53164,503702,25076616,597299,11324,34710,320450,15990912,380097,7198
85,9,2,first,27,10000,30,6196,52701,504231,25125036,598307,11299,33578,312449,15602988,370843,7078
85,7,6,second,27,10000,116,6266,53007,504231,25125036,598592,11033,34130,316075,15787740,375491,6954
85,9,2,first,28,10000,66,6294,53124,504346,25134580,598635,11002,34295,317530,15861470,377191,6921
85,7,6,second,28,10000,234,6204,53055,504346,25134580,598553,11007,33748,313388,15673890,372460,6540
85,9,2,first,29,10000,35,6195,53335,503544,25060074,596689,11346,33889,311685,15531970,369121,7188
85,7,6,second,29,10000,-79,6251,53201,503544,25060074,596600,11700,34358,314302,15651604,372043,7589
85,9,2,first,30,10000,-34,6302,52888,503722,25074642,597180,11312,34164,317125,15801730,375853,7236
85,7,6,second,30,10000,4,6248,53227,503722,25074642,597037,11663,34147,314866,15713328,373651,7271
85,9,2,first,31,10000,-28,6260,53099,503632,25064464,596571,11681,34203,315221,15717926,373493,7425
85,7,6,second,31,10000,-79,6191,53126,503632,25064464,596437,11529,33778,311599,15530314,368904,7209
85,9,2,first,32,10000,107,6231,52870,504185,25115032,598088,11187,33859,314169,15681072,372705,6954
85,7,6,second,32,10000,-46,6204,52889,504185,25115032,597759,11417,33775,312477,15581872,370207,7271
85,9,2,first,33,10000,2,6234,53085,503929,25093554,597059,11501,34005,314292,15689258,372569,7233
85,7,6,second,33,10000,43,6235,52970,503929,25093554,597738,11315,33965,314248,15683084,373028,7172
85,9,2,first,34,10000,104,6230,53124,504465,25152604,598600,11036,33966,314373,15711960,373183,6912
85,7,6,second,34,10000,150,6212,53075,504465,25152604,599271,10919,33810,313549,15676040,372872,6688
85,9,2,first,35,10000,146,6222,52847,504726,25173974,599513,11159,33768,314119,15703914,373231,6844
85,7,6,second,35,10000,145,6269,53061,504726,25173974,599444,10812,34287,316934,15865822,377208,6676
85,9,2,first,36,10000,-104,6248,53165,503315,25031150,595597,11599,34059,314414,15665328,372141,7339
85,7,6,second,36,10000,-18,6240,52940,503315,25031150,596198,11706,34127,314371,15681966,372927,7249
85,9,2,first,37,10000,-19,6213,53165,503344,25038386,596111,11664,33839,312992,15614816,371060,7294
85,7,6,second,37,10000,16,6268,53076,503344,25038386,596694,11460,34233,315411,15715674,373761,7287
85,9,2,first,38,10000,-37,6251,53311,503977,25094820,597664,11408,34210,315111,15725346,373727,7239
85,7,6,second,38,10000,32,6282,53117,503977,25094820,597360,11201,34299,316818,15817564,375666,6897
85,9,2,first,39,10000,18,6266,53310,503282,25033900,596368,11640,34353,315756,15758696,374379,7165
85,7,6,second,39,10000,31,6245,53280,503282,25033900,596037,11649,34250,314358,15670842,372305,7307
85,9,2,first,40,10000,8,6270,53001,503814,25086554,597387,11505,34090,316029,15776112,375173,7156
85,7,6,second,40,10000,69,6233,52936,503814,25086554,597381,11061,33803,314124,15677218,372600,6848
85,9,2,first,41,10000,1,6291,52922,503566,25057570,596666,11897,34103,316814,15797028,375367,7516
85,7,6,second,41,10000,-14,6250,52907,503566,25057570,596818,11353,34029,315118,15732162,374164,6989
85,9,2,first,42,10000,-61,6293,53062,503458,25049732,596297,11763,34393,316640,15777866,374563,7656
85,7,6,second,42,10000,-3,6151,53137,503458,25049732,596371,11794,33616,309686,15442738,366743,7411
85,9,2,first,43,10000,51,6203,52759,504117,25112762,598385,11374,33710,312827,15623334,371590,7043
85,7,6,second,43,10000,22,6212,52990,504117,25112762,597811,11188,33953,313066,15623666,371266,7095
85,9,2,first,44,10000,122,6356,52940,504654,25167342,599297,10902,34629,320891,16040752,381392,6901
85,7,6,second,44,10000,106,6220,52874,504654,25167342,599216,10910,33762,314012,15699006,373177,6802
85,9,2,first,45,10000,31,6311,53468,503874,25094660,597668,11493,34727,317980,15869302,377317,7388
85,7,6,second,45,10000,3,6283,53297,503874,25094660,597651,11198,34450,316389,15780950,375173,7217
85,9,2,first,46,10000,-108,6236,53244,503287,25033670,595169,12096,34144,313731,15633504,371190,7706
85,7,6,second,46,10000,-94,6248,53197,503287,25033670,596416,11845,34173,314186,15648476,372192,7675
85,9,2,first,47,10000,-24,6232,53426,502655,24973548,594821,11954,34259,313257,15597628,370919,7439
85,7,6,second,47,10000,-113,6321,53240,502655,24973548,594726,11943,34564,317619,15807752,375707,7581
85,9,2,first,48,10000,19,6209,53088,504066,25109236,597661,11239,33955,312919,15616538,371209,6940
85,7,6,second,48,10000,48,6336,52969,504066,25109236,597391,11221,34451,319601,15962690,379146,7171
85,9,2,first,49,10000,37,6263,52970,503120,25014216,596052,11519,34088,315305,15716980,373901,7093
85,7,6,second,49,10000,-51,6283,53439,503120,25014216,595434,11740,34542,315823,15720752,373607,7769
85,9,2,first,50,10000,171,6295,53057,504807,25189020,599620,10858,34348,317809,15894180,377626,6947
85,7,6,second,50,10000,153,6303,53063,504807,25189020,599774,11142,34349,318036,15894380,378223,6974
85,9,2,first,51,10000,-110,6218,53204,503147,25017548,595752,12130,33972,312798,15583478,370534,7758
85,7,6,second,51,10000,-42,6252,53053,503147,25017548,596209,11519,34125,314696,15686924,373211,7259
85,9,2,first,52,10000,-19,6217,53122,503349,25039422,596461,11721,34028,312974,15606418,371053,7303
85,7,6,second,52,10000,-63,6251,52848,503349,25039422,595828,11589,33974,314667,15686402,372440,7287
85,9,2,first,53,10000,26,6194,53115,503815,25087968,597065,11349,33955,311912,15557748,369514,7283
85,7,6,second,53,10000,85,6337,53311,503815,25087968,597208,11532,34649,319143,15918584,378598,7272
85,9,2,first,54,10000,50,6316,53014,504218,25120600,597898,11284,34513,318696,15919672,378283,7093
85,7,6,second,54,10000,64,6182,53048,504218,25120600,598161,11236,33622,311644,15553548,369543,7096
85,9,2,first,55,10000,-40,6160,53181,503867,25088878,597055,11817,33685,310502,15498684,368183,7383
85,7,6,second,55,10000,-117,6237,52928,503867,25088878,597773,11287,33909,314429,15695800,373146,7150
85,9,2,first,56,10000,35,6247,53157,504343,25138844,598514,11466,34055,315278,15757520,374505,7084
85,7,6,second,56,10000,112,6238,52805,504343,25138844,599027,10863,33830,314636,15716626,373783,6810
85,9,2,first,57,10000,-52,6296,53305,502994,25002560,595839,11891,34479,316661,15770654,374985,7615
85,7,6,second,57,10000,-119,6301,53051,502994,25002560,595323,11778,34295,316771,15770626,374847,7722
85,9,2,first,58,10000,-25,6275,52991,503833,25085586,597536,11298,34179,316244,15781802,374991,7090
85,7,6,second,58,10000,7,6283,53046,503833,25085586,597202,11489,34220,316690,15805522,375857,7229
85,9,2,first,59,10000,-184,6220,53222,503158,25020588,595864,11796,34106,312818,15580814,370312,7540
85,7,6,second,59,10000,-29,6293,53022,503158,25020588,596611,11711,34366,316579,15771202,375399,7553
85,9,2,first,60,10000,83,6307,52925,504405,25143182,598380,11282,34335,317895,15867076,376857,7228
85,7,6,second,60,10000,47,6247,53068,504405,25143182,598746,11153,34111,314935,15723166,373978,6944
85,9,2,first,61,10000,-28,6266,53016,504058,25109744,597404,11470,34077,315769,15760474,374354,7141
85,7,6,second,61,10000,105,6263,53031,504058,25109744,597669,11348,34248,315799,15771118,374771,7103
85,9,2,first,62,10000,11,6189,53007,504082,25112708,598337,11276,33733,311966,15574404,370557,7080
85,7,6,second,62,10000,61,6245,52935,504082,25112708,597706,11232,34222,314666,15704766,373005,7127
85,9,2,first,63,10000,-17,6209,52737,504694,25171134,599342,11058,33676,313295,15652882,371920,6943
85,7,6,second,63,10000,-3,6301,52955,504694,25171134,599301,11214,34243,317842,15877284,377634,7142
85,9,2,first,64,10000,-44,6234,53028,504228,25124250,598050,11368,33951,314426,15703260,373108,7175
85,7,6,second,64,10000,-27,6211,52969,504228,25124250,598262,11372,33856,313001,15620208,371457,7173
85,9,2,first,65,10000,169,6127,52782,504754,25174412,599039,10995,33246,309309,15461990,367348,6741
85,7,6,second,65,10000,97,6245,53000,504754,25174412,599109,11105,33894,315493,15780846,374859,6787
85,9,2,first,66,10000,-10,6250,53094,504275,25132770,598258,11210,34059,315089,15731548,373701,6933
85,7,6,second,66,10000,75,6215,52889,504275,25132770,598214,11068,33805,313467,15657642,372194,6868
85,9,2,first,67,10000,150,6252,53262,504848,25187550,599682,10906,34145,315798,15797190,375480,6753
85,7,6,second,67,10000,146,6232,53039,504848,25187550,599863,11033,33879,314724,15740722,374380,6727
85,9,2,first,68,10000,9,6221,53160,503732,25078254,596981,11401,34005,313470,15643756,371613,7102
85,7,6,second,68,10000,-11,6155,53109,503732,25078254,596944,11210,33580,310383,15503026,368190,6739
85,9,2,first,69,10000,33,6245,53245,503713,25081130,597332,11322,34222,314717,15713122,373640,6945
85,7,6,second,69,10000,-77,6303,53031,503713,25081130,597441,11664,34459,317427,15835850,376506,7432
85,9,2,first,70,10000,107,6299,52972,504422,25149572,599413,10827,34315,317764,15878674,377851,6802
85,7,6,second,70,10000,152,6340,52883,504422,25149572,598826,10817,34438,319789,15976698,379790,6796
85,9,2,first,71,10000,-61,6225,53248,503240,25026778,595709,11955,34184,313131,15597438,370494,7637
85,7,6,second,71,10000,-135,6319,52977,503240,25026778,596070,11796,34414,317823,15829502,376073,7805
85,9,2,first,72,10000,2,6254,53178,504488,25149940,598047,11322,34209,315313,15741988,373542,7137
85,7,6,second,72,10000,88,6272,53033,504488,25149940,598771,11249,34130,316388,15804556,375729,7066
85,9,2,first,73,10000,-56,6200,53296,503186,25020690,595996,11836,34057,311782,15526340,369006,7553
85,7,6,second,73,10000,-61,6195,52817,503186,25020690,596389,11458,33520,311819,15541240,369819,7123
85,9,2,first,74,10000,31,6163,53102,503800,25081874,597340,11241,33597,310751,15516436,368674,6922
85,7,6,second,74,10000,-19,6301,53057,503800,25081874,597248,11506,34405,317493,15841600,376574,7384
85,9,2,first,75,10000,22,6276,53039,503893,25091820,597448,11415,34291,316481,15803724,375595,7253
85,7,6,second,75,10000,13,6303,53198,503893,25091820,597127,11507,34279,317718,15859028,376793,7170
85,9,2,first,76,10000,-69,6275,52957,504359,25133776,598500,11552,34129,316135,15767436,374786,7422
85,7,6,second,76,10000,22,6236,52813,504359,25133776,598416,11019,33851,314750,15728690,373657,6615
85,9,2,first,77,10000,-22,6270,53417,503469,25047124,596162,11759,34491,315641,15733754,373843,7615
85,7,6,second,77,10000,-2,6328,53087,503469,25047124,595985,11833,34499,318699,15893114,377480,7623
85,9,2,first,78,10000,73,6249,52987,504586,25158556,599062,11264,33893,315347,15756660,374626,7140
85,7,6,second,78,10000,141,6203,52712,504586,25158556,599467,10479,33612,313096,15647574,372431,6399
85,9,2,first,79,10000,36,6226,53084,503820,25083592,597094,11332,33855,313741,15655690,371911,6993
85,7,6,second,79,10000,-49,6265,53351,503820,25083592,597134,11594,34262,315739,15755740,374543,7223
85,9,2,first,80,10000,73,6205,52913,504376,25142922,598863,11028,33759,313235,15663538,372605,6656
85,7,6,second,80,10000,28,6340,53112,504376,25142922,598390,11148,34649,319883,15982470,379687,7001
85,9,2,first,81,10000,154,6346,53096,504416,25145584,598761,11036,34605,320378,16017632,380769,6809
85,7,6,second,81,10000,16,6236,52931,504416,25145584,598931,11013,33938,314700,15728480,374084,6842
85,9,2,first,82,10000,-23,6223,53512,503735,25083046,596878,11611,34356,313580,15654302,371953,7235
85,7,6,second,82,10000,27,6327,53202,503735,25083046,597354,11349,34666,318555,15888014,377752,7383
85,9,2,first,83,10000,-84,6270,53251,503934,25096306,597493,11643,34294,315950,15767124,374449,7360
85,7,6,second,83,10000,-7,6257,53293,503934,25096306,597130,11384,34371,315388,15744724,373817,7208
85,9,2,first,84,10000,-72,6276,52694,503600,25057150,596534,11416,33974,315951,15745498,374122,7244
85,7,6,second,84,10000,-44,6242,53037,503600,25057150,596947,11599,34105,314384,15675388,372520,7411
85,9,2,first,85,10000,101,6235,52907,504170,25119168,598662,11088,34007,314384,15697852,373478,7036
85,7,6,second,85,10000,83,6293,53116,504170,25119168,597887,11335,34253,317355,15847170,376557,6948
85,9,2,first,86,10000,23,6327,53063,503772,25082168,597295,11120,34435,318992,15927778,378566,7052
85,7,6,second,86,10000,70,6264,53146,503772,25082168,597173,11348,34285,315840,15772682,374698,7011
85,9,2,first,87,10000,56,6244,52792,504923,25194598,600322,10936,33818,315183,15755488,374797,6748
85,7,6,second,87,10000,147,6317,53015,504923,25194598,599983,10768,34276,319181,15969488,379676,6641
85,9,2,first,88,10000,-73,6323,52898,503493,25054106,596591,11717,34362,318015,15840220,376684,7555
85,7,6,second,88,10000,54,6320,53233,503493,25054106,596498,11507,34675,318063,15850734,376628,7393
85,9,2,first,89,10000,128,6244,52985,504358,25139240,598754,10899,34098,315060,15744110,374281,6722
85,7,6,second,89,10000,-6,6312,53195,504358,25139240,598520,11229,34463,318284,15894476,377933,7149
85,9,2,first,90,10000,-6,6252,52879,504250,25129906,598058,11329,34034,315282,15745730,373811,7226
85,7,6,second,90,10000,-106,6334,53221,504250,25129906,598295,11357,34556,319227,15932500,378547,7360
85,9,2,first,91,10000,-13,6249,53189,503538,25057786,596419,11808,34236,314321,15657562,372101,7571
85,7,6,second,91,10000,-97,6241,53087,503538,25057786,596879,11862,34200,313865,15633216,371703,7697
85,9,2,first,92,10000,-87,6293,53176,503402,25045528,596324,11845,34467,316666,15780646,375010,7532
85,7,6,second,92,10000,-98,6248,53249,503402,25045528,596310,11755,34226,314211,15651460,372024,7588
85,9,2,first,93,10000,-38,6234,53224,503851,25088458,597455,11648,34208,313989,15661650,372237,7448
85,7,6,second,93,10000,-39,6253,53129,503851,25088458,597110,11270,34026,315150,15731242,373766,6915
85,9,2,first,94,10000,7,6205,53451,503299,25035900,596067,11910,34290,312206,15559324,369532,7683
85,7,6,second,94,10000,-81,6249,52999,503299,25035900,596476,11452,34102,314259,15653556,372306,7267
85,9,2,first,95,10000,34,6272,53252,503888,25090428,596878,11784,34311,316143,15778468,374770,7383
85,7,6,second,95,10000,47,6283,53180,503888,25090428,597293,11465,34259,316724,15809978,375790,7220
85,9,2,first,96,10000,-24,6328,53408,503215,25025456,595870,11830,34718,318535,15879464,377199,7548
85,7,6,second,96,10000,-129,6225,52969,503215,25025456,595411,11678,34044,312898,15576588,369886,7565
85,9,2,first,97,10000,158,6260,53088,504314,25134792,598009,10952,34134,315792,15775320,374794,6750
85,7,6,second,97,10000,28,6198,53084,504314,25134792,598432,11152,33897,312602,15613834,370940,7053
85,9,2,first,98,10000,-56,6206,53243,503180,25019496,595529,12193,34099,312232,15556896,369608,7709
85,7,6,second,98,10000,63,6235,53241,503180,25019496,596112,11744,33980,313716,15630894,371895,7235
85,9,2,first,99,10000,-13,6241,53521,503738,25080112,597161,11704,34339,314234,15672808,372668,7340
85,7,6,second,99,10000,32,6324,53094,503738,25080112,596837,11546,34452,318513,15889192,377413,7378
