n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D
145,12,1,first,0,500,95,357,375,2,16,16,2,900,700,900,-700,900,700,567.124851367419738407,195.881093935790725327,567.124851367419738407,195.881093935790725327,0,0,-50,-150
145,12,1,first,0,500,96,375,389,3,27,27,3,1470,1176,1470,-1176,1470,1176,926.303923900118906064,319.939120095124851367,833.673531510107015458,287.945208085612366231,46.3151961950059453032,15.9969560047562425684,147,147
145,12,1,first,0,500,97,405,413,2,29,29,2,1488,1296,1488,-1296,1488,1296,1134.24970273483947681,391.762187871581450654,952.769750297265160523,329.080237812128418549,90.7399762187871581451,31.3409750297265160523,-144,-144
145,12,1,first,0,500,98,436,440,0,15,15,0,705,705,705,-705,705,705,399.823020214030915577,138.096171224732461356,399.823020214030915577,138.096171224732461356,0,0,0,0
145,12,1,first,0,500,99,451,455,1,9,9,1,460,368,460,-368,460,368,173.918287752675386445,60.0702021403091557669,86.9591438763376932224,30.0351010701545778835,43.4795719381688466112,15.0175505350772889417,-138,-46
145,12,1,first,0,500,100,461,463,1,6,6,1,315,225,315,-225,315,225,297.740546967895362663,102.837574316290130797,212.671819262782401902,73.4554102259215219976,42.5343638525564803805,14.6910820451843043995,0,0
145,12,1,first,0,500,101,468,468,0,5,5,0,220,220,220,-220,220,220,207.945778834720570749,71.8230677764565992866,207.945778834720570749,71.8230677764565992866,0,0,88,88
145,12,1,first,0,500,102,473,473,0,9,9,0,387,387,387,-387,387,387,284.507633769322235434,98.2670154577883472057,284.507633769322235434,98.2670154577883472057,0,0,0,0
145,12,1,first,0,500,103,482,482,0,2,2,0,84,84,84,-84,84,84,79.3974791914387633769,27.4233531510107015458,79.3974791914387633769,27.4233531510107015458,0,0,-42,-42
145,12,1,first,0,500,104,484,484,0,6,6,0,246,246,246,-246,246,246,155.014126040428061831,53.5408323424494649227,155.014126040428061831,53.5408323424494649227,0,0,-82,-82
145,12,1,first,0,500,105,490,490,0,3,3,0,120,120,120,-120,120,120,113.424970273483947681,39.1762187871581450654,113.424970273483947681,39.1762187871581450654,0,0,0,0
145,12,1,first,0,500,106,493,493,0,1,1,0,39,39,39,-39,39,39,36.8631153388822829964,12.7322711058263971463,36.8631153388822829964,12.7322711058263971463,0,0,0,0
145,12,1,first,0,500,107,494,494,0,2,2,0,76,76,76,-76,76,76,71.8358145065398335315,24.8116052318668252081,71.8358145065398335315,24.8116052318668252081,0,0,-38,-38
145,12,1,first,0,500,108,496,496,0,1,1,0,37,37,37,-37,37,37,34.9726991676575505351,12.0793341260404280618,34.9726991676575505351,12.0793341260404280618,0,0,37,37
145,12,1,first,0,500,109,497,497,0,2,2,0,72,72,72,-72,72,72,68.0549821640903686088,23.5057312722948870392,68.0549821640903686088,23.5057312722948870392,0,0,0,0
145,12,1,first,0,500,110,499,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,111,499,499,0,1,1,0,34,34,34,-34,34,34,32.137074910820451843,11.0999286563614744352,32.137074910820451843,11.0999286563614744352,0,0,-34,-34
145,12,1,first,0,500,112,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,113,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,114,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,115,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,116,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,117,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,118,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,119,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,120,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,121,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,122,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
