n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D
65,8,1,first,0,1000,46,887,897,4,37,37,4,779,627,779,-627,779,627,617.808047337278106509,335.443313609467455621,551.017988165680473373,299.179171597633136095,33.395029585798816568,18.1320710059171597633,-19,-19
65,8,1,first,0,1000,47,928,930,1,29,29,1,540,504,540,-504,540,504,348.01136094674556213,188.955266272189349112,316.373964497041420118,171.777514792899408284,15.8186982248520710059,8.5888757396449704142,36,36
65,8,1,first,0,1000,48,958,958,0,16,16,0,272,272,272,-272,272,272,239.038106508875739645,129.787455621301775148,239.038106508875739645,129.787455621301775148,0,0,-85,-85
65,8,1,first,0,1000,49,974,974,0,14,14,0,224,224,224,-224,224,224,196.854911242603550296,106.88378698224852071,196.854911242603550296,106.88378698224852071,0,0,-16,-16
65,8,1,first,0,1000,50,988,988,0,5,5,0,75,75,75,-75,75,75,65.911242603550295858,35.7869822485207100592,65.911242603550295858,35.7869822485207100592,0,0,15,15
65,8,1,first,0,1000,51,993,993,0,2,2,0,28,28,28,-28,28,28,24.606863905325443787,13.3604733727810650888,24.606863905325443787,13.3604733727810650888,0,0,0,0
65,8,1,first,0,1000,52,995,995,0,4,4,0,52,52,52,-52,52,52,45.6984615384615384615,24.8123076923076923077,45.6984615384615384615,24.8123076923076923077,0,0,-39,-39
65,8,1,first,0,1000,53,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,54,999,999,0,1,1,0,11,11,11,-11,11,11,9.66698224852071005917,5.24875739644970414201,9.66698224852071005917,5.24875739644970414201,0,0,0,0
65,8,1,first,0,1000,55,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,56,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,57,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,58,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,59,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,60,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,61,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,62,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,63,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,64,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,0,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,1,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,2,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,3,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,4,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,5,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,6,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,7,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,8,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,9,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,10,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,11,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,12,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,13,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,14,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,15,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,16,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,17,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,18,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,19,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,20,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,1000,21,-1000,1000,1,0,0,1,44,-44,44,44,44,-44,-21.3178698224852071006,38.4908875739644970414,21.3178698224852071006,-38.4908875739644970414,-21.3178698224852071006,38.4908875739644970414,0,0
65,7,4,second,0,1000,22,-999,999,1,0,0,1,43,-43,43,43,43,-43,-20.8333727810650887574,37.6160946745562130178,20.8333727810650887574,-37.6160946745562130178,-20.8333727810650887574,37.6160946745562130178,43,-43
65,7,4,second,0,1000,23,-998,998,2,0,0,2,84,-84,84,84,84,-84,-40.6977514792899408284,73.4826035502958579882,40.6977514792899408284,-73.4826035502958579882,-40.6977514792899408284,73.4826035502958579882,0,0
65,7,4,second,0,1000,24,-996,996,4,0,0,4,164,-164,164,164,164,-164,-39.728757396449704142,71.7330177514792899408,39.728757396449704142,-71.7330177514792899408,-39.728757396449704142,71.7330177514792899408,123,-123
65,7,4,second,0,1000,25,-992,992,6,0,0,6,240,-240,240,240,240,-240,-116.279289940828402367,209.95029585798816568,116.279289940828402367,-209.95029585798816568,-116.279289940828402367,209.95029585798816568,-40,40
65,7,4,second,0,1000,26,-986,986,10,0,0,10,390,-390,390,390,390,-390,-188.953846153846153846,341.169230769230769231,188.953846153846153846,-341.169230769230769231,-188.953846153846153846,341.169230769230769231,-78,78
65,7,4,second,0,1000,27,-976,976,19,0,0,19,722,-722,722,722,722,-722,-349.806863905325443787,631.600473372781065089,349.806863905325443787,-631.600473372781065089,-349.806863905325443787,631.600473372781065089,0,0
65,7,4,second,0,1000,28,-957,957,21,0,0,21,777,-777,777,777,777,-777,-340.601420118343195266,614.979408284023668639,340.601420118343195266,-614.979408284023668639,-340.601420118343195266,614.979408284023668639,-74,74
65,7,4,second,0,1000,29,-936,936,35,0,0,35,1260,-1260,1260,1260,1260,-1260,-470.931124260355029586,850.298698224852071006,470.931124260355029586,-850.298698224852071006,-470.931124260355029586,850.298698224852071006,-36,36
65,7,4,second,0,1000,30,-901,901,39,4,4,39,1505,-1225,1505,1225,1505,-1225,-593.508875739644970414,1071.62130177514792899,525.679289940828402367,-949.15029585798816568,-559.594082840236686391,1010.38579881656804734,105,35
65,7,4,second,0,1000,31,-858,866,48,1,1,48,1666,-1598,1666,1598,1666,-1598,-642.443076923076923077,1159.97538461538461538,675.388875739644970414,-1219.46130177514792899,-658.915976331360946746,1189.71834319526627219,136,-136
