batch,first_replica,samples,defined,sum_Rminus,sum_Rminus2,sum_Rplus,sum_Rplus2,nonzero_Rminus,typed_defined_mismatch,typed_Rminus_residual_max,typed_Rplus_sum_max,typed_support_mismatch,fixed_support_order_null_failures,o0_samples,o0_defined,o0_sum_Rminus,o0_sum_Rplus,o1_samples,o1_defined,o1_sum_Rminus,o1_sum_Rplus,o2_samples,o2_defined,o2_sum_Rminus,o2_sum_Rplus,o3_samples,o3_defined,o3_sum_Rminus,o3_sum_Rplus,o4_samples,o4_defined,o4_sum_Rminus,o4_sum_Rplus,o5_samples,o5_defined,o5_sum_Rminus,o5_sum_Rplus,o6_samples,o6_defined,o6_sum_Rminus,o6_sum_Rplus,o7_samples,o7_defined,o7_sum_Rminus,o7_sum_Rplus,hist_Rminus_-2,hist_Rminus_-1,hist_Rminus_0,hist_Rminus_1,hist_Rminus_2
21,10260010500,500,14,23,41,-1,9,14,0,0,0,0,0,62,1,2,0,62,2,3,-2,62,3,6,0,62,1,1,0,63,1,2,0,63,1,1,0,63,1,1,-1,63,4,7,2,0,0,0,5,9
22,10260011000,500,25,46,88,-1,11,25,0,0,0,0,0,63,4,7,-3,63,1,2,0,63,6,12,0,63,2,4,0,62,4,7,2,62,3,5,1,62,3,5,-1,62,2,4,0,0,0,0,4,21
23,10260011500,500,10,20,40,0,0,10,0,0,0,0,0,62,0,0,0,62,4,8,0,62,0,0,0,62,0,0,0,63,1,2,0,63,2,4,0,63,2,4,0,63,1,2,0,0,0,0,0,10
24,10260012000,500,15,29,57,3,7,15,0,0,0,0,0,63,3,6,-1,63,1,2,0,63,3,6,0,63,3,6,0,62,1,2,0,62,1,2,1,62,1,2,0,62,2,3,3,0,0,0,1,14
25,10260012500,500,20,37,71,-3,7,20,0,0,0,0,0,62,4,8,0,62,0,0,0,62,5,9,-2,62,0,0,0,63,2,4,0,63,3,5,-1,63,4,8,0,63,2,3,0,0,0,0,3,17
26,10260013000,500,18,30,54,0,16,18,0,0,0,0,0,63,2,4,0,63,2,4,0,63,2,3,-2,63,4,8,0,62,3,5,1,62,4,4,0,62,0,0,0,62,1,2,1,0,0,0,6,12
27,10260013500,500,20,36,68,2,10,20,0,0,0,0,0,62,3,5,-1,62,5,8,2,62,2,4,0,62,2,4,0,63,2,4,0,63,2,3,1,63,2,4,0,63,2,4,0,0,0,0,4,16
28,10260014000,500,12,21,39,-1,3,12,0,0,0,0,0,63,1,2,0,63,2,4,0,63,1,1,-1,63,2,4,0,62,1,2,0,62,3,5,-1,62,1,1,0,62,1,2,1,0,0,0,3,9
29,10260014500,500,18,34,66,0,10,18,0,0,0,0,0,62,2,3,-2,62,0,0,0,62,4,8,1,62,3,6,-1,63,3,6,0,63,3,5,2,63,0,0,0,63,3,6,0,0,0,0,2,16
30,10260015000,500,21,40,78,-3,3,21,0,0,0,0,0,63,2,4,0,63,5,9,-1,63,1,2,0,63,3,6,0,62,1,1,0,62,4,8,-1,62,1,2,0,62,4,8,-1,0,0,0,2,19
31,10260015500,500,19,32,58,-3,11,19,0,0,0,0,0,62,2,2,-1,62,6,11,0,62,0,0,0,62,2,3,1,63,2,3,-1,63,1,2,0,63,3,6,0,63,3,5,-2,0,0,0,6,13
32,10260016000,500,17,30,56,-5,7,17,0,0,0,0,0,63,1,2,0,63,0,0,0,63,4,6,-2,63,3,6,0,62,2,3,0,62,3,5,-3,62,2,4,0,62,2,4,0,0,0,0,4,13
33,10260016500,500,17,33,65,-3,3,17,0,0,0,0,0,62,1,2,0,62,5,10,0,62,1,2,0,62,2,4,0,63,2,4,-1,63,3,6,0,63,2,4,-1,63,1,1,-1,0,0,0,1,16
34,10260017000,500,12,22,42,0,2,12,0,0,0,0,0,63,1,2,0,63,1,2,0,63,3,6,0,63,1,2,0,62,3,5,-1,62,1,2,0,62,1,1,1,62,1,2,0,0,0,0,2,10
35,10260017500,500,14,26,50,-2,4,14,0,0,0,0,0,62,1,1,-1,62,3,6,0,62,1,2,0,62,0,0,0,63,0,0,0,63,3,6,0,63,0,0,0,63,6,11,-1,0,0,0,2,12
36,10260018000,500,20,38,74,-5,7,20,0,0,0,0,0,63,4,8,-1,63,1,2,0,63,1,2,0,63,3,6,0,62,4,8,-1,62,2,4,0,62,3,5,-1,62,2,3,-2,0,0,0,2,18
37,10260018500,500,21,39,75,0,8,21,0,0,0,0,0,62,1,2,0,62,5,9,-1,62,4,8,0,62,0,0,0,63,2,4,0,63,2,4,0,63,6,11,-1,63,1,1,2,0,0,0,3,18
38,10260019000,500,11,20,38,0,4,11,0,0,0,0,0,63,2,4,-1,63,3,6,0,63,2,4,0,63,1,1,-1,62,1,2,1,62,0,0,0,62,0,0,0,62,2,3,1,0,0,0,2,9
39,10260019500,500,25,45,85,0,8,25,0,0,0,0,0,62,1,2,-1,62,2,2,2,62,5,9,-1,62,4,8,1,63,4,7,0,63,1,2,0,63,4,8,0,63,4,7,-1,0,0,0,5,20
