n,g,k,q,e,s,qs,es,count01,count02,count12,s_previous01,s_previous02,s_previous12
85,0,49,-196,502,4962,-1030,2494,77,0,50,359,0,244
85,0,50,-77,487,4819,-419,2323,65,2,50,309,7,216
85,0,51,77,495,4722,338,2334,73,0,81,332,0,387
85,0,52,208,528,4662,948,2446,48,1,81,213,4,348
85,0,53,335,555,4691,1558,2586,50,0,77,224,0,327
85,0,54,455,607,4761,2181,2885,33,1,85,148,3,367
85,0,55,570,662,4860,2797,3249,30,0,85,124,0,385
85,0,56,657,719,4988,3337,3623,15,0,72,71,0,334
85,0,57,742,782,5135,3859,4051,11,0,74,47,0,343
85,0,58,802,830,5325,4327,4457,6,0,54,28,0,265
85,0,59,854,874,5565,4812,4900,4,0,48,20,0,234
85,0,60,890,900,5822,5255,5305,5,0,31,19,0,166
85,0,61,924,930,6088,5697,5725,2,0,32,10,0,172
85,0,62,950,954,6323,6047,6065,1,0,25,4,0,111
85,0,63,965,967,6584,6393,6401,1,0,14,4,0,82
85,0,64,978,980,6809,6693,6699,0,0,13,0,0,71
85,0,65,986,986,7022,6945,6945,0,1,6,0,3,29
85,0,66,990,990,7239,7183,7183,0,0,4,0,0,19
85,0,67,994,994,7377,7344,7344,0,0,4,0,0,22
85,0,68,997,997,7468,7454,7454,0,0,3,0,0,19
85,0,69,997,997,7549,7533,7533,0,0,0,0,0,0
85,0,70,998,998,7626,7615,7615,0,0,1,0,0,4
85,0,71,1000,1000,7588,7588,7588,0,0,2,0,0,11
85,0,72,1000,1000,7553,7553,7553,0,0,0,0,0,0
85,0,73,1000,1000,7456,7456,7456,0,0,0,0,0,0
85,0,74,1000,1000,7355,7355,7355,0,0,0,0,0,0
85,0,75,1000,1000,7157,7157,7157,0,0,0,0,0,0
85,0,76,1000,1000,6889,6889,6889,0,0,0,0,0,0
85,0,77,1000,1000,6548,6548,6548,0,0,0,0,0,0
85,0,78,1000,1000,6138,6138,6138,0,0,0,0,0,0
85,0,79,1000,1000,5643,5643,5643,0,0,0,0,0,0
85,0,80,1000,1000,5090,5090,5090,0,0,0,0,0,0
85,0,81,1000,1000,4455,4455,4455,0,0,0,0,0,0
85,0,82,1000,1000,3721,3721,3721,0,0,0,0,0,0
85,0,83,1000,1000,2893,2893,2893,0,0,0,0,0,0
85,0,84,1000,1000,2000,2000,2000,0,0,0,0,0,0
85,0,85,1000,1000,1000,1000,1000,0,0,0,0,0,0
85,1,0,-1000,1000,1000,-1000,1000,0,0,0,0,0,0
85,1,1,-1000,1000,2000,-2000,2000,0,0,0,0,0,0
85,1,2,-1000,1000,2954,-2954,2954,0,0,0,0,0,0
85,1,3,-1000,1000,3849,-3849,3849,0,0,0,0,0,0
85,1,4,-1000,1000,4707,-4707,4707,0,0,0,0,0,0
85,1,5,-1000,1000,5510,-5510,5510,0,0,0,0,0,0
85,1,6,-1000,1000,6291,-6291,6291,0,0,0,0,0,0
85,1,7,-1000,1000,7010,-7010,7010,0,0,0,0,0,0
85,1,8,-1000,1000,7728,-7728,7728,0,0,0,0,0,0
85,1,9,-1000,1000,8328,-8328,8328,0,0,0,0,0,0
85,1,10,-1000,1000,8886,-8886,8886,0,0,0,0,0,0
85,1,11,-1000,1000,9407,-9407,9407,0,0,0,0,0,0
85,1,12,-1000,1000,9906,-9906,9906,0,0,0,0,0,0
85,1,13,-1000,1000,10329,-10329,10329,0,0,0,0,0,0
85,1,14,-1000,1000,10705,-10705,10705,0,0,0,0,0,0
85,1,15,-1000,1000,11046,-11046,11046,0,0,0,0,0,0
85,1,16,-1000,1000,11340,-11340,11340,0,0,0,0,0,0
85,1,17,-1000,1000,11600,-11600,11600,0,0,0,0,0,0
85,1,18,-1000,1000,11830,-11830,11830,0,0,0,0,0,0
85,1,19,-1000,1000,12020,-12020,12020,0,0,0,0,0,0
85,1,20,-1000,1000,12166,-12166,12166,0,0,0,0,0,0
85,1,21,-1000,1000,12242,-12242,12242,0,0,0,0,0,0
85,1,22,-1000,1000,12301,-12301,12301,0,0,0,0,0,0
85,1,23,-1000,1000,12274,-12274,12274,0,0,0,0,0,0
85,1,24,-999,999,12292,-12284,12284,1,0,0,8,0,0
85,1,25,-999,999,12223,-12214,12214,0,0,0,0,0,0
85,1,26,-999,999,12109,-12099,12099,0,0,0,0,0,0
85,1,27,-999,999,11978,-11968,11968,0,0,0,0,0,0
85,1,28,-999,999,11839,-11829,11829,0,0,0,0,0,0
85,1,29,-999,999,11649,-11639,11639,0,0,0,0,0,0
85,1,30,-998,998,11411,-11392,11392,1,0,0,9,0,0
85,1,31,-998,998,11169,-11148,11148,0,0,0,0,0,0
85,1,32,-997,997,10858,-10827,10827,1,0,0,11,0,0
85,1,33,-996,996,10555,-10517,10517,1,0,0,7,0,0
85,1,34,-994,994,10205,-10154,10154,2,0,0,14,0,0
85,1,35,-992,992,9860,-9789,9789,2,0,0,21,0,0
85,1,36,-981,981,9455,-9293,9293,11,0,0,96,0,0
85,1,37,-977,977,9064,-8882,8882,4,0,0,28,0,0
85,1,38,-962,964,8692,-8393,8403,14,0,1,113,0,5
85,1,39,-941,943,8296,-7855,7865,21,0,0,145,0,0
85,1,40,-914,920,7890,-7287,7319,25,0,2,166,0,12
85,1,41,-871,879,7506,-6628,6684,42,0,1,284,0,9
85,1,42,-832,846,7117,-6045,6125,36,0,3,226,0,15
85,1,43,-789,809,6701,-5435,5539,39,1,2,227,4,8
85,1,44,-717,755,6324,-4684,4886,63,0,9,380,0,50
85,1,45,-638,700,5988,-3980,4304,67,0,12,369,0,58
85,1,46,-542,660,5678,-3224,3828,67,1,27,380,7,138
85,1,47,-447,617,5411,-2578,3424,69,0,26,355,0,125
85,1,48,-308,550,5168,-1746,2926,102,1,35,515,2,170
85,1,49,-202,522,4955,-1133,2653,67,0,39,305,0,182
85,1,50,-66,532,4775,-417,2571,63,0,73,290,0,322
85,1,51,69,525,4690,276,2474,69,2,62,327,11,269
85,1,52,185,555,4695,858,2594,43,0,73,197,0,316
85,1,53,302,570,4708,1466,2658,51,0,66,235,0,297
85,1,54,433,611,4740,2134,2910,42,3,83,181,12,378
85,1,55,545,671,4841,2744,3284,26,0,86,105,0,382
85,1,56,644,720,4982,3320,3648,24,1,73,97,4,331
85,1,57,726,768,5149,3865,4037,17,0,65,71,0,299
85,1,58,794,814,5335,4366,4454,10,1,56,37,3,268
85,1,59,846,852,5553,4823,4851,7,0,45,30,0,211
85,1,60,893,895,5808,5278,5290,2,0,45,9,0,206
85,1,61,925,927,6037,5643,5655,0,0,32,0,0,148
85,1,62,949,951,6277,5999,6009,0,0,24,0,0,124
85,1,63,963,963,6536,6325,6325,1,0,13,5,0,64
85,1,64,970,970,6778,6605,6605,0,0,7,0,0,40
85,1,65,983,983,6969,6869,6869,0,0,13,0,0,74
85,1,66,994,994,7152,7117,7117,0,0,11,0,0,68
85,1,67,996,996,7297,7272,7272,0,0,2,0,0,11
85,1,68,999,999,7418,7411,7411,0,0,3,0,0,19
85,1,69,1000,1000,7514,7514,7514,0,0,1,0,0,7
85,1,70,1000,1000,7561,7561,7561,0,0,0,0,0,0
85,1,71,1000,1000,7573,7573,7573,0,0,0,0,0,0
85,1,72,1000,1000,7575,7575,7575,0,0,0,0,0,0
85,1,73,1000,1000,7526,7526,7526,0,0,0,0,0,0
85,1,74,1000,1000,7432,7432,7432,0,0,0,0,0,0
85,1,75,1000,1000,7194,7194,7194,0,0,0,0,0,0
85,1,76,1000,1000,6911,6911,6911,0,0,0,0,0,0
85,1,77,1000,1000,6594,6594,6594,0,0,0,0,0,0
85,1,78,1000,1000,6155,6155,6155,0,0,0,0,0,0
85,1,79,1000,1000,5641,5641,5641,0,0,0,0,0,0
85,1,80,1000,1000,5084,5084,5084,0,0,0,0,0,0
85,1,81,1000,1000,4418,4418,4418,0,0,0,0,0,0
85,1,82,1000,1000,3682,3682,3682,0,0,0,0,0,0
85,1,83,1000,1000,2886,2886,2886,0,0,0,0,0,0
85,1,84,1000,1000,2000,2000,2000,0,0,0,0,0,0
85,1,85,1000,1000,1000,1000,1000,0,0,0,0,0,0
