lineage,role,design,seed_block,batch,samples,rank0,l0,l1,l2,rank1_other,rank2,invariant_failure
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,86,10000,3149,1146,1320,1242,39,3104,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,87,10000,3095,1209,1248,1242,30,3176,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,88,10000,3162,1171,1233,1256,45,3133,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,89,10000,3079,1200,1319,1266,29,3107,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,90,10000,3038,1218,1272,1305,36,3131,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,91,10000,3179,1143,1243,1308,37,3090,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,92,10000,3050,1238,1274,1276,33,3129,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,93,10000,3200,1151,1258,1252,40,3099,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,94,10000,3141,1207,1223,1259,35,3135,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,95,10000,3183,1143,1225,1283,29,3137,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,96,10000,3144,1183,1289,1228,39,3117,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,97,10000,3143,1217,1274,1283,52,3031,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,98,10000,3223,1107,1262,1275,39,3094,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,99,10000,3126,1250,1279,1293,29,3023,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,100,10000,3085,1166,1266,1227,47,3209,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,101,10000,3175,1115,1259,1286,39,3126,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,102,10000,3134,1189,1246,1262,50,3119,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,103,10000,3138,1186,1230,1234,27,3185,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,104,10000,3147,1197,1283,1234,36,3103,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,105,10000,3106,1165,1246,1280,38,3165,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,106,10000,3049,1205,1341,1195,31,3179,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,107,10000,3137,1112,1216,1277,39,3219,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,108,10000,3174,1215,1194,1242,43,3132,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,109,10000,3072,1178,1279,1256,49,3166,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,110,10000,3103,1203,1362,1249,40,3043,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,111,10000,3144,1158,1306,1255,38,3099,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,112,10000,3073,1164,1252,1232,37,3242,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,113,10000,3099,1197,1235,1277,48,3144,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,114,10000,3126,1214,1302,1273,39,3046,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,115,10000,3197,1233,1207,1228,37,3098,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,116,10000,3117,1194,1261,1212,30,3186,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,117,10000,3065,1199,1247,1209,32,3248,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,118,10000,3068,1264,1200,1228,46,3194,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,119,10000,3097,1156,1254,1247,31,3215,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,120,10000,3115,1244,1237,1301,29,3074,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,121,10000,3153,1155,1256,1238,37,3161,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,122,10000,3172,1186,1249,1266,27,3100,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,123,10000,3129,1206,1266,1264,29,3106,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,124,10000,3187,1215,1242,1250,34,3072,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,125,10000,3113,1205,1245,1250,34,3153,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,126,10000,3142,1123,1263,1288,39,3145,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,127,10000,3168,1149,1229,1290,41,3123,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,128,10000,3188,1184,1216,1274,27,3111,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,129,10000,3107,1159,1266,1245,35,3188,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,130,10000,3158,1151,1284,1194,46,3167,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,131,10000,3151,1190,1211,1274,41,3133,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,132,10000,3183,1191,1244,1268,25,3089,0
