k,g,q,bad2,n_bad3,count
19,17,0,0,0,2075
19,17,0,1,1,2075
19,18,1,1,1,51150
19,19,0,0,0,1250
19,19,0,1,1,1250
19,20,1,1,1,51200
19,21,0,0,0,1875
19,21,0,1,1,1875
19,22,1,1,1,24200
19,24,1,1,1,5900
20,10,1,1,1,200
20,12,1,1,1,1700
20,13,0,0,0,150
20,13,0,1,1,150
20,14,1,1,1,8550
20,15,0,0,0,50
20,15,0,1,1,50
20,16,1,1,1,18675
20,17,0,0,0,375
20,17,0,1,1,375
20,18,1,1,1,16400
20,20,1,1,1,6455
21,8,1,1,1,25
21,10,1,1,1,450
21,12,1,1,1,2875
21,13,0,0,0,25
21,13,0,1,1,25
21,14,1,1,1,5425
21,16,1,1,1,3825
22,8,1,1,1,150
22,10,1,1,1,850
22,12,1,1,1,1300
23,6,1,1,1,50
23,8,1,1,1,250
24,4,1,1,1,25
25,0,1,1,1,1
