batch,replica,hand,residue,translation,fiber,orientation,anchor_D_field,anchor_J_field,landing_field,L_D,L_J,L_DJ,L_JD,R_plus,R_minus,dual_reason,D0_site_field,D0_source_id,D0_target_id,D0_source_rank,D0_target_rank,D0_source_basis,D0_target_basis,dual_D0_site_field,dual_D0_source_id,dual_D0_target_id,dual_D0_source_rank,dual_D0_target_rank,dual_D0_source_basis,dual_D0_target_basis,J0_site_field,J0_source_id,J0_target_id,J0_source_rank,J0_target_rank,J0_source_basis,J0_target_basis,dual_J0_site_field,dual_J0_source_id,dual_J0_target_id,dual_J0_source_rank,dual_J0_target_rank,dual_J0_source_basis,dual_J0_target_basis,J_after_D_site_field,J_after_D_source_id,J_after_D_target_id,J_after_D_source_rank,J_after_D_target_rank,J_after_D_source_basis,J_after_D_target_basis,dual_J_after_D_site_field,dual_J_after_D_source_id,dual_J_after_D_target_id,dual_J_after_D_source_rank,dual_J_after_D_target_rank,dual_J_after_D_source_basis,dual_J_after_D_target_basis,D_after_J_site_field,D_after_J_source_id,D_after_J_target_id,D_after_J_source_rank,D_after_J_target_rank,D_after_J_source_basis,D_after_J_target_basis,dual_D_after_J_site_field,dual_D_after_J_source_id,dual_D_after_J_target_id,dual_D_after_J_source_rank,dual_D_after_J_target_rank,dual_D_after_J_source_basis,dual_D_after_J_target_basis
6,25050506344,minus,21,29,0,0,145,202,185,-1,1,1,-1,0,2,defined,185,114,1,1,1,"((0, 1),)","((0, 1),)",190,1,114,1,1,"((0, 1),)","((0, 1),)",190,1,114,1,1,"((0, 1),)","((0, 1),)",185,114,1,1,1,"((0, 1),)","((0, 1),)",185,1,114,1,1,"((0, 1),)","((0, 1),)",185,114,1,1,1,"((0, 1),)","((0, 1),)",185,114,1,1,1,"((0, 1),)","((0, 1),)",185,1,114,1,1,"((0, 1),)","((0, 1),)"
6,25050506354,minus,46,59,2,2,297,242,72,-1,1,1,-1,0,2,defined,72,70,8,1,1,"((0, 1),)","((0, 1),)",77,8,70,1,1,"((0, 1),)","((0, 1),)",77,8,70,1,1,"((0, 1),)","((0, 1),)",72,70,8,1,1,"((0, 1),)","((0, 1),)",72,8,70,1,1,"((0, 1),)","((0, 1),)",72,70,8,1,1,"((0, 1),)","((0, 1),)",72,70,8,1,1,"((0, 1),)","((0, 1),)",72,8,70,1,1,"((0, 1),)","((0, 1),)"
6,25050506391,plus,31,35,3,3,178,223,213,0,1,0,-1,2,1,defined,113,8,16,1,1,"((0, 1),)","((0, 1),)",163,16,8,1,1,"((0, 1),)","((0, 1),)",163,16,8,1,1,"((0, 1),)","((0, 1),)",113,8,16,1,1,"((0, 1),)","((0, 1),)",168,16,8,1,1,"((0, 1),)","((0, 1),)",213,8,16,1,1,"((0, 1),)","((0, 1),)",213,8,16,1,1,"((0, 1),)","((0, 1),)",168,16,8,1,1,"((0, 1),)","((0, 1),)"
6,25050506397,plus,56,6,0,1,30,494,305,-1,1,1,-1,0,2,defined,305,5,20,1,1,"((1, 0),)","((1, 0),)",310,20,5,1,1,"((1, 0),)","((1, 0),)",310,20,5,1,1,"((1, 0),)","((1, 0),)",305,5,20,1,1,"((1, 0),)","((1, 0),)",305,20,5,1,1,"((1, 0),)","((1, 0),)",305,5,20,1,1,"((1, 0),)","((1, 0),)",305,5,20,1,1,"((1, 0),)","((1, 0),)",305,20,5,1,1,"((1, 0),)","((1, 0),)"
6,25050506441,minus,44,64,4,1,324,279,504,-1,1,1,-1,0,2,defined,504,42,1,1,1,"((1, -1),)","((1, -1),)",48,1,42,1,1,"((1, -1),)","((1, -1),)",48,1,42,1,1,"((1, -1),)","((1, -1),)",504,42,1,1,1,"((1, -1),)","((1, -1),)",504,1,42,1,1,"((1, -1),)","((1, -1),)",504,8,1,1,1,"((1, -1),)","((1, -1),)",504,8,1,1,1,"((1, -1),)","((1, -1),)",504,1,42,1,1,"((1, -1),)","((1, -1),)"
6,25050506459,plus,49,74,2,3,372,417,297,0,1,0,-1,2,1,defined,397,1,2,1,1,"((1, -1),)","((1, -1),)",347,2,1,1,1,"((1, -1),)","((1, -1),)",347,2,1,1,1,"((1, -1),)","((1, -1),)",397,1,2,1,1,"((1, -1),)","((1, -1),)",342,2,1,1,1,"((1, -1),)","((1, -1),)",297,80,2,1,1,"((1, -1),)","((1, -1),)",297,80,2,1,1,"((1, -1),)","((1, -1),)",342,2,1,1,1,"((1, -1),)","((1, -1),)"
6,25050506490,plus,53,16,3,2,83,28,208,1,1,1,1,0,0,defined,273,0,7,1,1,"((1, 0),)","((1, 0),)",328,7,0,1,1,"((1, 0),)","((1, 0),)",328,7,0,1,1,"((1, 0),)","((1, 0),)",273,0,7,1,1,"((1, 0),)","((1, 0),)",158,7,0,1,1,"((1, 0),)","((1, 0),)",228,0,7,1,1,"((1, 0),)","((1, 0),)",228,0,7,1,1,"((1, 0),)","((1, 0),)",158,7,0,1,1,"((1, 0),)","((1, 0),)"
6,25050506510,minus,60,96,4,2,484,429,454,-1,1,1,-1,0,2,defined,454,9,1,1,1,"((1, -1),)","((1, -1),)",459,1,9,1,1,"((1, -1),)","((1, -1),)",459,1,9,1,1,"((1, -1),)","((1, -1),)",454,9,1,1,1,"((1, -1),)","((1, -1),)",454,1,9,1,1,"((1, -1),)","((1, -1),)",454,9,1,1,1,"((1, -1),)","((1, -1),)",454,9,1,1,1,"((1, -1),)","((1, -1),)",454,1,9,1,1,"((1, -1),)","((1, -1),)"
6,25050506536,plus,73,20,3,0,103,158,218,0,1,0,-1,2,1,defined,108,34,13,1,1,"((0, 1),)","((0, 1),)",113,13,34,1,1,"((0, 1),)","((0, 1),)",113,13,34,1,1,"((0, 1),)","((0, 1),)",108,34,13,1,1,"((0, 1),)","((0, 1),)",108,13,9,1,1,"((0, 1),)","((0, 1),)",218,34,13,1,1,"((0, 1),)","((0, 1),)",218,34,13,1,1,"((0, 1),)","((0, 1),)",108,13,9,1,1,"((0, 1),)","((0, 1),)"
6,25050506540,plus,45,14,1,0,71,126,301,-1,1,1,-1,0,2,defined,301,2,17,1,1,"((1, 0),)","((1, 0),)",306,17,2,1,1,"((1, 0),)","((1, 0),)",306,17,2,1,1,"((1, 0),)","((1, 0),)",301,2,17,1,1,"((1, 0),)","((1, 0),)",301,17,2,1,1,"((1, 0),)","((1, 0),)",301,2,17,1,1,"((1, 0),)","((1, 0),)",301,2,17,1,1,"((1, 0),)","((1, 0),)",301,17,2,1,1,"((1, 0),)","((1, 0),)"
6,25050506570,minus,61,12,0,2,60,5,80,-1,1,1,-1,0,2,defined,80,5,6,1,1,"((1, 0),)","((1, 0),)",75,6,5,1,1,"((1, 0),)","((1, 0),)",75,6,5,1,1,"((1, 0),)","((1, 0),)",80,5,6,1,1,"((1, 0),)","((1, 0),)",80,6,5,1,1,"((1, 0),)","((1, 0),)",80,5,6,1,1,"((1, 0),)","((1, 0),)",80,5,6,1,1,"((1, 0),)","((1, 0),)",80,6,5,1,1,"((1, 0),)","((1, 0),)"
6,25050506650,plus,65,75,2,2,377,322,92,-1,-1,-1,-1,0,0,defined,72,6,7,1,1,"((1, 0),)","((1, 0),)",77,7,6,1,1,"((1, 0),)","((1, 0),)",77,7,6,1,1,"((1, 0),)","((1, 0),)",72,6,7,1,1,"((1, 0),)","((1, 0),)",27,7,6,1,1,"((1, 0),)","((1, 0),)",87,6,7,1,1,"((1, 0),)","((1, 0),)",87,6,7,1,1,"((1, 0),)","((1, 0),)",27,7,6,1,1,"((1, 0),)","((1, 0),)"
