n,a,b,orientation,batch,samples,primal_pivotal,matching_pivotal,primal_axis,primal_diagonal,primal_both,primal_landed,primal_h4,matching_axis,matching_diagonal,matching_both,matching_landed,matching_h4
65,7,4,second,46,2000,126,116,64,32,17,79,32,53,24,11,66,29
65,8,1,first,47,2000,127,137,72,29,11,90,43,78,36,21,93,42
65,7,4,second,47,2000,107,116,56,29,17,68,27,55,23,11,67,32
65,8,1,first,48,2000,133,120,76,26,9,93,50,56,23,11,68,33
65,7,4,second,48,2000,128,143,60,31,11,80,29,68,29,16,81,39
65,8,1,first,49,2000,133,128,73,18,10,81,55,72,26,15,83,46
65,7,4,second,49,2000,114,136,54,28,13,69,26,57,35,17,75,22
65,8,1,first,50,2000,140,157,66,23,8,81,43,81,47,21,107,34
65,7,4,second,50,2000,156,138,84,31,20,95,53,78,32,18,92,46
65,8,1,first,51,2000,127,127,64,21,8,77,43,62,21,11,72,41
65,7,4,second,51,2000,138,122,67,29,15,81,38,67,22,13,76,45
65,8,1,first,52,2000,114,132,57,25,13,69,32,65,25,13,77,40
65,7,4,second,52,2000,126,145,59,31,12,78,28,66,38,17,87,28
65,8,1,first,53,2000,126,114,70,27,16,81,43,56,35,20,71,21
65,7,4,second,53,2000,118,166,54,30,15,69,24,85,42,19,108,43
65,8,1,first,54,2000,135,109,61,29,11,79,32,56,27,14,69,29
65,7,4,second,54,2000,133,125,56,32,12,76,24,62,24,11,75,38
65,8,1,first,55,2000,133,120,68,25,14,79,43,55,26,12,69,29
65,7,4,second,55,2000,118,131,55,31,11,75,24,63,43,23,83,20
65,8,1,first,56,2000,143,130,65,24,6,83,41,76,29,19,86,47
65,7,4,second,56,2000,115,131,54,25,16,63,29,61,31,14,78,30
65,8,1,first,57,2000,111,105,60,26,17,69,34,50,21,9,62,29
65,7,4,second,57,2000,125,123,56,35,16,75,21,55,30,14,71,25
65,8,1,first,58,2000,144,123,78,24,11,91,54,79,33,17,95,46
65,7,4,second,58,2000,127,127,70,33,18,85,37,67,40,21,86,27
65,8,1,first,59,2000,128,155,65,26,12,79,39,79,40,20,99,39
65,7,4,second,59,2000,151,119,72,39,23,88,33,53,28,7,74,25
65,8,1,first,60,2000,140,120,68,25,10,83,43,61,28,12,77,33
65,7,4,second,60,2000,129,124,53,32,11,74,21,56,31,18,69,25
65,8,1,first,61,2000,133,130,76,27,16,87,49,77,24,17,84,53
65,7,4,second,61,2000,129,120,55,28,9,74,27,63,20,13,70,43
65,8,1,first,62,2000,115,124,55,23,8,70,32,65,24,14,75,41
65,7,4,second,62,2000,130,121,68,31,15,84,37,56,31,12,75,25
65,8,1,first,63,2000,133,134,75,31,15,91,44,73,34,17,90,39
65,7,4,second,63,2000,140,141,64,35,18,81,29,68,37,18,87,31
65,8,1,first,64,2000,130,136,64,28,15,77,36,69,32,18,83,37
65,7,4,second,64,2000,148,145,69,36,14,91,33,73,34,16,91,39
65,8,1,first,65,2000,152,122,91,29,15,105,62,63,21,11,73,42
65,7,4,second,65,2000,137,123,63,38,20,81,25,64,37,14,87,27
65,8,1,first,66,2000,131,129,59,26,10,75,33,63,24,10,77,39
65,7,4,second,66,2000,129,122,61,31,17,75,30,63,31,21,73,32
65,8,1,first,67,2000,116,122,64,25,15,74,39,65,27,11,81,38
65,7,4,second,67,2000,135,122,65,21,8,78,44,66,27,13,80,39
65,8,1,first,68,2000,120,143,55,20,10,65,35,78,19,12,85,59
65,7,4,second,68,2000,135,132,60,30,12,78,30,67,34,19,82,33
65,8,1,first,69,2000,119,135,62,30,13,79,32,68,28,15,81,40
65,7,4,second,69,2000,122,140,57,28,11,74,29,78,37,20,95,41
65,8,1,first,70,2000,140,125,74,32,16,90,42,66,31,19,78,35
65,7,4,second,70,2000,130,137,58,26,12,72,32,70,39,19,90,31
65,8,1,first,71,2000,130,143,73,24,13,84,49,81,34,18,97,47
65,7,4,second,71,2000,125,125,60,23,10,73,37,54,31,13,72,23
65,8,1,first,72,2000,134,140,72,23,8,87,49,73,30,16,87,43
65,7,4,second,72,2000,143,132,75,40,18,97,35,63,38,18,83,25
65,8,1,first,73,2000,134,118,68,27,20,75,41,58,28,11,75,30
65,7,4,second,73,2000,105,146,51,26,12,65,25,66,44,21,89,22
65,8,1,first,74,2000,129,131,64,27,16,75,37,67,26,15,78,41
65,7,4,second,74,2000,128,127,63,31,18,76,32,67,30,16,81,37
65,8,1,first,75,2000,126,122,61,23,14,70,38,61,24,16,69,37
65,7,4,second,75,2000,131,117,63,25,10,78,38,53,30,10,73,23
65,8,1,first,76,2000,156,142,80,35,15,100,45,75,40,24,91,35
65,7,4,second,76,2000,117,142,48,33,12,69,15,62,38,17,83,24
65,8,1,first,77,2000,124,140,63,24,14,73,39,71,29,14,86,42
65,7,4,second,77,2000,126,124,49,32,15,66,17,73,35,22,86,38
65,8,1,first,78,2000,135,117,78,24,15,87,54,66,23,12,77,43
65,7,4,second,78,2000,135,130,65,37,16,86,28,59,35,12,82,24
65,8,1,first,79,2000,160,120,89,26,12,103,63,64,31,21,74,33
65,7,4,second,79,2000,138,133,58,30,7,81,28,72,40,24,88,32
65,8,1,first,80,2000,115,134,52,26,11,67,26,71,27,15,83,44
65,7,4,second,80,2000,143,144,61,38,16,83,23,71,35,19,87,36
65,8,1,first,81,2000,125,127,66,22,12,76,44,64,22,12,74,42
65,7,4,second,81,2000,119,114,52,25,12,65,27,55,25,13,67,30
65,8,1,first,82,2000,125,154,58,17,4,71,41,73,32,16,89,41
65,7,4,second,82,2000,140,136,61,39,18,82,22,63,34,19,78,29
65,8,1,first,83,2000,140,122,73,29,14,88,44,63,19,9,73,44
65,7,4,second,83,2000,142,154,73,40,17,96,33,71,35,15,91,36
65,8,1,first,84,2000,118,135,61,27,10,78,34,68,27,14,81,41
65,7,4,second,84,2000,130,130,63,32,15,80,31,69,36,18,87,33
65,8,1,first,85,2000,127,132,64,26,10,80,38,66,30,13,83,36
65,7,4,second,85,2000,121,131,46,25,6,65,21,63,36,19,80,27
65,8,1,first,86,2000,133,118,73,23,13,83,50,63,26,15,74,37
65,7,4,second,86,2000,105,141,45,24,12,57,21,71,39,23,87,32
65,8,1,first,87,2000,131,142,72,27,13,86,45,73,31,18,86,42
65,7,4,second,87,2000,132,134,57,31,14,74,26,53,30,14,69,23
65,8,1,first,88,2000,128,107,69,15,7,77,54,60,23,15,68,37
65,7,4,second,88,2000,118,101,51,33,15,69,18,43,28,9,62,15
65,8,1,first,89,2000,116,135,59,27,11,75,32,66,31,14,83,35
65,7,4,second,89,2000,133,115,58,36,15,79,22,53,27,12,68,26
65,8,1,first,90,2000,116,132,68,27,13,82,41,77,38,23,92,39
65,7,4,second,90,2000,128,125,49,25,8,66,24,58,26,14,70,32
65,8,1,first,91,2000,132,140,68,21,9,80,47,69,33,20,82,36
65,7,4,second,91,2000,135,118,49,36,16,69,13,51,23,9,65,28
65,8,1,first,92,2000,131,128,57,27,10,74,30,67,22,9,80,45
65,7,4,second,92,2000,102,140,50,28,13,65,22,68,38,20,86,30
65,8,1,first,93,2000,128,147,73,20,12,81,53,85,38,18,105,47
65,7,4,second,93,2000,139,136,60,41,17,84,19,72,32,19,85,40
65,8,1,first,94,2000,131,128,71,30,16,85,41,58,26,13,71,32
65,7,4,second,94,2000,115,128,53,18,8,63,35,70,41,22,89,29
65,8,1,first,95,2000,119,132,58,29,16,71,29,62,31,13,80,31
65,7,4,second,95,2000,119,138,62,38,21,79,24,67,41,16,92,26
65,8,1,first,96,2000,134,130,65,28,15,78,37,74,27,16,85,47
65,7,4,second,96,2000,152,123,62,43,17,88,19,53,27,12,68,26
65,8,1,first,97,2000,139,116,67,26,10,83,41,56,21,10,67,35
65,7,4,second,97,2000,131,133,48,22,11,59,26,65,40,18,87,25
65,8,1,first,98,2000,114,140,58,21,13,66,37,65,40,19,86,25
65,7,4,second,98,2000,125,122,66,26,17,75,40,65,21,11,75,44
65,8,1,first,99,2000,129,138,75,14,7,82,61,77,36,24,89,41
65,7,4,second,99,2000,116,119,50,28,9,69,22,58,20,8,70,38
