N,p,prefixes,original_batches,mean_F1,mean_F2,mean_A,mean_E,pointwise_se_F1,pointwise_se_F2,pointwise_se_A,pointwise_se_E
325,0.065,20000,20,-6.180044548171828e-146,-1.3098886508547177e-147,-6.311033413257299e-146,6.049055683086357e-146,1.8135173979732522e-146,1.2168006427985547e-147,1.877902113565471e-146,1.7552169192028625e-146
325,0.066,20000,20,-1.057556405064186e-144,-2.2503169875697316e-146,-1.0800595749398833e-144,1.0350532351884887e-144,3.099828954223565e-145,2.0817319955308783e-146,3.209997452709175e-145,3.0000779334061407e-145
325,0.067,20000,20,-1.730250080265928e-143,-3.696130182022642e-145,-1.7672113820861547e-143,1.6932887784457015e-143,5.0657768523741115e-144,3.405070969822252e-145,5.246006464154125e-144,4.902601001544222e-144
325,0.068,20000,20,-2.7100894987368318e-142,-5.811939414712286e-144,-2.768208892883955e-142,2.6519701045897093e-142,7.925427721409989e-143,5.33211492492394e-144,8.207697865796846e-143,7.669884866791271e-143
325,0.069,20000,20,-4.0689146875533465e-141,-8.7602386841018e-143,-4.156517074394365e-141,3.9813123007123286e-141,1.1885527692404678e-141,8.003788435544641e-143,1.230929222314422e-141,1.1501916127563146e-141
325,0.07,20000,20,-5.863011234340759e-140,-1.2672399101948301e-141,-5.989735225360243e-140,5.736287243321276e-140,1.7106466966322067e-140,1.1530322807534761e-141,1.7717032263845327e-140,1.655379590252698e-140
325,0.07100000000000001,20000,20,-8.117356559630782e-139,-1.7613852467135184e-140,-8.29349508430213e-139,7.941218034959429e-139,2.365662759217799e-139,1.5960322643125027e-140,2.4501890962477237e-139,2.2891571272202424e-139
325,0.07200000000000001,20000,20,-1.0810447184796602e-137,-2.3549726408986523e-139,-1.1045944448886467e-137,1.057494992070674e-137,3.146874184928259e-138,2.12510107718694e-139,3.259435144137159e-138,3.045002118958965e-138
325,0.073,20000,20,-1.3863446511388708e-136,-3.0319131554137877e-138,-1.416663782693009e-136,1.3560255195847328e-136,4.030912163235428e-137,2.7246995588650385e-138,4.1752508339644657e-137,3.9002904972116173e-137
325,0.074,20000,20,-1.713727373898835e-135,-3.762629781815705e-137,-1.7513536717169918e-135,1.6761010760806777e-135,4.9770172880827964e-136,3.3674659772797103e-137,5.155428134133409e-136,4.8155746767855795e-136
