batch,replica_first,samples,z1_re,z1_im,z2_re,z2_im
62,3100000,50000,0.0017022466271218728,-0.00086991667609184753,0.00018224662712186535,0.0021092107129253856
63,3150000,50000,0.0037222466271218668,0.00058500600226540911,-0.00046775337287813246,0.00081017260724927653
64,3200000,50000,0.0011722466271218701,-0.0011297242972270749,-0.0017677533728781281,0.00067160854264380898
65,3250000,50000,-0.0021477533728781334,-0.0028964161209465988,6.2246627121870235e-05,0.00010003177614631431
66,3300000,50000,-0.001417753372878125,-0.00097383972454592738,0.0016822466271218667,0.0024209798582876529
67,3350000,50000,0.0081422466271218741,0.00082749311532495651,-0.0027577533728781328,0.0012431853091413037
68,3400000,50000,0.003982246627121877,-0.00076599362763776768,-0.0010777533728781319,0.0024902618905903728
69,3450000,50000,0.00069224662712187579,-0.0016146985233461419,-0.0033077533728781278,0.00098337768800607628
70,3500000,50000,0.0047922466271218683,0.0017108390271847185,0.0018622466271218663,0.0021438517290767456
71,3550000,50000,0.0018122466271218718,-5.585279653480546e-05,-0.00087775337287812616,-0.0013548909022109423
72,3600000,50000,-0.00068775337287813043,-0.0023075188463734242,-0.0043177533728781248,0.00075821108302223661
73,3650000,50000,0.0019122466271218747,-0.0024807239271302239,-0.0011777533728781348,-0.0012509678537568347
74,3700000,50000,-0.0016077533728781346,-0.003312108314762946,-0.0024477533728781281,-0.00081795515186480761
75,3750000,50000,-0.00052775337287812307,-0.0014068524264379823,-9.7753372878123246e-05,-0.00038494244997275273
76,3800000,50000,0.00064224662712186742,-0.0021169932575409167,0.00082224662712186702,0.0031484411974662674
77,3850000,50000,0.0015222466271218732,0.00065428803456812901,-0.001307753372878126,0.00032519838113018174
78,3900000,50000,0.002512246627121878,-0.0012682883618325147,0.0013722466271218758,0.0037546589801151359
79,3950000,50000,0.001382246627121872,-0.0021516342736922767,-0.00013775337287813549,0.0013124673414440235
80,4000000,50000,0.003402246627121866,0.00010003177614631431,-0.0028377533728781296,0.00082749311532495651
81,4050000,50000,-0.0017077533728781236,-0.0025153649432815839,0.0028622466271218672,0.0027327490036499202
82,4100000,50000,0.00073224662712187416,-0.0023421598625247841,-0.00011775337287812937,0.0028366720521040001
83,4150000,50000,-0.0012677533728781276,-0.00026369889344299291,-1.7753372878126505e-05,0.0035294923751312823
84,4200000,50000,-0.003117753372878132,-0.0040915311781686281,-0.0014877533728781256,0.00087945463955199643
85,4250000,50000,-0.00076775337287812717,-0.0015107754748920621,-0.0027477533728781228,0.00053304447803836918
86,4300000,50000,0.0019022466271218647,-0.00041958346612411268,0.00059224662712187293,0.0039278640608719495
87,4350000,50000,-0.0019277533728781354,-0.0013375703941352346,-0.00013775337287813549,0.0035294923751312823
88,4400000,50000,-0.0013677533728781305,8.2711268070634336e-05,-0.0024877533728781265,-0.0012682883618325147
89,4450000,50000,0.0025822466271218647,-0.0010084807406972873,-0.0011577533728781286,0.00061964701841676906
90,4500000,50000,0.0021522466271218649,-0.0013029293779838746,-0.0021677533728781256,-0.001060442264924355
91,4550000,50000,0.00041224662712187332,-0.0019957497010111569,0.0023522466271218706,0.0022304542694551455
92,4600000,50000,0.00067224662712186967,-0.0008872371841675275,-0.0052977533728781334,-0.00059278854688094018
93,4650000,50000,0.00086224662712186539,-0.0031562237420818262,-0.0010077533728781313,0.0035121718670556024
94,4700000,50000,0.0010822466271218772,-0.0013548909022109423,0.00078224662712186865,0.0036334154235853622
95,4750000,50000,-0.00066775337287812431,-0.0022728778302220642,0.00056224662712187068,0.0029059540844067477
96,4800000,50000,-0.00080775337287812554,-0.0027578520563411313,0.00019224662712187535,0.0010180187041574362
97,4850000,50000,-7.7533728781303823e-06,0.00046376244573564929,-0.0039577533728781256,0.0009660571799303963
98,4900000,50000,0.0016222466271218761,-0.0021516342736922767,0.00033224662712187658,0.0035814538993583223
99,4950000,50000,-0.00092775337287813453,-0.0014414934425893422,-0.0029477533728781286,0.0029232745924824277
