batch,replica_first,samples,common_field_sha256,omega_over_2_re,omega_over_2_im,omega_over_2_rank0,omega_over_2_rank1,omega_over_2_rank2,omega_over_2_invalid
31,17002620000,20000,1ca7b102cc521cd9b1e268cd21ed97c865b926471b6671630a5565650afc191a,-4343.181028954156,-7851.22008147894,5080,9776,5144,0
32,17002640000,20000,b2a12154e7d4718c355e0b027c50603581f9b9309a2c1bc5f1fbaec4847ed102,-4341.362935598965,-7848.401899930589,5027,9700,5273,0
33,17002660000,20000,957a90148a5fbba7ee1c35fa8cc08e80b031f3bbcd86b6bab9c38dc4e1d61428,-4293.654392308305,-7713.250384745869,5108,9685,5207,0
34,17002680000,20000,5e6a0853ed9f02f533ea368affa435182735d62f6a2effd82c7de8f1e901cddc,-4298.707492203488,-7747.23260969271,5192,9706,5102,0
35,17002700000,20000,176766bb92590e4f944f13ad820eb619be5ba884de268dc5aba4eb02b69b4b62,-4323.602598251805,-7698.392597759668,5184,9660,5156,0
36,17002720000,20000,b5da6f1a9bbec791260958a1d76b7f7303ae73a5e9b5b1b45542121d5af4969e,-4344.343865757831,-7878.905963936839,5121,9819,5060,0
37,17002740000,20000,3d1cbdfefd1746d11a420f9dc1a51688e08b0a571abd29021ff3f93535b92eae,-4323.084400571396,-7775.061946427229,5027,9724,5249,0
38,17002760000,20000,d002732a5b69922f176ccf9c467b4b8d3f997605376406b4931fd5e7717034fe,-4283.570892338583,-7744.869693552191,5249,9604,5147,0
39,17002780000,20000,026d543d64374c1cf02c08195897b25e9c2df25d8f947454d168e05c141b0b22,-4293.98065875602,-7749.635047829607,5150,9739,5111,0
40,17002800000,20000,d9a981fc4567678e3d06d2d9decd6883e63d804b26331c71b5bc611f78494916,-4330.477267027086,-7796.825133217213,5215,9666,5119,0
41,17002820000,20000,5a836904bdfd1f610d2d2dd875a26509c716ee30cda9fb9fc3f805d07d065300,-4252.293349340623,-7691.833235379581,5157,9564,5279,0
42,17002840000,20000,07055ceb34429c242dacde3dcbfb6360456546ca8a4579ed59034ca263042356,-4277.481874684174,-7755.302888613831,5132,9676,5192,0
43,17002860000,20000,79ee8dfb264fbd617feaa3e7fd405727e0ba596099b25baef0a0a5cdc5b63e42,-4369.768570784371,-7907.465267903112,5147,9790,5063,0
44,17002880000,20000,c11a09f2f5e46bc66e1918c41f41e0a464045be4d3042ea2edfd2144a8911f7f,-4263.956803694458,-7680.29830193881,5161,9623,5216,0
45,17002900000,20000,8fbcc2e372f8241b7981ddbdc1762ca15f5244cc233b142067a60d19ac47b68d,-4291.536932036358,-7792.309211717289,5147,9669,5184,0
46,17002920000,20000,65fe336f439325e89aab911c59151282c56d29084e7edc01b58e37c2c1815d18,-4331.01834473595,-7765.218601299281,5182,9666,5152,0
47,17002940000,20000,26ab8a004b059fe78255cf2a5bd87c9a1872bc1872004e82cca2a3b36396c830,-4353.917088228483,-7853.1111741812965,5136,9743,5121,0
48,17002960000,20000,d2a8b53fc93bc6a87945f29521c74b0e420ed81c49522f08fcdf1c83189e1d32,-4315.658377649254,-7769.636778007389,5220,9692,5088,0
49,17002980000,20000,c7744ec3b28d91f47b5de64c6df39d06326ac335c46047d48ea1032ee1b95a37,-4251.387629836156,-7731.820933000803,5098,9729,5173,0
50,17003000000,20000,4c0741c76395c39178892eeac6be204bcba18a2a0809994f43e8328bc563a71e,-4226.5713148298355,-7669.8705083503555,5247,9559,5194,0
51,17003020000,20000,1e3f31cea54a6dc3266285b17528af69ef3dc991ffc146c51bccdb94f7021582,-4252.90332064136,-7690.023683569093,5127,9674,5199,0
52,17003040000,20000,f00ae55e0f55493a7c9c057904e69a36a02634b64fadcaf9b7ba8b6c017915b1,-4314.867866518591,-7768.322944233105,5240,9652,5108,0
53,17003060000,20000,cd925005f70976aa85743ef40d9869351e80c288fbcf7f5b75f90e7a7dea6105,-4306.468420057638,-7806.759267268557,5147,9691,5162,0
54,17003080000,20000,37cccdd47662989595d5feb8256e5dfd6d87aed40e82cfd173202ae5ba4dfe1e,-4297.182935408956,-7728.947061465397,5276,9618,5106,0
55,17003100000,20000,e80738a256650c3307f344847f7aa926de10bce74add9e2c847951ee1a776e50,-4299.583772083086,-7783.656854832507,5204,9711,5085,0
56,17003120000,20000,405f9ab1197f8be33da688e54283ea9722e7cbefbf346c7db92fbe241c18699e,-4265.036159914811,-7644.853273863666,5298,9571,5131,0
57,17003140000,20000,d79159ea447cfff5a221aebb52877ee86ebc8e104b27dd1b0c9bf522306863d8,-4313.689916665407,-7793.47842392118,5136,9755,5109,0
58,17003160000,20000,eb31f05a92f4d4e14f396fdd543e033b0235e0f1568d551f8702e49fb2c5cdec,-4296.149135059193,-7776.186235161567,5123,9725,5152,0
59,17003180000,20000,c599a0f70ddf7b4643817621bbc99db6653826a247a2a0ff9a9631e798de6e4e,-4294.6386579078735,-7743.82533131438,5107,9720,5173,0
60,17003200000,20000,fc829773dd9e675a7e444ed9d3a89f344cde79f63739874b19210bd9bb02bd19,-4327.789653308998,-7856.227486835659,5150,9815,5035,0
61,17003220000,20000,8fcb07c2297e4cb11b68368e4783a46957a8076488e3bda712a4837bb369e5c3,-4371.1843332219105,-7893.2302481707475,5095,9762,5143,0
62,17003240000,20000,5c585b1287aa71622d8b9040ffe0ea6ad1096c725d0946715b6a3662809bb9f4,-4401.560706791842,-7887.420699903079,5018,9872,5110,0
63,17003260000,20000,25a672e4777d6a71ba4ee3266a3a2aba8d66fd078848058af5d89bf049794e84,-4377.367055466729,-7946.508376663729,5128,9896,4976,0
64,17003280000,20000,b37f03635b93988ab97371276223e65d5f95cbc5ab3f2798b49b8dbc7adb50d8,-4299.839598590553,-7741.753473869047,5189,9647,5164,0
65,17003300000,20000,6bb26db0090aaa243902de13bb45fa220e76e6172d291d264b9c1c3e1f026015,-4244.592193554426,-7717.871591702605,5176,9616,5208,0
66,17003320000,20000,412d8b818f4c22111e883524816ccde5aec7e75d6bfba77a49185d267172df7d,-4277.93668142784,-7766.718337132799,5226,9683,5091,0
67,17003340000,20000,ac092a0fbf709d94fe297f07707ddbcb7d40baf6f0ba59e1c08c268f2aca2185,-4307.95205948323,-7784.367272771685,5116,9723,5161,0
68,17003360000,20000,1e45d0b1db32cd73a7f9d0c828818f10742e6ee02d9c37999af2d61ee7a96c2e,-4301.811622308096,-7676.419650221658,5151,9658,5191,0
69,17003380000,20000,f963f24e40bc7df52610b4a0aa38570daa43ca2ff70b53ea315368ed484c59ad,-4337.491574524459,-7850.023352848915,5116,9741,5143,0
70,17003400000,20000,aaae7627edbf87110a59544028b293945229eafadd21e9fd3b21e8fe2d116da4,-4319.505570294226,-7842.099778207287,5053,9786,5161,0
71,17003420000,20000,c5a340152d137fa71fd4676de91ad09abca0b6f5a9ba72d7a87397432a561fd8,-4364.514498224162,-7883.224088413739,5083,9796,5121,0
72,17003440000,20000,a65eaeb716fc991c78f0154f939fbe0996c3e5432da2a382e03451996e4bc0c9,-4322.391697718112,-7798.160292931427,5107,9757,5136,0
73,17003460000,20000,63b0f45c88f0907c0fd8365009e57adb5cfdfea925c1a6471b8b7d1bee8f6971,-4333.629956750823,-7862.523229192184,5154,9750,5096,0
74,17003480000,20000,f7eba634775e4555f47e90a301eaa5ac386690c1f7ee563248745b296948bbc4,-4347.467419463728,-7747.702071567775,5247,9684,5069,0
75,17003500000,20000,2f308dc6261716dc44898cc9f8141de469b23043a64a6d8189ff00cd5ef82d1f,-4289.65025557849,-7806.354335217555,5080,9803,5117,0
76,17003520000,20000,12949ba967d138cc44ee34df2b37051266d2ef670f63c5fd24296055044e9920,-4245.541097662306,-7673.757303862724,5132,9594,5274,0
77,17003540000,20000,59dd8946cadda08aba8eaa73e54df17aeadde0e9abfd053f03a45ba143eacc68,-4265.469337376746,-7771.344720253263,5149,9608,5243,0
78,17003560000,20000,f9407b418034c7d32ef6541a56558161758a3496e567d2563a4a02233e689a09,-4295.779918226591,-7779.158754625619,5120,9693,5187,0
79,17003580000,20000,c53cae249f0f9935c5e97e8e38edaca7231a2ee46b6101cd3698600957fdc1c7,-4271.493747470418,-7740.867764419051,5250,9673,5077,0
80,17003600000,20000,6a66c56d60e47f704b87e268e8e8b80eb299bdfc116d5a2929bde986466cb47d,-4353.439339072979,-7792.61347918574,5193,9745,5062,0
81,17003620000,20000,d4af8bb1192ea9d01ddbb017ac2bbd04c3a0d861dab203c84cd56336d078af8d,-4352.497420291796,-7891.127366654586,5045,9796,5159,0
82,17003640000,20000,1c3b5d3a8f23ef9e2680fea9dca69c79ad2f24211d8a9a443171ae09612fa03a,-4275.901730023037,-7720.8118086164495,5147,9659,5194,0
83,17003660000,20000,77b14ab4d99bb7d242d447c2cd2603618d5631e8356a14fb7c7a687e10ceb924,-4301.129631694689,-7741.69868402107,5192,9683,5125,0
84,17003680000,20000,206671a6e9a12c537b6bf4b951a44a13efbc4335076ebe42d6244e9ea1f6bb9d,-4357.969299817464,-7875.385613434613,5084,9806,5110,0
85,17003700000,20000,ad824b87b5f210d6d19c99dd0dbd5cb8914f4a57661b55f3c7cd709c78d1de36,-4394.6896531055745,-7854.6995385342025,5195,9734,5071,0
86,17003720000,20000,151694b8866de52cae751d7018c0d153944ae98fa9ff43786e9729e5c9d2df6b,-4241.33602021237,-7728.273930361803,5162,9653,5185,0
87,17003740000,20000,ddf73dd4e8b2e80ad446345cc4d486fd82ebbf8f979bda5c0b9863609790c1a6,-4284.450080073894,-7785.13008856236,5149,9745,5106,0
88,17003760000,20000,2859752aea3b8870c1b5920ca26c6d56112e57bc6f105e51355e74a0a8908967,-4312.047708240705,-7818.670553943104,5107,9735,5158,0
89,17003780000,20000,3947da71bebd39ec5b765bed1df1d475d859fd9ba679765e674a1eae8c62ce99,-4348.288959929585,-7811.103050771959,5104,9719,5177,0
90,17003800000,20000,607b1df0ccc962c2d6639f3dc2c578bb99acea3722af3b991839bb9fe07ad5e3,-4320.623186468577,-7768.349170480518,5242,9704,5054,0
91,17003820000,20000,b984f37a88a10c7a3f43a5aa4e53d646733392983a1e58b6ae5c86d92a40cf02,-4292.220983114728,-7766.541680166901,5154,9699,5147,0
92,17003840000,20000,bbd73558f0a41071ff08533144da2eeb44f6c144651baa93b99632d4468f6398,-4324.371894837041,-7814.066715182313,5145,9726,5129,0
93,17003860000,20000,1ff8be8f680268aadad00593566af792e2a0cc575c25558fd6c4062032f65a46,-4307.221595939459,-7814.8953844068765,5134,9745,5121,0
94,17003880000,20000,dd92df7b1668554af028aed306c7fd673acb1cee7957953e625423550c170de6,-4337.527578103544,-7845.871986107559,5160,9704,5136,0
95,17003900000,20000,e25dbe03da5a8c2e4cf15023f3d69fa0281e71a9316f811ae3f1f71a10433a4e,-4286.640140752768,-7750.1548194307115,5266,9624,5110,0
96,17003920000,20000,67dc19e29e8f64402c4bac06ed698e95ebe00d84d5c64a29e55f713b54de7b9d,-4345.368348633272,-7825.524821576689,5050,9751,5199,0
97,17003940000,20000,249e04bb9854feead231bcb95029ff5e6e05fcb06c71392ddda0a64764cdf31a,-4357.649584844725,-7841.032721576709,5062,9764,5174,0
98,17003960000,20000,b6be4c20572adfabe3f45c579842020c6a1b48c7a2c745d7f5ff614c4acd2944,-4311.190594517473,-7724.386384743492,5127,9658,5215,0
99,17003980000,20000,a85a64edafb9031ceb393ac0f5c7b7d4b98b6e70c16d7f2e33c525fe109accfe,-4263.944872286222,-7718.638173358941,5244,9599,5157,0
