n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_k,sum_kk,sum_edges,sum_i0k,sum_i2k,sum_i0kk,sum_i2kk,sum_i0edges,sum_i2edges,sum_q,sum_e,sum_s,sum_chi,sum_cb,sum_cw,sum_faces,sum_i0s,sum_i2s,sum_q_q,sum_q_e,sum_q_k,sum_q_kk,sum_q_edges,sum_q_s,sum_q_chi,sum_q_cb,sum_q_cw,sum_e_e,sum_e_k,sum_e_kk,sum_e_edges,sum_e_s,sum_e_chi,sum_e_cb,sum_e_cw,sum_k_k,sum_k_kk,sum_k_edges,sum_k_s,sum_k_chi,sum_k_cb,sum_k_cw,sum_kk_kk,sum_kk_edges,sum_kk_s,sum_kk_chi,sum_kk_cb,sum_kk_cw,sum_edges_edges,sum_edges_s,sum_edges_chi,sum_edges_cb,sum_edges_cw,sum_s_s,sum_s_chi,sum_s_cb,sum_s_cw,sum_chi_chi,sum_chi_cb,sum_chi_cw,sum_cb_cb,sum_cb_cw,sum_cw_cw
130,9,7,second,11,200,14594,16305,62,75,63,15482,1189476,18449,4536,5158,328306,418516,5076,6519,1,125,1447,278,863,584,3245,459,445,125,1,622,90210,1443,-14,-411,-150,136,125,9694,746822,11595,904,147,526,378,1204958,93080856,1443453,111663,18037,65161,46502,7229648376,112094318,8558134,1116424,4882384,3675750,1740755,132225,16604,75136,57089,11375,2581,6971,4404,3536,2853,-272,4837,2134,2270
130,11,3,first,12,200,14613,16179,57,67,76,15451,1184168,18377,4169,6131,301866,490036,4603,7700,19,133,1444,347,905,539,3273,454,537,133,19,1962,188170,3097,83,-436,-110,193,133,10300,791902,12303,991,202,606,385,1199619,92395180,1434568,110956,23256,68087,42869,7151427016,111088218,8463908,1511030,5081554,3382354,1728799,130739,22224,78030,52709,11376,3207,7333,4043,4011,3391,-184,5307,2026,2017
130,9,7,second,12,200,14522,16234,51,73,76,15451,1184168,18397,3710,6163,267324,495050,4098,7735,25,127,1420,313,879,541,3259,402,507,127,25,2453,227726,3637,105,-398,-83,188,127,9873,762374,11833,909,156,545,364,1199619,92395180,1435804,109195,20756,66202,42993,7151427016,111156660,8338198,1331036,4948480,3389718,1730491,129032,19827,76248,52784,11068,2871,7022,4046,3565,3019,-148,4979,2043,2003
130,11,3,first,13,200,14715,16293,66,71,63,15416,1178692,18232,4802,5076,345868,405184,5300,6316,-3,129,1409,334,870,539,3150,511,422,129,-3,274,59316,1016,-89,-430,-195,106,129,9878,751052,11616,933,260,595,338,1194108,91749578,1419541,107932,22272,65239,42693,7084290752,109630206,8208396,1438240,4852976,3355420,1699062,126369,21407,74396,51973,11051,3174,7068,3983,3862,3303,-129,5088,1980,2003
130,9,7,second,13,200,14445,16332,57,81,62,15416,1178692,18315,4152,5042,299190,406250,4590,6354,5,119,1436,309,875,561,3208,448,427,119,5,890,107060,1764,-21,-394,-148,127,119,9194,705440,10944,875,184,532,343,1194108,91749578,1425653,110029,20691,65805,44224,7084290752,110077762,8366846,1342846,4908376,3458470,1712985,129484,20078,75663,53821,11248,2945,7086,4162,3361,2956,-11,4947,2139,2023
130,11,3,first,14,200,14686,16416,77,70,53,15255,1155626,17903,5554,4354,396462,354378,6033,5540,-24,130,1467,437,940,527,3085,627,364,130,-24,-1200,-42084,-493,-263,-543,-338,75,130,9908,750840,11573,991,313,640,351,1170881,89260990,1382695,111064,29292,69578,41486,6848109700,106069078,8358840,1908992,5112874,3245966,1646267,128945,28630,78541,50404,11745,4056,7769,3976,4385,3949,107,5690,2079,1897
130,9,7,second,14,200,14735,16434,74,71,55,15255,1155626,17863,5307,4506,376584,365788,5725,5748,-19,129,1508,479,984,524,3087,629,362,129,-19,-801,-10796,23,-267,-532,-335,68,129,9813,742372,11473,991,330,651,340,1170881,89260990,1380568,114019,32360,72789,41230,6848109700,105980352,8567758,2131346,5344154,3223604,1643135,131847,31608,81739,50108,12446,4607,8393,4053,4609,4342,265,6200,2193,1860
130,11,3,first,15,200,14677,16313,56,72,72,15511,1193110,18444,4103,5856,297650,471694,4565,7348,16,128,1406,302,862,544,3235,420,483,128,16,1753,174044,2783,63,-397,-103,166,128,9959,769344,11913,903,163,541,362,1208621,93403562,1443741,108401,20282,65218,43183,7252085516,112082946,8296160,1320268,4895236,3400924,1735462,127715,19574,75036,52679,10938,2951,6976,3962,3428,2991,-40,4932,2044,1918
130,9,7,second,15,200,14738,16446,55,87,58,15511,1193110,18415,4034,4749,292868,385142,4439,6033,3,113,1437,350,895,542,3254,452,394,113,3,715,92274,1594,-58,-401,-173,115,113,8783,678010,10472,846,201,525,321,1208621,93403562,1441955,110805,24064,67792,43013,7252085516,111980572,8478328,1612746,5091674,3386654,1731977,130215,23629,77719,52496,11301,3349,7296,4005,3522,3235,114,5179,2117,1888
130,11,3,first,16,200,14520,16442,66,81,53,15338,1167384,18071,4797,4294,345474,344788,5338,5324,-13,119,1464,467,959,505,3200,505,398,119,-13,-503,-686,-14,-107,-382,-185,78,119,9091,690262,10662,903,304,597,306,1182722,90507174,1400721,111709,32610,71908,39801,6963337176,107739686,8465268,2238770,5351676,3113592,1669217,130666,34284,82468,48198,11660,4007,7780,3880,3685,3655,352,5625,2155,1725
130,9,7,second,16,200,14539,16355,58,86,56,15338,1167384,18002,4176,4569,297674,369206,4536,5708,-2,114,1481,409,944,537,3073,496,388,114,-2,393,71532,1172,-108,-450,-222,114,114,8745,666880,10244,884,238,560,324,1182722,90507174,1395793,112733,27426,70276,42457,6963337176,107391180,8526236,1788404,5193086,3333150,1658882,130700,26382,79127,51573,12189,4089,8085,4104,4691,4165,-76,6014,2071,2033
130,11,3,first,17,200,14603,16395,68,71,61,15464,1186196,18504,4935,4972,354372,401506,5467,6282,-7,129,1426,327,873,553,3367,529,431,129,-7,37,47134,815,-98,-473,-221,123,129,9907,755878,11749,960,257,605,355,1201660,92637928,1445239,109731,21708,65738,43993,7177488424,111982200,8383752,1391478,4911182,3472570,1749830,130294,20897,76003,54291,11168,2846,6958,4210,3861,3117,-271,4927,2031,2179
130,9,7,second,17,200,14647,16449,61,81,58,15464,1186196,18458,4484,4749,326480,385158,5023,6001,-3,119,1392,281,835,557,3275,470,391,119,-3,265,58678,978,-79,-396,-178,99,119,9233,711638,11024,861,182,520,341,1201660,92637928,1441238,106946,18579,62895,44051,7177488424,111643390,8157598,1184536,4700406,3457192,1739142,126500,17642,72560,53940,10710,2653,6642,4068,3251,2754,-101,4609,2033,2035
130,11,3,first,18,200,14612,16306,52,82,66,15483,1189500,18370,3780,5400,272034,437674,4149,6834,14,118,1423,377,907,516,3264,427,458,118,14,1620,165640,2685,31,-381,-116,147,118,9180,709708,10983,885,201,550,335,1204983,93066540,1437425,109575,25709,68452,41123,7226232240,111621938,8380712,1709152,5127752,3252960,1727312,128854,25329,78434,50420,11187,3510,7364,3823,3723,3426,84,5337,2027,1796
130,9,7,second,18,200,14599,16460,63,78,59,15483,1189500,18423,4626,4834,336432,392612,5190,6116,-4,122,1437,303,868,569,3243,483,422,122,-4,208,56180,926,-61,-401,-170,109,122,9460,729044,11306,905,199,550,355,1204983,93066540,1441646,110675,20057,65470,45205,7226232240,111955742,8464330,1277670,4899090,3565240,1737077,130510,18836,75136,55374,11281,2916,7068,4213,3545,3030,-114,4964,2104,2109
