batch,first_replica,samples,p,axis_sum,diamond_sum,paired_difference_sum,axis_mean,diamond_mean,paired_difference_mean
7,70000,10000,0.59374605000000003,294,327,33,0.029399999999999999,0.0327,0.0033
8,80000,10000,0.59174605000000002,-241,-334,-93,-0.0241,-0.033399999999999999,-0.0092999999999999992
8,80000,10000,0.59274605000000002,61,-55,-116,0.0061000000000000004,-0.0054999999999999997,-0.011599999999999999
8,80000,10000,0.59374605000000003,346,223,-123,0.034599999999999999,0.0223,-0.0123
9,90000,10000,0.59174605000000002,-335,-205,130,-0.033500000000000002,-0.020500000000000001,0.012999999999999999
9,90000,10000,0.59274605000000002,-62,62,124,-0.0061999999999999998,0.0061999999999999998,0.0124
9,90000,10000,0.59374605000000003,252,335,83,0.0252,0.033500000000000002,0.0083000000000000001
10,100000,10000,0.59174605000000002,-207,-383,-176,-0.0207,-0.038300000000000001,-0.017600000000000001
10,100000,10000,0.59274605000000002,65,-100,-165,0.0064999999999999997,-0.01,-0.016500000000000001
10,100000,10000,0.59374605000000003,318,167,-151,0.031800000000000002,0.0167,-0.015100000000000001
11,110000,10000,0.59174605000000002,-296,-278,18,-0.029600000000000001,-0.027799999999999998,0.0018
11,110000,10000,0.59274605000000002,-3,2,5,-0.00029999999999999997,0.00020000000000000001,0.00050000000000000001
11,110000,10000,0.59374605000000003,274,267,-7,0.027400000000000001,0.026700000000000002,-0.00069999999999999999
12,120000,10000,0.59174605000000002,-289,-416,-127,-0.028899999999999999,-0.041599999999999998,-0.012699999999999999
12,120000,10000,0.59274605000000002,8,-117,-125,0.00080000000000000004,-0.0117,-0.012500000000000001
12,120000,10000,0.59374605000000003,288,179,-109,0.028799999999999999,0.017899999999999999,-0.0109
13,130000,10000,0.59174605000000002,-316,-118,198,-0.031600000000000003,-0.0118,0.019800000000000002
13,130000,10000,0.59274605000000002,-31,153,184,-0.0030999999999999999,0.015299999999999999,0.0184
13,130000,10000,0.59374605000000003,222,430,208,0.022200000000000001,0.042999999999999997,0.020799999999999999
14,140000,10000,0.59174605000000002,-274,-255,19,-0.027400000000000001,-0.025499999999999998,0.0019
14,140000,10000,0.59274605000000002,33,40,7,0.0033,0.0040000000000000001,0.00069999999999999999
14,140000,10000,0.59374605000000003,333,330,-3,0.033300000000000003,0.033000000000000002,-0.00029999999999999997
15,150000,10000,0.59174605000000002,-185,-130,55,-0.018499999999999999,-0.012999999999999999,0.0054999999999999997
15,150000,10000,0.59274605000000002,93,154,61,0.0092999999999999992,0.0154,0.0061000000000000004
15,150000,10000,0.59374605000000003,381,468,87,0.038100000000000002,0.046800000000000001,0.0086999999999999994
16,160000,10000,0.59174605000000002,-265,-278,-13,-0.026499999999999999,-0.027799999999999998,-0.0012999999999999999
16,160000,10000,0.59274605000000002,33,-15,-48,0.0033,-0.0015,-0.0047999999999999996
16,160000,10000,0.59374605000000003,339,266,-73,0.0339,0.026599999999999999,-0.0073000000000000001
17,170000,10000,0.59174605000000002,-251,-245,6,-0.025100000000000001,-0.024500000000000001,0.00059999999999999995
17,170000,10000,0.59274605000000002,42,45,3,0.0041999999999999997,0.0044999999999999997,0.00029999999999999997
17,170000,10000,0.59374605000000003,316,290,-26,0.031600000000000003,0.029000000000000001,-0.0025999999999999999
