design,batch,samples,rank0,l0,l1,l2,rank1_other,rank2,invariant_failure
pell_Dminus2_N30,81,2000,627,261,266,250,10,586,0
pell_Dminus2_N30,82,2000,579,258,253,254,7,649,0
pell_Dminus2_N30,83,2000,629,239,241,269,8,614,0
pell_Dminus2_N30,84,2000,657,204,251,235,6,647,0
pell_Dminus2_N30,85,2000,634,221,220,263,6,656,0
pell_Dminus2_N30,86,2000,614,247,257,240,10,632,0
pell_Dminus2_N30,87,2000,641,235,254,252,6,612,0
pell_Dminus2_N30,88,2000,629,232,244,251,5,639,0
pell_Dminus2_N30,89,2000,601,231,288,253,10,617,0
pell_Dminus2_N30,90,2000,644,210,279,256,8,603,0
pell_Dminus2_N30,91,2000,575,250,247,275,7,646,0
pell_Dminus2_N30,92,2000,643,230,272,234,4,617,0
pell_Dminus2_N30,93,2000,622,244,278,248,6,602,0
pell_Dminus2_N30,94,2000,633,230,248,253,11,625,0
pell_Dminus2_N30,95,2000,626,214,241,267,10,642,0
pell_Dminus2_N30,96,2000,612,236,222,259,18,653,0
pell_Dminus2_N30,97,2000,593,230,295,260,7,615,0
pell_Dminus2_N30,98,2000,625,215,260,263,6,631,0
pell_Dminus2_N30,99,2000,666,245,232,243,6,608,0
pell_Dplus1_N56,0,2000,587,252,226,255,10,670,0
pell_Dplus1_N56,1,2000,653,250,246,223,6,622,0
pell_Dplus1_N56,2,2000,648,252,235,241,10,614,0
pell_Dplus1_N56,3,2000,618,236,258,230,6,652,0
pell_Dplus1_N56,4,2000,671,236,240,241,8,604,0
pell_Dplus1_N56,5,2000,635,253,262,233,7,610,0
pell_Dplus1_N56,6,2000,671,265,253,225,5,581,0
pell_Dplus1_N56,7,2000,671,228,243,241,5,612,0
pell_Dplus1_N56,8,2000,600,266,247,252,9,626,0
pell_Dplus1_N56,9,2000,614,287,225,246,9,619,0
pell_Dplus1_N56,10,2000,638,307,204,259,6,586,0
pell_Dplus1_N56,11,2000,623,252,236,248,9,632,0
pell_Dplus1_N56,12,2000,592,275,235,247,9,642,0
pell_Dplus1_N56,13,2000,649,254,227,247,12,611,0
pell_Dplus1_N56,14,2000,657,260,236,239,11,597,0
pell_Dplus1_N56,15,2000,660,236,234,233,8,629,0
pell_Dplus1_N56,16,2000,633,262,203,277,7,618,0
pell_Dplus1_N56,17,2000,600,262,237,234,6,661,0
pell_Dplus1_N56,18,2000,630,273,236,233,9,619,0
pell_Dplus1_N56,19,2000,640,284,213,230,8,625,0
pell_Dplus1_N56,20,2000,671,231,252,227,4,615,0
pell_Dplus1_N56,21,2000,612,241,236,243,6,662,0
pell_Dplus1_N56,22,2000,600,254,245,251,8,642,0
pell_Dplus1_N56,23,2000,633,253,263,248,1,602,0
pell_Dplus1_N56,24,2000,659,248,231,245,7,610,0
pell_Dplus1_N56,25,2000,662,241,253,238,8,598,0
pell_Dplus1_N56,26,2000,651,231,224,245,7,642,0
pell_Dplus1_N56,27,2000,599,285,230,246,7,633,0
pell_Dplus1_N56,28,2000,621,269,238,257,6,609,0
pell_Dplus1_N56,29,2000,625,247,270,243,7,608,0
pell_Dplus1_N56,30,2000,633,259,235,232,3,638,0
pell_Dplus1_N56,31,2000,628,241,252,217,7,655,0
pell_Dplus1_N56,32,2000,622,264,237,271,6,600,0
pell_Dplus1_N56,33,2000,634,260,229,257,6,614,0
pell_Dplus1_N56,34,2000,592,285,235,248,5,635,0
pell_Dplus1_N56,35,2000,612,263,247,234,12,632,0
pell_Dplus1_N56,36,2000,648,237,273,234,7,601,0
pell_Dplus1_N56,37,2000,636,242,227,220,5,670,0
pell_Dplus1_N56,38,2000,637,275,240,239,10,599,0
pell_Dplus1_N56,39,2000,633,263,255,212,11,626,0
pell_Dplus1_N56,40,2000,636,291,233,240,3,597,0
pell_Dplus1_N56,41,2000,580,283,236,246,4,651,0
pell_Dplus1_N56,42,2000,588,251,234,261,11,655,0
pell_Dplus1_N56,43,2000,606,257,245,238,5,649,0
pell_Dplus1_N56,44,2000,619,280,239,215,6,641,0
pell_Dplus1_N56,45,2000,615,252,270,205,4,654,0
pell_Dplus1_N56,46,2000,679,248,237,215,9,612,0
pell_Dplus1_N56,47,2000,650,252,223,273,3,599,0
pell_Dplus1_N56,48,2000,649,252,245,224,5,625,0
pell_Dplus1_N56,49,2000,648,230,259,249,5,609,0
pell_Dplus1_N56,50,2000,603,267,247,246,6,631,0
pell_Dplus1_N56,51,2000,661,255,229,229,3,623,0
pell_Dplus1_N56,52,2000,611,254,241,248,9,637,0
pell_Dplus1_N56,53,2000,666,270,222,233,5,604,0
pell_Dplus1_N56,54,2000,648,252,233,248,6,613,0
pell_Dplus1_N56,55,2000,613,223,256,250,13,645,0
pell_Dplus1_N56,56,2000,654,241,251,227,1,626,0
pell_Dplus1_N56,57,2000,621,260,234,233,7,645,0
pell_Dplus1_N56,58,2000,610,256,246,233,4,651,0
pell_Dplus1_N56,59,2000,613,265,233,261,11,617,0
pell_Dplus1_N56,60,2000,648,247,262,248,9,586,0
pell_Dplus1_N56,61,2000,603,270,248,252,4,623,0
pell_Dplus1_N56,62,2000,622,247,254,264,4,609,0
pell_Dplus1_N56,63,2000,634,259,235,240,7,625,0
pell_Dplus1_N56,64,2000,655,250,257,236,5,597,0
pell_Dplus1_N56,65,2000,606,274,237,246,4,633,0
pell_Dplus1_N56,66,2000,631,271,240,222,7,629,0
pell_Dplus1_N56,67,2000,684,269,244,202,8,593,0
pell_Dplus1_N56,68,2000,657,252,224,233,7,627,0
pell_Dplus1_N56,69,2000,591,270,245,243,10,641,0
pell_Dplus1_N56,70,2000,638,251,236,255,3,617,0
pell_Dplus1_N56,71,2000,643,231,236,225,9,656,0
pell_Dplus1_N56,72,2000,627,238,270,242,6,617,0
pell_Dplus1_N56,73,2000,608,254,243,264,5,626,0
pell_Dplus1_N56,74,2000,620,264,228,250,4,634,0
pell_Dplus1_N56,75,2000,635,263,240,230,2,630,0
pell_Dplus1_N56,76,2000,653,250,224,241,6,626,0
pell_Dplus1_N56,77,2000,684,250,261,213,8,584,0
pell_Dplus1_N56,78,2000,609,268,244,240,8,631,0
pell_Dplus1_N56,79,2000,661,248,209,235,5,642,0
pell_Dplus1_N56,80,2000,649,258,233,246,7,607,0
pell_Dplus1_N56,81,2000,611,244,273,221,10,641,0
pell_Dplus1_N56,82,2000,595,284,256,218,4,643,0
pell_Dplus1_N56,83,2000,627,252,217,244,6,654,0
pell_Dplus1_N56,84,2000,677,255,212,251,5,600,0
pell_Dplus1_N56,85,2000,630,248,229,252,7,634,0
pell_Dplus1_N56,86,2000,620,224,244,261,11,640,0
pell_Dplus1_N56,87,2000,593,237,242,241,7,680,0
pell_Dplus1_N56,88,2000,619,249,266,230,4,632,0
pell_Dplus1_N56,89,2000,623,255,225,249,6,642,0
pell_Dplus1_N56,90,2000,616,268,267,232,6,611,0
pell_Dplus1_N56,91,2000,651,235,251,233,4,626,0
pell_Dplus1_N56,92,2000,635,270,230,227,8,630,0
pell_Dplus1_N56,93,2000,625,255,234,229,12,645,0
pell_Dplus1_N56,94,2000,616,245,223,226,10,680,0
pell_Dplus1_N56,95,2000,657,265,239,243,5,591,0
pell_Dplus1_N56,96,2000,664,259,230,207,7,633,0
pell_Dplus1_N56,97,2000,607,279,248,257,6,603,0
pell_Dplus1_N56,98,2000,626,269,258,227,5,615,0
pell_Dplus1_N56,99,2000,583,271,275,238,5,628,0
