n,a,b,batch,samples,sum_score_t,sum_score_lambda,sum_score_t2,sum_score_lambda2,sum_score_cross,cross_wraps,cross_score_t,cross_score_lambda,both_wraps,both_score_t,both_score_lambda,either_wraps,either_score_t,either_score_lambda,direction_0_wraps,direction_0_score_t,direction_0_score_lambda,direction_1_wraps,direction_1_score_t,direction_1_score_lambda
130,9,7,16,100000,4964,11996,52273808,52175216,106048,31445,483276,326192,35271,482248,326540,68964,480100,329492,52177,481956,325608,52058,480392,330424
130,9,7,17,100000,1116,-5852,51690288,51777360,-298112,31184,471168,312152,35015,471744,311020,68736,467684,309124,51816,470132,309044,51935,469296,311100
130,9,7,18,100000,7340,12124,51856048,51789840,258912,31438,480660,324556,35381,477288,326948,68752,481392,324920,51915,481664,328724,52218,477016,323144
130,9,7,19,100000,-4356,-5700,51641552,51651376,40896,31240,471948,314876,35230,469960,316016,68841,467136,316060,51934,468860,313516,52137,468236,318560
130,9,7,20,100000,5788,-3908,52298512,51888304,308960,31478,482460,316692,35385,481568,318396,68686,481864,320336,52003,481044,318496,52068,482388,320236
130,9,7,21,100000,5580,-3812,51737616,52425328,46080,31357,473600,320924,35299,475040,318996,68752,475532,316212,51812,472512,320664,52239,478060,314544
130,9,7,22,100000,5160,-5992,52377504,52170528,264224,31343,479244,319864,35274,479684,319732,68751,483844,314032,51985,482628,317400,52040,480900,316364
130,9,7,23,100000,-3392,6672,51701984,52557600,33664,31231,469976,324508,35146,470888,322888,68508,471060,324340,51966,470652,327988,51688,471296,319240
130,9,7,24,100000,-13760,13056,52180384,51864864,-344032,31454,473172,320812,35288,471784,322832,68838,462996,325644,51865,466036,325800,52261,468744,322676
130,9,7,25,100000,-3360,-5552,52021440,52297792,-135872,31337,473788,317504,35247,473192,318124,68764,473284,312732,52087,475516,315472,51924,470960,315384
130,9,7,26,100000,-17332,948,51893136,52351024,-53856,31174,466080,320360,35036,465192,320528,68738,457196,319388,52003,461188,321744,51771,461200,318172
130,9,7,27,100000,-11836,1820,52271312,52230064,214848,31297,471380,324800,35281,471516,322072,68784,468936,321176,51942,467328,323712,52123,473124,319536
130,9,7,28,100000,-11228,-4180,51881296,52444016,-81376,31145,469344,318668,35027,468748,319056,68260,470208,324216,51591,471104,322020,51696,467852,321252
130,9,7,29,100000,2772,10628,52016880,52109712,126464,31739,474924,329112,35564,475164,328556,68925,474136,331020,52350,473828,330428,52139,475472,329148
130,9,7,30,100000,1876,3076,52614672,52116976,-59520,31274,475116,319676,35174,474388,321196,68937,476284,321728,51921,476448,323236,52190,474224,319688
130,9,7,31,100000,4920,-1008,51661408,52004896,233216,31247,474004,321504,35118,473636,319404,68896,469512,322088,51998,471508,319556,52016,471640,321936
130,9,7,32,100000,1428,1292,51657808,51931568,27136,31438,475976,319736,35358,476284,319508,68867,470368,317676,52041,474996,320424,52184,471656,316760
130,9,7,33,100000,3656,-7328,52332672,51749440,84064,31330,474008,316864,35240,475496,316472,68683,478816,311532,51949,479884,312136,51974,474428,315868
130,9,7,34,100000,-4496,-48,52301184,51854080,200576,31097,473940,318424,34943,473268,319136,68920,474076,318180,51942,475060,318428,51921,472284,318888
130,9,7,35,100000,-10840,7256,51915360,51954976,132288,31145,469180,323696,35046,469964,323340,68703,462680,323892,52017,463388,324168,51732,469256,323064
130,9,7,36,100000,-9392,-1168,51934304,52250784,-316864,31090,468780,317972,34967,469264,317356,68688,466548,313876,51778,468180,312316,51877,467632,318916
130,9,7,37,100000,3200,-5992,51755296,51631776,-168288,31201,470268,313704,35079,469544,314892,68746,475776,312456,51960,471096,317184,51865,474224,310164
130,9,7,38,100000,12340,2156,52372336,51856144,-18880,31532,481576,324512,35451,484120,325916,68777,488028,316536,52165,484096,322108,52063,488052,320344
130,9,7,39,100000,-13888,14984,52022176,52013408,304128,31369,470376,326348,35225,469652,325352,68838,465972,330964,52019,464656,333420,52044,470968,322896
130,9,7,40,100000,-10288,-1816,52230144,52336832,-172512,31042,469648,317152,34975,468940,316232,68469,472040,315964,51674,473040,317216,51770,467940,314980
130,9,7,41,100000,-5396,5420,51681456,52308304,-94592,31522,470476,326540,35356,469500,326236,68935,465080,326268,51990,466916,327228,52301,467664,325276
130,9,7,42,100000,5936,-10816,51720448,51992640,-15648,31274,471940,315884,35173,473524,312376,68797,475016,313220,51996,473120,316424,51974,475420,309172
130,9,7,43,100000,652,-4212,51734224,52224560,36800,31102,473276,319308,35057,474992,317284,68837,470816,317548,52067,472820,318048,51827,472988,316784
130,9,7,44,100000,-3956,4932,52137328,52032976,55200,31444,477008,324016,35349,474784,325948,68652,472608,322032,51913,471128,323028,52088,476264,324952
130,9,7,45,100000,1108,-15868,51890512,52068016,270720,31185,475900,321552,35059,476900,319048,68780,476744,305512,52024,476520,311152,51815,477124,313408
130,9,7,46,100000,-920,-1984,52293504,52139584,16736,31143,477484,315720,35037,477136,317588,68466,477332,320724,51748,476588,321380,51755,477880,316932
130,9,7,47,100000,5104,-9792,52094944,51907616,77248,31110,473752,315448,35051,474632,316164,68628,478512,316464,51739,473716,317176,51940,479428,315452
130,9,7,48,100000,-8084,5100,51931440,52141392,178816,31214,470568,323648,35052,469452,324180,68690,465608,327640,52003,467904,324236,51739,467156,327584
130,9,7,49,100000,72,10016,51989792,52087904,-129664,31315,472724,319672,35214,470952,321336,68721,473928,324188,52050,472396,325596,51885,472484,319928
130,9,7,50,100000,12416,-8520,51831232,52216064,151584,31267,474608,319972,35227,475260,320024,68770,483184,312368,51950,479440,318496,52047,479004,313896
130,9,7,51,100000,-9360,-9360,51782272,51965504,-80736,31099,465788,314256,34892,466612,314204,68566,468964,314092,51892,467688,312048,51566,467888,316248
130,9,7,52,100000,-7680,-704,52326720,51726144,86784,31215,474912,318820,35173,475008,318868,68480,472656,320216,51668,474076,319164,51985,473588,319920
130,9,7,53,100000,3008,5560,52173024,51909920,56064,31400,478344,317704,35351,479656,318556,68716,481072,319584,51880,481124,318868,52187,479604,319272
130,9,7,54,100000,-480,320,51985856,52054144,-282848,31075,474276,314960,35089,473632,316076,68718,472788,314940,51907,473432,315612,51900,472988,315404
130,9,7,55,100000,13532,-3732,52243376,51800976,11296,31416,481328,319856,35269,481984,319156,68753,486128,315932,51898,485100,319348,52124,483012,315740
130,9,7,56,100000,380,1540,51677840,51601840,159968,31370,475604,318948,35207,476496,319444,68688,474828,314612,51868,474716,317836,52027,476608,316220
130,9,7,57,100000,1460,284,52008592,52359216,-313824,31013,467560,321268,34989,466880,321324,68676,471144,323448,51877,469364,322432,51788,468660,322340
130,9,7,58,100000,-2624,-8104,52241472,51908992,-92768,31153,473556,310864,35089,472684,312760,68753,469900,311520,51973,472228,315672,51869,470356,308608
130,9,7,59,100000,-2752,-10120,51735264,51966176,103968,31257,472352,317524,35188,471916,318604,68431,472956,315752,51771,469432,317364,51848,475440,316992
130,9,7,60,100000,7812,-3700,51888400,52206768,79264,31320,474204,318812,35207,474016,318724,68984,477604,319188,52067,475520,320316,52124,476100,317596
