n,modulus,batch,k,counter_first,counter_last_exclusive,samples,sum_q,sum_q2,sum_I01,sum_I12,sum_I02,sum_Re_J_S4,sum_Im_J_S4,sum_Re_J_D4,sum_Im_J_D4,sum_q_Re_J_S4,sum_q_Im_J_S4,sum_q_Re_J_D4,sum_q_Im_J_D4,sum_birth_mass,priority_field_digest
50,2i,1,9,9500200000,9500400000,200000,-199986,199986,1552,0,0,-1308.6464,834.3552,1308.6464,-834.3552,1209.992,-771.456,-1209.992,771.456,1552,63f61c762e257e95
50,2i,1,10,9500200000,9500400000,200000,-199951,199951,3670,0,0,-3094.544,1972.992,3094.544,-1972.992,2799.424,-1784.832,-2799.424,1784.832,3670,63f61c762e257e95
50,2i,1,11,9500200000,9500400000,200000,-199868,199868,8089,0,0,-6820.6448,4348.6464,6820.6448,-4348.6464,6050.8032,-3857.8176,-6050.8032,3857.8176,8089,63f61c762e257e95
50,2i,1,12,9500200000,9500400000,200000,-199684,199684,14254,0,0,-12018.9728,7662.9504,12018.9728,-7662.9504,10157.1872,-6475.9296,-10157.1872,6475.9296,14254,63f61c762e257e95
50,2i,1,13,9500200000,9500400000,200000,-199367,199367,25544,0,0,-21538.7008,13732.4544,21538.7008,-13732.4544,18063.8736,-11517.0048,-18063.8736,11517.0048,25544,63f61c762e257e95
50,2i,1,14,9500200000,9500400000,200000,-198788,198788,42846,0,0,-36127.7472,23034.0096,36127.7472,-23034.0096,29292.768,-18676.224,-29292.768,18676.224,42846,63f61c762e257e95
50,2i,1,15,9500200000,9500400000,200000,-197823,197823,66660,0,0,-56207.712,35836.416,56207.712,-35836.416,44002.392,-28054.656,-44002.392,28054.656,66660,63f61c762e257e95
50,2i,1,16,9500200000,9500400000,200000,-196332,196332,96888,0,0,-81695.9616,52086.9888,81695.9616,-52086.9888,61580.5824,-39262.0032,-61580.5824,39262.0032,96888,63f61c762e257e95
50,2i,1,17,9500200000,9500400000,200000,-194184,194184,135648,0,0,-114359.808,72874.944,114359.808,-72874.944,83569.5168,-53243.9424,-83569.5168,53243.9424,135648,63f61c762e257e95
50,2i,1,18,9500200000,9500400000,200000,-191180,191180,193208,0,0,-162800.742912,103849.430016,162800.742912,-103849.430016,117217.370112,-74807.279616,-117217.370112,74807.279616,193208,63f61c762e257e95
50,2i,1,19,9500200000,9500400000,200000,-186832,186832,265109,62,0,-223016.611136,142408.693248,223010.96864,-142334.50752,153415.976384,-97954.778112,-153415.976384,97954.778112,265171,63f61c762e257e95
50,2i,1,20,9500200000,9500400000,200000,-180943,180947,341570,250,30,-286482.71872,182903.59296,286175.5264,-182662.1952,187349.25312,-119562.33216,-187352.89344,119610.19392,341820,63f61c762e257e95
50,2i,1,21,9500200000,9500400000,200000,-173475,173493,443433,843,108,-370591.093632,236703.998976,369601.986304,-236073.372672,238844.545472,-152610.564096,-239057.031872,152746.039296,444276,63f61c762e257e95
50,2i,1,22,9500200000,9500400000,200000,-163563,163629,551464,2824,262,-458037.653504,293365.942272,454716.406016,-290929.625088,274809.437312,-176135.049216,-275398.598016,176510.681088,554288,63f61c762e257e95
50,2i,1,23,9500200000,9500400000,200000,-151555,151785,666419,9176,836,-550950.477376,353297.837568,539765.442624,-345904.722432,318257.552704,-203918.287872,-320501.766848,205610.993664,675595,63f61c762e257e95
