batch,replica_first,samples,common_field_sha256,omega_plus_1_over_2_re,omega_plus_1_over_2_im,omega_plus_1_over_2_rank0,omega_plus_1_over_2_rank1,omega_plus_1_over_2_rank2,omega_plus_1_over_2_invalid
33,18004660000,20000,d44b7d907e7d2e89259809e700b1f65f6e49c3270f57239f10c9b972c076acbb,-4976.469954930852,7550.36154327864,5060,9863,5077,0
34,18004680000,20000,0b95b764c4c793c66a47a969e4b3c71df3e1779a36f9f8f1cee0ecfb4b439757,-4951.499248185578,7376.8907447154115,5126,9646,5228,0
35,18004700000,20000,93ceb711119792202602860b9a2047695f6fbe06d09b82251d0399df5b4d1ab0,-4978.498554209283,7463.678034735484,5105,9748,5147,0
36,18004720000,20000,d84fe281306c3023b49fdd30f8b85b8eb4427bdefc0db4fcf06ade3c06cf7ea6,-5030.507988350436,7568.167385149606,5060,9900,5040,0
37,18004740000,20000,4d6960abd3016115d237e43df96193d80f22dfbd6cb65f7523a776fe0292343e,-5037.079593999346,7585.818602556647,5094,9906,5000,0
38,18004760000,20000,351fbc432a62dcc68cbb5ed4c8d5b9dd926083e5c2445d2be392bf4d3914a409,-4997.808876996666,7540.176419884254,5041,9898,5061,0
39,18004780000,20000,de582fc27b190c07e61a6e64b0554ad6c2182221dc80156571d2438b1f193496,-5037.139440833741,7536.650531859504,5072,9869,5059,0
40,18004800000,20000,1966da416d42c55ffecd7be4e1c30b514b2f925cb5f5f7ffc67f165aa4945576,-5018.349486878698,7597.6731612299745,5036,9861,5103,0
41,18004820000,20000,60d674286f135c7b6a49dbc983ac48608856d61a57bb3048806b6efd8744a85d,-5017.476721571257,7565.54114283437,5022,9844,5134,0
42,18004840000,20000,cd2b70c002f4f36d810ac1b4726f3c5beeea97a4d017bad1908d8538f88bee99,-5032.807988296351,7586.8520582571555,5081,9854,5065,0
43,18004860000,20000,c1bf0ca011e19b2f8f6889911e7d2df6a27dc7bc861db4368b5958e28b7370e8,-5051.6119590919825,7655.238225913956,4936,9922,5142,0
44,18004880000,20000,b37a609567b31ae257c69287a3e633f65d56b0309240de22b4574d5c73b21d3c,-4948.034814131729,7451.562969034498,5099,9745,5156,0
45,18004900000,20000,64c0457781e10a950ddb4a75c469c4f35cc77554b3286d37e9b55e9c9b126b40,-5026.359657867279,7564.621952339021,5134,9834,5032,0
46,18004920000,20000,f6eda8099b675e362ab71d3701b356518db0330b33c9f92e73300af0b13a0419,-5028.159336961103,7570.871946212753,5045,9866,5089,0
47,18004940000,20000,fce4da98172f869bc190be1ec01f89fd071538b9ad91f1317c65f939ffc236c3,-5053.899461958803,7575.412812006449,5023,9886,5091,0
48,18004960000,20000,c2bffcdf1a0bfa8b321b725dd1304718eceb3fa3d8aa604027940c1e121b002b,-5042.123575454589,7548.697518381523,5103,9869,5028,0
49,18004980000,20000,f56f627403edf8f91bb30c21edb28eb507b728c93ecd2401435cbbd4214ac330,-5034.796082866318,7580.995121791192,5044,9907,5049,0
50,18005000000,20000,b8e63c59cf17acd8b5141a382d36c0de84096580cc2dab62d432c6215f9bdd09,-5020.173678055241,7511.566075514201,5111,9870,5019,0
51,18005020000,20000,b316109a8da60a1f2f38b48c34b5ac5a9308a74acb899d9cdd57adcfc43e9409,-5080.20537704545,7703.755573486453,5019,9970,5011,0
52,18005040000,20000,46c92cbc37f8b106e56fbc41989963461ebe849d1c8c47b6a9d2822e92cd89c2,-5014.236428497712,7517.803098926734,5174,9762,5064,0
53,18005060000,20000,d4e2ad1cffb3ed3c28e9c5394df77c8e46ada3deb38ca6042b0f5fa98267d991,-5054.481752705732,7561.196640868982,5014,9826,5160,0
54,18005080000,20000,177aac27750c42c3b35434b57ec1d9783a7473266451333ade27d523579a7bdf,-5020.324888866815,7570.102343487146,5030,9913,5057,0
55,18005100000,20000,06595dbd7b4d8ec885b3009ad98e050dba15eb7748b27163c5fd606d7ff47acf,-5037.528327916423,7570.533154297467,4985,9901,5114,0
56,18005120000,20000,9475e012970a4894f54f143965f5334c705907e44a033f550ae0335aa314d568,-5058.622705903305,7595.006914233787,5080,9857,5063,0
57,18005140000,20000,3a7f5378670ef0681bf8806b4211a436cab798df5800cecc2cd457a3543d889a,-5006.393580160967,7533.460264688114,5178,9796,5026,0
58,18005160000,20000,ea3a9a14a5b3b70a447ea199737a0498faf3054dda73a743eab613794872c6cf,-5079.753739901372,7609.67918526381,4966,9937,5097,0
59,18005180000,20000,aa53c061740277969a721d4e49eede680de579336eb33e64ecafe3afffff9af1,-5037.451612080938,7559.28658317558,5025,9889,5086,0
60,18005200000,20000,6c98897e59513e4c4ebbbe334b8dadd5ba8610b6d126e980a47cf5521085cae3,-5044.587603957395,7555.203584446674,5065,9886,5049,0
61,18005220000,20000,8c216164eca44352da6b849b473b7694f296f8f1cc58a2d4e5a2e37161daba44,-5015.156367040945,7499.879659100416,5064,9787,5149,0
62,18005240000,20000,ad099a6725161246991fffaec6999a00cce3772f391a94d4e0afb27fe2ae3ace,-5085.1960820088625,7578.614767993436,5004,9914,5082,0
63,18005260000,20000,95cbe14e12823b45395faf968c3d7d8c1bef3d4d62269df4489f680a21e96d9d,-5075.056449742761,7607.444143428819,5031,9932,5037,0
64,18005280000,20000,c2b4a524df6f8e90d0cf254af6cd06215f3b5f8ee56034a5dbc5cfee644c7a04,-5086.740091926056,7568.373813528605,5019,9866,5115,0
65,18005300000,20000,72613beafd56c90c50adaf8820e94020f65f726dad8b51c2eb0b296805e0c632,-4961.172465495253,7515.805658635872,5165,9791,5044,0
66,18005320000,20000,cd81ec019b6ba4ec0ac2828cd238484ba3240ddd6c1c235164a67fb97ad56b69,-5032.28184302665,7592.741782076944,5122,9883,4995,0
67,18005340000,20000,a8178e04873cc75026f1e96a63c63aba8c9429c381849f90af1d15be76256b1d,-5027.54397243372,7526.784655594562,5099,9835,5066,0
68,18005360000,20000,db5004f86d6995eb5630c5ed209e5613806411daa8564a62d0fa9aa01757f46c,-5038.41727473639,7600.662016053311,5048,9932,5020,0
69,18005380000,20000,a79d97be7e17e0bdc708380933c418a04e9808b44a3a9b19360e88923614118a,-5082.401619720691,7619.31635747166,5029,9958,5013,0
70,18005400000,20000,3f6df9d03589ba7ead9d2967be6aa1c867c3b31ab802ef8e813b61afc90faabc,-5002.888808260613,7559.164335592666,4994,9858,5148,0
71,18005420000,20000,20d88139ed00078995ea1fcb208bca7c312547df6084df16c9308ca1e53e0f68,-5025.826337808053,7506.796713170474,5040,9845,5115,0
72,18005440000,20000,aedc16d1303087132b63b254a8ff50bb578cc8a99242c6a0410f2078788261a2,-5069.2959195174935,7629.49091466679,4950,10004,5046,0
73,18005460000,20000,a2e09386c0a42d7c7b02d67409b682d0a2becb12adaedd1e72c6e6a1435cc5d0,-5084.426380136918,7630.194398142269,4960,9930,5110,0
74,18005480000,20000,0f073cbbb5b87a57dbda1878442ddfb72d4b3ec8e6103213ae4055838587013f,-4982.676157613705,7527.796786139949,5062,9771,5167,0
75,18005500000,20000,acbf7a84c6586cbd3e504e0ddfde115576c4f594cb42f8116d992aabb1d0b3c8,-5115.710368602078,7672.568423106532,5047,9970,4983,0
76,18005520000,20000,e363912d617db1d3bace99cf2dce6b6bed7c16f2492d51aa758c740eee79354d,-5002.148631956424,7516.689049744729,5048,9817,5135,0
77,18005540000,20000,551004bfae7dc7e78c0d0232b7469dd09bb8709f480f1667dea48d82ec03a678,-5049.352415514352,7556.487397361184,4987,9878,5135,0
78,18005560000,20000,eb9d7235ed5725839201705747bb26b80b9b38c2a09d810b0fcec19d57e9bf18,-5091.531130879267,7618.025636317939,5021,9975,5004,0
79,18005580000,20000,ee32321fad7bcd236e7ad0bbe5cbe077fe60abf841257fe8422fa4d414e9cfec,-5083.378098383317,7623.21593488595,5092,9939,4969,0
80,18005600000,20000,660dc1465ded89eb8ecd0ec43e66bb8d3abe785e17e2f5cd4174eb9f444f5490,-5060.23527672769,7563.818289451658,4981,9941,5078,0
81,18005620000,20000,e74d24f0ef8450429f7818043742fee2d3565e5a3400341f9b998f81ffff2812,-5096.937701698228,7694.595009677012,4960,9964,5076,0
82,18005640000,20000,a45f5e53a24cfdd7ea416da1bb064cf2092ee22bf2bb6cd0d18733464b1158f1,-5051.111940084052,7600.892827109995,5038,9847,5115,0
83,18005660000,20000,a4164f332bc96a42cc258b9bb6bf20a1bf7a4a7fa4a031708546a1ff9cfae026,-4955.919035672054,7490.535585592558,5129,9767,5104,0
84,18005680000,20000,3904f6dc08f7fe3e6f10cf5f51bb3b2db017ccf3eff5d830e2b96fa00a509cbe,-4932.268694063643,7398.869074912337,5164,9705,5131,0
85,18005700000,20000,bc98eafe2e90f9b98f977da8ffb19eff8ae235e6a4fc96fc6c984f0a3806e2f7,-4990.501126379874,7532.163959505787,5139,9829,5032,0
86,18005720000,20000,ee980bacb07559effb3953560d651c86fce8b669938a59f2d6e5ffc916684709,-5018.704268138264,7491.791497655828,5085,9895,5020,0
87,18005740000,20000,97497354d14e62f01053c61097305fb64019fc9033cae259a04115829e68c6cd,-5066.04007537509,7600.095232357399,5053,9977,4970,0
88,18005760000,20000,8b0fa646e8586fd4d00b53deae58be1b1b985974cc46ee99d3a6d678b9abb521,-5045.474466437299,7621.013714265074,5044,9900,5056,0
89,18005780000,20000,3c08d80452681e54b2f0eddede483ffb4d468a3dbb628960289ae00979309988,-5013.6877501131,7574.5208366618945,5034,9847,5119,0
90,18005800000,20000,626321a61bc4b31f83bf9136e2eb2d64d647c0a20e43179f852203a3b1a28301,-5044.815684333491,7616.844137762408,5111,9932,4957,0
91,18005820000,20000,17bbd8202c3c46cd00368a8833f7b7f2b13ddb3f232933d12389796ca1a80100,-4970.6198152505485,7487.529577048281,5061,9751,5188,0
92,18005840000,20000,ae1725492bb0f7afeb61f8864238ace1b3f980388a1ffb2eea99f48d5b946da0,-5076.55454208794,7522.649076074386,5039,9846,5115,0
93,18005860000,20000,0ce6d85cd2c1de32859d04ab5cd19a2cc11b02058377f640352be6e5ec711e3c,-5055.840141144835,7578.434071658293,5129,9951,4920,0
94,18005880000,20000,a1daaf98af29158657eeb9f833f3b9df9749a26cb4c84a4dc42d6c638c451e1f,-5046.6340522439095,7520.925737165044,5013,9826,5161,0
95,18005900000,20000,96d9d0d228849cef1b76ef1c1913e3b02927631cb9a26793ece1693777901270,-5030.4479972410345,7564.794479452578,5117,9856,5027,0
96,18005920000,20000,47e88d01016fbba67044f812c62bc13fb4301a5955a26db635e364c54c6379b3,-5045.494699218425,7576.2678931627315,4994,9865,5141,0
97,18005940000,20000,aadeecc1e5e6fb1ffd93a52e81726c87831868b563a313c8ff5aecdea28ad279,-5040.77566334954,7597.150700719949,5163,9841,4996,0
98,18005960000,20000,6784200eda09687de558378f87a264bc0d716f997bb24ef40db029b9760d78ce,-5025.199734690562,7628.636380844928,5040,9930,5030,0
99,18005980000,20000,638511232d4b001e9477944ef385cbcb2f61d3476d800ee173efd02211b5c158,-5043.97211831017,7578.533834684577,5155,9871,4974,0
