batch,replica_first,samples,common_field_sha256,omega_over_2_re,omega_over_2_im,omega_over_2_rank0,omega_over_2_rank1,omega_over_2_rank2,omega_over_2_invalid
51,18003020000,20000,6c66328ba9c6cdbe7826cf61d860f686c4a15e429edd3d9640bc6bbb1fe62d3e,-4975.218126389976,-7494.812161362514,5176,9716,5108,0
52,18003040000,20000,e3be60c6ba5d2d84ee6e1437021d7204efe31937c8d84db3c86c125babdd72cb,-4991.267817382464,-7521.221206266692,5093,9793,5114,0
53,18003060000,20000,b30ca3f40be32cab42bada5c9430185961c4888eff927b95901e5f705f01eea9,-5076.771102363233,-7636.145473832849,5007,9962,5031,0
54,18003080000,20000,aa6d915549c44af00ea0269808888caf3b5bbf34b0eba4bed662f0f49b6d8109,-5056.495187985148,-7581.752093882958,5093,9953,4954,0
55,18003100000,20000,571397be43e1006544dd1c15a94a1afda11e1e563fadaaf54fccd4be7b1d432b,-4995.951810620419,-7527.736009551076,5134,9814,5052,0
56,18003120000,20000,dc5d36db5d1466f05dc0ab2e5968cec7c8f72ae714a2f8977c375230129b8b6a,-5018.645307277863,-7511.153680827653,5113,9814,5073,0
57,18003140000,20000,c7d893cef83bc3555d919d0138c5034b3becf0af7df5d5fd0d2542a8e2fce511,-4936.448406628662,-7441.985980262305,5162,9770,5068,0
58,18003160000,20000,d1ddca200dabb44f7bb37693aa0a947811eb21969e9c4634699debd059d8558b,-5075.921295119037,-7671.317306370097,5072,10002,4926,0
59,18003180000,20000,896964a819849d88ce3d53299269e291b4d2d152bfb4182e45a6a1b16c47547d,-5053.418588529661,-7538.762001900961,5092,9835,5073,0
60,18003200000,20000,71237306535ef8402fcda5e6bbc705577972ddaa1497f0bf622f38f6f2e58f16,-5018.932793887748,-7521.521295676921,4972,9861,5167,0
61,18003220000,20000,0e062bef871508806e78236e06aaaab72dc5f2fa98baf767c287c76c9aff4d8f,-5030.527675270383,-7531.596129618838,5093,9850,5057,0
62,18003240000,20000,46e4d1054444f5c5a864fc00c04ea1c51ce19cb884d036405c4169e16b6e1d45,-5012.525597036982,-7523.38360767896,5124,9802,5074,0
63,18003260000,20000,f966d77c134da99f16c0acad24371f6268c998d664899ee9a1cdeda24063a274,-4935.9995653092365,-7465.18767062324,5177,9740,5083,0
64,18003280000,20000,44412d9e9c994fbffeaa4d7f598260e6860de37645e66cffbf0a08fb4a9effd9,-5055.245610978077,-7592.673342407376,5155,9894,4951,0
65,18003300000,20000,299e6ac9e464ebe2e6f310c9d33e5e611d7112c0042d910d4a9d0ce22a4bb15c,-5023.36404791859,-7495.4934457181425,5039,9843,5118,0
66,18003320000,20000,21f1645e2db92dc02ba02ffe3e1124f6ff41ee95a74c19057fe312e3b594dbd1,-4957.839308967227,-7481.725199338873,5250,9733,5017,0
67,18003340000,20000,a6f7a2ec05e1054bc90c2a27c9e87c3820f9c19cb855c09685467dde20b5021c,-5015.816709954309,-7505.359716333965,5150,9762,5088,0
68,18003360000,20000,a02adf6f7423e3ee4a3eca0305c26cdfd2dbcd8dec5fe3b16ead376728fbdc5d,-5077.5461553102,-7651.030928497544,5039,9912,5049,0
69,18003380000,20000,914fa2b463abea172148ce8a75230c92bdc79e588531c85f5eefe3fac47b46d4,-4997.386393427537,-7554.531723010728,5078,9857,5065,0
70,18003400000,20000,2ab99aad04d654ff1bbbe0ed2c80ffebdb1f7e07dc79ef077e1b41b5bacada5b,-5017.531177110594,-7567.480840603744,5106,9836,5058,0
71,18003420000,20000,b1fca74fbabbe2f53d7223e1335f57f47765d8f384949e39c1d60e2e044bdb27,-5081.886567796948,-7624.261011681487,5047,9920,5033,0
72,18003440000,20000,50532831d8a3c91e9c84c6805cffa36f764602384e149ebce0f68879767fa9df,-4996.689074881163,-7512.485293957054,5019,9842,5139,0
73,18003460000,20000,d3a1da4d56c7f98a20fb029249f5983e97a2d1f0284f72d6c789867fed696280,-4949.609095910886,-7483.100725181336,5132,9756,5112,0
74,18003480000,20000,db590a3180614d8f2c48a86fc884e8412e41c0bde5c351f211c810c87e676bcb,-5064.701583759589,-7607.329906171164,5065,9916,5019,0
75,18003500000,20000,57f362aff93d3ccf1bb1485bf6fda679b0a7c67b132523764278cd6b614fb830,-5034.804514035967,-7553.757214672705,4950,9896,5154,0
76,18003520000,20000,7efa5c3c591fcd41f56b6bc3706cd9de16a6c61ce5d7bac39ee4cf03435b1fcd,-4987.697640796581,-7521.053693812592,5070,9785,5145,0
77,18003540000,20000,9ab6df4ac9aa3ed849c467a7c6348197d038d5e620917f1ff2498e127c0d62b5,-5023.142433337305,-7534.761404970337,5125,9849,5026,0
78,18003560000,20000,8b32a67e98c97df4916cbabdc918eaf6d73f16eba74fcfbd00418d5a0e356fd1,-5063.217666172277,-7614.248942204781,5072,9866,5062,0
79,18003580000,20000,be0d062e9f8fbe7e7049033136d6264b0e598ef4b1815250b50e580a72d4687a,-4989.939743026014,-7527.70045153193,5078,9794,5128,0
80,18003600000,20000,b747d3a9c5c2078034694ed3b4fa016375a2c580a7ae7f37eac63575425ea489,-4983.965782501143,-7484.8553476743355,5076,9788,5136,0
81,18003620000,20000,13587efa69ce4055b8eab60542e8a25767b25d80f9f08736aed069aacb69c9fd,-5065.403199625184,-7626.023469481485,5027,9959,5014,0
82,18003640000,20000,d13c70c9337f96b3332bf8334f8caeb9b8944391dc28f247c1599e89b1f19bd9,-5107.906693859118,-7608.716933985405,4947,9978,5075,0
83,18003660000,20000,cba2da36c306c4a8f356063f48820f91eafb217a5edfa1fd1d1974efc36100f8,-4999.458958252409,-7539.298099329854,5132,9829,5039,0
84,18003680000,20000,545e41dc5668bffeee48dcf11d480a255172793c0ac45b648916b1454ad8dd84,-5027.875019213045,-7557.751422751031,4986,9869,5145,0
85,18003700000,20000,6c4e3c48ac7c5eeb59abbc2ae0865eefec35bb78da97eeb1ab29ddf36e739fbd,-5066.555313492179,-7622.484162121135,5041,9894,5065,0
86,18003720000,20000,2c86c1149d28c3dc2232867756c9e1ce27a81c41d932338dc26be34b9c8087d8,-5001.022035239624,-7431.974818610616,5047,9837,5116,0
87,18003740000,20000,b1388e266bf3f419892bb1aeb23bc82f62c8a61df156dde0d350a7a3751db50a,-4921.121355846564,-7498.624946211724,5093,9755,5152,0
88,18003760000,20000,971db3eebe2142263c452309b4b8c10e2f79ba13898e5627c2f6b3fea8e171c9,-5009.8946743978695,-7544.796775652935,5012,9872,5116,0
89,18003780000,20000,f6e0ccafe52a50484129efc7a4dc6e8e1bf49a1b2b1fc862329ee3cef2d142b7,-5070.958313146777,-7594.3324130813335,4995,9899,5106,0
90,18003800000,20000,5122927a2d76bdb28a3d5ca8c711bf644c2ead84e897dd991a5b9484c98667da,-5001.431216963734,-7453.076564895564,5070,9786,5144,0
91,18003820000,20000,53a7a5f816be83467a8f41d9b414d42781b25d8863b6d223748e50abb943804f,-4974.532712163389,-7524.90561808275,5154,9838,5008,0
92,18003840000,20000,95c7a27a51ab12e415f6cbea5fb31dc363a215f21413697218d76eb05095311f,-5028.682611464577,-7559.028052198697,5151,9847,5002,0
93,18003860000,20000,a434cc5b267dd79384711a2cf42b4736b8142adfe541f922f619f09d1def2939,-5064.751018314735,-7580.468731214333,5019,9859,5122,0
94,18003880000,20000,0d438228f71d41f77e9a04acd9d12f21d7574c6ce35383b40fb6ff0cb5a2943b,-5000.08097356238,-7526.622825629075,5202,9814,4984,0
95,18003900000,20000,10b971b98c3cd4b9661d990a75b6c327ffbdb3c138d4b4b2464cb9bed10e49b5,-5010.250094490654,-7546.827071018191,5094,9846,5060,0
96,18003920000,20000,adea885889ea486f5b13ccda28c9142c4f92c6926112b2c6fef79780c7e853ba,-4983.475893056184,-7428.020011983824,5120,9712,5168,0
97,18003940000,20000,5c9513eb9ccf4eda4237e1492e16b89bf2bc88f3304350b87f1a42ed02a3ff02,-5070.004763065734,-7596.8679386774365,5037,9923,5040,0
98,18003960000,20000,cdcf4178be9cf78d8fd87ecb87fcd833e0502fa3cd00b2f1254db690127c4d61,-5026.249379182295,-7635.328174026617,5124,9831,5045,0
99,18003980000,20000,3f08631e9ac6b39581635775c587a4eed75c2888e7d0a4a7e03605b7b40fd298,-5046.038815680523,-7597.43553310983,5157,9914,4929,0
