batch,replica_first,samples,common_field_sha256,2omega_re,2omega_im,2omega_rank0,2omega_rank1,2omega_rank2,2omega_invalid
21,18000420000,20000,1eb3e34dc05d6bdb30f4da4d8c633aa16b6d2202485193f3b588453960c381f9,8746.16105820419,29.065743944636658,5254,9509,5237,0
22,18000440000,20000,49b8b397fd878d0066ce0b262685bfee220d871eb7d71326ef38b8a3e883da4d,8770.5894943968,22.66407158845009,5298,9616,5086,0
23,18000460000,20000,5d6e09b2552679eba310f997eb3f72d7d2bfc003a4ceaa69b19b3787695ed165,8829.495361127185,-20.995025893437493,5193,9613,5194,0
24,18000480000,20000,4377885c25c417cd90497dcac90a97ee48748d44e224a8a678692a9511ef1667,8850.04828668111,0.7094866971244307,5211,9704,5085,0
25,18000500000,20000,76ca693567c0013cdad89c707307936c77cc1f5e55407f454e8f53d08c63b2af,8699.790815989647,-11.747260707719857,5215,9500,5285,0
26,18000520000,20000,639528da841c51f0b2c13480d3b811d6a8821dae7d81425d7d80346d25f84e31,8725.719566957918,18.14893306390643,5247,9575,5178,0
27,18000540000,20000,cacc78286f85908725127eff366b3494981771b56fb18362073a58eee9c97b92,8720.153352012181,-31.436130295740316,5328,9560,5112,0
28,18000560000,20000,7608d94c74b0150a2e0f728240412151a73d962c2b1494bc11e63661ba217284,8754.369378325013,13.641940580396122,5282,9576,5142,0
29,18000580000,20000,e3969ce132747443a90c9800630fc77774001b5eb5cf4618ddf08fb85585c1ce,8767.869693100662,2.9670559593962595,5268,9556,5176,0
30,18000600000,20000,bf8e5c5d030ea5ab8a042b06e612646d731b73a3d470aa641226d49662a627cb,8750.747248618834,7.715974702636949,5106,9572,5322,0
31,18000620000,20000,ef9f0142fd69720998bc226a6f25665a0fd83e3281ad222dcfe5e153e8b63c9e,8834.844056319262,-36.54793842857659,5114,9672,5214,0
32,18000640000,20000,96182bb5a4e66106b03a807073db8298b8fbfc86e708dc9bf542d71f8d548c3d,8683.568025487035,5.458405440365118,5253,9506,5241,0
33,18000660000,20000,e19e2c82c48908695b2897a57a93b5e01066d7333b2cc65296797d38781b135e,8812.485610055699,-12.10200405628207,5225,9652,5123,0
34,18000680000,20000,d955f69ad0519f630869fd6bb004bb6a311042b8d19396701c07af212de077f4,8809.214298533796,-5.216479180634735,5188,9609,5203,0
35,18000700000,20000,c3d4afa0704f11eaed3627bc1d2189a267327d27978e0b02fe98061ba38288fe,8888.138959743108,2.8460928295310675,5151,9695,5154,0
36,18000720000,20000,2b0571019e8444fefb4225747b81643cdc44e65f00ae27d406cc15b7291bc600,8829.725779709102,-17.084703018219788,5234,9628,5138,0
37,18000740000,20000,0156bd475ce1c2ebbd0921e3fec4f2a3eecbf1e307cda4803fe616124293c2bf,8850.548601456787,37.73313160412843,5063,9671,5266,0
38,18000760000,20000,8846cf29df07df67e803614a33d6bd79ae66d13612e67608f84da73eac8d7d1c,8897.599796906914,-12.10200405628207,5293,9734,4973,0
39,18000780000,20000,6e5c92e02cd3e83f735441bf0bd394861f499861be2155e319ac7260691f57a9,8763.260774673601,28.70285455504108,5181,9604,5215,0
40,18000800000,20000,358e4ea533c1b399b273a247cf4ef3fc6ab3f31d9cdb47ce919fef953da0558b,8830.383219155457,-14.714316667116123,5205,9638,5157,0
41,18000820000,20000,5f853dbd4f2492997f5e5524070f8a6dfee95d6238d1fb2516a611b682f40f16,8728.309925244252,-12.690527623541314,5169,9564,5267,0
42,18000840000,20000,a3732996a833c85d23f0aebb448fe6f4c2605942acf433534b0bd85c07cefad0,8734.06212751156,-15.536620453072382,5121,9574,5305,0
43,18000860000,20000,7521ea12071a461735a550c5216d47b2e2281c1fd293664638a89f77fcc5acdd,8858.016515261268,-12.57771053470948,5146,9698,5156,0
44,18000880000,20000,9ec96324ec4666c443d5e6de21d26b845992d5890ff839563cc48491db026b79,8735.588000955931,-28.243440158680393,5202,9607,5191,0
45,18000900000,20000,8f5f1d5951f6944c700b34d53e430f6e5212089b2bfa05a900b871f54ed26725,8686.056544311752,9.02213100805397,5274,9510,5216,0
46,18000920000,20000,573b2de102ffec927f55261eb14df42c3eaa84bbc243e71901ada77cf5dcdfa0,8823.961781490809,-21.59169550173009,5136,9653,5211,0
47,18000940000,20000,2c0ffa76f6393ce62a3b0070d59645b82b3f1ace9830619de66153c9cc8cb2a0,8825.916169240501,13.166234101968715,5143,9655,5202,0
48,18000960000,20000,f7334d20023cbdd6d810bb23ab33f1c9d19e8760e85c50aedf603a43fad8107c,8868.086270852144,-0.5966696082925886,5207,9685,5108,0
49,18000980000,20000,207edc023b86db13d9442e83108d87523cdf1b8e2229ea8ff6a8ffdc58db15ae,8745.666326628334,-34.40318625513659,5240,9558,5202,0
50,18001000000,20000,4349a6a0ebefe2b114375952d25c08b62900916d57790eb7b4e0786657e53b43,8914.67662913844,-18.39085932363681,5204,9718,5078,0
51,18001020000,20000,cd18c36132d80df8a50cb03a462a83f24fb9a819276463cacb7c83b3701b4c5c,8748.026817771373,15.060913974644976,5265,9579,5156,0
52,18001040000,20000,a899cb972caed82437660391c76f47f9142eb90e5e735c2ed5da18f87adb476f,8813.35970536624,-4.740772702207335,5235,9577,5188,0
53,18001060000,20000,6079235b520633e2ff541a5604d9384e067d68f806c3a19bda70140ff5696b47,8819.680718897407,-7.9416088803006195,5161,9665,5174,0
54,18001080000,20000,ce5658bf437242109004943a0ad73fcb2133289f4b3d363ddc5f18263f48941d,8867.674584258966,9.965397923875429,5263,9650,5087,0
55,18001100000,20000,11b3beaab32aede27a5c42c651f80153b5e32692fa48c93e64f195ebbbd9b1d2,8703.891162010405,-9.013984967020615,5181,9515,5304,0
56,18001120000,20000,791f8e0c283bd59f8ce1957dda31f2b6374252f6565ec5765574f04f5c53e90f,8870.363165573845,-7.111159053310999,5170,9743,5087,0
57,18001140000,20000,719dfaa4f044f4e089b258b2d5ba1544c83da188cadbfaf0ee38b0feaa7d9312,8725.869693100662,-8.659241618458404,5300,9514,5186,0
58,18001160000,20000,dfd2ecc74ace8dd5f0aae63bd6a3b529a6a3fbb79b8eceec9e6e7d73ae8ca10a,8841.105694882399,11.505334447989476,5158,9660,5182,0
59,18001180000,20000,769f287597fc7bba3638be8a3b365efd2b6ae671884b538c37049eab93044b6f,8834.91616924049,22.422145328719708,5149,9664,5187,0
60,18001200000,20000,72e412cba5d07ba0170f039dc58667c0f22a48f9eba84ec7c39daf3d1b3b631c,8848.700142927668,-5.337442310499927,5147,9696,5157,0
61,18001220000,20000,908d1b85ea78556d2a1fa5a03b1fa9daa502247b0cde51a7f402db8d2afbe73d,8912.07801322149,3.200836178093285,5043,9759,5198,0
62,18001240000,20000,274a46f4a2c6fc951b37c7f55781bc11aec8fe1ac3324b9e4851b7692d1c268f,8817.614189175978,2.9752020004296167,5232,9687,5081,0
63,18001260000,20000,46324d770891affc4c1817479f413d6d79c6f8810f8d46a0c2964d41b5b9fa09,8852.42057377513,19.100346020761236,5113,9690,5197,0
