# schema=matching-one/p537-aggregate-wedge-mc-combined/v1
# L=8
# N=64
# samples=100000000
# shard_index=0
# shard_count=1
# batches=100
# proposal_p=0.59260000000000002
batch	kind	transition	k	count	sum_q0	sum_q1	sum_source16_0	sum_source16_1	signed_count	signed_source_mid16	unsigned_count
0	global	-	14	0	0	0	0	0	0	0	0
0	landing	01	14	0	0	0	0	0	0	0	0
0	landing	12	14	0	0	0	0	0	0	0	0
0	global	-	15	0	0	0	0	0	0	0	0
0	landing	01	15	0	0	0	0	0	0	0	0
0	landing	12	15	0	0	0	0	0	0	0	0
0	global	-	16	0	0	0	0	0	0	0	0
0	landing	01	16	0	0	0	0	0	0	0	0
0	landing	12	16	0	0	0	0	0	0	0	0
0	global	-	17	0	0	0	0	0	0	0	0
0	landing	01	17	0	0	0	0	0	0	0	0
0	landing	12	17	0	0	0	0	0	0	0	0
0	global	-	18	2	-2	-2	1280	1536	0	0	0
0	landing	01	18	0	0	0	0	0	0	0	0
0	landing	12	18	0	0	0	0	0	0	0	0
0	global	-	19	1	-1	-1	256	256	0	0	0
0	landing	01	19	0	0	0	0	0	0	0	0
0	landing	12	19	0	0	0	0	0	0	0	0
0	global	-	20	7	-7	-7	512	512	0	0	0
0	landing	01	20	0	0	0	0	0	0	0	0
0	landing	12	20	0	0	0	0	0	0	0	0
0	global	-	21	11	-10	-10	1280	1280	0	0	0
0	landing	01	21	0	0	0	0	0	0	0	0
0	landing	12	21	0	0	0	0	0	0	0	0
0	global	-	22	57	-57	-57	6912	7296	0	0	0
0	landing	01	22	0	0	0	0	0	0	0	0
0	landing	12	22	0	0	0	0	0	0	0	0
0	global	-	23	173	-172	-172	30848	33920	0	0	0
0	landing	01	23	0	0	0	0	0	0	0	0
0	landing	12	23	0	0	0	0	0	0	0	0
0	global	-	24	339	-336	-335	66304	69504	0	0	0
0	landing	01	24	0	0	0	0	0	0	0	0
0	landing	12	24	0	0	0	0	0	0	0	0
0	global	-	25	746	-735	-729	137280	142400	0	0	0
0	landing	01	25	0	0	0	0	0	2	784	2
0	landing	12	25	0	0	0	0	0	1	272	1
0	global	-	26	1662	-1631	-1602	337280	336128	0	0	0
0	landing	01	26	0	0	0	0	0	5	1832	13
0	landing	12	26	0	0	0	0	0	-1	-432	1
0	global	-	27	3234	-3107	-3044	644736	664000	0	0	0
