batch,replica_first,samples,field_sha256,translation_sha256,ap6_bp0_r1_plus_re,ap6_bp0_r1_plus_im,ap6_bp0_r2_plus_re,ap6_bp0_r2_plus_im,ap5_bp1_r1_plus_re,ap5_bp1_r1_plus_im,ap5_bp1_r2_plus_re,ap5_bp1_r2_plus_im,ap4_bp2_r1_plus_re,ap4_bp2_r1_plus_im,ap4_bp2_r2_plus_re,ap4_bp2_r2_plus_im,ap3_bp3_r1_plus_re,ap3_bp3_r1_plus_im,ap3_bp3_r2_plus_re,ap3_bp3_r2_plus_im,ap2_bp4_r1_plus_re,ap2_bp4_r1_plus_im,ap2_bp4_r2_plus_re,ap2_bp4_r2_plus_im,ap1_bp5_r1_plus_re,ap1_bp5_r1_plus_im,ap1_bp5_r2_plus_re,ap1_bp5_r2_plus_im,ap0_bp6_r1_plus_re,ap0_bp6_r1_plus_im,ap0_bp6_r2_plus_re,ap0_bp6_r2_plus_im,am6_bp0_r1_minus_re,am6_bp0_r1_minus_im,am6_bp0_r2_minus_re,am6_bp0_r2_minus_im,am5_bp1_r1_minus_re,am5_bp1_r1_minus_im,am5_bp1_r2_minus_re,am5_bp1_r2_minus_im,am4_bp2_r1_minus_re,am4_bp2_r1_minus_im,am4_bp2_r2_minus_re,am4_bp2_r2_minus_im,am3_bp3_r1_minus_re,am3_bp3_r1_minus_im,am3_bp3_r2_minus_re,am3_bp3_r2_minus_im,am2_bp4_r1_minus_re,am2_bp4_r1_minus_im,am2_bp4_r2_minus_re,am2_bp4_r2_minus_im,am1_bp5_r1_minus_re,am1_bp5_r1_minus_im,am1_bp5_r2_minus_re,am1_bp5_r2_minus_im,ap0_bp6_r1_minus_re,ap0_bp6_r1_minus_im,ap0_bp6_r2_minus_re,ap0_bp6_r2_minus_im
10,30000,3000,b34f2fe3909d36fee23a8c907283a35af4f13eea556b781eaa0aad43cd154ea6,ead3f938e42decad2970ad8243b2c4f7935d0c8e8d2cdb11ab78503f1a3ce6c7,3.669868443825041,-0.5657752504902792,4.430131556174965,6.274543677904603,2.874852915724961,-5.298974812658083,2.0251470842750385,-3.5903852070237914,4.72052622469986,3.350339429314211,1.6794737753001459,0.7037227496553624,-9.322004398824621,2.19342167553416,-1.137995601175389,-4.059421307686225,1.9916718427000286,-3.455676814049905,2.5283281572999825,3.8050358417284107,-8.838297101099831,-4.342058698216443,-5.081702898900179,0.05026192637460969,-3.184984471899923,1.4712373373857734,-1.5750155281000766,1.2772864585056998,4.822693235899584,-1.4308838918966615,-3.9426932358995903,-5.510768665795234,4.325835921350015,-3.270014862959723,4.594164078649992,0.18709034187392048,4.025673308974906,2.8063378910139294,1.8343266910251015,-2.8394484748731523,-0.438622325850052,-0.05874201647636511,-1.6013776741499526,-6.029639240908232,3.011834455075143,-1.2919354538719097,6.00816554492486,-6.160917365379024,-0.04901699437494921,-1.4622567778541782,1.0690169943749461,-1.3768823899010074,2.6545276909747257,-4.231362184764118,-3.1145276909747275,0.3815416901838414
11,33000,3000,9ab6b575e05713f4719f955bb1b456d0900a4dfa56a7221db143e2dcdd356637,788d34d3f76075d5c8b91d575b302d9f5fe9c9c440c24c52bcc5facd9ef3a6d7,3.8849844718999176,-4.938014733492708,2.2750155281000777,2.205450178945087,-2.743932022500209,3.9085625110566395,-7.216067977499777,1.4167353659602835,-3.6256111965745905,-0.2515738116906663,5.005611196574589,-4.781914952952571,5.123769410125085,0.501409925479632,7.136230589874905,-0.2158427358761704,-5.145185471849549,3.9007010351908176,4.42518547184955,5.5125793812027135,-0.5133126291998983,9.557587983134948,1.6333126291999,5.8017680016211255,4.000263112349928,-2.0286506425803976,2.4797368876500703,-0.8857632699306073,0.15845971347493937,0.15891143480727318,-1.1384597134749421,-7.998046458722736,-4.691710230274518,0.7450041164983794,5.1917102302745395,1.0913152002975408,7.571284505549501,-6.370327016173112,-3.2512845055494926,-10.19327884966438,-1.3892801067248817,1.1859794549002738,1.2492801067248782,4.886251398828593,-3.3176082640248556,-0.9637766514477888,-0.14239173597514893,-3.119156066330129,-3.37160973029972,9.35958822151584,2.5316097302997163,-2.4694348186704214,3.171184005574677,3.5738524787443393,-3.6711840055746894,1.7881774129467571
12,36000,3000,0dc4c56c5f0b38fbb27de469b20477a39b5696298ce1f81290330b6fead03aef,687f32059e76cf73ee33ee6fd817462c4253ad869cf47e661e8cdea7a9b97b5f,-0.780000000000003,-1.1057730333518883,-0.7800000000000038,-11.566039339320595,-0.43734515167492044,-3.5893842681641157,1.2173451516749347,1.7246218644839102,3.2213776741499456,3.2704423148837973,2.0586223258500596,10.275222969114465,-2.000789337049787,-2.004211311134792,2.5607893370497905,7.751331306318894,4.273413129174715,-0.04571257420575919,-1.8534131291747091,-0.6065561479034592,-3.659937887599695,-5.480706025815359,2.779937887599703,-2.0203617147905013,9.22253062352448,-4.3621398398050815,-2.002530623524468,-0.172441346507712,0.9896053314751082,1.9308654265925498,3.2703946685248906,-1.5930344328951462,-0.7955417527999319,2.927134047663633,0.6355417527999324,1.3884834413878748,4.105673308974888,-2.8650799074902973,1.9143266910251018,-3.190190766035065,-3.1104567809251997,-3.8277374752723152,-7.269543219074802,-2.313098748518084,4.178823325799681,5.892001048861102,-2.61882332579968,-0.0912339860996518,2.8367568145747617,-1.0868839929347993,-2.2167568145747656,-3.0900943652099215,2.9196747752497685,-0.009481028961427216,-1.9996747752497712,1.886772405482401
13,39000,3000,fcce9f8579ab84195f37fa41369111cebaa0909592cb3bfc5487c0ccf433f216,dbcafcdb746becede2ebf9d177600afdcddf47a57c8c771f7c6a3fdebe0e5363,1.2276393202250047,-3.5343088098030284,1.2723606797749905,-7.126195425116321,0.20429563482495045,1.0941268545646845,-0.824295634824953,-6.789174207966704,2.1982971010998207,1.3319795922430506,-1.5582971010998248,-0.9642771208776177,-6.713676241524641,1.256013215745544,0.9336762415246332,6.559301090960265,-2.2291174943497643,3.0014078535597677,2.8691174943497626,3.9053234048654266,2.612561679724627,-1.8043278166024592,-5.392561679724618,1.3032271982408061,1.6113466179497944,6.316016207059487,-2.7713466179497908,0.3285411270478521,-1.763645185324489,2.158309213955587,9.10364518532448,-2.5565017772249745,-4.283645185324492,2.3718407649944533,6.583645185324492,2.20190176563591,-3.6244582472000713,-8.495216339151517,-5.05554175279993,0.9007215724147797,8.634628190949535,2.2072608943525553,-1.1146281909495406,2.468197590198549,-1.1056733089748954,0.5189435926187457,1.0856733089748962,-10.877347909655187,-3.0385602134497494,2.911984582867591,2.2385602134497495,-4.456494787289839,0.4065247584249862,-0.3998851338707504,0.09347524157501871,5.325607184134894
14,42000,3000,323c2a4e25ff735a149e235e9b56fd42613593e34fb65f1d4839f11e5c6b5a78,03469b119225924a70cb085808170818cf95a7d47cddc1e00fc44a0df3eed40c,7.6027553482998975,9.486744445741872,5.277244651700105,3.0241825046094295,0.03193495504995408,6.158988505165443,-0.951934955049954,-6.392719342599043,-4.695154415649401,-0.6664172480455951,8.0951544156494,-9.980174750549581,1.7751781404751885,-2.2061418106867894,5.844821859524812,1.5280504936485653,1.3256733089749004,4.951853952311117,-0.8656733089748949,4.3221687189396905,-2.7012150617748265,0.9835484859184428,0.9212150617748293,0.4501470602453561,2.1988854381999827,3.049431612602838,1.841114561800011,0.2548859353876453,-5.932035455024756,2.341159510778637,-0.9679645449752359,-0.13027718561112964,-0.7283902697002788,1.7023025555637497,-6.631609730299724,-4.625815172412435,-0.5794737753001424,3.010888882521201,-3.620526224699854,2.0185509993830366,2.3084286572747854,0.661249281640812,-2.20842865727479,0.4612476423023881,3.763281572999746,-10.467363132587074,-1.6032815729997474,-1.9478986243018306,4.483970410074713,-2.1314856801669197,-1.463970410074723,-5.312887048982252,0.8979334887750801,-3.7346927737651816,2.642066511224911,1.1090851570488593
15,45000,3000,16920833d25469716fa44de8095b470029c0cdbdfd0ef024956111f0a54b8128,54d081b455d2e374a05a04a081a1eecad294bd1e5dcdac77be8927a24b790e4a,0.9479024325749292,-1.976268693680344,-0.5279024325749305,3.8781905639587824,6.486362146049865,0.008480090101753185,3.713637853950131,1.687580542691776,7.306725758374613,-2.827538116268325,-0.966725758374611,-1.379502881856281,8.934264578624795,-2.8668906228977713,4.6857354213751945,-0.7203736227409092,2.923506297775166,-4.375051137269575,6.45649370222484,1.9750765925088105,1.8104567809251961,-1.584554342793387,5.969543219074812,-0.2432848839007819,8.449380606699696,1.8320792717450403,1.8306193933003054,-0.49747918754672127,2.072360679774993,-1.3169482722531107,2.027639320225006,-0.7613456824659566,-0.5469504831500303,-3.9035126894579486,-1.173049516849967,0.5315907102656179,4.151609730299727,-1.9380352707166804,-1.7516097302997204,-0.7771867790036991,4.761903898849798,1.578194275217068,0.5580961011501986,-1.0224005231180502,-2.8698063314247357,-1.7978947315203808,2.809806331424724,-9.680577179815845,-0.16879226959952887,-3.3016970560352155,9.848792269599542,1.4292643388010544,-0.06291796067500918,-0.8134183242480437,-0.19708203932498958,-0.5552932826691818
16,48000,3000,d3c4f82c62a7c3a8fca762aaaf7e5fc54c8b4d0236eaf2fcf5401939c3250fad,02addc5a1dc34b481111dd779501b4d3de34553aff14098bfa52a3f12812c8d7,1.5578713763747787,-4.124596409244678,-3.1378713763747768,2.760743461614272,2.8452475842498584,1.3079677127215117,-0.28524758424985003,0.8609416138612642,-2.7272135954999603,-5.166886911639495,-1.8327864045000393,-3.7190428395393047,-3.4982349886995214,2.5995938594754526,6.698234988699516,4.130146700273188,2.883970410074716,2.164168812102072,-3.063970410074719,0.4963601038809535,-0.5994116628998436,-4.793133679815704,2.799411662899836,-7.641326424608255,-3.762755348299894,-6.563231828893177,-1.4372446517001074,3.3039352233667483,2.4860990336999387,6.062749824767446,1.2339009663000657,5.58704434941071,4.454202466224494,0.8440995784638492,-6.234202466224496,2.887472233916224,12.24682625834942,2.6778714208102543,-0.006826258349426115,-7.650425128945951,2.353413129174713,-0.2249414402138605,-3.7734131291747084,-7.972415026105607,3.221640786499878,6.3002932553278495,0.53835921350013,8.520229157532697,-0.37124611797498114,-0.06205414017334156,0.03124611797498153,1.8017073246471924,8.414891303299477,1.1019153129247414,-2.8548913032994605,1.3644715618663388
17,51000,3000,959022be7e69c74f91baae5e1bb35ece4caa0f5ce01df00afdfa2b9aadffb47f,b00f6cc7660b140e3371482d04f004432bfe5b9e3a6ef24ecc9b6f20c6e350a6,3.9336378539501347,-5.4756562042166745,6.70636214604988,-0.07203563856459626,-0.34832815729997635,-5.070220779317415,0.18832815729997127,-5.23649322056068,5.183181073024941,1.2479154502675145,3.7968189269750634,-4.486056957839886,4.561903898849799,-0.9456973875785059,0.3580961011501976,4.252253102900527,3.8958048651498607,-5.131965612372784,0.9441951348501365,-0.5430736169463813,-1.8867878707749108,3.8329784591828675,-0.05321212922508704,-0.4174639283101965,-3.096393202250021,2.813698897449915,-3.5436067977499732,-5.148116016028496,4.844233522424653,-1.0200893382807512,-2.624233522424652,-5.83518789259831,1.7058359213500007,2.3699119047808743,1.9741640786499859,-2.898882123091223,5.210232056149778,0.8345004046963249,0.46976794385022314,-2.796356392622665,-5.95108350559986,11.283092641672427,-3.088916494400138,-1.753801710410225,-3.0159674775249816,4.038221082431836,-2.5240325224750304,-2.0255296811952825,6.07659420219965,0.565893395296372,-1.43659420219965,1.2960573541166864,-4.045247584249851,-1.2913898571417295,-0.9147524157501415,11.871996977630651
18,54000,3000,e80326c6c59bad58a915ee40cb65d97a232c4f9c0afd6f1382ef89f610ee076b,530ca50a861263c3854f35e36d05b56248bdb9d19391cfce06df4434561172bf,0.2381966011250091,-2.2959474060027008,0.4618033988749878,2.5240098076016735,-1.831509230324907,4.813597146028063,0.09150923032491012,-1.493747808617803,0.6676393202250054,2.7865660565432644,0.7123606797749977,-0.17043946878837646,0.15045678092519718,4.396251362523967,4.309543219074792,2.2438747642206205,4.535704365175051,-8.395811570068078,5.564295634824941,5.588590885000561,3.733475241575011,-3.7399337576757454,4.046524758424988,3.8396478338771414,1.9227553482998871,-3.4861669059538607,-0.4027553482998896,-3.206031862572817,5.3505572809,-0.7324021261518474,5.529442719099995,-6.130545418281169,7.295742752749564,3.8449618352934634,-2.095742752749561,-11.240118704228031,5.2364937022248395,2.490280609506514,1.7035062977751616,-9.133263517818591,3.257507764050038,4.993517643777865,4.06249223594996,-0.593954157556927,-3.269906831399548,2.0964462360941147,6.389906831399546,-5.4336832056319615,-7.160626724674667,3.0884748121143217,-0.13937327532533328,-3.2959556026948245,3.837082039324996,5.132083757178882,3.70291796067502,8.113674648967674
19,57000,3000,2bc573970d21f2db3add3e7d24bd5d5544d95c732137a94bc94e00e68ca7eee1,127ba9b89bf43597a05b84a7c8845fd037484e4cac774d13515301b0ec83629e,-6.249543219074798,-1.8220977733537809,-2.0904567809252006,-3.1764696920227626,2.0781344887247073,-2.7062414901887872,-4.138134488724712,1.0612525603176617,2.348266044899671,-0.7162517224961341,-4.628266044899668,-3.8599201377776313,2.5318728426496526,5.2018082109061785,-4.891872842649646,6.895012062132247,-0.7716718427000231,-0.46960958759803595,-1.3083281572999734,6.5442697709703195,-2.0823296235748434,9.861616761231426,1.182329623574849,3.0981470033876057,-0.8238699100999077,4.505328322880701,1.1438699100999115,0.3660829182698237,1.3908825056502438,9.813902309306318,6.489117494349768,9.640296751832489,7.674790803324662,8.490475824670778,0.3852091966753408,0.04266463032641574,1.0809519494249007,-2.0160486522338563,-1.020951949424907,-5.924993487914233,-0.7814781741247538,5.750623281192937,4.361478174124763,-2.7546927011559204,-0.9448839719251094,3.1121043670121185,-3.315116028074887,4.236603168674651,9.583807797699595,1.6688096470807838,1.1761922023003943,-0.913824032191149,2.0086533820502015,-4.797756049490324,6.391346617949805,0.8726608101542375
