joint_sector,geometry,tau,alpha,source_component,k_minus,count,sum_q0,sum_q1,sum_e0,sum_e1,sum_a0,sum_a1,sum_q0a0,sum_q1a1,sum_e0a0,sum_e1a1
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,14,817190,-200036,10106,381484,355730,113556,57659,-57016,-4845,64872,21697
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,15,490314,44454,173227,210430,247655,53182,19184,-7824,5784,21852,7976
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,16,245157,101570,155778,128968,164044,17444,4384,4350,2626,7358,2690
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,17,100947,67798,83285,70092,83661,3864,616,2330,504,2410,504
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,18,33649,28295,31287,28367,31287,520,40,448,40,448,40
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,19,8855,8277,8662,8277,8662,32,0,32,0,32,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,20,1771,1734,1764,1734,1764,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,21,253,252,253,252,253,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,22,23,23,23,23,23,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,23,1,1,1,1,1,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,0,1,-1,-1,1,1,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,1,23,-23,-23,23,23,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,2,253,-253,-253,253,253,4,4,-4,-4,4,4
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,3,1771,-1771,-1771,1771,1771,80,80,-80,-80,80,80
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,4,8855,-8855,-8855,8855,8855,760,774,-760,-774,760,774
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,5,33649,-33649,-33649,33649,33649,4574,4776,-4574,-4776,4574,4776
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,6,100947,-100947,-100912,100947,100912,19528,20900,-19528,-20900,19528,20900
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,7,245157,-245012,-244479,245012,244479,62612,68344,-62612,-68328,62612,68328
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,8,490314,-488238,-484427,488238,484427,155692,171628,-155628,-171274,155628,171274
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,9,817190,-803301,-786282,803301,786354,305844,334585,-304750,-331201,304750,331201
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,10,1144066,-1086414,-1033629,1086582,1035371,478488,503420,-470840,-485736,470840,485760
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,11,1352078,-1186715,-1067765,1189901,1083169,594354,571412,-564266,-515420,564290,515956
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,12,1352078,-1007607,-809976,1029695,882198,576840,473490,-501912,-361656,502688,365880
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,13,1144066,-611040,-370556,692466,575296,425974,282241,-304086,-142996,309998,159856
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,14,817190,-200036,10106,381484,355730,233322,123423,-105552,-16535,123940,47463
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,15,490314,44454,173227,210430,247655,93564,40260,-9024,10614,35552,16458
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,16,245157,101570,155778,128968,164044,27296,9514,7572,5706,11356,5874
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,17,100947,67798,83285,70092,83661,5524,1550,3322,1282,3394,1282
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,18,33649,28295,31287,28367,31287,690,160,582,152,582,152
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,19,8855,8277,8662,8277,8662,40,8,40,8,40,8
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,20,1771,1734,1764,1734,1764,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,21,253,252,253,252,253,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,22,23,23,23,23,23,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,diag1,23,1,1,1,1,1,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,0,1,-1,-1,1,1,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,1,23,-23,-23,23,23,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,2,253,-253,-253,253,253,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,3,1771,-1771,-1771,1771,1771,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,4,8855,-8855,-8855,8855,8855,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,5,33649,-33649,-33649,33649,33649,12,12,-12,-12,12,12
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,6,100947,-100947,-100912,100947,100912,176,188,-176,-188,176,188
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,7,245157,-245012,-244479,245012,244479,1212,1458,-1212,-1458,1212,1458
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,8,490314,-488238,-484427,488238,484427,5250,7144,-5250,-7140,5250,7140
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,9,817190,-803301,-786282,803301,786354,15992,23736,-15984,-23616,15984,23616
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,10,1144066,-1086414,-1033629,1086582,1035371,35740,53746,-35540,-52648,35540,52648
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,11,1352078,-1186715,-1067765,1189901,1083169,58698,80247,-57320,-75325,57320,75325
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,far,12,1352078,-1007607,-809976,1029695,882198,68574,73252,-63656,-61059,63656,61171
