geometry_id,lambda_num,lambda_den,level,span_L,nx,ny,vertices,edges,batch,seed,sample_begin,samples,sum_J,sum_J2,count_1234,sum_J_1234,sum_J2_1234,count_12_34,sum_J_12_34,sum_J2_12_34,count_14_23,sum_J_14_23,sum_J2_14_23
lambda_1_4,1,4,2,30,181,121,21901,43500,75,2026102632,375000,5000,131263858,3446057636402,36,944936,24803000834,23,603240,15821724990,1,26252,689167504
lambda_1_4,1,4,2,30,181,121,21901,43500,76,2026102632,380000,5000,131259971,3445853835195,38,996837,26149750445,15,393629,10329646471,2,52475,1376815933
lambda_1_4,1,4,2,30,181,121,21901,43500,77,2026102632,385000,5000,131255037,3445594783201,37,971488,25508015916,20,525209,13792269703,2,52487,1377451969
lambda_1_4,1,4,2,30,181,121,21901,43500,78,2026102632,390000,5000,131264474,3446089855118,42,1102546,28943192848,19,498713,13090292567,3,78757,2067569469
lambda_1_4,1,4,2,30,181,121,21901,43500,79,2026102632,395000,5000,131255156,3445601057742,29,760600,19948788406,25,655786,17202292956,1,26350,694322500
lambda_1_4,1,4,2,30,181,121,21901,43500,80,2026102632,400000,5000,131254318,3445556998822,41,1076476,28263563160,22,577176,15142474378,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,81,2026102632,405000,5000,131256712,3445681899182,45,1181455,31018736079,21,551571,14487276949,3,78774,2068451798
lambda_1_4,1,4,2,30,181,121,21901,43500,82,2026102632,410000,5000,131255025,3445593764593,38,997079,26162372445,18,472248,12389949746,1,26200,686440000
lambda_1_4,1,4,2,30,181,121,21901,43500,83,2026102632,415000,5000,131260217,3445865863657,41,1076479,28263733611,18,472422,12399093474,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,84,2026102632,420000,5000,131258110,3445755155352,35,919002,24130527670,13,341441,8967890779,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,85,2026102632,425000,5000,131260792,3445896869654,42,1101993,28914198299,22,577321,15150077975,1,26227,687855529
lambda_1_4,1,4,2,30,181,121,21901,43500,86,2026102632,430000,5000,131254911,3445587905753,41,1076305,28254634965,23,603952,15859104458,4,104810,2746297332
lambda_1_4,1,4,2,30,181,121,21901,43500,87,2026102632,435000,5000,131260581,3445885054659,46,1208088,31727896442,20,525278,13795931678,4,104937,2752962847
lambda_1_4,1,4,2,30,181,121,21901,43500,88,2026102632,440000,5000,131263684,3446048175666,43,1128627,29623390955,16,419494,10998492394,1,26262,689692644
lambda_1_4,1,4,2,30,181,121,21901,43500,89,2026102632,445000,5000,131260751,3445894084741,45,1181165,31003491939,21,550924,14453273382,3,78565,2057490109
lambda_1_4,1,4,2,30,181,121,21901,43500,90,2026102632,450000,5000,131259191,3445812129053,40,1050140,27569964884,20,525068,13784920838,3,78788,2069184592
lambda_1_4,1,4,2,30,181,121,21901,43500,91,2026102632,455000,5000,131248672,3445259914766,35,918486,24103454150,18,472566,12406641962,1,26200,686440000
lambda_1_4,1,4,2,30,181,121,21901,43500,92,2026102632,460000,5000,131254278,3445555572604,38,996966,26156486266,15,393494,10322537108,2,52457,1375869529
lambda_1_4,1,4,2,30,181,121,21901,43500,93,2026102632,465000,5000,131258693,3445786455739,41,1077011,28291649189,22,577536,15161308314,1,26230,688012900
lambda_1_4,1,4,2,30,181,121,21901,43500,94,2026102632,470000,5000,131257645,3445731600989,38,997604,26189971330,20,525158,13789633358,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,95,2026102632,475000,5000,131260080,3445859388968,47,1233364,32365853346,17,445865,11693910559,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,96,2026102632,480000,5000,131256974,3445696324898,38,997145,26165855693,17,446497,11727059213,3,78906,2075408876
lambda_1_4,1,4,2,30,181,121,21901,43500,97,2026102632,485000,5000,131255467,3445617057203,40,1050406,27583982638,12,314744,8255380030,1,26129,682724641
lambda_1_4,1,4,2,30,181,121,21901,43500,98,2026102632,490000,5000,131257199,3445707985337,35,918937,24127123529,19,499156,13113613428,2,52466,1376344276
lambda_1_4,1,4,2,30,181,121,21901,43500,99,2026102632,495000,5000,131257745,3445736361009,41,1076633,28271814451,24,629906,16532647960,0,0,0
lambda_1_3,1,3,2,28,169,113,19097,37912,0,2026102632,0,5000,114473918,2620870295726,41,938431,21479455473,12,274798,6292861288,2,45892,1053038410
lambda_1_3,1,3,2,28,169,113,19097,37912,1,2026102632,5000,5000,114470148,2620698837770,41,938166,21467322940,15,343161,7850651565,3,68686,1572594708
lambda_1_3,1,3,2,28,169,113,19097,37912,2,2026102632,10000,5000,114473037,2620830659633,36,824642,18890023652,12,274623,6284848577,4,91513,2093661529
lambda_1_3,1,3,2,28,169,113,19097,37912,3,2026102632,15000,5000,114472329,2620798565133,37,847203,19398806347,10,228678,5229381314,1,22880,523494400
lambda_1_3,1,3,2,28,169,113,19097,37912,4,2026102632,20000,5000,114472729,2620816735165,40,915744,20964769324,15,343401,7861648249,2,45666,1042691850
lambda_1_3,1,3,2,28,169,113,19097,37912,5,2026102632,25000,5000,114474170,2620882627770,48,1098964,25161027096,12,274304,6270232600,4,91443,2090461165
lambda_1_3,1,3,2,28,169,113,19097,37912,6,2026102632,30000,5000,114467868,2620593759902,59,1350242,30901058132,18,411458,9405491606,0,0,0
lambda_1_3,1,3,2,28,169,113,19097,37912,7,2026102632,35000,5000,114464671,2620447505225,41,938502,21482744390,15,343271,7855705941,3,68806,1578094730
lambda_1_3,1,3,2,28,169,113,19097,37912,8,2026102632,40000,5000,114466938,2620551471124,37,846935,19386572507,6,137371,3145137171,5,114460,2620240042
lambda_1_3,1,3,2,28,169,113,19097,37912,9,2026102632,45000,5000,114467731,2620587579135,31,709419,16234769343,12,274662,6286614030,0,0,0
lambda_1_3,1,3,2,28,169,113,19097,37912,10,2026102632,50000,5000,114470484,2620713644212,41,938837,21498034945,19,434912,9955229268,2,45683,1043469649
lambda_1_3,1,3,2,28,169,113,19097,37912,11,2026102632,55000,5000,114472095,2620787083141,36,824140,18866990960,20,457693,10474187291,5,114589,2626145841
lambda_1_3,1,3,2,28,169,113,19097,37912,12,2026102632,60000,5000,114469195,2620654631929,42,961609,22016602023,13,297341,6800922731,6,137669,3158809427
lambda_1_3,1,3,2,28,169,113,19097,37912,13,2026102632,65000,5000,114474685,2620905915175,36,824228,18871014836,15,343114,7848526686,3,68530,1565460134
lambda_1_3,1,3,2,28,169,113,19097,37912,14,2026102632,70000,5000,114462098,2620329235798,52,1190162,27240292668,11,251817,5764738749,2,45669,1042829621
lambda_1_3,1,3,2,28,169,113,19097,37912,15,2026102632,75000,5000,114472563,2620808770735,38,868814,19864267174,14,320234,7325027760,1,22862,522671044
lambda_1_3,1,3,2,28,169,113,19097,37912,16,2026102632,80000,5000,114460602,2620261223646,47,1075659,24618088519,16,366127,8378107047,2,45837,1050515285
lambda_1_3,1,3,2,28,169,113,19097,37912,17,2026102632,85000,5000,114472902,2620824508158,35,801406,18350146322,16,366473,8393989185,3,68676,1572136394
lambda_1_3,1,3,2,28,169,113,19097,37912,18,2026102632,90000,5000,114471682,2620767961948,36,824806,18897424284,14,320422,7333613166,0,0,0
lambda_1_3,1,3,2,28,169,113,19097,37912,19,2026102632,95000,5000,114468929,2620642098471,41,938278,21472448036,15,343102,7847968994,0,0,0
lambda_1_3,1,3,2,28,169,113,19097,37912,20,2026102632,100000,5000,114472034,2620785725854,34,777783,17792664551,9,206229,4725616291,2,45731,1045662265
lambda_1_3,1,3,2,28,169,113,19097,37912,21,2026102632,105000,5000,114474465,2620895885603,33,755237,17284520951,12,274662,6286637694,4,91748,2104437786
lambda_1_3,1,3,2,28,169,113,19097,37912,22,2026102632,110000,5000,114471242,2620748338494,44,1007041,23048573877,8,183215,4195985489,4,91711,2102739765
