batch,counter_first,counter_last_exclusive,samples,ES_num_sum,ED_num_sum,OS_num_sum,OD_num_sum,ambient_ES_num_sum,ambient_ED_num_sum,ambient_OS_num_sum,ambient_OD_num_sum,Jlocal_ES_num_sum,Jlocal_ED_num_sum,Jlocal_OS_num_sum,Jlocal_OD_num_sum,ambient_h0_ES_num_sum,ambient_h0_ED_num_sum,ambient_h0_OS_num_sum,ambient_h0_OD_num_sum,ambient_h2_ES_num_sum,ambient_h2_ED_num_sum,ambient_h2_OS_num_sum,ambient_h2_OD_num_sum,ambient_h5_ES_num_sum,ambient_h5_ED_num_sum,ambient_h5_OS_num_sum,ambient_h5_OD_num_sum,ambient_h25_ES_num_sum,ambient_h25_ED_num_sum,ambient_h25_OS_num_sum,ambient_h25_OD_num_sum,partition_r0_ES_num_sum,partition_r0_ED_num_sum,partition_r0_OS_num_sum,partition_r0_OD_num_sum,partition_r2_ES_num_sum,partition_r2_ED_num_sum,partition_r2_OS_num_sum,partition_r2_OD_num_sum,partition_r5_ES_num_sum,partition_r5_ED_num_sum,partition_r5_OS_num_sum,partition_r5_OD_num_sum,partition_r25_ES_num_sum,partition_r25_ED_num_sum,partition_r25_OS_num_sum,partition_r25_OD_num_sum,Cact_ES_num_sum,Cact_ED_num_sum,Cact_OS_num_sum,Cact_OD_num_sum
10,18000002000,18000002200,200,-21667,35,-14193,49,-800,0,26,2,28644,0,16896,0,800,0,26,2,1600,0,0,0,1600,0,0,0,1600,0,0,0,248596,-140,45508,-20,255750,-102,48176,12,258830,12,48926,4,259007,15,48891,-13,0,0,0,0
11,18000002200,18000002400,200,-21624,16,-13590,158,-799,-1,5,31,28732,0,16400,0,800,0,6,30,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248507,-141,44531,-173,255805,-137,47321,-5,258836,-4,48194,-6,259026,-16,48174,4,-1,1,1,-1
12,18000002400,18000002600,200,-21346,-140,-13282,-60,-799,-1,17,-9,28514,0,16322,0,800,0,18,-10,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248406,82,43608,32,255769,-67,46659,-13,258809,5,47533,9,259004,-4,47544,24,-1,1,1,-1
13,18000002600,18000002800,200,-21619,73,-13901,-5,-800,0,-22,26,28888,0,16700,0,800,0,-22,26,1600,0,0,0,1600,0,0,0,1600,0,0,0,248335,-119,44945,-125,255776,-56,47736,-128,258846,6,48606,-2,259018,-4,48598,0,0,0,0,0
14,18000002800,18000003000,200,-21132,-26,-13228,-90,-800,0,2,2,28310,0,16074,0,800,0,2,2,1600,0,0,0,1600,0,0,0,1600,0,0,0,248366,24,43266,56,255734,0,46116,-22,258811,-15,46963,-11,259001,-13,46967,1,0,0,0,0
15,18000003000,18000003200,200,-21447,103,-13643,59,-799,1,-17,15,28660,0,16544,0,800,0,-16,16,1599,-1,1,1,1600,0,0,0,1600,0,0,0,248494,-78,44104,-56,255885,31,47005,3,258866,4,47728,-6,259044,10,47728,-6,-1,-1,1,1
16,18000003200,18000003400,200,-21466,138,-13532,44,-800,0,-32,12,28686,0,16554,0,800,0,-32,12,1600,0,0,0,1600,0,0,0,1600,0,0,0,248322,-140,44246,-96,255705,-3,47265,-47,258884,12,48078,-6,259047,11,48075,-1,0,0,0,0
17,18000003400,18000003600,200,-21888,132,-14218,166,-800,0,18,-26,29006,0,16906,0,800,0,18,-26,1600,0,0,0,1600,0,0,0,1600,0,0,0,248606,-86,45626,-146,255896,52,48298,6,258861,-7,49073,13,259033,-1,49057,-1,0,0,0,0
18,18000003600,18000003800,200,-21282,188,-13362,-4,-799,-1,19,29,28526,0,16318,0,800,0,20,28,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248354,-170,43674,-30,255752,16,46620,-40,258884,16,47534,2,259038,14,47524,-4,-1,1,1,-1
19,18000003800,18000004000,200,-21326,16,-13410,36,-800,0,-2,2,28604,0,16396,0,800,0,-2,2,1600,0,0,0,1600,0,0,0,1600,0,0,0,248435,-93,43959,-113,255890,-80,46938,-92,258847,17,47733,11,259024,14,47726,-4,0,0,0,0
20,18000004000,18000004200,200,-21533,-141,-13687,-79,-799,-1,-59,-37,28640,0,16512,0,800,0,-58,-38,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248614,92,44512,74,255874,-64,47304,-34,258885,11,48161,3,259038,-4,48128,-26,-1,1,1,-1
21,18000004200,18000004400,200,-21710,24,-13954,-8,-800,0,6,10,29012,0,16768,0,800,0,6,10,1600,0,0,0,1600,0,0,0,1600,0,0,0,248450,-90,45128,-48,255919,-87,47927,-47,258875,35,48687,-13,259042,14,48672,-4,0,0,0,0
22,18000004400,18000004600,200,-21476,-54,-13828,-86,-800,0,-10,-2,28796,0,16804,0,800,0,-10,-2,1600,0,0,0,1600,0,0,0,1600,0,0,0,248370,162,44914,118,255878,102,47872,20,258856,14,48610,0,259044,8,48592,-12,0,0,0,0
23,18000004600,18000004800,200,-21806,-62,-14280,-80,-798,0,-12,-30,28978,0,16938,0,800,0,-10,-30,1598,0,2,0,1600,0,0,0,1600,0,0,0,248398,118,45958,102,255742,42,48592,0,258839,25,49291,1,259011,11,49267,-21,-2,0,2,0
24,18000004800,18000005000,200,-21385,-25,-13343,-27,-799,-1,-25,5,28576,0,16328,0,800,0,-24,4,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248437,-71,43705,-3,255816,-94,46676,-22,258836,14,47462,-8,259024,16,47448,0,-1,1,1,-1
25,18000005000,18000005200,200,-21137,-137,-13579,-119,-800,0,4,16,28478,0,16550,0,800,0,4,16,1600,0,0,0,1600,0,0,0,1600,0,0,0,248194,200,44406,144,255695,57,47363,17,258847,7,48199,-5,259007,1,48185,-13,0,0,0,0
26,18000005200,18000005400,200,-21238,82,-13586,106,-800,0,22,-58,28376,0,16492,0,800,0,22,-58,1600,0,0,0,1600,0,0,0,1600,0,0,0,248549,-43,44149,-95,255829,37,47027,11,258912,-4,47882,10,259054,-6,47854,10,0,0,0,0
27,18000005400,18000005600,200,-21807,37,-14583,-99,-800,0,78,34,29010,0,17066,0,800,0,78,34,1600,0,0,0,1600,0,0,0,1600,0,0,0,248582,-94,46454,66,255940,-72,48906,-30,258868,-12,49546,14,259023,-27,49515,17,0,0,0,0
28,18000005600,18000005800,200,-21245,95,-13315,57,-799,-1,-5,-3,28340,0,16260,0,800,0,-4,-4,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248505,-33,43359,-43,255763,63,46289,33,258866,-10,47208,-20,259029,-9,47193,-1,-1,1,1,-1
29,18000005800,18000006000,200,-21146,-182,-13358,-190,-798,0,-4,6,28384,0,16240,0,800,0,-2,6,1598,0,2,0,1600,0,0,0,1600,0,0,0,248278,240,43364,178,255680,56,46260,-28,258866,8,47134,16,259030,6,47148,0,-2,0,2,0
30,18000006000,18000006200,200,-21740,-66,-13920,6,-800,0,-12,-8,28910,0,16650,0,800,0,-12,-8,1600,0,0,0,1600,0,0,0,1600,0,0,0,248483,-7,45019,-71,255825,-71,47739,-61,258850,-8,48524,6,259022,-6,48514,10,0,0,0,0
31,18000006200,18000006400,200,-21485,-97,-14231,-75,-800,0,58,2,28726,0,16902,0,800,0,58,2,1600,0,0,0,1600,0,0,0,1600,0,0,0,248502,68,46022,24,255895,-31,48673,-49,258875,11,49281,-11,259027,9,49261,-9,0,0,0,0
32,18000006400,18000006600,200,-21399,-53,-13503,59,-799,1,3,-9,28648,0,16408,0,800,0,4,-8,1599,-1,1,1,1600,0,0,0,1600,0,0,0,248345,-15,43911,-109,255771,-53,46811,-53,258840,-46,47568,22,259017,-31,47563,19,-1,-1,1,1
33,18000006600,18000006800,200,-21323,-67,-14021,-69,-800,0,-2,-34,28558,0,16834,0,800,0,-2,-34,1600,0,0,0,1600,0,0,0,1600,0,0,0,248407,25,45089,15,255796,-26,47892,-46,258909,1,48621,-31,259063,17,48611,-23,0,0,0,0
34,18000006800,18000007000,200,-21557,-35,-13793,-15,-800,0,-56,-8,28736,0,16648,0,800,0,-56,-8,1600,0,0,0,1600,0,0,0,1600,0,0,0,248506,-120,44582,-16,255846,-156,47418,-36,258866,4,48166,12,259027,3,48147,7,0,0,0,0
35,18000007000,18000007200,200,-21059,-1,-13517,-35,-800,0,4,52,28324,0,16476,0,800,0,4,52,1600,0,0,0,1600,0,0,0,1600,0,0,0,248400,-12,44342,102,255845,-7,47291,51,258850,8,48122,0,259030,14,48112,-16,0,0,0,0
36,18000007200,18000007400,200,-21513,139,-13499,-7,-800,0,56,-44,28708,0,16432,0,800,0,56,-44,1600,0,0,0,1600,0,0,0,1600,0,0,0,248406,-148,44054,-80,255777,7,46955,-87,258856,-18,47810,-4,259032,-2,47778,-4,0,0,0,0
37,18000007400,18000007600,200,-21548,-6,-13390,-20,-800,0,6,10,28746,0,16270,0,800,0,6,10,1600,0,0,0,1600,0,0,0,1600,0,0,0,248330,-100,43542,28,255703,-93,46395,11,258856,-20,47424,-16,259031,-7,47397,-13,0,0,0,0
38,18000007600,18000007800,200,-21808,64,-14008,0,-800,0,18,10,28902,0,16814,0,800,0,18,10,1600,0,0,0,1600,0,0,0,1600,0,0,0,248660,-48,44856,-96,255904,36,47670,-106,258878,-18,48456,-4,259028,2,48464,-14,0,0,0,0
39,18000007800,18000008000,200,-21851,-77,-14273,45,-800,0,-28,-28,28890,0,16946,0,800,0,-28,-28,1600,0,0,0,1600,0,0,0,1600,0,0,0,248610,-48,46134,28,255815,-99,48795,61,258849,-61,49491,33,259015,-35,49479,21,0,0,0,0
40,18000008000,18000008200,200,-21616,162,-14628,-10,-799,-1,43,-3,28742,0,17058,0,800,0,44,-4,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248476,-178,46412,-46,255779,-23,48797,-37,258834,-4,49486,-16,259011,-11,49441,3,-1,1,1,-1
41,18000008200,18000008400,200,-21637,13,-13735,3,-800,0,-8,8,28708,0,16552,0,800,0,-8,8,1600,0,0,0,1600,0,0,0,1600,0,0,0,248626,94,45104,120,255858,84,47916,110,258884,22,48594,20,259045,-1,48589,7,0,0,0,0
42,18000008400,18000008600,200,-21383,3,-13817,33,-799,1,-15,-27,28594,0,16622,0,800,0,-14,-26,1599,-1,1,1,1600,0,0,0,1600,0,0,0,248392,-114,45496,54,255759,-113,48263,75,258864,-10,48946,0,259020,-12,48908,-12,-1,-1,1,1
43,18000008600,18000008800,200,-21643,-37,-13803,39,-800,0,14,-6,28706,0,16630,0,800,0,14,-6,1600,0,0,0,1600,0,0,0,1600,0,0,0,248550,46,44766,26,255796,4,47600,88,258843,1,48363,-19,259026,-4,48370,4,0,0,0,0
44,18000008800,18000009000,200,-21166,-72,-13398,-52,-799,-1,1,-25,28370,0,16346,0,800,0,2,-26,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248416,2,44070,84,255785,-61,47001,47,258862,-14,47780,-4,259027,-5,47763,11,-1,1,1,-1
45,18000009000,18000009200,200,-21935,93,-14573,15,-799,1,33,-7,28986,0,17202,0,800,0,32,-8,1599,-1,-1,-1,1600,0,0,0,1600,0,0,0,248660,-16,46668,52,255866,78,49274,78,258883,-11,49831,5,259038,-10,49808,16,-1,-1,-1,-1
46,18000009200,18000009400,200,-21578,36,-13832,46,-800,0,18,42,28818,0,16582,0,800,0,18,42,1600,0,0,0,1600,0,0,0,1600,0,0,0,248386,24,45096,-34,255805,59,47827,29,258841,5,48575,-21,259020,4,48556,-4,0,0,0,0
47,18000009400,18000009600,200,-21253,45,-13957,25,-799,1,23,19,28456,0,16780,0,800,0,24,20,1599,-1,1,1,1600,0,0,0,1600,0,0,0,248432,-60,45040,-124,255803,-33,47853,-95,258866,20,48674,-4,259034,2,48664,0,-1,-1,1,1
48,18000009600,18000009800,200,-21337,-27,-13747,19,-800,0,-2,-34,28570,0,16702,0,800,0,-2,-34,1600,0,0,0,1600,0,0,0,1600,0,0,0,248359,-7,44853,-17,255766,-42,47792,0,258858,20,48596,2,259032,12,48580,0,0,0,0,0
49,18000009800,18000010000,200,-21668,-66,-13350,-144,-800,0,-16,12,28802,0,16298,0,800,0,-16,12,1600,0,0,0,1600,0,0,0,1600,0,0,0,248441,71,43725,179,255751,-5,46629,25,258858,10,47544,16,259034,0,47500,6,0,0,0,0
50,18000010000,18000010200,200,-21676,-48,-13944,-64,-800,0,-16,-4,28766,0,16710,0,800,0,-16,-4,1600,0,0,0,1600,0,0,0,1600,0,0,0,248511,-61,45119,7,255755,-97,47875,-61,258855,-21,48627,-1,259009,-9,48617,-5,0,0,0,0
51,18000010200,18000010400,200,-20885,23,-13117,75,-799,-1,-23,-33,28322,0,16194,0,800,0,-22,-34,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248239,-63,43179,-79,255845,-41,46261,-1,258870,-8,47094,20,259039,-9,47099,23,-1,1,1,-1
52,18000010400,18000010600,200,-21624,-44,-13916,-56,-800,0,38,26,28834,0,16806,0,800,0,38,26,1600,0,0,0,1600,0,0,0,1600,0,0,0,248582,-30,45180,-36,255981,-73,48057,-89,258856,-16,48788,0,259045,-15,48775,3,0,0,0,0
53,18000010600,18000010800,200,-21573,-3,-13499,-1,-800,0,-14,10,28718,0,16502,0,800,0,-14,10,1600,0,0,0,1600,0,0,0,1600,0,0,0,248439,-67,43971,-19,255758,-80,46968,-22,258837,21,47729,-11,259011,11,47723,-13,0,0,0,0
54,18000010800,18000011000,200,-21680,-12,-13912,112,-798,2,8,24,28840,0,16732,0,800,0,10,26,1598,-2,2,2,1600,0,0,0,1600,0,0,0,248412,-56,44734,-122,255743,-67,47533,-21,258841,7,48357,15,259012,8,48336,4,-2,-2,2,2
55,18000011000,18000011200,200,-21513,-83,-14423,55,-799,-1,-7,43,28786,0,17162,0,800,0,-6,42,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248376,124,46152,124,255821,37,48869,173,258827,-5,49615,7,258999,-9,49593,1,-1,1,1,-1
56,18000011200,18000011400,200,-21916,-42,-13888,-22,-799,1,-7,29,29082,0,16726,0,800,0,-6,30,1599,-1,1,1,1600,0,0,0,1600,0,0,0,248537,155,45031,45,255856,98,47852,38,258862,20,48666,-28,259015,5,48649,-13,-1,-1,1,1
57,18000011400,18000011600,200,-21414,-6,-13196,-92,-799,-1,-31,-1,28692,0,16248,0,800,0,-30,-2,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248358,8,43648,130,255782,18,46710,30,258896,2,47648,2,259042,18,47658,-6,-1,1,1,-1
58,18000011600,18000011800,200,-21348,-28,-13982,-90,-800,0,8,8,28584,0,16744,0,800,0,8,8,1600,0,0,0,1600,0,0,0,1600,0,0,0,248430,76,44832,6,255850,54,47570,-70,258847,5,48389,-33,259031,11,48365,-19,0,0,0,0
59,18000011800,18000012000,200,-21222,4,-13642,12,-799,-1,29,15,28362,0,16506,0,800,0,30,14,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248524,40,44290,-50,255846,10,47142,-34,258848,32,47888,-12,259030,-2,47876,-8,-1,1,1,-1
60,18000012000,18000012200,200,-21666,-100,-13370,-4,-800,0,-4,-8,28896,0,16388,0,800,0,-4,-8,1600,0,0,0,1600,0,0,0,1600,0,0,0,248499,93,43773,-69,255897,-13,46791,-75,258870,2,47556,12,259038,-4,47556,10,0,0,0,0
61,18000012200,18000012400,200,-21420,130,-13356,-78,-800,0,-44,-28,28706,0,16282,0,800,0,-44,-28,1600,0,0,0,1600,0,0,0,1600,0,0,0,248275,-57,44069,109,255734,64,46990,4,258861,27,47807,1,259034,18,47802,-26,0,0,0,0
62,18000012400,18000012600,200,-21469,-31,-14019,63,-800,0,48,-20,28638,0,16726,0,800,0,48,-20,1600,0,0,0,1600,0,0,0,1600,0,0,0,248478,120,44926,-140,255821,93,47613,-71,258851,-23,48309,-13,259025,-19,48289,-7,0,0,0,0
63,18000012600,18000012800,200,-21227,15,-13457,45,-799,-1,9,-5,28572,0,16392,0,800,0,10,-6,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248349,-13,44397,-61,255852,-38,47306,0,258871,47,48117,-19,259029,7,48091,-3,-1,1,1,-1
64,18000012800,18000013000,200,-21767,101,-14283,-31,-800,0,70,14,28946,0,16882,0,800,0,70,14,1600,0,0,0,1600,0,0,0,1600,0,0,0,248463,-183,45803,-19,255812,-74,48380,-50,258857,-17,49057,35,259027,-9,49035,35,0,0,0,0
65,18000013000,18000013200,200,-21542,120,-13656,-26,-800,0,-30,2,28688,0,16620,0,800,0,-30,2,1600,0,0,0,1600,0,0,0,1600,0,0,0,248488,-164,44420,84,255801,-39,47371,63,258844,-16,48228,-8,259011,-11,48215,-3,0,0,0,0
66,18000013200,18000013400,200,-21339,-1,-13603,51,-800,0,2,22,28676,0,16568,0,800,0,2,22,1600,0,0,0,1600,0,0,0,1600,0,0,0,248319,45,44261,-33,255814,52,47202,24,258875,9,47999,-3,259033,17,47975,3,0,0,0,0
67,18000013400,18000013600,200,-21715,-73,-14365,-107,-800,0,-14,10,28860,0,17004,0,800,0,-14,10,1600,0,0,0,1600,0,0,0,1600,0,0,0,248624,206,46314,56,255947,149,48921,-45,258860,-26,49552,-18,259038,-10,49520,-12,0,0,0,0
68,18000013600,18000013800,200,-21457,33,-13351,7,-800,0,-2,38,28742,0,16314,0,800,0,-2,38,1600,0,0,0,1600,0,0,0,1600,0,0,0,248440,34,43674,-36,255902,58,46614,-26,258859,1,47457,-1,259036,-8,47434,2,0,0,0,0
69,18000013800,18000014000,200,-21789,77,-14071,19,-799,-1,35,-7,29050,0,16818,0,800,0,36,-8,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248568,-158,45750,-8,256003,-91,48457,7,258829,5,49157,13,259003,-5,49117,9,-1,1,1,-1
70,18000014000,18000014200,200,-21352,-78,-13638,40,-800,0,68,-12,28584,0,16500,0,800,0,68,-12,1600,0,0,0,1600,0,0,0,1600,0,0,0,248506,178,44536,0,255910,98,47376,32,258875,37,48097,-33,259047,35,48075,-41,0,0,0,0
71,18000014200,18000014400,200,-21400,30,-14000,-14,-800,0,-6,-2,28680,0,16728,0,800,0,-6,-2,1600,0,0,0,1600,0,0,0,1600,0,0,0,248404,-90,44684,-26,255871,-75,47403,-39,258853,-1,48191,5,259040,-16,48182,6,0,0,0,0
72,18000014400,18000014600,200,-21290,-12,-13320,-46,-800,0,-16,8,28556,0,16396,0,800,0,-16,8,1600,0,0,0,1600,0,0,0,1600,0,0,0,248533,13,43901,93,255958,20,46952,54,258874,-36,47796,2,259033,-17,47771,9,0,0,0,0
73,18000014600,18000014800,200,-21439,87,-13037,1,-800,0,-4,24,28756,0,15988,0,800,0,-4,24,1600,0,0,0,1600,0,0,0,1600,0,0,0,248380,-46,42860,-78,255857,31,45827,-79,258864,10,46650,-4,259024,0,46666,-6,0,0,0,0
74,18000014800,18000015000,200,-21516,16,-14076,16,-800,0,62,22,28742,0,16746,0,800,0,62,22,1600,0,0,0,1600,0,0,0,1600,0,0,0,248449,-47,45465,-47,255845,-19,48115,-17,258851,3,48827,-9,259021,15,48807,5,0,0,0,0
75,18000015000,18000015200,200,-21383,65,-13557,-25,-799,1,-31,-43,28790,0,16538,0,800,0,-30,-42,1599,-1,1,1,1600,0,0,0,1600,0,0,0,248359,-1,44099,-29,255951,73,47063,-43,258858,8,47850,-24,259043,17,47833,-13,-1,-1,1,1
76,18000015200,18000015400,200,-21475,99,-13617,77,-800,0,50,-18,28734,0,16482,0,800,0,50,-18,1600,0,0,0,1600,0,0,0,1600,0,0,0,248357,-139,44255,-93,255789,-61,47117,-25,258861,5,47901,21,259034,-16,47898,12,0,0,0,0
77,18000015400,18000015600,200,-21148,-40,-13118,22,-800,0,-26,-46,28420,0,16216,0,800,0,-26,-46,1600,0,0,0,1600,0,0,0,1600,0,0,0,248401,93,43741,-63,255853,45,46845,-35,258855,11,47625,1,259035,3,47631,7,0,0,0,0
78,18000015600,18000015800,200,-21690,66,-14356,4,-800,0,20,-44,28826,0,17006,0,800,0,20,-44,1600,0,0,0,1600,0,0,0,1600,0,0,0,248585,-9,46217,-1,255871,49,48843,-11,258864,8,49470,34,259014,0,49446,20,0,0,0,0
79,18000015800,18000016000,200,-21685,7,-14083,225,-800,0,-2,-30,28914,0,16818,0,800,0,-2,-30,1600,0,0,0,1600,0,0,0,1600,0,0,0,248318,-2,45404,-292,255719,9,48107,-63,258819,-3,48917,-5,258991,1,48885,-1,0,0,0,0
80,18000016000,18000016200,200,-21173,-131,-13319,-105,-800,0,-32,8,28632,0,16288,0,800,0,-32,8,1600,0,0,0,1600,0,0,0,1600,0,0,0,248236,80,43480,144,255866,-42,46438,46,258861,5,47321,-19,259032,14,47310,-12,0,0,0,0
81,18000016200,18000016400,200,-21182,-28,-13424,26,-800,0,24,12,28390,0,16330,0,800,0,24,12,1600,0,0,0,1600,0,0,0,1600,0,0,0,248420,-48,43990,-46,255790,-72,46886,-28,258872,20,47636,0,259034,24,47626,-8,0,0,0,0
82,18000016400,18000016600,200,-21560,-148,-13648,-108,-799,-1,-57,13,28742,0,16538,0,800,0,-56,12,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248529,171,44325,119,255868,8,47196,12,258887,9,48029,3,259044,-6,48010,4,-1,1,1,-1
83,18000016600,18000016800,200,-21493,9,-13421,-3,-800,0,-12,-4,28750,0,16406,0,800,0,-12,-4,1600,0,0,0,1600,0,0,0,1600,0,0,0,248351,-167,43499,25,255802,-148,46458,16,258829,-21,47353,23,259023,-11,47327,17,0,0,0,0
84,18000016800,18000017000,200,-21502,82,-14022,-130,-800,0,14,10,28736,0,16748,0,800,0,14,10,1600,0,0,0,1600,0,0,0,1600,0,0,0,248472,-66,45050,212,255873,15,47779,81,258848,-20,48540,24,259015,-21,48543,23,0,0,0,0
85,18000017000,18000017200,200,-21553,-25,-13817,47,-800,0,-38,34,28748,0,16620,0,800,0,-38,34,1600,0,0,0,1600,0,0,0,1600,0,0,0,248467,95,44891,-25,255833,63,47671,9,258862,2,48424,24,259033,-5,48401,11,0,0,0,0
86,18000017200,18000017400,200,-21320,-154,-13940,-190,-799,1,-43,-7,28400,0,16696,0,800,0,-42,-6,1599,-1,1,1,1600,0,0,0,1600,0,0,0,248554,120,44984,206,255799,-25,47745,21,258865,-13,48517,-5,259030,-4,48522,0,-1,-1,1,1
87,18000017400,18000017600,200,-21602,-102,-13468,-20,-799,-1,19,-51,28706,0,16250,0,800,0,20,-52,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248549,91,43969,19,255824,-10,46760,-22,258866,4,47620,22,259037,5,47629,1,-1,1,1,-1
88,18000017600,18000017800,200,-21678,126,-13314,114,-800,0,14,-6,28840,0,16284,0,800,0,14,-6,1600,0,0,0,1600,0,0,0,1600,0,0,0,248485,-105,43701,-93,255807,-1,46667,31,258890,30,47430,-34,259050,8,47426,-24,0,0,0,0
89,18000017800,18000018000,200,-21594,176,-14182,-12,-800,0,48,-44,28602,0,16770,0,800,0,48,-44,1600,0,0,0,1600,0,0,0,1600,0,0,0,248724,-184,45872,152,255907,-23,48437,135,258854,-6,49110,26,259029,-21,49087,21,0,0,0,0
90,18000018000,18000018200,200,-21223,61,-13273,23,-800,0,-22,-10,28352,0,16168,0,800,0,-22,-10,1600,0,0,0,1600,0,0,0,1600,0,0,0,248509,-61,43589,-109,255790,12,46500,-90,258878,-16,47278,8,259030,-4,47294,4,0,0,0,0
91,18000018200,18000018400,200,-21563,-15,-14135,-111,-799,1,11,-13,28662,0,16790,0,800,0,12,-12,1599,-1,1,1,1600,0,0,0,1600,0,0,0,248550,-64,45290,92,255842,-74,47926,-30,258848,8,48632,-4,259041,13,48613,-15,-1,-1,1,1
