n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_black_axis_pairs,sum_white_matching_axis_pairs
65,8,1,first,90,200,7197,8315,64,74,62,8080,3963
65,7,4,second,90,200,7254,8375,54,83,63,8105,4031
65,8,1,first,91,200,7222,8376,63,80,57,8133,3977
65,7,4,second,91,200,7293,8418,71,70,59,8061,4005
65,8,1,first,92,200,7287,8419,66,69,65,8136,3894
65,7,4,second,92,200,7208,8299,59,72,69,8171,3827
65,8,1,first,93,200,7230,8321,69,76,55,7689,4133
65,7,4,second,93,200,7371,8436,81,59,60,7622,4247
65,8,1,first,94,200,7308,8425,63,71,66,8047,4069
65,7,4,second,94,200,7329,8303,69,71,60,8076,3966
65,8,1,first,95,200,7292,8283,60,73,67,8117,4034
65,7,4,second,95,200,7282,8325,61,77,62,8062,3964
65,8,1,first,96,200,7270,8254,57,74,69,8267,3911
65,7,4,second,96,200,7201,8332,57,73,70,8207,3868
65,8,1,first,97,200,7148,8319,57,86,57,8025,4016
65,7,4,second,97,200,7212,8330,62,75,63,8071,4069
65,8,1,first,98,200,7224,8288,68,67,65,8084,4057
65,7,4,second,98,200,7194,8346,65,76,59,8165,3953
65,8,1,first,99,200,7223,8248,67,68,65,8059,4026
65,7,4,second,99,200,7091,8275,53,78,69,7986,3985
