n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_black_axis_pairs,sum_white_matching_axis_pairs
130,11,3,first,26,200,14567,16307,62,62,76,16365,7728
130,9,7,second,26,200,14586,16373,64,67,69,16318,7755
130,11,3,first,27,200,14745,16335,67,70,63,15731,8038
130,9,7,second,27,200,14560,16381,63,82,55,15688,8080
130,11,3,first,28,200,14620,16314,70,74,56,15471,8024
130,9,7,second,28,200,14605,16275,73,67,60,15377,8107
130,11,3,first,29,200,14592,16423,58,79,63,16245,7760
130,9,7,second,29,200,14611,16258,61,68,71,15966,7810
130,11,3,first,30,200,14682,16248,66,68,66,15448,8255
130,9,7,second,30,200,14560,16211,69,66,65,15646,8192
130,11,3,first,31,200,14739,16481,68,77,55,15965,7959
130,9,7,second,31,200,14676,16407,58,81,61,16043,7944
130,11,3,first,32,200,14497,16277,57,78,65,16068,7864
130,9,7,second,32,200,14719,16437,74,68,58,15783,7773
130,11,3,first,33,200,14636,16507,67,80,53,15711,7921
130,9,7,second,33,200,14602,16284,56,80,64,15986,7999
130,11,3,first,34,200,14700,16509,59,90,51,16521,7681
130,9,7,second,34,200,14764,16333,63,70,67,16414,7598
130,11,3,first,35,200,14567,16276,59,74,67,15982,7983
130,9,7,second,35,200,14605,16347,60,82,58,15919,8030
130,11,3,first,36,200,14586,16172,66,61,73,15858,8042
130,9,7,second,36,200,14538,16263,67,68,65,15924,7967
130,11,3,first,37,200,14528,16350,59,75,66,16084,7958
130,9,7,second,37,200,14759,16544,67,79,54,16115,7895
130,11,3,first,38,200,14869,16581,76,64,60,16111,7950
130,9,7,second,38,200,14632,16327,60,78,62,16392,7954
130,11,3,first,39,200,14523,16301,49,86,65,16312,7823
130,9,7,second,39,200,14573,16401,54,82,64,16285,7800
130,11,3,first,40,200,14657,16277,61,80,59,15931,7859
130,9,7,second,40,200,14783,16413,67,75,58,15856,7821
130,11,3,first,41,200,14434,16356,56,84,60,15962,7925
130,9,7,second,41,200,14679,16481,60,78,62,15891,8109
130,11,3,first,42,200,14646,16317,59,75,66,15819,7963
130,9,7,second,42,200,14662,16538,67,84,49,15595,7976
130,11,3,first,43,200,14655,16331,60,65,75,16454,7475
130,9,7,second,43,200,14740,16460,54,84,62,16710,7570
130,11,3,first,44,200,14600,16360,51,79,70,16128,7773
130,9,7,second,44,200,14806,16258,73,58,69,16055,7780
130,11,3,first,45,200,14703,16408,70,73,57,16054,7951
130,9,7,second,45,200,14571,16469,58,88,54,16050,7916
130,11,3,first,46,200,14874,16549,71,64,65,16041,8005
130,9,7,second,46,200,14564,16390,62,73,65,16061,8004
130,11,3,first,47,200,14551,16241,54,87,59,16308,7757
130,9,7,second,47,200,14610,16367,54,81,65,16352,7779
130,11,3,first,48,200,14722,16279,67,69,64,16291,7852
130,9,7,second,48,200,14561,16358,64,75,61,16132,7878
130,11,3,first,49,200,14636,16368,55,79,66,16357,7661
130,9,7,second,49,200,14662,16458,58,77,65,16427,7524
130,11,3,first,50,200,14569,16400,59,86,55,16003,7913
130,9,7,second,50,200,14724,16336,67,74,59,15910,7917
130,11,3,first,51,200,14580,16339,66,69,65,15990,8038
130,9,7,second,51,200,14611,16318,64,66,70,15918,7993
130,11,3,first,52,200,14634,16479,72,68,60,15919,7957
130,9,7,second,52,200,14743,16345,66,73,61,15873,8000
130,11,3,first,53,200,14606,16275,58,79,63,15958,7868
130,9,7,second,53,200,14624,16342,62,78,60,15913,7987
130,11,3,first,54,200,14535,16311,57,80,63,16070,7851
130,9,7,second,54,200,14389,16227,51,78,71,16005,7859
130,11,3,first,55,200,14457,16535,49,86,65,16373,7719
130,9,7,second,55,200,14679,16466,56,85,59,16351,7705
130,11,3,first,56,200,14701,16285,65,72,63,15824,8003
130,9,7,second,56,200,14465,16313,67,63,70,15734,8013
130,11,3,first,57,200,14573,16248,51,83,66,16022,7862
130,9,7,second,57,200,14870,16539,65,78,57,16061,7798
130,11,3,first,58,200,14602,16368,59,81,60,15900,7944
130,9,7,second,58,200,14616,16237,56,74,70,15983,7876
130,11,3,first,59,200,14624,16320,63,77,60,16040,7936
130,9,7,second,59,200,14665,16465,55,82,63,15949,7929
130,11,3,first,60,200,14786,16422,63,75,62,16053,7744
130,9,7,second,60,200,14632,16422,65,77,58,15998,7806
130,11,3,first,61,200,14678,16564,69,76,55,15735,7780
130,9,7,second,61,200,14672,16239,71,60,69,15924,7862
130,11,3,first,62,200,14494,16394,71,71,58,15351,8207
130,9,7,second,62,200,14557,16288,62,81,57,15583,8146
130,11,3,first,63,200,14684,16328,65,71,64,16207,7873
130,9,7,second,63,200,14584,16335,68,63,69,15980,7811
130,11,3,first,64,200,14753,16397,62,69,69,16282,7864
130,9,7,second,64,200,14635,16420,62,71,67,16040,7797
130,11,3,first,65,200,14597,16460,62,83,55,15750,7963
130,9,7,second,65,200,14627,16309,58,80,62,15983,8020
130,11,3,first,66,200,14781,16338,74,71,55,15248,8349
130,9,7,second,66,200,14680,16373,78,65,57,15458,8426
130,11,3,first,67,200,14628,16352,50,81,69,16328,7642
130,9,7,second,67,200,14630,16481,59,85,56,16296,7664
130,11,3,first,68,200,14656,16336,63,63,74,16166,7729
130,9,7,second,68,200,14447,16247,50,77,73,16105,7819
130,11,3,first,69,200,14671,16371,66,77,57,15752,7880
130,9,7,second,69,200,14559,16260,62,80,58,15832,8007
130,11,3,first,70,200,14590,16349,59,82,59,15675,8191
130,9,7,second,70,200,14675,16427,69,78,53,15441,8047
130,11,3,first,71,200,14462,16253,53,85,62,16238,7788
130,9,7,second,71,200,14612,16537,62,85,53,16141,7813
130,11,3,first,72,200,14459,16333,55,78,67,16165,7724
130,9,7,second,72,200,14730,16492,59,81,60,16132,7880
130,11,3,first,73,200,14479,16237,57,71,72,15998,7785
130,9,7,second,73,200,14424,16260,54,89,57,16109,7821
130,11,3,first,74,200,14578,16469,64,69,67,16049,7719
130,9,7,second,74,200,14635,16349,56,72,72,16078,7715
130,11,3,first,75,200,14573,16369,62,76,62,15989,7953
130,9,7,second,75,200,14490,16136,54,78,68,15953,7916
130,11,3,first,76,200,14536,16421,69,66,65,15515,7951
130,9,7,second,76,200,14660,16351,69,67,64,15589,7943
130,11,3,first,77,200,14548,16292,61,75,64,15991,7818
130,9,7,second,77,200,14756,16413,71,60,69,16025,7872
130,11,3,first,78,200,14616,16429,56,82,62,16060,7920
130,9,7,second,78,200,14513,16343,57,73,70,16113,7880
130,11,3,first,79,200,14685,16383,67,69,64,16126,7901
130,9,7,second,79,200,14500,16390,58,76,66,16114,7830
130,11,3,first,80,200,14599,16364,57,85,58,16153,7800
130,9,7,second,80,200,14697,16598,67,84,49,16115,7817
130,11,3,first,81,200,14606,16443,58,88,54,16105,7677
130,9,7,second,81,200,14444,16296,58,79,63,16333,7809
130,11,3,first,82,200,14730,16469,69,74,57,16080,7846
130,9,7,second,82,200,14821,16346,68,64,68,15872,7836
130,11,3,first,83,200,14633,16363,60,72,68,16110,7837
130,9,7,second,83,200,14623,16342,66,73,61,16032,7926
130,11,3,first,84,200,14640,16342,64,69,67,16273,7642
130,9,7,second,84,200,14546,16358,66,73,61,16093,7698
130,11,3,first,85,200,14679,16452,63,80,57,15864,7895
130,9,7,second,85,200,14588,16292,61,77,62,16035,7997
130,11,3,first,86,200,14692,16366,63,79,58,16076,7869
130,9,7,second,86,200,14792,16267,75,61,64,15984,7866
130,11,3,first,87,200,14548,16466,60,84,56,16189,7835
130,9,7,second,87,200,14490,16268,61,68,71,16144,7855
130,11,3,first,88,200,14602,16308,54,87,59,15815,7897
130,9,7,second,88,200,14795,16439,71,74,55,16029,7929
130,11,3,first,89,200,14615,16375,48,87,65,16333,7835
130,9,7,second,89,200,14442,16359,51,85,64,16157,7804
130,11,3,first,90,200,14709,16392,66,76,58,15886,7936
130,9,7,second,90,200,14609,16258,63,72,65,15971,7932
130,11,3,first,91,200,14409,16334,51,81,68,16220,7667
130,9,7,second,91,200,14649,16421,61,89,50,16301,7710
130,11,3,first,92,200,14526,16166,59,63,78,16011,7722
130,9,7,second,92,200,14643,16474,64,70,66,16088,7884
130,11,3,first,93,200,14554,16379,60,82,58,16089,7921
130,9,7,second,93,200,14646,16304,65,75,60,16072,7879
130,11,3,first,94,200,14646,16383,59,81,60,16004,7927
130,9,7,second,94,200,14715,16479,73,71,56,15867,7952
130,11,3,first,95,200,14526,16327,59,73,68,16146,7854
130,9,7,second,95,200,14738,16354,64,65,71,16252,7846
130,11,3,first,96,200,14617,16355,61,75,64,15952,7879
130,9,7,second,96,200,14718,16473,68,79,53,16014,7933
130,11,3,first,97,200,14814,16439,61,74,65,16454,7552
130,9,7,second,97,200,14678,16410,53,82,65,16428,7530
130,11,3,first,98,200,14687,16479,71,82,47,15645,8068
130,9,7,second,98,200,14750,16445,67,77,56,15689,8020
130,11,3,first,99,200,14669,16237,50,81,69,16149,7952
130,9,7,second,99,200,14657,16400,58,78,64,16190,7907
