stage,mode,N,a1,b1,a2,b2,t,p,channel,observable,mean,batch_se,z_batch,samples,batches
pilot_n65,site,65,8,1,7,4,4,0.59274605079,either,S_delta,0.0010350000000000636,0.0006477196843339591,1.5979134570602704,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_0,o1_primal,0.5194,0.0011364302372827513,457.04521312448134,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_0,o1_matching,0.516785,0.0013055000050394075,395.8521623938259,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_0,o2_primal,0.51882,0.0012422941426417883,417.6305612265936,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_0,o2_matching,0.517955,0.0011022578502424235,469.9036617304058,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_0,o1_M,0.002614999999999923,0.0018961494916637895,1.3791106721787918,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_0,o2_M,0.0008649999999998936,0.001796682249387225,0.4814429486877325,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_0,o1_S,0.5180925000000001,0.0007739872414969098,669.3811890206314,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_0,o2_S,0.5183875,0.0007563840137891486,685.3496247271389,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_0,primal_delta,0.0005800000000000249,0.001389009491839798,0.41756374121806183,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_0,matching_delta,-0.0011700000000000044,0.0013458728335955512,-0.8693243304973355,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_0,M_delta,0.0017500000000000293,0.0015160457568431458,1.1543187216486428,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_0,S_delta,-0.0002949999999999897,0.0011383153526616687,-0.2591548987810849,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_1,o1_primal,0.520235,0.0011588850131415984,448.90993851901254,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_1,o1_matching,0.51762,0.001164442491404994,444.52173793095574,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_1,o2_primal,0.5184,0.0012781771559941346,405.57758176862524,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_1,o2_matching,0.517535,0.0010024778511793983,516.2557949695635,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_1,o1_M,0.002615000000000034,0.001896149491663786,1.3791106721788529,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_1,o2_M,0.0008650000000000047,0.0017966822493872276,0.48144294868779364,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_1,o1_S,0.5189275,0.0006712858340920246,773.0350822938143,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_1,o2_S,0.5179674999999999,0.0007157741024858816,723.6466061025401,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_1,primal_delta,0.001835000000000031,0.0014752390528852892,1.243866203522146,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_1,matching_delta,8.500000000000174e-05,0.0013886243666229342,0.06121165812948936,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_1,M_delta,0.0017500000000000293,0.0015160457568431476,1.1543187216486415,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,direction_1,S_delta,0.0009600000000000164,0.0012156090091628505,0.7897276120560643,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,cross,o1_primal,0.314325,0.0011330414355780814,277.4170388919893,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,cross,o1_matching,0.312175,0.0009343130040161511,334.12250354871816,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,cross,o2_primal,0.31257,0.0009759502791476739,320.2724633400142,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,cross,o2_matching,0.313765,0.0012913329506651962,242.9776145945724,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,cross,o1_M,0.0021500000000000408,0.0016455921986356537,1.3065205351499523,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,cross,o2_M,-0.0011950000000000016,0.001980915192530968,-0.6032565172430117,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,cross,o1_S,0.31325000000000003,0.000633536440193168,494.4466965538537,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,cross,o2_S,0.31316750000000004,0.0005735883701933398,545.9795147074556,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,cross,primal_delta,0.0017550000000000066,0.00133133243505579,1.3182282304467874,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,cross,matching_delta,-0.0015900000000000358,0.0013316965831125648,-1.193965667677648,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,cross,M_delta,0.0033450000000000424,0.001994881278620226,1.676791514286823,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,cross,S_delta,8.249999999998536e-05,0.0008820675099476586,0.09353025598333269,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,both,o1_primal,0.352145,0.0011853597055657616,297.07859845963327,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,both,o1_matching,0.349995,0.0010292939583187964,340.03405652129396,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,both,o2_primal,0.350435,0.0010209973194459379,343.2281293257163,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,both,o2_matching,0.35163,0.0012675525526321218,277.40861652625506,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,both,o1_M,0.0021499999999999853,0.0016455921986356526,1.3065205351499194,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,both,o2_M,-0.0011950000000000016,0.0019809151925309675,-0.6032565172430118,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,both,o1_S,0.35107,0.0007451633519253555,471.13159697521917,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,both,o2_S,0.35103249999999997,0.0005861367161336991,598.8918461131321,200000,20
