design,batch,samples,point,category,count
pell_Dminus2_N30,8,5000,minus,"rank1:1,1",6
pell_Dminus2_N30,8,5000,minus,"rank1:2,-1",4
pell_Dminus2_N30,8,5000,minus,rank2,1425
pell_Dminus2_N30,8,5000,center,rank0,1613
pell_Dminus2_N30,8,5000,center,"rank1:0,1",581
pell_Dminus2_N30,8,5000,center,"rank1:1,-2",10
pell_Dminus2_N30,8,5000,center,"rank1:1,-1",620
pell_Dminus2_N30,8,5000,center,"rank1:1,0",564
pell_Dminus2_N30,8,5000,center,"rank1:1,1",5
pell_Dminus2_N30,8,5000,center,"rank1:2,-1",5
pell_Dminus2_N30,8,5000,center,rank2,1602
pell_Dminus2_N30,8,5000,plus,rank0,1402
pell_Dminus2_N30,8,5000,plus,"rank1:0,1",593
pell_Dminus2_N30,8,5000,plus,"rank1:1,-2",13
pell_Dminus2_N30,8,5000,plus,"rank1:1,-1",620
pell_Dminus2_N30,8,5000,plus,"rank1:1,0",586
pell_Dminus2_N30,8,5000,plus,"rank1:1,1",1
pell_Dminus2_N30,8,5000,plus,"rank1:2,-1",5
pell_Dminus2_N30,8,5000,plus,rank2,1780
pell_Dminus2_N30,9,5000,minus,rank0,1774
pell_Dminus2_N30,9,5000,minus,"rank1:0,1",640
pell_Dminus2_N30,9,5000,minus,"rank1:1,-2",12
pell_Dminus2_N30,9,5000,minus,"rank1:1,-1",630
pell_Dminus2_N30,9,5000,minus,"rank1:1,0",566
pell_Dminus2_N30,9,5000,minus,"rank1:1,1",3
pell_Dminus2_N30,9,5000,minus,"rank1:2,-1",1
pell_Dminus2_N30,9,5000,minus,rank2,1374
pell_Dminus2_N30,9,5000,center,rank0,1561
pell_Dminus2_N30,9,5000,center,"rank1:0,1",621
pell_Dminus2_N30,9,5000,center,"rank1:1,-2",9
pell_Dminus2_N30,9,5000,center,"rank1:1,-1",639
pell_Dminus2_N30,9,5000,center,"rank1:1,0",580
pell_Dminus2_N30,9,5000,center,"rank1:1,1",3
pell_Dminus2_N30,9,5000,center,"rank1:2,-1",1
pell_Dminus2_N30,9,5000,center,rank2,1586
pell_Dminus2_N30,9,5000,plus,rank0,1354
pell_Dminus2_N30,9,5000,plus,"rank1:0,1",631
