batch,start_replica,samples,plus_re,plus_im,minus_re,minus_im,mirror_plus_re,mirror_plus_im,reflection_null_re,reflection_null_im
16,32000,2000,-4035.9931688984966,6010.095489001343,3402.375291453277,10207.437168608383,-4035.9931688984966,-6010.095489001343,0.0,0.0
17,34000,2000,-5923.263079296459,4351.1117666130585,-3856.450433569826,11295.843390345002,-5923.263079296459,-4351.1117666130585,0.0,0.0
18,36000,2000,12978.429357358753,-1809.464092168849,-1143.7574140080765,-10326.756889576001,12978.429357358753,1809.464092168849,0.0,0.0
19,38000,2000,6868.297234803976,-12595.314756046535,-2116.3672945386656,-3523.4130808402024,6868.297234803976,12595.314756046535,0.0,0.0
20,40000,2000,569.8188939216034,6445.864609107739,-2493.9726755939523,3698.474664982804,569.8188939216034,-6445.864609107739,0.0,0.0
21,42000,2000,3736.8393872260795,-3891.538029036568,8308.818311015037,7133.728673668339,3736.8393872260795,3891.538029036568,0.0,0.0
22,44000,2000,4971.971509780886,-2681.002332381647,3354.9584304844216,-12416.186857786526,4971.971509780886,2681.002332381647,0.0,0.0
23,46000,2000,1735.5552317185848,2344.8146298901947,-381.4726755939846,1184.6979221261108,1735.5552317185848,-2344.8146298901947,0.0,0.0
24,48000,2000,-8440.944185374861,-3365.5766797167757,-2170.0415695155934,10769.882041025217,-8440.944185374861,3365.5766797167757,0.0,0.0
25,50000,2000,3410.770493304527,-8889.484059720888,5483.840553039211,-4874.559995599309,3410.770493304527,8889.484059720888,0.0,0.0
26,52000,2000,-4887.923109163802,112.7402865167048,-1744.6110463436987,-6622.959350309048,-4887.923109163802,-112.7402865167048,0.0,0.0
27,54000,2000,6052.590553039201,797.3146338518632,9.055814625135895,5973.611965904268,6052.590553039201,-797.3146338518632,0.0,0.0
28,56000,2000,6932.096218327618,-59.03158040042808,10556.24258599197,5155.782431807727,6932.096218327618,59.03158040042808,0.0,0.0
