batch,M_pref,M_p0,M_p1,M_p2,M_p3,M_p4,M_p5,M_p6,M_p7,M_p8,M_p9,M_p10,M_p11,M_p12,M_p13,M_p14,Mp,Mpp,meanKminus,meanKplus,gap,varKminus
29,-0.0008545728130250341,9.4746129157941e-05,8.718350049174983e-05,3.3240868084205566e-05,-6.712329678792983e-05,-0.00020159224059002057,-0.00035144174130752326,-0.0004988673228648599,-0.000631313213145912,-0.0007429786572270558,-0.0008334678604804413,-0.0009009737992379252,-0.0009324713294593945,-0.0009021272125646629,-0.0007855042204637508,-0.0005808117454442208,-0.012205566718109573,0.20780446199908909,0.07063999999999737,-0.015000000000043201,0.08564000000004057,1.149237153607828
30,0.00024372898568036927,-0.0003266498110620075,-0.0003879545648626248,-0.0004561337161067547,-0.0005186865781526828,-0.0005514421683974202,-0.0005277765785710598,-0.00043152989596240143,-0.0002650969558846139,-4.89011021840291e-05,0.0001830094580441699,0.0003860811121392249,0.0005115657420871056,0.0005242997794295823,0.0004264878407094219,0.00026587701423819166,0.01913143968891351,0.49762913622907945,0.017979999999994334,-0.005799999999965166,0.0237799999999595,-1.4162428195995744
31,0.0005076795485592367,0.0007623207477671645,0.000984622440763805,0.0011510420705832525,0.0012301400665354345,0.0012120307842049538,0.0011066406099230486,0.0009408908296201224,0.0007567841917540674,0.000603284451025976,0.0005176382149982839,0.0005055296543714505,0.0005372107997886344,0.0005665861884930345,0.0005603643081156795,0.0005149000588209329,-0.016880318929701765,0.3060689713785365,-0.12603999999998905,-0.0056000000000153705,-0.12043999999997368,1.8093487975929747
32,-0.001802105186515801,-0.0002539793339287888,-0.00030248289941992024,-0.00034987310663991966,-0.00042114963571715514,-0.000550625769295654,-0.0007641526536412702,-0.0010566495698105527,-0.0013790838187226484,-0.0016499481070313404,-0.0017917431832801256,-0.0017698479092206343,-0.0016045071783072906,-0.0013494656197757804,-0.0010598030475524878,-0.0007743919189797666,-0.029664926861038943,0.5156996060340333,0.09306000000000836,0.04655999999999949,0.04650000000000887,0.6936354883946478
33,0.0008343968321528061,0.000490103450616397,0.0005955997259052825,0.0006868865359096477,0.0007518527066803227,0.0007827542290399503,0.0007813385457288158,0.0007634485065415308,0.000754561214665217,0.0007739772733473815,0.000819829052362886,0.0008703627127616409,0.0009014830823385056,0.0009037675670431344,0.0008836884464352712,0.0008507375692673458,0.0005264383402927564,0.2830335055847826,-0.09279000000000792,-0.05320000000000391,-0.03959000000000401,1.03121691110573
34,0.001182100248270812,0.0004138810619972455,0.0006039922593791269,0.0008181047929256557,0.0010421137029600347,0.0012583585140226727,0.0014370597922811479,0.001538640984118489,0.0015332689810398925,0.0014219763397096408,0.0012386365501670937,0.0010312700603531955,0.0008400572570151921,0.0006869401386474516,0.0005765629415764861,0.0005010389169761709,-0.005833232220436635,-1.0592063825176723,-0.08986000000001582,-0.058179999999993015,-0.0316800000000228,1.440847661200678
35,-2.4658874258620678e-05,-2.4312062042897153e-05,-4.397889997931337e-05,-4.977920464466212e-05,-3.5187243031087334e-05,-7.826754228057453e-07,4.041413402711136e-05,6.56970943481161e-05,5.720600687553201e-05,1.9087367514769582e-05,-1.9246612531831353e-05,-2.0992339214931377e-05,3.104752651461595e-05,0.0001201031654013418,0.00020538665370151143,0.0002480304888832219,-0.002330486341656446,-0.29627551888400205,0.014729999999985921,-0.02331000000003769,0.03804000000002361,0.5431179387014708
36,-0.0021926368577871447,0.00029578786161388315,0.00013342143723493738,-0.00010542434731608541,-0.0004099992337268654,-0.0007704752557358141,-0.0011740071633309368,-0.001588006347564619,-0.0019489663939400437,-0.002177488676536554,-0.002216696441823429,-0.0020652426453465766,-0.0017773228324809986,-0.0014306915606873138,-0.0010896228570915767,-0.0007882408681268993,-0.0294741164485961,1.3243776377891407,0.10602999999997564,0.03003999999998541,0.07598999999999023,4.668373734515626
37,0.00025504050873548234,-4.515106040203776e-05,-4.349794318625477e-05,-3.1687237566191406e-05,-1.4048127421228962e-05,2.7860670601675963e-06,1.8690407137533782e-05,4.3499651092071545e-05,8.919474693303009e-05,0.000157255916961474,0.00023466314214082296,0.0003031711223581146,0.00035109730883109425,0.00037504488426320925,0.0003730444873965011,0.00034059200730696126,0.005687813293469901,0.22366074187485196,0.0026399999999853208,-0.018390000000010787,0.021029999999996107,-0.8443020671911654
38,0.0012710722812987463,0.0005610088831017324,0.0006008514135025234,0.0006193517952751693,0.0006327439090854092,0.0006604583028874123,0.000714576738783057,0.000797939416032456,0.0009112797013534069,0.0010562635434666623,0.0012245183533600157,0.0013829326953405108,0.0014768613025232247,0.0014581041034382736,0.0013186606440962478,0.0011016056034102162,0.012916206371710537,0.31643556792305105,-0.09799000000001001,-0.07817999999997483,-0.01981000000003519,1.545097411108145
