design,seed_block,batch,samples,rank0,l0,l1,l2,rank1_other,rank2,invariant_failure
pell_Dminus2_N120_norm2_generation2,14085500845886129287,125,20000,6290,2283,2568,2514,71,6274,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,126,20000,6211,2285,2538,2557,68,6341,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,127,20000,6257,2222,2592,2491,70,6368,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,128,20000,6319,2246,2485,2568,59,6323,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,129,20000,6230,2290,2571,2469,57,6383,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,130,20000,6279,2265,2519,2554,58,6325,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,131,20000,6229,2268,2585,2473,66,6379,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,132,20000,6306,2250,2425,2555,58,6406,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,133,20000,6390,2210,2480,2497,65,6358,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,134,20000,6245,2289,2596,2545,62,6263,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,135,20000,6318,2186,2513,2576,73,6334,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,136,20000,6342,2282,2535,2523,51,6267,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,137,20000,6141,2303,2595,2566,53,6342,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,138,20000,6200,2205,2535,2559,74,6427,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,139,20000,6400,2251,2559,2538,66,6186,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,140,20000,6458,2245,2470,2523,63,6241,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,141,20000,6399,2309,2489,2488,60,6255,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,142,20000,6259,2338,2619,2527,55,6202,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,143,20000,6297,2242,2519,2499,69,6374,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,144,20000,6242,2250,2510,2641,60,6297,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,145,20000,6240,2252,2475,2538,54,6441,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,146,20000,6328,2209,2505,2548,65,6345,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,147,20000,6368,2265,2485,2530,49,6303,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,148,20000,6338,2281,2569,2546,61,6205,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,149,20000,6369,2247,2436,2457,65,6426,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,150,20000,6312,2320,2488,2516,60,6304,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,151,20000,6257,2236,2529,2609,68,6301,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,152,20000,6303,2267,2591,2534,76,6229,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,153,20000,6228,2179,2613,2533,65,6382,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,154,20000,6344,2180,2503,2567,72,6334,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,155,20000,6244,2239,2605,2568,61,6283,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,156,20000,6341,2241,2436,2550,77,6355,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,157,20000,6146,2268,2563,2641,68,6314,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,158,20000,6334,2262,2543,2576,67,6218,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,159,20000,6274,2309,2531,2599,67,6220,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,160,20000,6251,2271,2483,2607,56,6332,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,161,20000,6232,2210,2595,2514,57,6392,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,162,20000,6364,2222,2566,2574,62,6212,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,163,20000,6264,2246,2565,2554,69,6302,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,164,20000,6313,2202,2572,2552,88,6273,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,165,20000,6294,2193,2599,2587,64,6263,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,166,20000,6310,2211,2527,2540,65,6347,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,167,20000,6343,2264,2512,2587,74,6220,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,168,20000,6337,2291,2535,2544,65,6228,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,169,20000,6312,2270,2615,2515,62,6226,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,170,20000,6209,2221,2575,2586,61,6348,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,171,20000,6225,2304,2589,2560,58,6264,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,172,20000,6248,2255,2579,2486,66,6366,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,173,20000,6340,2248,2520,2587,75,6230,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,174,20000,6241,2202,2529,2508,69,6451,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,175,20000,6220,2213,2491,2577,67,6432,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,176,20000,6253,2236,2639,2498,59,6315,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,177,20000,6244,2239,2603,2538,59,6317,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,178,20000,6268,2289,2510,2589,60,6284,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,179,20000,6344,2283,2556,2530,38,6249,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,180,20000,6400,2253,2557,2500,57,6233,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,181,20000,6342,2283,2442,2551,68,6314,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,182,20000,6366,2272,2452,2589,64,6257,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,183,20000,6353,2262,2554,2470,67,6294,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,184,20000,6359,2327,2557,2468,51,6238,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,185,20000,6369,2153,2560,2451,73,6394,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,186,20000,6304,2205,2557,2514,64,6356,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,187,20000,6470,2293,2578,2522,64,6073,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,188,20000,6300,2241,2543,2580,56,6280,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,189,20000,6339,2173,2533,2548,62,6345,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,190,20000,6276,2243,2601,2556,54,6270,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,191,20000,6298,2168,2599,2575,58,6302,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,192,20000,6204,2276,2520,2708,85,6207,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,193,20000,6334,2242,2529,2498,68,6329,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,194,20000,6246,2214,2581,2561,72,6326,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,195,20000,6372,2253,2510,2544,70,6251,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,196,20000,6240,2287,2500,2472,62,6439,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,197,20000,6323,2274,2559,2535,65,6244,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,198,20000,6307,2240,2467,2558,60,6368,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,199,20000,6337,2213,2482,2635,63,6270,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,200,20000,6173,2253,2640,2568,59,6307,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,201,20000,6364,2221,2502,2566,64,6283,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,202,20000,6357,2318,2500,2560,59,6206,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,203,20000,6308,2268,2560,2454,73,6337,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,204,20000,6297,2278,2563,2526,59,6277,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,205,20000,6258,2256,2607,2464,81,6334,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,206,20000,6271,2221,2578,2467,75,6388,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,207,20000,6298,2241,2531,2662,56,6212,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,208,20000,6328,2286,2592,2481,60,6253,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,209,20000,6415,2220,2568,2463,69,6265,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,210,20000,6300,2276,2577,2560,54,6233,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,211,20000,6331,2252,2641,2516,60,6200,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,212,20000,6333,2274,2544,2462,71,6316,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,213,20000,6231,2315,2581,2608,68,6197,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,214,20000,6305,2224,2548,2580,68,6275,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,215,20000,6135,2243,2608,2566,64,6384,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,216,20000,6352,2347,2497,2525,71,6208,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,217,20000,6292,2268,2579,2557,77,6227,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,218,20000,6359,2183,2547,2510,68,6333,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,219,20000,6237,2278,2596,2523,74,6292,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,220,20000,6172,2265,2526,2597,61,6379,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,221,20000,6372,2308,2459,2500,57,6304,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,222,20000,6195,2304,2590,2563,80,6268,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,223,20000,6350,2254,2540,2501,65,6290,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,224,20000,6304,2226,2524,2549,66,6331,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,225,20000,6262,2292,2553,2457,61,6375,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,226,20000,6272,2223,2525,2519,84,6377,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,227,20000,6419,2183,2584,2508,65,6241,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,228,20000,6271,2216,2618,2496,62,6337,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,229,20000,6408,2251,2504,2472,66,6299,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,230,20000,6291,2213,2510,2572,81,6333,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,231,20000,6379,2215,2506,2468,46,6386,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,232,20000,6342,2274,2482,2549,63,6290,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,233,20000,6236,2178,2572,2592,57,6365,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,234,20000,6347,2208,2496,2528,53,6368,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,235,20000,6292,2251,2597,2484,56,6320,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,236,20000,6189,2293,2549,2478,55,6436,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,237,20000,6284,2259,2563,2591,57,6246,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,238,20000,6343,2215,2467,2519,70,6386,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,239,20000,6382,2207,2591,2526,67,6227,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,240,20000,6194,2256,2455,2571,63,6461,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,241,20000,6353,2295,2480,2512,78,6282,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,242,20000,6310,2255,2599,2557,63,6216,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,243,20000,6356,2235,2546,2517,73,6273,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,244,20000,6450,2138,2503,2540,69,6300,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,245,20000,6269,2233,2594,2521,57,6326,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,246,20000,6282,2184,2644,2547,64,6279,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,247,20000,6315,2272,2575,2613,62,6163,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,248,20000,6265,2297,2480,2503,59,6396,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,249,20000,6364,2305,2517,2534,56,6224,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,0,20000,6338,2561,2363,2375,54,6309,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,1,20000,6436,2554,2336,2296,69,6309,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,2,20000,6238,2449,2387,2452,56,6418,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,3,20000,6420,2581,2363,2362,62,6212,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,4,20000,6432,2516,2327,2340,66,6319,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,5,20000,6309,2553,2363,2341,47,6387,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,6,20000,6296,2488,2366,2366,54,6430,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,7,20000,6305,2465,2482,2384,58,6306,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,8,20000,6288,2517,2420,2458,52,6265,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,9,20000,6246,2574,2362,2389,54,6375,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,10,20000,6390,2481,2441,2338,62,6288,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,11,20000,6290,2530,2413,2456,64,6247,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,12,20000,6339,2599,2434,2318,69,6241,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,13,20000,6313,2488,2432,2440,52,6275,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,14,20000,6420,2470,2419,2399,58,6234,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,15,20000,6299,2477,2347,2419,62,6396,0
pell_Dplus1_N224_norm2_generation2,9343149081073810069,16,20000,6317,2448,2358,2454,64,6359,0
