model,left_out_N,split,kind,true_deltaM,pred_deltaM,signed_residual,se,z,cond
fixed_13_8_cos4_plus_cos8,130,train,frozen_train_prediction,9.675944485883976e-05,0.0006898482365321765,-0.0005930887916733368,0.00046018390033165517,-1.2888082161194618,
fixed_13_8_cos4_plus_cos8,145,holdout,frozen_train_prediction,0.00022633245872396725,0.00047638336511154113,-0.00025005090638757386,0.0005291200283756784,-0.4725787968283752,
fixed_13_8_cos4_plus_cos8,170,holdout,frozen_train_prediction,0.0009140497274162477,0.00010631371788476389,0.0008077360095314838,0.0004568335456656452,1.7681188634134648,
fixed_13_8_cos4_plus_cos8,65,train,loso_refit_other_train,0.0002187865930674445,0.01825502558530897,-0.018036238992241525,0.0004037915835338863,-44.66719894058396,773.4611991748866
fixed_13_8_cos4_plus_cos8,85,train,loso_refit_other_train,0.0016437669366669231,0.00021942621746433468,0.0014243407192025884,0.0003703881413845772,3.8455354263723125,13.191037853289249
fixed_13_8_cos4_plus_cos8,130,train,loso_refit_other_train,9.675944485883976e-05,0.0007785279378695315,-0.0006817684930106918,0.00046018390033165517,-1.4815131353342441,2.446835161963747
free_alpha_cos4,65,train,frozen_train_prediction,0.0002187865930674445,0.0008635442864981894,-0.0006447576934307448,0.0004037915835338863,-1.5967586243080687,
free_alpha_cos4,85,train,frozen_train_prediction,0.0016437669366669231,0.0008831829725607148,0.0007605839641062083,0.0003703881413845772,2.05347817363431,
free_alpha_cos4,130,train,frozen_train_prediction,9.675944485883976e-05,0.0006106180185257064,-0.0005138585736668667,0.00046018390033165517,-1.1166374427626176,
free_alpha_cos4,145,holdout,frozen_train_prediction,0.00022633245872396725,0.0008132911364283998,-0.0005869586777044326,0.0005291200283756784,-1.109311018723503,
free_alpha_cos4,170,holdout,frozen_train_prediction,0.0009140497274162477,0.0006245046665615311,0.00028954506085471655,0.0004568335456656452,0.6338086675154839,
free_alpha_cos4,65,train,loso_refit_other_train,0.0002187865930674445,0.001259552769236854,-0.0010407661761694096,0.0004037915835338863,-2.5774835796746327,1.0
free_alpha_cos4,85,train,loso_refit_other_train,0.0016437669366669231,0.00020046589410794175,0.0014433010425589814,0.0003703881413845772,3.8967258432293854,1.0
free_alpha_cos4,130,train,loso_refit_other_train,9.675944485883976e-05,0.0006988044957950771,-0.0006020450509362374,0.00046018390033165517,-1.3082705642295236,1.0
