n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
85,14,10000,0.59274605078999998,direction_1,9,2,7,6,5151,5108,5202,5218
85,15,10000,0.59274605078999998,cross,9,2,7,6,3075,3137,3105,3124
85,15,10000,0.59274605078999998,both,9,2,7,6,3428,3490,3472,3491
85,15,10000,0.59274605078999998,either,9,2,7,6,6863,6925,6876,6895
85,15,10000,0.59274605078999998,direction_0,9,2,7,6,5183,5245,5228,5247
85,15,10000,0.59274605078999998,direction_1,9,2,7,6,5108,5170,5120,5139
85,16,10000,0.59274605078999998,cross,9,2,7,6,3155,3153,3150,3118
85,16,10000,0.59274605078999998,both,9,2,7,6,3521,3519,3571,3539
85,16,10000,0.59274605078999998,either,9,2,7,6,6847,6845,6882,6850
85,16,10000,0.59274605078999998,direction_0,9,2,7,6,5143,5141,5205,5173
85,16,10000,0.59274605078999998,direction_1,9,2,7,6,5225,5223,5248,5216
85,17,10000,0.59274605078999998,cross,9,2,7,6,3177,3104,3099,3188
85,17,10000,0.59274605078999998,both,9,2,7,6,3543,3470,3466,3555
85,17,10000,0.59274605078999998,either,9,2,7,6,6896,6823,6812,6901
85,17,10000,0.59274605078999998,direction_0,9,2,7,6,5231,5158,5109,5198
85,17,10000,0.59274605078999998,direction_1,9,2,7,6,5208,5135,5169,5258
85,18,10000,0.59274605078999998,cross,9,2,7,6,3197,3134,3194,3101
85,18,10000,0.59274605078999998,both,9,2,7,6,3588,3525,3593,3500
85,18,10000,0.59274605078999998,either,9,2,7,6,6866,6803,6899,6806
85,18,10000,0.59274605078999998,direction_0,9,2,7,6,5255,5192,5207,5114
85,18,10000,0.59274605078999998,direction_1,9,2,7,6,5199,5136,5285,5192
85,19,10000,0.59274605078999998,cross,9,2,7,6,3186,3073,3109,3106
85,19,10000,0.59274605078999998,both,9,2,7,6,3568,3455,3496,3493
85,19,10000,0.59274605078999998,either,9,2,7,6,6927,6814,6894,6891
85,19,10000,0.59274605078999998,direction_0,9,2,7,6,5160,5047,5202,5199
85,19,10000,0.59274605078999998,direction_1,9,2,7,6,5335,5222,5188,5185
85,20,10000,0.59274605078999998,cross,9,2,7,6,3130,3156,3164,3090
85,20,10000,0.59274605078999998,both,9,2,7,6,3503,3529,3552,3478
85,20,10000,0.59274605078999998,either,9,2,7,6,6844,6870,6910,6836
85,20,10000,0.59274605078999998,direction_0,9,2,7,6,5167,5193,5231,5157
85,20,10000,0.59274605078999998,direction_1,9,2,7,6,5180,5206,5231,5157
85,21,10000,0.59274605078999998,cross,9,2,7,6,3185,3091,3153,3064
85,21,10000,0.59274605078999998,both,9,2,7,6,3584,3490,3545,3456
85,21,10000,0.59274605078999998,either,9,2,7,6,6909,6815,6936,6847
85,21,10000,0.59274605078999998,direction_0,9,2,7,6,5255,5161,5226,5137
85,21,10000,0.59274605078999998,direction_1,9,2,7,6,5238,5144,5255,5166
85,22,10000,0.59274605078999998,cross,9,2,7,6,3073,3114,3175,3135
85,22,10000,0.59274605078999998,both,9,2,7,6,3457,3498,3541,3501
85,22,10000,0.59274605078999998,either,9,2,7,6,6886,6927,6865,6825
85,22,10000,0.59274605078999998,direction_0,9,2,7,6,5181,5222,5191,5151
85,22,10000,0.59274605078999998,direction_1,9,2,7,6,5162,5203,5215,5175
85,23,10000,0.59274605078999998,cross,9,2,7,6,3101,3149,3208,3075
85,23,10000,0.59274605078999998,both,9,2,7,6,3460,3508,3591,3458
85,23,10000,0.59274605078999998,either,9,2,7,6,6851,6899,6925,6792
85,23,10000,0.59274605078999998,direction_0,9,2,7,6,5176,5224,5238,5105
85,23,10000,0.59274605078999998,direction_1,9,2,7,6,5135,5183,5278,5145
85,24,10000,0.59274605078999998,cross,9,2,7,6,3164,3144,3107,3102
85,24,10000,0.59274605078999998,both,9,2,7,6,3521,3501,3458,3453
85,24,10000,0.59274605078999998,either,9,2,7,6,6856,6836,6898,6893
85,24,10000,0.59274605078999998,direction_0,9,2,7,6,5181,5161,5232,5227
85,24,10000,0.59274605078999998,direction_1,9,2,7,6,5196,5176,5124,5119
85,25,10000,0.59274605078999998,cross,9,2,7,6,3125,3050,3084,3185
85,25,10000,0.59274605078999998,both,9,2,7,6,3515,3440,3501,3602
85,25,10000,0.59274605078999998,either,9,2,7,6,6950,6875,6815,6916
85,25,10000,0.59274605078999998,direction_0,9,2,7,6,5160,5085,5142,5243
85,25,10000,0.59274605078999998,direction_1,9,2,7,6,5305,5230,5174,5275
85,26,10000,0.59274605078999998,cross,9,2,7,6,3122,3113,3229,3131
85,26,10000,0.59274605078999998,both,9,2,7,6,3494,3485,3571,3473
85,26,10000,0.59274605078999998,either,9,2,7,6,6887,6878,6869,6771
85,26,10000,0.59274605078999998,direction_0,9,2,7,6,5147,5138,5227,5129
85,26,10000,0.59274605078999998,direction_1,9,2,7,6,5234,5225,5213,5115
85,27,10000,0.59274605078999998,cross,9,2,7,6,3113,3083,3191,3075
85,27,10000,0.59274605078999998,both,9,2,7,6,3494,3464,3590,3474
85,27,10000,0.59274605078999998,either,9,2,7,6,6917,6887,6925,6809
85,27,10000,0.59274605078999998,direction_0,9,2,7,6,5213,5183,5277,5161
85,27,10000,0.59274605078999998,direction_1,9,2,7,6,5198,5168,5238,5122
85,28,10000,0.59274605078999998,cross,9,2,7,6,3180,3114,3219,2985
85,28,10000,0.59274605078999998,both,9,2,7,6,3538,3472,3581,3347
85,28,10000,0.59274605078999998,either,9,2,7,6,6886,6820,7015,6781
85,28,10000,0.59274605078999998,direction_0,9,2,7,6,5204,5138,5319,5085
85,28,10000,0.59274605078999998,direction_1,9,2,7,6,5220,5154,5277,5043
85,29,10000,0.59274605078999998,cross,9,2,7,6,3115,3080,3086,3165
85,29,10000,0.59274605078999998,both,9,2,7,6,3499,3464,3451,3530
85,29,10000,0.59274605078999998,either,9,2,7,6,6920,6885,6835,6914
85,29,10000,0.59274605078999998,direction_0,9,2,7,6,5236,5201,5130,5209
85,29,10000,0.59274605078999998,direction_1,9,2,7,6,5183,5148,5156,5235
85,30,10000,0.59274605078999998,cross,9,2,7,6,3134,3168,3126,3122
85,30,10000,0.59274605078999998,both,9,2,7,6,3509,3543,3502,3498
85,30,10000,0.59274605078999998,either,9,2,7,6,6832,6866,6878,6874
85,30,10000,0.59274605078999998,direction_0,9,2,7,6,5166,5200,5145,5141
85,30,10000,0.59274605078999998,direction_1,9,2,7,6,5175,5209,5235,5231
85,31,10000,0.59274605078999998,cross,9,2,7,6,3116,3144,3056,3135
85,31,10000,0.59274605078999998,both,9,2,7,6,3492,3520,3454,3533
85,31,10000,0.59274605078999998,either,9,2,7,6,6856,6884,6865,6944
85,31,10000,0.59274605078999998,direction_0,9,2,7,6,5171,5199,5161,5240
85,31,10000,0.59274605078999998,direction_1,9,2,7,6,5177,5205,5158,5237
85,32,10000,0.59274605078999998,cross,9,2,7,6,3169,3062,3079,3125
85,32,10000,0.59274605078999998,both,9,2,7,6,3528,3421,3419,3465
85,32,10000,0.59274605078999998,either,9,2,7,6,6938,6831,6875,6921
85,32,10000,0.59274605078999998,direction_0,9,2,7,6,5180,5073,5120,5166
85,32,10000,0.59274605078999998,direction_1,9,2,7,6,5286,5179,5174,5220
85,33,10000,0.59274605078999998,cross,9,2,7,6,3118,3116,3139,3096
85,33,10000,0.59274605078999998,both,9,2,7,6,3531,3529,3525,3482
85,33,10000,0.59274605078999998,either,9,2,7,6,6884,6882,6904,6861
85,33,10000,0.59274605078999998,direction_0,9,2,7,6,5208,5206,5231,5188
85,33,10000,0.59274605078999998,direction_1,9,2,7,6,5207,5205,5198,5155
85,34,10000,0.59274605078999998,cross,9,2,7,6,3167,3063,3181,3031
85,34,10000,0.59274605078999998,both,9,2,7,6,3531,3427,3574,3424
85,34,10000,0.59274605078999998,either,9,2,7,6,6937,6833,6969,6819
85,34,10000,0.59274605078999998,direction_0,9,2,7,6,5238,5134,5276,5126
85,34,10000,0.59274605078999998,direction_1,9,2,7,6,5230,5126,5267,5117
85,35,10000,0.59274605078999998,cross,9,2,7,6,3184,3038,3207,3062
85,35,10000,0.59274605078999998,both,9,2,7,6,3574,3428,3586,3441
85,35,10000,0.59274605078999998,either,9,2,7,6,6962,6816,6938,6793
85,35,10000,0.59274605078999998,direction_0,9,2,7,6,5316,5170,5251,5106
85,35,10000,0.59274605078999998,direction_1,9,2,7,6,5220,5074,5273,5128
85,36,10000,0.59274605078999998,cross,9,2,7,6,3072,3176,3111,3129
85,36,10000,0.59274605078999998,both,9,2,7,6,3448,3552,3489,3507
85,36,10000,0.59274605078999998,either,9,2,7,6,6824,6928,6871,6889
85,36,10000,0.59274605078999998,direction_0,9,2,7,6,5100,5204,5189,5207
85,36,10000,0.59274605078999998,direction_1,9,2,7,6,5172,5276,5171,5189
85,37,10000,0.59274605078999998,cross,9,2,7,6,3097,3116,3142,3126
85,37,10000,0.59274605078999998,both,9,2,7,6,3445,3464,3494,3478
85,37,10000,0.59274605078999998,either,9,2,7,6,6884,6903,6874,6858
85,37,10000,0.59274605078999998,direction_0,9,2,7,6,5141,5160,5221,5205
85,37,10000,0.59274605078999998,direction_1,9,2,7,6,5188,5207,5147,5131
85,38,10000,0.59274605078999998,cross,9,2,7,6,3107,3144,3157,3125
85,38,10000,0.59274605078999998,both,9,2,7,6,3505,3542,3552,3520
85,38,10000,0.59274605078999998,either,9,2,7,6,6856,6893,6875,6843
85,38,10000,0.59274605078999998,direction_0,9,2,7,6,5198,5235,5202,5170
85,38,10000,0.59274605078999998,direction_1,9,2,7,6,5163,5200,5225,5193
85,39,10000,0.59274605078999998,cross,9,2,7,6,3142,3124,3138,3107
85,39,10000,0.59274605078999998,both,9,2,7,6,3510,3492,3495,3464
85,39,10000,0.59274605078999998,either,9,2,7,6,6876,6858,6893,6862
85,39,10000,0.59274605078999998,direction_0,9,2,7,6,5197,5179,5190,5159
85,39,10000,0.59274605078999998,direction_1,9,2,7,6,5189,5171,5198,5167
85,40,10000,0.59274605078999998,cross,9,2,7,6,3139,3131,3151,3082
85,40,10000,0.59274605078999998,both,9,2,7,6,3505,3497,3530,3461
85,40,10000,0.59274605078999998,either,9,2,7,6,6869,6861,6918,6849
85,40,10000,0.59274605078999998,direction_0,9,2,7,6,5227,5219,5199,5130
85,40,10000,0.59274605078999998,direction_1,9,2,7,6,5147,5139,5249,5180
85,41,10000,0.59274605078999998,cross,9,2,7,6,3146,3145,3118,3132
85,41,10000,0.59274605078999998,both,9,2,7,6,3528,3527,3530,3544
85,41,10000,0.59274605078999998,either,9,2,7,6,6855,6854,6868,6882
85,41,10000,0.59274605078999998,direction_0,9,2,7,6,5166,5165,5235,5249
85,41,10000,0.59274605078999998,direction_1,9,2,7,6,5217,5216,5163,5177
85,42,10000,0.59274605078999998,cross,9,2,7,6,3116,3177,3074,3077
85,42,10000,0.59274605078999998,both,9,2,7,6,3500,3561,3470,3473
85,42,10000,0.59274605078999998,either,9,2,7,6,6823,6884,6923,6926
85,42,10000,0.59274605078999998,direction_0,9,2,7,6,5178,5239,5230,5233
85,42,10000,0.59274605078999998,direction_1,9,2,7,6,5145,5206,5163,5166
85,43,10000,0.59274605078999998,cross,9,2,7,6,3127,3076,3117,3095
85,43,10000,0.59274605078999998,both,9,2,7,6,3528,3477,3516,3494
85,43,10000,0.59274605078999998,either,9,2,7,6,6924,6873,6905,6883
85,43,10000,0.59274605078999998,direction_0,9,2,7,6,5248,5197,5199,5177
85,43,10000,0.59274605078999998,direction_1,9,2,7,6,5204,5153,5222,5200
85,44,10000,0.59274605078999998,cross,9,2,7,6,3239,3117,3163,3057
85,44,10000,0.59274605078999998,both,9,2,7,6,3620,3498,3537,3431
85,44,10000,0.59274605078999998,either,9,2,7,6,6883,6761,6943,6837
85,44,10000,0.59274605078999998,direction_0,9,2,7,6,5299,5177,5265,5159
85,44,10000,0.59274605078999998,direction_1,9,2,7,6,5204,5082,5215,5109
85,45,10000,0.59274605078999998,cross,9,2,7,6,3171,3140,3143,3140
85,45,10000,0.59274605078999998,both,9,2,7,6,3570,3539,3544,3541
85,45,10000,0.59274605078999998,either,9,2,7,6,6860,6829,6860,6857
85,45,10000,0.59274605078999998,direction_0,9,2,7,6,5206,5175,5175,5172
85,45,10000,0.59274605078999998,direction_1,9,2,7,6,5224,5193,5229,5226
85,46,10000,0.59274605078999998,cross,9,2,7,6,3064,3172,3077,3171
85,46,10000,0.59274605078999998,both,9,2,7,6,3428,3536,3473,3567
85,46,10000,0.59274605078999998,either,9,2,7,6,6828,6936,6829,6923
85,46,10000,0.59274605078999998,direction_0,9,2,7,6,5129,5237,5163,5257
