L,batch,samples,pairs,eligible_pairs,nonzero_pairs,sum_g16,sum_g16_shared0,sum_g16_shared1,sum_g16_shared2,sum_g16_shared3,sum_g16_shared4,pairs_shared0,pairs_shared1,pairs_shared2,pairs_shared3,pairs_shared4
32,67,1000,32000,5373,4,24,0,0,24,0,0,1791,3572,10,0,0
32,68,1000,32000,5367,3,12,0,0,12,0,0,1725,3629,13,0,0
32,69,1000,32000,5243,10,30,0,0,30,0,0,1801,3424,18,0,0
32,70,1000,32000,5267,3,0,0,0,0,0,0,1649,3610,8,0,0
32,71,1000,32000,5404,6,24,0,0,24,0,0,1796,3599,9,0,0
32,72,1000,32000,5490,3,12,0,0,12,0,0,1779,3697,14,0,0
32,73,1000,32000,5250,7,26,0,0,26,0,0,1742,3492,16,0,0
32,74,1000,32000,5419,5,18,0,0,18,0,0,1762,3649,8,0,0
32,75,1000,32000,5376,5,14,0,0,14,0,0,1761,3600,15,0,0
32,76,1000,32000,5359,7,32,0,0,32,0,0,1778,3562,19,0,0
32,77,1000,32000,5424,9,4,0,0,4,0,0,1762,3647,15,0,0
32,78,1000,32000,5337,4,16,0,0,16,0,0,1712,3615,10,0,0
32,79,1000,32000,5319,2,8,0,0,8,0,0,1782,3530,7,0,0
32,80,1000,32000,5418,6,16,0,0,16,0,0,1776,3630,12,0,0
32,81,1000,32000,5252,5,20,0,0,20,0,0,1766,3478,8,0,0
32,82,1000,32000,5422,5,32,0,0,32,0,0,1729,3682,11,0,0
32,83,1000,32000,5217,4,18,0,0,18,0,0,1683,3524,10,0,0
32,84,1000,32000,5329,10,40,0,0,40,0,0,1697,3613,19,0,0
32,85,1000,32000,5257,6,12,0,0,12,0,0,1734,3512,11,0,0
32,86,1000,32000,5333,5,20,0,0,20,0,0,1757,3563,13,0,0
32,87,1000,32000,5330,6,18,0,0,18,0,0,1769,3542,19,0,0
32,88,1000,32000,5423,4,16,0,0,16,0,0,1804,3613,6,0,0
32,89,1000,32000,5220,1,4,0,0,4,0,0,1685,3529,6,0,0
32,90,1000,32000,5183,6,24,0,0,24,0,0,1768,3404,11,0,0
32,91,1000,32000,5003,1,4,0,0,4,0,0,1558,3438,7,0,0
32,92,1000,32000,5379,9,36,0,0,36,0,0,1738,3623,18,0,0
32,93,1000,32000,5351,5,20,0,0,20,0,0,1711,3631,9,0,0
32,94,1000,32000,5485,6,24,0,0,24,0,0,1749,3725,11,0,0
32,95,1000,32000,5419,4,16,0,0,16,0,0,1800,3610,9,0,0
32,96,1000,32000,5228,6,28,0,0,28,0,0,1663,3553,12,0,0
32,97,1000,32000,5419,8,30,0,0,30,0,0,1768,3633,18,0,0
32,98,1000,32000,5309,8,40,0,0,40,0,0,1720,3574,15,0,0
32,99,1000,32000,5395,4,10,0,0,10,0,0,1831,3550,14,0,0
32,100,1000,32000,5304,6,28,0,0,28,0,0,1774,3514,16,0,0
32,101,1000,32000,5563,4,10,0,0,10,0,0,1869,3680,14,0,0
32,102,1000,32000,5458,1,8,0,0,8,0,0,1847,3601,10,0,0
32,103,1000,32000,5359,6,12,0,0,12,0,0,1741,3608,10,0,0
32,104,1000,32000,5214,6,18,0,0,18,0,0,1838,3367,9,0,0
32,105,1000,32000,5325,3,12,0,0,12,0,0,1771,3544,10,0,0
32,106,1000,32000,5463,3,6,0,0,6,0,0,1818,3634,11,0,0
32,107,1000,32000,5207,3,6,0,0,6,0,0,1701,3498,8,0,0
32,108,1000,32000,5342,7,22,0,0,22,0,0,1728,3601,13,0,0
32,109,1000,32000,5188,6,21,0,0,21,0,0,1547,3627,14,0,0
32,110,1000,32000,5371,7,22,0,0,22,0,0,1776,3579,16,0,0
32,111,1000,32000,5421,4,7,0,0,7,0,0,1743,3669,9,0,0
32,112,1000,32000,5304,4,16,0,0,16,0,0,1655,3639,10,0,0
32,113,1000,32000,5515,6,24,0,0,24,0,0,1801,3698,16,0,0
32,114,1000,32000,5554,8,26,0,0,26,0,0,1722,3816,16,0,0
32,115,1000,32000,5336,4,16,0,0,16,0,0,1756,3572,8,0,0
32,116,1000,32000,5370,7,26,0,0,26,0,0,1684,3675,11,0,0
32,117,1000,32000,5234,5,14,0,0,14,0,0,1706,3517,11,0,0
32,118,1000,32000,5385,5,20,0,0,20,0,0,1798,3575,12,0,0
32,119,1000,32000,5177,9,33,0,0,33,0,0,1649,3511,17,0,0
32,120,1000,32000,5329,4,10,0,0,10,0,0,1633,3683,13,0,0
32,121,1000,32000,5299,9,42,0,0,42,0,0,1775,3509,15,0,0
32,122,1000,32000,5230,6,28,0,0,28,0,0,1700,3517,13,0,0
32,123,1000,32000,5176,7,28,0,0,28,0,0,1772,3392,12,0,0
32,124,1000,32000,5430,5,20,0,0,20,0,0,1742,3678,10,0,0
32,125,1000,32000,5266,2,-6,0,0,-6,0,0,1669,3593,4,0,0
32,126,1000,32000,5321,6,28,0,0,28,0,0,1834,3477,10,0,0
32,127,1000,32000,5485,9,32,0,0,32,0,0,1801,3664,20,0,0
32,128,1000,32000,5366,4,9,0,0,9,0,0,1814,3542,10,0,0
32,129,1000,32000,5510,9,30,0,0,30,0,0,1759,3735,16,0,0
32,130,1000,32000,5235,10,32,0,0,32,0,0,1686,3525,24,0,0
32,131,1000,32000,5344,6,12,0,0,12,0,0,1740,3594,10,0,0
32,132,1000,32000,5400,7,19,0,0,19,0,0,1790,3595,15,0,0
32,133,1000,32000,5121,7,28,0,0,28,0,0,1635,3475,11,0,0
32,134,1000,32000,5316,7,28,0,0,28,0,0,1694,3608,14,0,0
32,135,1000,32000,5143,4,16,0,0,16,0,0,1695,3433,15,0,0
32,136,1000,32000,5362,9,36,0,0,36,0,0,1749,3601,12,0,0
32,137,1000,32000,5135,9,40,0,0,40,0,0,1724,3394,17,0,0
32,138,1000,32000,5289,5,14,0,0,14,0,0,1744,3537,8,0,0
32,139,1000,32000,5348,6,32,0,0,32,0,0,1705,3628,15,0,0
32,140,1000,32000,5132,7,28,0,0,28,0,0,1685,3436,11,0,0
32,141,1000,32000,5251,3,6,0,0,6,0,0,1644,3595,12,0,0
32,142,1000,32000,5359,5,14,0,0,14,0,0,1843,3503,13,0,0
32,143,1000,32000,5341,6,24,0,0,24,0,0,1845,3478,18,0,0
32,144,1000,32000,5330,4,14,0,0,14,0,0,1841,3480,9,0,0
32,145,1000,32000,5069,5,8,0,0,8,0,0,1692,3369,8,0,0
32,146,1000,32000,5347,3,12,0,0,12,0,0,1669,3673,5,0,0
32,147,1000,32000,5159,5,20,0,0,20,0,0,1650,3493,16,0,0
32,148,1000,32000,5419,6,24,0,0,24,0,0,1798,3601,20,0,0
32,149,1000,32000,5198,5,16,0,0,16,0,0,1717,3474,7,0,0
32,150,1000,32000,5260,3,12,0,0,12,0,0,1695,3557,8,0,0
32,151,1000,32000,5207,6,26,0,0,26,0,0,1756,3438,13,0,0
32,152,1000,32000,5161,6,24,0,0,24,0,0,1614,3530,17,0,0
32,153,1000,32000,5268,6,6,0,0,6,0,0,1758,3497,13,0,0
32,154,1000,32000,5343,1,4,0,0,4,0,0,1650,3677,16,0,0
32,155,1000,32000,5153,7,26,0,0,26,0,0,1694,3443,16,0,0
32,156,1000,32000,5291,5,10,0,0,10,0,0,1725,3553,13,0,0
32,157,1000,32000,5335,9,30,0,0,30,0,0,1705,3615,15,0,0
32,158,1000,32000,5249,6,24,0,0,24,0,0,1759,3478,12,0,0
32,159,1000,32000,5339,2,8,0,0,8,0,0,1875,3457,7,0,0
32,160,1000,32000,5177,7,28,0,0,28,0,0,1653,3510,14,0,0
32,161,1000,32000,5303,8,26,0,0,26,0,0,1699,3589,15,0,0
32,162,1000,32000,5231,3,12,0,0,12,0,0,1669,3553,9,0,0
32,163,1000,32000,5394,5,20,0,0,20,0,0,1802,3584,8,0,0
32,164,1000,32000,5311,8,26,0,0,26,0,0,1585,3709,17,0,0
32,165,1000,32000,5323,8,26,0,0,26,0,0,1704,3606,13,0,0
32,166,1000,32000,5285,6,18,0,0,18,0,0,1709,3560,16,0,0
32,167,1000,32000,5169,5,8,0,0,8,0,0,1739,3422,8,0,0
32,168,1000,32000,5292,2,8,0,0,8,0,0,1733,3554,5,0,0
32,169,1000,32000,5400,4,10,0,0,10,0,0,1682,3712,6,0,0
32,170,1000,32000,5231,10,44,0,0,44,0,0,1710,3501,20,0,0
32,171,1000,32000,5428,5,14,0,0,14,0,0,1760,3655,13,0,0
32,172,1000,32000,5218,7,22,0,0,22,0,0,1696,3504,18,0,0
32,173,1000,32000,5466,3,6,0,0,6,0,0,1852,3608,6,0,0
32,174,1000,32000,5253,6,28,0,0,28,0,0,1699,3543,11,0,0
32,175,1000,32000,5172,2,8,0,0,8,0,0,1709,3452,11,0,0
32,176,1000,32000,5359,3,12,0,0,12,0,0,1737,3605,17,0,0
32,177,1000,32000,5212,4,16,0,0,16,0,0,1597,3600,15,0,0
32,178,1000,32000,5097,4,14,0,0,14,0,0,1621,3468,8,0,0
32,179,1000,32000,5263,4,16,0,0,16,0,0,1722,3525,16,0,0
32,180,1000,32000,5190,6,18,0,0,18,0,0,1742,3437,11,0,0
32,181,1000,32000,5299,7,32,0,0,32,0,0,1757,3525,17,0,0
32,182,1000,32000,5058,6,12,0,0,12,0,0,1568,3477,13,0,0
32,183,1000,32000,5257,7,28,0,0,28,0,0,1710,3538,9,0,0
32,184,1000,32000,5287,2,8,0,0,8,0,0,1703,3570,14,0,0
32,185,1000,32000,5387,7,10,0,0,10,0,0,1738,3634,15,0,0
32,186,1000,32000,5181,4,20,0,0,20,0,0,1724,3448,9,0,0
32,187,1000,32000,5447,5,24,0,0,24,0,0,1786,3649,12,0,0
32,188,1000,32000,5369,5,18,0,0,18,0,0,1787,3575,7,0,0
32,189,1000,32000,5395,8,30,0,0,30,0,0,1811,3571,13,0,0
32,190,1000,32000,5218,9,38,0,0,38,0,0,1754,3452,12,0,0
32,191,1000,32000,5453,1,4,0,0,4,0,0,1832,3610,11,0,0
32,192,1000,32000,5309,3,6,0,0,6,0,0,1729,3572,8,0,0
32,193,1000,32000,5374,7,36,0,0,36,0,0,1704,3656,14,0,0
32,194,1000,32000,5167,0,0,0,0,0,0,0,1710,3451,6,0,0
32,195,1000,32000,5489,10,28,0,0,28,0,0,1729,3738,22,0,0
32,196,1000,32000,5299,6,12,0,0,12,0,0,1690,3597,12,0,0
32,197,1000,32000,5096,6,12,0,0,12,0,0,1718,3363,15,0,0
32,198,1000,32000,5293,9,34,0,0,34,0,0,1652,3625,16,0,0
32,199,1000,32000,5142,6,12,0,0,12,0,0,1688,3444,10,0,0
