n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_k,sum_kk,sum_edges,sum_i0k,sum_i2k,sum_i0kk,sum_i2kk,sum_i0edges,sum_i2edges
130,11,3,first,46,200,14627,16376,63,75,62,15458,1185206,18386,4644,5072,338884,411174,5192,6425
130,9,7,second,46,200,14769,16369,72,60,68,15458,1185206,18344,5288,5537,384462,446634,5883,6966
130,11,3,first,47,200,14530,16180,60,72,68,15452,1183658,18348,4440,5505,325222,441734,4997,6880
130,9,7,second,47,200,14531,16376,58,75,67,15452,1183658,18353,4299,5435,315062,436874,4837,6822
130,11,3,first,48,200,14566,16416,69,73,58,15305,1162522,18070,4959,4717,352874,379932,5412,5934
130,9,7,second,48,200,14669,16349,68,72,60,15305,1162522,18006,4900,4859,349544,389982,5366,6096
130,11,3,first,49,200,14743,16416,59,78,63,15541,1197694,18524,4380,5094,322048,408112,4900,6368
130,9,7,second,49,200,14652,16403,51,79,70,15541,1197694,18561,3754,5690,273550,458266,4150,7150
130,11,3,first,50,200,14743,16461,65,67,68,15534,1196468,18601,4790,5533,349750,445834,5421,6942
130,9,7,second,50,200,14795,16326,67,66,67,15534,1196468,18570,4969,5440,364958,437708,5608,6814
130,11,3,first,51,200,14758,16268,71,77,52,15354,1169208,18074,5167,4233,372300,341104,5727,5344
130,9,7,second,51,200,14811,16545,73,75,52,15354,1169208,18121,5297,4255,380472,344510,5879,5391
130,11,3,first,52,200,14548,16367,65,78,57,15258,1154494,17902,4715,4588,338776,365546,5196,5721
130,9,7,second,52,200,14657,16272,68,68,64,15258,1154494,17904,4938,5134,354884,407660,5446,6361
130,11,3,first,53,200,14631,16252,68,64,68,15341,1167936,18149,4926,5492,353142,439416,5406,6873
130,9,7,second,53,200,14600,16418,66,80,54,15341,1167936,18140,4796,4398,345124,355130,5332,5549
130,11,3,first,54,200,14788,16422,68,64,68,15496,1191444,18489,5003,5539,364694,446888,5612,6970
130,9,7,second,54,200,14699,16317,67,71,62,15496,1191444,18524,4904,5063,355470,409356,5478,6394
130,11,3,first,55,200,14726,16362,69,71,60,15354,1171104,18182,4950,4895,352374,395524,5413,6175
130,9,7,second,55,200,14685,16448,69,68,63,15354,1171104,18134,4979,5128,356616,413402,5448,6465
130,11,3,first,56,200,14585,16381,69,71,60,15273,1157110,18054,5029,4783,362974,377822,5609,5954
130,9,7,second,56,200,14647,16335,60,78,62,15273,1157110,18009,4341,4999,310964,398986,4806,6275
130,11,3,first,57,200,14743,16222,68,67,65,15340,1167048,18077,4917,5243,351788,418876,5352,6560
130,9,7,second,57,200,14500,16381,64,77,59,15340,1167048,18165,4632,4776,332024,382916,5091,6009
130,11,3,first,58,200,14498,16370,60,84,56,15317,1164366,18113,4360,4563,313472,368420,4826,5783
130,9,7,second,58,200,14539,16448,66,79,55,15317,1164366,18102,4776,4529,341840,369458,5253,5771
130,11,3,first,59,200,14795,16448,70,75,55,15420,1180424,18257,5105,4518,368766,367998,5632,5751
130,9,7,second,59,200,14515,16287,55,76,69,15420,1180424,18410,3993,5633,286944,455618,4410,7142
130,11,3,first,60,200,14572,16471,54,88,58,15374,1172532,18263,3918,4731,281738,382454,4340,5983
130,9,7,second,60,200,14624,16403,57,83,60,15374,1172532,18268,4106,4862,292830,390728,4544,6132
130,11,3,first,61,200,14582,16251,61,74,65,15461,1187170,18423,4406,5281,315360,425330,4839,6657
130,9,7,second,61,200,14690,16323,65,67,68,15461,1187170,18363,4700,5593,336720,455590,5178,7065
130,11,3,first,62,200,14796,16414,59,72,69,15560,1200588,18669,4367,5624,319954,454036,4893,7085
130,9,7,second,62,200,14732,16384,56,77,67,15560,1200588,18674,4080,5480,293956,444096,4516,6958
130,11,3,first,63,200,14602,16272,62,75,63,15432,1181070,18245,4552,5143,330620,415998,5020,6478
130,9,7,second,63,200,14618,16149,61,71,68,15432,1181070,18249,4451,5534,321306,446362,4879,6944
130,11,3,first,64,200,14618,16357,63,77,60,15404,1177344,18262,4607,4865,333980,390736,5111,6109
130,9,7,second,64,200,14536,16367,59,78,63,15404,1177344,18341,4296,5080,309970,405978,4745,6383
130,11,3,first,65,200,14794,16457,73,72,55,15429,1180822,18198,5421,4485,398364,363038,6084,5607
130,9,7,second,65,200,14782,16500,71,63,66,15429,1180822,18280,5183,5381,374098,434744,5783,6752
130,11,3,first,66,200,14475,16346,56,71,73,15578,1203830,18651,4110,5957,298266,481546,4519,7517
130,9,7,second,66,200,14789,16498,65,73,62,15578,1203830,18748,4800,5071,350808,411062,5408,6451
130,11,3,first,67,200,14536,16334,59,81,60,15402,1176690,18270,4288,4851,308584,388448,4704,6099
130,9,7,second,67,200,14533,16335,55,80,65,15402,1176690,18231,4010,5250,289330,420170,4416,6592
130,11,3,first,68,200,14651,16453,65,84,51,15255,1154638,17834,4713,4139,338132,332896,5179,5168
130,9,7,second,68,200,14636,16485,78,70,52,15255,1154638,17848,5608,4228,398874,340540,6094,5328
130,11,3,first,69,200,14433,16452,53,86,61,15341,1169068,18137,3792,5004,268872,406938,4161,6328
130,9,7,second,69,200,14564,16290,59,84,57,15341,1169068,18030,4241,4656,301944,377106,4566,5885
130,11,3,first,70,200,14673,16567,64,85,51,15367,1171498,18162,4674,4160,337968,336354,5145,5250
130,9,7,second,70,200,14614,16203,62,73,65,15367,1171498,18229,4515,5267,325308,422948,5016,6600
130,11,3,first,71,200,14633,16316,57,83,60,15429,1180796,18387,4124,4866,295396,390874,4567,6121
130,9,7,second,71,200,14663,16421,59,76,65,15429,1180796,18289,4326,5256,314084,421092,4792,6541
130,11,3,first,72,200,14486,16325,57,79,64,15414,1178430,18232,4145,5137,298254,408594,4549,6385
130,9,7,second,72,200,14618,16231,61,66,73,15414,1178430,18167,4424,5892,317500,471002,4843,7315
130,11,3,first,73,200,14504,16244,66,71,63,15376,1173704,18183,4770,5141,341524,415730,5208,6498
130,9,7,second,73,200,14513,16332,62,74,64,15376,1173704,18214,4483,5224,321322,422484,4915,6661
130,11,3,first,74,200,14698,16484,63,85,52,15500,1191788,18385,4624,4245,336088,343332,5109,5336
130,9,7,second,74,200,14708,16366,57,71,72,15500,1191788,18498,4158,5846,300288,470380,4586,7395
130,11,3,first,75,200,14635,16310,63,59,78,15543,1199058,18659,4625,6402,336192,520504,5177,8144
130,9,7,second,75,200,14598,16409,58,79,63,15543,1199058,18631,4229,5167,305346,419932,4702,6552
130,11,3,first,76,200,14755,16276,68,66,66,15311,1163396,18107,4887,5348,347576,429042,5364,6707
130,9,7,second,76,200,14549,16220,64,71,65,15311,1163396,18145,4616,5263,329456,421912,5123,6607
130,11,3,first,77,200,14538,16237,61,80,59,15313,1162974,17956,4409,4772,315500,382428,4851,5936
