batch,replica_first,samples,2omega_rank0,2omega_rank1,2omega_rank2,2omega_invalid,2omega_H4_re,2omega_H4_im,omega_over_2_rank0,omega_over_2_rank1,omega_over_2_rank2,omega_over_2_invalid,omega_over_2_H4_re,omega_over_2_H4_im,omega_plus_1_over_2_rank0,omega_plus_1_over_2_rank1,omega_plus_1_over_2_rank2,omega_plus_1_over_2_invalid,omega_plus_1_over_2_H4_re,omega_plus_1_over_2_H4_im,common_field_sha256
33,27500660000,20000,4991,9932,5077,0,9157.835083544263,-17.410476945598187,5179,9690,5131,0,-4269.330479611245,-7723.183579810684,5082,9770,5148,0,-4362.35831598205,7847.782490288327,f3e0d0e5dd3231343de7f8a80acb776e325de64f0234240903223ccd37cc2a61
34,27500680000,20000,4846,10090,5064,0,9307.286705276292,43.064931826178096,5026,9768,5206,0,-4352.505315762253,-7843.443021657032,5159,9672,5169,0,-4316.484581018368,7805.953634348209,37a749f3947ed568992dd8e919d8865ad93da2760589ab75870667bd3585b8c5
35,27500700000,20000,5150,9876,4974,0,9154.27274135179,11.54306977744269,5216,9642,5142,0,-4298.497385995838,-7702.821183857103,5252,9703,5045,0,-4323.134321526916,7808.064188927225,fa45ff84873a4ca9c499a96e107f88a9230cfc92443513aac50d31391a7af601
36,27500720000,20000,4974,9962,5064,0,9307.991917963407,-23.70478932659117,5173,9636,5191,0,-4257.638495506,-7725.3846591561505,5071,9760,5169,0,-4320.184540435875,7818.7399180194325,1876ccbde164744f079dcbacc1f1cef8e89735bc43f2ae001b05c7a79abcdba2
37,27500740000,20000,4967,10004,5029,0,9307.98945241375,-11.635444977921292,5089,9724,5187,0,-4300.1673080672645,-7842.640314522935,5111,9645,5244,0,-4300.675810209274,7705.060699177076,5d1c1326c89b576fb6828bdaab8e5c9c7c6df26591c339d89ff2907c339fc2e0
38,27500760000,20000,5050,9908,5042,0,9204.042992880888,-18.633788173187565,5110,9729,5161,0,-4298.863566189584,-7813.3593730625,5096,9756,5148,0,-4331.528024764974,7802.37161046779,fe6e560c7dbb30838da8f40d706da2ba2e6804d7cbe15fd0ac5bf03a8fe88a5f
39,27500780000,20000,5072,9828,5100,0,9121.510547187949,-24.231063897818366,5134,9701,5165,0,-4299.737477639388,-7807.620178983665,5143,9652,5205,0,-4318.755380625638,7791.362693178453,2cb0349c3669dc41149c623ab07ddda7cde39f28b22cec8fcb199dfb069d54a0
40,27500800000,20000,4982,9913,5105,0,9213.452771037217,6.472068624039084,5094,9739,5167,0,-4349.897806969147,-7836.119292148405,5174,9755,5071,0,-4364.491474813654,7865.207615747315,d08a02bc3dd51d9ec1e563006414fda3b8196b859cd5c629cc814daff7de1c45
41,27500820000,20000,5116,9818,5066,0,9067.019348913283,23.100127870707585,5184,9713,5103,0,-4278.74314908313,-7732.261435299707,5172,9740,5088,0,-4302.164685625571,7796.352745555907,2cb9088a3e4db977a175860888c6c66498cbfe910c8664ed0e3299a702f4f42e
42,27500840000,20000,5047,9871,5082,0,9139.36152341968,16.884202374370997,5059,9705,5236,0,-4344.470416151581,-7794.118109331211,5167,9723,5110,0,-4293.529523465586,7819.3153255434245,9e8682e1927fbb83d417b2e97da24c261c5cab5bfc636af8196d8154d9da9eba
43,27500860000,20000,5020,9983,4997,0,9221.67158259128,-28.078753823632592,5082,9743,5175,0,-4300.7936550668865,-7811.652646238568,5164,9736,5100,0,-4321.105949509655,7793.816302333006,daabd0d133795986be07334a314f6464d6b5c6e1e5c4f24135b5df24222aaf67
44,27500880000,20000,5071,9938,4991,0,9212.255798617412,46.364023668639064,5230,9645,5125,0,-4270.396170422998,-7745.4220047122835,5090,9705,5205,0,-4308.387752848206,7746.125316809518,f7e988e66048a400a1a8142af232c002377d01d93047772a21046d5811e98c97
45,27500900000,20000,5099,9854,5047,0,9076.788145052076,4.180878899780357,5192,9617,5191,0,-4270.316348772541,-7717.0355706936025,5072,9722,5206,0,-4324.279132736205,7825.60440915956,8557c9b21976cd4eb0bfa33ad313afd43a5aed63d6d6f620eb72c977d1876f8b
46,27500920000,20000,5113,9880,5007,0,9124.522144821087,-5.860413010244397,5199,9651,5150,0,-4236.652224166923,-7703.473757341175,5275,9486,5239,0,-4208.480864775526,7655.682272484927,483faa1b4a6c387abde343a438bf221c2b0b9372d59092e07790d42c74ca8d3a
47,27500940000,20000,5068,10012,4920,0,9281.365759103266,13.121893491124265,5065,9750,5185,0,-4320.709210366505,-7815.581442431983,5271,9562,5167,0,-4245.641830946742,7674.717553552768,5a29cec24151fb33c10502e7245fea3bba97bdc016825a6abd2c9ecd16bd95a2
48,27500960000,20000,5015,9896,5089,0,9134.671582591272,51.34964377947517,5151,9669,5180,0,-4295.744053477842,-7748.324106930064,5104,9645,5251,0,-4253.601479141055,7730.47562805417,1643031049f2ae8830704e2e9be04b11b9d2869af9cccf16c7b610975a4d30c5
49,27500980000,20000,5004,9955,5041,0,9173.892859694992,-13.818930147486451,5111,9741,5148,0,-4337.7538414539895,-7833.052649720596,5183,9680,5137,0,-4346.656551885362,7790.998045508274,14e91c27c19a62d301ea53f91b834e236076f26e2672f38ff2f84eb9ac942416
50,27501000000,20000,4998,9877,5125,0,9157.237499751038,6.215925496336592,5085,9655,5260,0,-4296.948263107582,-7754.176520168147,5184,9699,5117,0,-4312.275573416455,7797.367488025457,8af53586c8f51ab8c2e902a0cdf482b85402ebe3e603c3b573dd116f69532d80
51,27501020000,20000,5093,9929,4978,0,9163.218091467024,-12.510237877329576,5150,9799,5051,0,-4338.9833803282,-7846.771426708754,5185,9653,5162,0,-4302.751160120051,7770.985515901518,7e54c973a12012868f443dcfdb570246974f4d0d916685dd6ee33fde24f8e780
52,27501040000,20000,4990,9955,5055,0,9257.024694014512,-15.924028432395215,5128,9620,5252,0,-4287.695058386633,-7727.355789540715,5152,9655,5193,0,-4291.427319838251,7749.536967121856,11528088aed7fcd46872933f3ac8b90384951803559aa3c59f99f686ce9bb2ab
53,27501060000,20000,5101,9810,5089,0,9065.001050046894,2.012723084430164,5216,9694,5090,0,-4314.371719895706,-7775.465423049731,5135,9798,5067,0,-4358.41963480238,7824.559896888643,1a73f64f3017ba73adf03549b3ac2ce32fadd3a110c98780032aa41d715a89a0
54,27501080000,20000,5069,9925,5006,0,9196.810778860334,16.443308845711304,5193,9673,5134,0,-4274.36992312565,-7793.426559859465,5203,9577,5220,0,-4283.5818111937715,7715.242483942233,39fd0f51b3acb79e8e3e4093e46635aec4b5fb9b33d619f63b832b8109fb2102
55,27501100000,20000,5040,9914,5046,0,9185.374230470446,-13.818930147486455,5207,9671,5122,0,-4304.98760581159,-7706.054562808247,5031,9867,5102,0,-4412.081505964421,7981.606185324345,da545fd46acc0f02391719bf0dca37bfce7ac723f211ed6014a0cc314285ad33
56,27501120000,20000,5015,9923,5062,0,9187.432006621177,-5.334138439017204,5157,9705,5138,0,-4374.1340100695,-7793.625049926539,5146,9741,5113,0,-4340.814470019086,7780.3244349748875,5eebf16ac9ce25494636a724774041f70e1ec60dab8c23b4136088cb18e01810
57,27501140000,20000,5036,9987,4977,0,9280.466834220002,8.221654422855652,5185,9681,5134,0,-4365.25401253736,-7782.01386588143,5076,9701,5223,0,-4328.134241801176,7760.807515216451,513c76fa261425ad8c98233b658f30ab7545b9254c5b271ff8fdcd86ead9f6ce
58,27501160000,20000,4925,9994,5081,0,9254.371350918887,-0.34851832818109196,5187,9658,5155,0,-4250.6376616740745,-7718.757808313856,5116,9763,5121,0,-4346.524763783546,7881.372704169733,f79ce65adf5512ac1bec14fc1ce7ecb8293fea17463ac2b435de12261014f763
59,27501180000,20000,5072,9858,5070,0,9160.50495537233,-6.735205909652679,5085,9777,5138,0,-4335.577482122122,-7833.053156881834,5090,9721,5189,0,-4350.070169019262,7790.13146868266,8afa3540b64d8a8bffb0f8b0a655098f2701bb6dd9b9e3c740763e8010cf9023
60,27501200000,20000,5055,10006,4939,0,9261.917859794623,-4.025446168860331,5183,9825,4992,0,-4339.333172923407,-7847.003362469397,5121,9790,5089,0,-4334.158161098626,7856.33121495907,4293b9f4f8e05b5b532de902e58ea9fb22f45135dbbff2a03f5c0c29f08b4cac
61,27501220000,20000,4991,9900,5109,0,9160.982751180507,38.32012548882951,5151,9669,5180,0,-4294.170170284834,-7737.5842287727255,5177,9674,5149,0,-4264.246353293796,7725.617120292489,d5a0146947d9ee5c430bd385e54d8fdc9b02b6f24c0d259a250502466eab3096
62,27501240000,20000,4973,9866,5161,0,9160.995044229367,-2.1904793274762633,5134,9649,5217,0,-4309.055846784916,-7777.690847092598,5103,9783,5114,0,-4316.5551968644595,7806.479482252105,6b656173d98e74fbc8b31e85f78d63a48ba88c2e5c0d161386fed674ceb0fd9d
63,27501260000,20000,5094,9784,5122,0,9082.453781196557,17.952080871040344,5237,9653,5110,0,-4285.491431874825,-7735.124897445761,5217,9644,5139,0,-4265.217535947526,7768.472105985072,16188dd5f277bbfd02f1be860d3704fc5e4025e6d449dc59f999566e5c70098a
64,27501280000,20000,5150,9766,5084,0,9097.146947549209,-2.1834851695651594,5190,9642,5168,0,-4288.711796930016,-7780.308492293675,5156,9658,5186,0,-4294.353818491656,7737.464819127281,4c534236094820c29c2cf800b68e8f4216882d96f9e7a0f8b4a9a401ed3d2795
65,27501300000,20000,5210,9850,4940,0,9116.396765020429,-27.289341966791806,5193,9607,5200,0,-4261.829145011974,-7726.6503558869035,5139,9736,5125,0,-4321.631799007186,7807.2100107092665,e26b159f0256afbc54de3ef84f971e952128393f010b554a110b9ba3c2bd519f
66,27501320000,20000,4967,9957,5076,0,9212.52502437266,-35.774133675261055,5168,9645,5187,0,-4318.32831905052,-7793.238794464652,5255,9544,5201,0,-4233.788978121583,7677.644942452248,f5d9eda8ef50237d267d3deaec56005efbc0ea41fa5ee74e051a5e8300d6e07a
67,27501340000,20000,5122,9943,4935,0,9255.372460336506,-9.01106627969644,5239,9755,5006,0,-4320.990905584155,-7822.827456974074,5283,9645,5072,0,-4285.386386515928,7793.455333552804,3e1eeff321fb1ea72e7a09de5e3373b2c315aee2c7532d6a9d7a5e894bd6deb9
68,27501360000,20000,5086,9930,4984,0,9249.751232575665,-3.1506532694520444,5208,9681,5111,0,-4319.405343857059,-7794.342954466594,5298,9559,5143,0,-4231.87920994822,7628.447844726227,7003174cee31192b0ea0018f02ac132653667ab02247727c5379ad4f1d09b40c
69,27501380000,20000,5067,9865,5068,0,9141.657105406564,25.283613040272744,5117,9718,5165,0,-4332.8517493451645,-7774.431116070904,5187,9583,5230,0,-4245.7144677519345,7663.711036674006,d9a03a144aceeae367b56173a204aaac50d959627d34e1210a071b71fba841d8
70,27501400000,20000,5020,10016,4964,0,9264.626513491326,8.833310036650342,5108,9783,5109,0,-4392.9882734968705,-7875.788336953389,5150,9754,5096,0,-4356.8616841959065,7877.106932701338,4036cdc89e7d1f16a89037a41d069b8a15ea5c6f99ee9205d1c178be8f617458
71,27501420000,20000,5006,9963,5031,0,9246.20649383388,23.88254556963727,5217,9575,5208,0,-4281.450068578228,-7714.027901167219,5135,9662,5203,0,-4353.389980673755,7788.145914102859,59527dd663315355c5074c88e1d65a7680ecd3dc8e1ee49337055f3a52606f71
72,27501440000,20000,4888,9985,5127,0,9253.798071809568,-12.510237877329576,5050,9785,5165,0,-4319.416347606723,-7831.591892872501,5135,9653,5212,0,-4304.796134609115,7753.166014816197,9e303160208bb72954127f139c409d00d871bd3cb9532d4002e4cec528a1b260
73,27501460000,20000,5069,9794,5137,0,9005.90692287778,22.3960970564343,5060,9789,5151,0,-4392.227592864192,-7904.204540773416,5205,9623,5172,0,-4273.686159507011,7686.802385524129,a26cc0fefb705475e6634cde704b5e38d6e74ac42545af6c8082e6b2b572c7f0
74,27501480000,20000,5080,9943,4977,0,9230.572559022268,-13.036512448556767,5212,9633,5155,0,-4308.67051688916,-7725.910318179475,5111,9723,5166,0,-4313.628882045073,7732.818457307509,1f2505bffdc03d232a15d1f4a195986199c674e9602610a9743410f690e5f57b
75,27501500000,20000,4965,9995,5040,0,9213.761720791194,-1.1379301850218786,5164,9700,5136,0,-4317.620138585244,-7771.657485647277,5214,9742,5044,0,-4324.42646175888,7812.654650667197,79e5c47aa2459382e026074d193516edb5b562ba9748b7a94cd34bc23ae12ece
76,27501520000,20000,5009,9984,5007,0,9268.690990875302,7.432242566014867,5180,9691,5129,0,-4327.818248493582,-7779.658694562769,5181,9651,5168,0,-4292.525797267801,7747.727226430794,f75978275cac468efab9ad62c8d97fa625556da72e965d0069fefc07c8a30c88
77,27501540000,20000,4988,9958,5054,0,9209.91370383677,-46.82277434004243,5145,9644,5211,0,-4274.071493415344,-7702.912684098576,5141,9735,5124,0,-4262.647919960436,7813.645294441413,1f886bffe706c5b7973f2205d3716f8918fdf10234dde54f4d99a7487ead1466
78,27501560000,20000,5083,9793,5124,0,9029.619398256167,-2.0981041269976637,5008,9793,5199,0,-4342.760089881711,-7782.642130577394,5162,9641,5197,0,-4232.157971228678,7685.084742149633,b67c037c032a6e39034c12c4365ca937186eb8ef632cbb8e558019fcc31cfc54
79,27501580000,20000,5075,9838,5087,0,9098.895325244643,12.944137248078167,5135,9732,5133,0,-4331.307229136861,-7831.32277846416,5181,9632,5187,0,-4309.928084977712,7761.9910557062285,7fd5ad58fabf73fbe7323aca347d1e890dcd74198a08b3c76ada000179cd2919
80,27501600000,20000,5000,9899,5101,0,9177.884141613422,1.0525491424543798,5149,9605,5246,0,-4258.818939675888,-7652.14164621493,5230,9643,5127,0,-4292.360856750261,7761.13965623916,0544f21868e6fe9444708dd2efb2e7a1c16f13e01c793fe57386d50167c5bcee
81,27501620000,20000,4974,9901,5125,0,9122.337879452065,2.2758603700437616,5125,9728,5147,0,-4316.416837882882,-7833.4939021254595,5159,9709,5132,0,-4312.129925096403,7802.4109617980175,d45acfac0b7bad9d57bae0662be807a74835fabece08c9e44033de1956b2527f
82,27501640000,20000,4904,10136,4960,0,9417.678283824516,-13.299649734170362,5152,9559,5289,0,-4268.801790660684,-7636.795318793461,5110,9728,5162,0,-4302.992245567054,7763.292340320122,e1e81fcb577ec1bb053c16643542b5d87207d697aba90e56860a76dbc82a42df
83,27501660000,20000,5092,9877,5031,0,9143.309339084564,11.372307692307697,5147,9705,5148,0,-4329.261385768405,-7799.600059755496,5158,9692,5150,0,-4315.219607889736,7754.4996531062825,c19449812c35fc60f851e4c511746a048f3db69ba1366b42e82a5f70fc7d8b96
84,27501680000,20000,5024,9881,5095,0,9155.779772943188,26.770061553475717,5197,9667,5136,0,-4308.67018533069,-7756.747495685701,5096,9674,5230,0,-4341.225255549558,7746.481091211549,2cb6396862f895d428acaef4c6ae25a9bd181ca36131dea14e5196e2cdaa700f
85,27501700000,20000,5071,9932,4997,0,9229.48377695437,10.497514792899413,5276,9574,5150,0,-4243.822363406675,-7669.989056704206,5154,9721,5125,0,-4330.992665858304,7837.908568191133,b6fcf077003f3411cc09ff0280f9baaf22924e0fcd62e9f0b32007f48f6eeab7
86,27501720000,20000,4968,9910,5122,0,9204.078234481636,-19.42320003002835,5212,9650,5138,0,-4288.232823937686,-7707.305612972449,5150,9666,5184,0,-4290.421337920727,7718.6404419508435,c4ccca359df67bc24df176265e20cb15e8b93700bfd3704721259a8df440f053
87,27501740000,20000,5048,9942,5010,0,9178.619398256169,-12.069344348669883,5252,9649,5099,0,-4256.698406924329,-7686.587595647725,5247,9537,5216,0,-4255.924853472703,7644.535971285819,da95f2edc823e1110fb5b66adb5f71342a315dcda08b97ca44b19046166f0e4a
88,27501760000,20000,5126,9811,5063,0,9041.244861700587,-27.8226106959301,5118,9676,5206,0,-4293.760270380429,-7762.3889389771875,5144,9656,5200,0,-4262.8264353203385,7749.699745901205,4054556bac0fbf368b85e0386d37e4daec1f48c993bb3870d46cca8252b6c9c5
89,27501780000,20000,5028,9948,5024,0,9212.43200662118,-4.637101782655018,5095,9836,5069,0,-4349.958088756195,-7887.115721176145,5065,9759,5176,0,-4315.859126009196,7818.568587250363,96b62bb02fbd4394a62a02847a8191c28558114fa5f43a4d015fb54f3eac956b
90,27501800000,20000,4991,9952,5057,0,9147.621168390113,-4.985620110836113,5213,9649,5138,0,-4276.347837191878,-7768.673692504519,5169,9719,5112,0,-4306.724186861878,7788.545504740354,45f4f5b66baa2eaa93107fddddebdb1d882ee1304d4291fd76e2df7f886192c0
91,27501820000,20000,5000,9960,5040,0,9201.596863706185,-40.58899170096217,5135,9754,5111,0,-4332.35149853602,-7788.710740992186,5146,9577,5277,0,-4227.179161893227,7673.440751390846,fe73816174bde0ad28fd240b4ea70887d6b4947ff6f9eb3eddb217fc19033bf4
92,27501840000,20000,5128,9904,4968,0,9147.125073715546,-20.03485564382304,5250,9599,5151,0,-4269.254033969565,-7688.337535576917,5087,9767,5146,0,-4361.1590192344875,7832.176284271084,841b3ed23f5bb7e76d0432248f4eace0ddf31a3c7aa6e0f1d3e5386ac12f827d
93,27501860000,20000,5110,9879,5011,0,9191.328747368574,16.272546760576304,5095,9850,5055,0,-4379.730190633564,-7937.902401674771,5209,9665,5126,0,-4289.982584615564,7781.418542715586,a442375ad0858ace4339ac2ef5971c674074ae69c982f5f7039c87a4c70450a0
94,27501880000,20000,5114,9811,5075,0,9109.96827399579,-8.570172751036747,5117,9779,5104,0,-4371.591386843055,-7869.622827821703,5144,9787,5069,0,-4360.282164801272,7868.087320640772,b6e1e33cdc3bf94bfd52a872085ed2972d58b64459c47480219ed05ce5190519
95,27501900000,20000,5070,9802,5128,0,9043.77171557792,16.791827173892397,5018,9784,5198,0,-4368.859421030551,-7865.681956717628,5027,9777,5196,0,-4377.846647361189,7870.610296869415,6a0d8d0123b0dbe47cc89df2e413512d30155fdd1b53ca71983632cc50c19982
96,27501920000,20000,5044,9965,4991,0,9200.134901214742,4.025446168860331,5122,9727,5151,0,-4344.673835449471,-7806.60217181419,5159,9726,5115,0,-4323.806064829549,7825.907491639401,03ca94f729d2db0ca26ab0e60cee2aaec93d05853f59cead54131a288b1864ad
97,27501940000,20000,5067,9973,4960,0,9251.229028383857,2.8875159838384503,5085,9777,5138,0,-4320.30087598313,-7809.151710206137,5056,9837,5107,0,-4382.0262625806445,7897.047229507453,bc1dd14f33e1619f4442887b3e00d5de08849c6883ea425394b70aa714c82dcc
