mask,k,clusters_G,clusters_Gstar,H_G,V_G,E_G,B_G,H_Gstar,V_Gstar,E_Gstar,B_Gstar
295,5,1,1,1,1,1,1,0,0,0,0
296,3,1,1,0,0,0,0,1,1,1,1
297,4,1,1,0,0,0,0,1,1,1,1
298,4,2,1,0,0,0,0,1,1,1,1
299,5,1,1,0,0,0,0,1,1,1,1
300,4,1,1,0,1,1,0,0,1,1,0
301,5,1,1,0,1,1,0,0,1,1,0
302,5,1,1,0,1,1,0,0,1,1,0
303,6,1,1,1,1,1,1,0,0,0,0
304,3,1,1,0,0,0,0,1,1,1,1
305,4,2,1,0,0,0,0,1,1,1,1
306,4,1,1,0,0,0,0,1,1,1,1
307,5,1,1,0,0,0,0,1,1,1,1
308,4,1,1,0,1,1,0,0,1,1,0
309,5,1,1,0,1,1,0,0,1,1,0
310,5,1,1,0,1,1,0,0,1,1,0
311,6,1,1,1,1,1,1,0,0,0,0
312,4,1,1,1,0,1,0,1,0,1,0
313,5,1,1,1,0,1,0,1,0,1,0
314,5,1,1,1,0,1,0,1,0,1,0
315,6,1,1,1,0,1,0,1,0,1,0
316,5,1,1,1,1,1,1,0,0,0,0
317,6,1,1,1,1,1,1,0,0,0,0
318,6,1,1,1,1,1,1,0,0,0,0
319,7,1,1,1,1,1,1,0,0,0,0
320,2,1,1,0,0,0,0,1,1,1,1
321,3,1,1,0,0,0,0,1,1,1,1
322,3,2,1,0,0,0,0,1,1,1,1
323,4,1,1,0,0,0,0,1,1,1,1
324,3,1,1,0,0,0,0,1,1,1,1
325,4,1,1,0,0,0,0,1,1,1,1
326,4,1,1,0,0,0,0,1,1,1,1
327,5,1,1,1,0,1,0,1,0,1,0
328,3,1,1,0,0,0,0,1,1,1,1
329,4,1,1,0,1,1,0,0,1,1,0
330,4,2,1,0,0,0,0,1,1,1,1
331,5,1,1,0,1,1,0,0,1,1,0
332,4,1,1,0,0,0,0,1,1,1,1
333,5,1,1,0,1,1,0,0,1,1,0
334,5,1,1,0,0,0,0,1,1,1,1
335,6,1,1,1,1,1,1,0,0,0,0
336,3,2,1,0,0,0,0,1,1,1,1
337,4,2,1,0,0,0,0,1,1,1,1
338,4,2,1,0,0,0,0,1,1,1,1
339,5,1,1,0,0,0,0,1,1,1,1
340,4,2,1,0,0,0,0,1,1,1,1
341,5,2,1,0,0,0,0,1,1,1,1
342,5,1,1,0,0,0,0,1,1,1,1
343,6,1,1,1,0,1,0,1,0,1,0
344,4,1,1,0,0,0,0,1,1,1,1
345,5,1,1,0,1,1,0,0,1,1,0
346,5,1,1,0,0,0,0,1,1,1,1
347,6,1,1,0,1,1,0,0,1,1,0
348,5,1,1,0,0,0,0,1,1,1,1
349,6,1,1,0,1,1,0,0,1,1,0
350,6,1,1,1,1,1,1,1,1,1,1
351,7,1,1,1,1,1,1,0,0,0,0
352,3,1,1,0,0,0,0,1,1,1,1
353,4,1,1,0,0,0,0,1,1,1,1
354,4,2,1,0,0,0,0,1,1,1,1
355,5,1,1,0,0,0,0,1,1,1,1
356,4,1,1,0,1,1,0,0,1,1,0
357,5,1,1,0,1,1,0,0,1,1,0
358,5,1,1,0,1,1,0,0,1,1,0
359,6,1,1,1,1,1,1,0,0,0,0
360,4,1,1,0,0,0,0,1,1,1,1
361,5,1,1,0,1,1,0,0,1,1,0
362,5,2,1,0,0,0,0,1,1,1,1
363,6,1,1,0,1,1,0,0,1,1,0
364,5,1,1,0,1,1,0,0,1,1,0
365,6,1,1,0,1,1,0,0,1,1,0
366,6,1,1,0,1,1,0,0,1,1,0
367,7,1,1,1,1,1,1,0,0,0,0
368,4,1,1,0,0,0,0,1,1,1,1
369,5,1,1,0,0,0,0,1,1,1,1
370,5,1,1,0,0,0,0,1,1,1,1
371,6,1,1,1,1,1,1,1,1,1,1
372,5,1,1,0,1,1,0,0,1,1,0
373,6,1,1,0,1,1,0,0,1,1,0
374,6,1,1,0,1,1,0,0,1,1,0
375,7,1,1,1,1,1,1,0,0,0,0
376,5,1,1,1,0,1,0,1,0,1,0
377,6,1,1,1,1,1,1,0,0,0,0
378,6,1,1,1,0,1,0,1,0,1,0
379,7,1,1,1,1,1,1,0,0,0,0
380,6,1,1,1,1,1,1,0,0,0,0
381,7,1,1,1,1,1,1,0,0,0,0
382,7,1,1,1,1,1,1,0,0,0,0
383,8,1,1,1,1,1,1,0,0,0,0
384,2,1,1,0,0,0,0,1,1,1,1
385,3,2,1,0,0,0,0,1,1,1,1
386,3,1,1,0,0,0,0,1,1,1,1
387,4,1,1,0,0,0,0,1,1,1,1
388,3,1,1,0,0,0,0,1,1,1,1
389,4,1,1,0,0,0,0,1,1,1,1
390,4,1,1,0,0,0,0,1,1,1,1
391,5,1,1,1,0,1,0,1,0,1,0
