key	g16
2699912	8
2700296	12
2700352	6
2700360	4
2700424	4
2700936	8
2705032	4
2719880	10
2720392	16
2720776	20
2720832	10
2720840	8
2720904	10
2721416	26
2723976	6
2724488	8
2724872	12
2724928	6
2724936	4
2725000	4
2725512	10
2728072	12
2728584	16
2728968	24
2729024	12
2729032	8
2729096	8
2729608	16
2732168	9
2732680	12
2733064	18
2733120	9
2733128	6
2733192	6
2733704	10
2737800	8
2754184	8
2758280	4
2762376	8
2764936	6
2765448	8
2765832	12
2765888	6
2765896	4
2765960	4
2766472	4
2770568	6
2803336	4
2883720	4
2884232	8
2884616	8
2884672	4
2884680	4
2884744	6
2885256	8
2887816	4
2888328	8
2888712	8
2888768	4
2888776	4
2888840	6
2889352	10
2891912	10
2892424	20
2892808	20
2892864	10
2892872	10
2892936	8
2893448	43
2896008	12
2896520	24
2896904	24
2896960	12
2896968	12
2897032	18
2897544	20
2901640	4
2916488	8
2917000	16
2917384	16
2917440	8
2917448	8
2917512	12
2918024	20
2924680	12
2925192	16
2925576	24
2925632	12
2925640	8
2925704	8
2926216	20
2949192	-2
2949256	8
2949640	-4
2949696	-2
2949768	20
2950152	16
2950208	8
2950216	10
2950280	10
2950792	43
2953352	6
2953864	8
2954248	12
2954304	6
2954312	4
2954376	4
2954888	10
2957448	6
2957960	8
2958344	12
2958400	6
2958408	4
2958472	4
2958984	8
2961544	18
2962056	24
2962440	36
2962496	18
2962504	12
2962568	12
2963080	20
2967176	4
2982024	6
2982536	12
2982920	12
2982976	6
2982984	6
2983048	9
2983560	10
2990216	9
2990728	12
2991112	18
2991168	9
2991176	6
2991240	6
2991752	10
3016328	4
3024520	4
3147400	4
3151496	4
3155592	4
3159688	4
3163784	12
3180168	8
3188360	8
3212936	4
3217032	4
3221128	4
3225224	4
3229320	12
3244168	4
3244680	8
3245064	8
3245120	4
3245128	4
3245192	6
3245704	8
3252360	6
3252872	8
3253256	12
3253312	6
3253320	4
3253384	4
3253896	8
3278472	6
3286664	6
3540616	4
3548808	4
4198472	-2
4198536	-8
4198920	-4
4198976	-2
4199048	-18
4199432	-16
4199488	-8
4199496	-9
4199560	-9
4200072	10
4202632	-2
4203144	-6
4203528	-4
4203584	-2
4203592	-3
4203656	-2
4206728	4
4207240	12
4207624	8
4207680	4
4207688	6
4207752	4
4208264	10
4227144	-4
4227208	-16
4227592	-8
4227648	-4
4227720	-36
4228104	-32
4228160	-16
4228168	-18
4228232	-18
4228744	20
4231240	-2
4231304	-9
4231688	-4
4231744	-2
4231816	-16
4232200	-18
4232256	-9
4232264	-8
4232328	-9
4232840	8
4235336	-3
4235400	-9
4235784	-6
4235840	-3
4235912	-18
4236296	-18
4236352	-9
4236360	-9
4236424	-8
4236936	10
4239496	8
4240008	20
4240392	16
4240448	8
4240456	10
4240520	10
4241032	43
4245128	4
4259976	-4
4260488	-12
4260872	-8
4260928	-4
4260936	-6
4261000	-4
4264008	-6
4264072	-18
4264456	-12
4264512	-6
4264584	-36
4264968	-36
4265024	-18
4265032	-18
4265096	-16
4265608	20
4272264	8
4272776	24
4273160	16
4273216	8
4273224	12
4273288	8
4273800	20
4292744	8
4293256	24
4293640	16
4293696	8
4293704	12
4293768	8
4294280	20
4296840	10
4297352	20
4297736	20
4297792	10
4297800	10
4297864	8
4298376	43
4300936	4
4301448	12
4301832	8
4301888	4
4301896	6
4301960	4
4302472	10
4305032	6
4305544	18
4305928	12
4305984	6
4305992	9
4306056	6
4306568	8
4310664	4
4331144	4
4337800	4
4338312	12
4338696	8
4338752	4
4338760	6
4338824	4
4339336	4
4456520	-2
4456584	-8
4456968	-4
4457024	-2
4457096	-18
4457480	-16
4457536	-8
4457544	-9
4457608	-9
4458120	10
4460616	-4
4460680	-18
4461064	-8
4461120	-4
4461192	-32
4461576	-36
4461632	-18
4461640	-16
4461704	-18
4462216	16
4464712	-3
4464776	-9
4465160	-6
4465216	-3
4465288	-18
4465672	-18
4465728	-9
4465736	-9
4465800	-8
4466312	10
4468872	10
4469384	16
4469768	20
4469824	10
4469832	8
4469896	10
4470408	26
4474504	8
4489288	-2
4489352	-9
4489736	-4
4489792	-2
4489864	-16
4490248	-18
4490304	-9
4490312	-8
4490376	-9
4490888	8
4497544	-3
