n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
290,4,10000,0.59274605078999998,direction_1,13,11,17,1,5196,5231,5123,5261
290,5,10000,0.59274605078999998,cross,13,11,17,1,3213,3026,3101,3091
290,5,10000,0.59274605078999998,both,13,11,17,1,3632,3445,3481,3471
290,5,10000,0.59274605078999998,either,13,11,17,1,6974,6787,6909,6899
290,5,10000,0.59274605078999998,direction_0,13,11,17,1,5288,5101,5218,5208
290,5,10000,0.59274605078999998,direction_1,13,11,17,1,5318,5131,5172,5162
290,6,10000,0.59274605078999998,cross,13,11,17,1,3022,3157,3121,3087
290,6,10000,0.59274605078999998,both,13,11,17,1,3432,3567,3514,3480
290,6,10000,0.59274605078999998,either,13,11,17,1,6843,6978,6913,6879
290,6,10000,0.59274605078999998,direction_0,13,11,17,1,5100,5235,5215,5181
290,6,10000,0.59274605078999998,direction_1,13,11,17,1,5175,5310,5212,5178
290,7,10000,0.59274605078999998,cross,13,11,17,1,3077,3130,3135,3053
290,7,10000,0.59274605078999998,both,13,11,17,1,3454,3507,3525,3443
290,7,10000,0.59274605078999998,either,13,11,17,1,6870,6923,6947,6865
290,7,10000,0.59274605078999998,direction_0,13,11,17,1,5183,5236,5219,5137
290,7,10000,0.59274605078999998,direction_1,13,11,17,1,5141,5194,5253,5171
290,8,10000,0.59274605078999998,cross,13,11,17,1,3202,3043,3130,3043
290,8,10000,0.59274605078999998,both,13,11,17,1,3600,3441,3556,3469
290,8,10000,0.59274605078999998,either,13,11,17,1,6957,6798,6957,6870
290,8,10000,0.59274605078999998,direction_0,13,11,17,1,5251,5092,5260,5173
290,8,10000,0.59274605078999998,direction_1,13,11,17,1,5306,5147,5253,5166
290,9,10000,0.59274605078999998,cross,13,11,17,1,3092,3081,3105,3059
290,9,10000,0.59274605078999998,both,13,11,17,1,3490,3479,3504,3458
290,9,10000,0.59274605078999998,either,13,11,17,1,6919,6908,6941,6895
290,9,10000,0.59274605078999998,direction_0,13,11,17,1,5170,5159,5195,5149
290,9,10000,0.59274605078999998,direction_1,13,11,17,1,5239,5228,5250,5204
290,10,10000,0.59274605078999998,cross,13,11,17,1,3109,3083,3076,3107
290,10,10000,0.59274605078999998,both,13,11,17,1,3516,3490,3457,3488
290,10,10000,0.59274605078999998,either,13,11,17,1,6917,6891,6893,6924
290,10,10000,0.59274605078999998,direction_0,13,11,17,1,5185,5159,5154,5185
290,10,10000,0.59274605078999998,direction_1,13,11,17,1,5248,5222,5196,5227
290,11,10000,0.59274605078999998,cross,13,11,17,1,3094,3114,3069,3153
290,11,10000,0.59274605078999998,both,13,11,17,1,3509,3529,3543,3627
290,11,10000,0.59274605078999998,either,13,11,17,1,6886,6906,6847,6931
290,11,10000,0.59274605078999998,direction_0,13,11,17,1,5171,5191,5187,5271
290,11,10000,0.59274605078999998,direction_1,13,11,17,1,5224,5244,5203,5287
290,12,10000,0.59274605078999998,cross,13,11,17,1,3038,3157,3027,3134
290,12,10000,0.59274605078999998,both,13,11,17,1,3458,3577,3426,3533
290,12,10000,0.59274605078999998,either,13,11,17,1,6843,6962,6866,6973
290,12,10000,0.59274605078999998,direction_0,13,11,17,1,5143,5262,5198,5305
290,12,10000,0.59274605078999998,direction_1,13,11,17,1,5158,5277,5094,5201
290,13,10000,0.59274605078999998,cross,13,11,17,1,3081,3079,3049,3074
290,13,10000,0.59274605078999998,both,13,11,17,1,3479,3477,3452,3477
290,13,10000,0.59274605078999998,either,13,11,17,1,6921,6919,6926,6951
290,13,10000,0.59274605078999998,direction_0,13,11,17,1,5215,5213,5173,5198
290,13,10000,0.59274605078999998,direction_1,13,11,17,1,5185,5183,5205,5230
290,14,10000,0.59274605078999998,cross,13,11,17,1,3120,3066,3154,3092
290,14,10000,0.59274605078999998,both,13,11,17,1,3514,3460,3566,3504
290,14,10000,0.59274605078999998,either,13,11,17,1,6934,6880,6908,6846
290,14,10000,0.59274605078999998,direction_0,13,11,17,1,5261,5207,5236,5174
290,14,10000,0.59274605078999998,direction_1,13,11,17,1,5187,5133,5238,5176
290,15,10000,0.59274605078999998,cross,13,11,17,1,3110,3089,3127,3094
290,15,10000,0.59274605078999998,both,13,11,17,1,3547,3526,3526,3493
290,15,10000,0.59274605078999998,either,13,11,17,1,6911,6890,6906,6873
290,15,10000,0.59274605078999998,direction_0,13,11,17,1,5238,5217,5204,5171
290,15,10000,0.59274605078999998,direction_1,13,11,17,1,5220,5199,5228,5195
290,16,10000,0.59274605078999998,cross,13,11,17,1,3072,3163,3109,3119
290,16,10000,0.59274605078999998,both,13,11,17,1,3511,3602,3519,3529
290,16,10000,0.59274605078999998,either,13,11,17,1,6837,6928,6881,6891
290,16,10000,0.59274605078999998,direction_0,13,11,17,1,5179,5270,5179,5189
290,16,10000,0.59274605078999998,direction_1,13,11,17,1,5169,5260,5221,5231
290,17,10000,0.59274605078999998,cross,13,11,17,1,3124,3117,3093,3042
290,17,10000,0.59274605078999998,both,13,11,17,1,3558,3551,3507,3456
290,17,10000,0.59274605078999998,either,13,11,17,1,6883,6876,6958,6907
290,17,10000,0.59274605078999998,direction_0,13,11,17,1,5224,5217,5230,5179
290,17,10000,0.59274605078999998,direction_1,13,11,17,1,5217,5210,5235,5184
290,18,10000,0.59274605078999998,cross,13,11,17,1,3050,3147,3029,3102
290,18,10000,0.59274605078999998,both,13,11,17,1,3429,3526,3442,3515
290,18,10000,0.59274605078999998,either,13,11,17,1,6853,6950,6898,6971
290,18,10000,0.59274605078999998,direction_0,13,11,17,1,5201,5298,5151,5224
290,18,10000,0.59274605078999998,direction_1,13,11,17,1,5081,5178,5189,5262
290,19,10000,0.59274605078999998,cross,13,11,17,1,3040,3169,3138,3050
290,19,10000,0.59274605078999998,both,13,11,17,1,3450,3579,3557,3469
290,19,10000,0.59274605078999998,either,13,11,17,1,6831,6960,6950,6862
290,19,10000,0.59274605078999998,direction_0,13,11,17,1,5100,5229,5287,5199
290,19,10000,0.59274605078999998,direction_1,13,11,17,1,5181,5310,5220,5132
290,20,10000,0.59274605078999998,cross,13,11,17,1,3058,3053,3084,3119
290,20,10000,0.59274605078999998,both,13,11,17,1,3469,3464,3505,3540
290,20,10000,0.59274605078999998,either,13,11,17,1,6947,6942,6881,6916
290,20,10000,0.59274605078999998,direction_0,13,11,17,1,5184,5179,5184,5219
290,20,10000,0.59274605078999998,direction_1,13,11,17,1,5232,5227,5202,5237
290,21,10000,0.59274605078999998,cross,13,11,17,1,3182,3042,3186,3028
290,21,10000,0.59274605078999998,both,13,11,17,1,3576,3436,3604,3446
290,21,10000,0.59274605078999998,either,13,11,17,1,6958,6818,6972,6814
290,21,10000,0.59274605078999998,direction_0,13,11,17,1,5277,5137,5256,5098
290,21,10000,0.59274605078999998,direction_1,13,11,17,1,5257,5117,5320,5162
290,22,10000,0.59274605078999998,cross,13,11,17,1,3087,3143,3067,3198
290,22,10000,0.59274605078999998,both,13,11,17,1,3474,3530,3453,3584
290,22,10000,0.59274605078999998,either,13,11,17,1,6857,6913,6802,6933
290,22,10000,0.59274605078999998,direction_0,13,11,17,1,5204,5260,5168,5299
290,22,10000,0.59274605078999998,direction_1,13,11,17,1,5127,5183,5087,5218
290,23,10000,0.59274605078999998,cross,13,11,17,1,3087,3161,3109,3048
290,23,10000,0.59274605078999998,both,13,11,17,1,3476,3550,3526,3465
290,23,10000,0.59274605078999998,either,13,11,17,1,6839,6913,6952,6891
290,23,10000,0.59274605078999998,direction_0,13,11,17,1,5160,5234,5243,5182
290,23,10000,0.59274605078999998,direction_1,13,11,17,1,5155,5229,5235,5174
290,24,10000,0.59274605078999998,cross,13,11,17,1,3175,3059,3258,3051
290,24,10000,0.59274605078999998,both,13,11,17,1,3590,3474,3666,3459
290,24,10000,0.59274605078999998,either,13,11,17,1,6941,6825,6949,6742
290,24,10000,0.59274605078999998,direction_0,13,11,17,1,5217,5101,5334,5127
290,24,10000,0.59274605078999998,direction_1,13,11,17,1,5314,5198,5281,5074
290,25,10000,0.59274605078999998,cross,13,11,17,1,3159,3092,3171,3097
