geom,N,k,count
g_11_7,170,97,100722
g_11_7,170,98,100067
g_11_7,170,99,98099
g_11_7,170,100,93825
g_11_7,170,101,88383
g_11_7,170,102,82255
g_11_7,170,103,74831
g_11_7,170,104,66464
g_11_7,170,105,57691
g_11_7,170,106,49564
g_11_7,170,107,41464
g_11_7,170,108,33774
g_11_7,170,109,27154
g_11_7,170,110,21500
g_11_7,170,111,16249
g_11_7,170,112,12478
g_11_7,170,113,9219
g_11_7,170,114,6596
g_11_7,170,115,4693
g_11_7,170,116,3097
g_11_7,170,117,2223
g_11_7,170,118,1546
g_11_7,170,119,967
g_11_7,170,120,622
g_11_7,170,121,387
g_11_7,170,122,219
g_11_7,170,123,129
g_11_7,170,124,95
g_11_7,170,125,53
g_11_7,170,126,26
g_11_7,170,127,14
g_11_7,170,128,6
g_11_7,170,129,2
g_11_7,170,130,5
g_11_7,170,131,0
g_11_7,170,132,1
g_11_7,170,133,1
g_11_7,170,134,0
g_11_7,170,135,0
g_11_7,170,136,0
g_11_7,170,137,0
g_11_7,170,138,0
g_11_7,170,139,0
g_11_7,170,140,0
g_11_7,170,141,0
g_11_7,170,142,0
g_11_7,170,143,0
g_11_7,170,144,0
g_11_7,170,145,0
g_11_7,170,146,0
g_11_7,170,147,0
g_11_7,170,148,0
g_11_7,170,149,0
g_11_7,170,150,0
g_11_7,170,151,0
g_11_7,170,152,0
g_11_7,170,153,0
g_11_7,170,154,0
g_11_7,170,155,0
g_11_7,170,156,0
g_11_7,170,157,0
g_11_7,170,158,0
g_11_7,170,159,0
g_11_7,170,160,0
g_11_7,170,161,0
g_11_7,170,162,0
g_11_7,170,163,0
g_11_7,170,164,0
g_11_7,170,165,0
g_11_7,170,166,0
g_11_7,170,167,0
g_11_7,170,168,0
g_11_7,170,169,0
g_11_7,170,170,0
g_11_7,170,171,0
g_12_1,145,0,0
g_12_1,145,1,0
g_12_1,145,2,0
g_12_1,145,3,0
g_12_1,145,4,0
g_12_1,145,5,0
g_12_1,145,6,0
g_12_1,145,7,0
g_12_1,145,8,0
g_12_1,145,9,0
g_12_1,145,10,0
g_12_1,145,11,0
g_12_1,145,12,0
g_12_1,145,13,0
g_12_1,145,14,0
g_12_1,145,15,0
g_12_1,145,16,0
g_12_1,145,17,0
g_12_1,145,18,0
g_12_1,145,19,0
g_12_1,145,20,0
g_12_1,145,21,0
g_12_1,145,22,0
g_12_1,145,23,0
g_12_1,145,24,0
g_12_1,145,25,0
g_12_1,145,26,0
g_12_1,145,27,0
g_12_1,145,28,0
g_12_1,145,29,0
g_12_1,145,30,0
g_12_1,145,31,0
g_12_1,145,32,0
g_12_1,145,33,0
g_12_1,145,34,0
g_12_1,145,35,1
g_12_1,145,36,0
g_12_1,145,37,2
g_12_1,145,38,2
g_12_1,145,39,6
g_12_1,145,40,5
g_12_1,145,41,5
g_12_1,145,42,7
g_12_1,145,43,15
g_12_1,145,44,27
g_12_1,145,45,32
g_12_1,145,46,44
g_12_1,145,47,68
g_12_1,145,48,100
g_12_1,145,49,135
g_12_1,145,50,189
g_12_1,145,51,241
g_12_1,145,52,331
g_12_1,145,53,456
g_12_1,145,54,542
g_12_1,145,55,772
g_12_1,145,56,1072
g_12_1,145,57,1368
g_12_1,145,58,1763
g_12_1,145,59,2275
g_12_1,145,60,2927
g_12_1,145,61,3885
g_12_1,145,62,4884
g_12_1,145,63,6267
g_12_1,145,64,7928
g_12_1,145,65,9934
g_12_1,145,66,12365
g_12_1,145,67,15449
g_12_1,145,68,19044
g_12_1,145,69,23308
g_12_1,145,70,28166
g_12_1,145,71,33764
g_12_1,145,72,40604
g_12_1,145,73,47063
g_12_1,145,74,55121
g_12_1,145,75,63299
g_12_1,145,76,71937
g_12_1,145,77,80802
g_12_1,145,78,89307
g_12_1,145,79,97231
g_12_1,145,80,103862
g_12_1,145,81,109003
g_12_1,145,82,111678
g_12_1,145,83,112365
g_12_1,145,84,110771
g_12_1,145,85,107025
g_12_1,145,86,100675
g_12_1,145,87,92263
g_12_1,145,88,83128
g_12_1,145,89,72330
g_12_1,145,90,62053
g_12_1,145,91,51744
g_12_1,145,92,41496
g_12_1,145,93,32684
g_12_1,145,94,25356
g_12_1,145,95,18605
g_12_1,145,96,13559
g_12_1,145,97,9738
g_12_1,145,98,6769
g_12_1,145,99,4510
g_12_1,145,100,2884
g_12_1,145,101,1899
g_12_1,145,102,1210
g_12_1,145,103,724
g_12_1,145,104,393
g_12_1,145,105,241
g_12_1,145,106,158
g_12_1,145,107,74
g_12_1,145,108,31
g_12_1,145,109,15
g_12_1,145,110,8
g_12_1,145,111,3
g_12_1,145,112,2
g_12_1,145,113,1
g_12_1,145,114,0
g_12_1,145,115,0
g_12_1,145,116,0
g_12_1,145,117,0
g_12_1,145,118,0
g_12_1,145,119,0
g_12_1,145,120,0
g_12_1,145,121,0
g_12_1,145,122,0
g_12_1,145,123,0
g_12_1,145,124,0
g_12_1,145,125,0
g_12_1,145,126,0
g_12_1,145,127,0
g_12_1,145,128,0
g_12_1,145,129,0
g_12_1,145,130,0
g_12_1,145,131,0
g_12_1,145,132,0
g_12_1,145,133,0
g_12_1,145,134,0
g_12_1,145,135,0
g_12_1,145,136,0
g_12_1,145,137,0
g_12_1,145,138,0
g_12_1,145,139,0
g_12_1,145,140,0
g_12_1,145,141,0
g_12_1,145,142,0
g_12_1,145,143,0
g_12_1,145,144,0
g_12_1,145,145,0
g_12_1,145,146,0
g_13_1,170,0,0
g_13_1,170,1,0
g_13_1,170,2,0
g_13_1,170,3,0
g_13_1,170,4,0
g_13_1,170,5,0
g_13_1,170,6,0
g_13_1,170,7,0
g_13_1,170,8,0
g_13_1,170,9,0
g_13_1,170,10,0
g_13_1,170,11,0
g_13_1,170,12,0
g_13_1,170,13,0
g_13_1,170,14,0
g_13_1,170,15,0
g_13_1,170,16,0
g_13_1,170,17,0
g_13_1,170,18,0
g_13_1,170,19,0
g_13_1,170,20,0
g_13_1,170,21,0
g_13_1,170,22,0
g_13_1,170,23,0
g_13_1,170,24,0
g_13_1,170,25,0
g_13_1,170,26,0
g_13_1,170,27,0
g_13_1,170,28,0
g_13_1,170,29,0
g_13_1,170,30,0
g_13_1,170,31,0
g_13_1,170,32,0
g_13_1,170,33,0
g_13_1,170,34,0
g_13_1,170,35,0
g_13_1,170,36,0
g_13_1,170,37,0
g_13_1,170,38,0
g_13_1,170,39,0
g_13_1,170,40,0
g_13_1,170,41,0
g_13_1,170,42,0
g_13_1,170,43,1
g_13_1,170,44,0
g_13_1,170,45,1
g_13_1,170,46,2
g_13_1,170,47,3
g_13_1,170,48,3
g_13_1,170,49,3
g_13_1,170,50,8
g_13_1,170,51,11
g_13_1,170,52,19
g_13_1,170,53,14
g_13_1,170,54,29
g_13_1,170,55,26
g_13_1,170,56,40
g_13_1,170,57,57
g_13_1,170,58,81
g_13_1,170,59,103
g_13_1,170,60,144
g_13_1,170,61,180
g_13_1,170,62,235
g_13_1,170,63,299
g_13_1,170,64,396
g_13_1,170,65,541
g_13_1,170,66,673
g_13_1,170,67,854
g_13_1,170,68,1049
g_13_1,170,69,1443
g_13_1,170,70,1789
g_13_1,170,71,2234
g_13_1,170,72,2844
g_13_1,170,73,3543
g_13_1,170,74,4466
g_13_1,170,75,5499
g_13_1,170,76,6958
g_13_1,170,77,8284
g_13_1,170,78,10148
g_13_1,170,79,12418
g_13_1,170,80,14964
g_13_1,170,81,17951
g_13_1,170,82,21440
g_13_1,170,83,25435
g_13_1,170,84,29914
g_13_1,170,85,35139
g_13_1,170,86,40651
g_13_1,170,87,46772
g_13_1,170,88,52914
g_13_1,170,89,60064
g_13_1,170,90,67518
g_13_1,170,91,74148
g_13_1,170,92,80735
g_13_1,170,93,86189
g_13_1,170,94,92667
g_13_1,170,95,96369
g_13_1,170,96,99198
g_13_1,170,97,100493
g_13_1,170,98,100566
g_13_1,170,99,98299
g_13_1,170,100,94233
g_13_1,170,101,88564
g_13_1,170,102,81785
g_13_1,170,103,74209
g_13_1,170,104,66428
g_13_1,170,105,57838
g_13_1,170,106,49068
g_13_1,170,107,41366
g_13_1,170,108,33980
g_13_1,170,109,26974
g_13_1,170,110,21047
g_13_1,170,111,16255
g_13_1,170,112,12490
g_13_1,170,113,9258
g_13_1,170,114,6597
g_13_1,170,115,4629
g_13_1,170,116,3304
g_13_1,170,117,2246
g_13_1,170,118,1392
g_13_1,170,119,969
g_13_1,170,120,616
g_13_1,170,121,378
g_13_1,170,122,214
g_13_1,170,123,137
g_13_1,170,124,85
g_13_1,170,125,51
g_13_1,170,126,27
g_13_1,170,127,20
g_13_1,170,128,5
g_13_1,170,129,3
g_13_1,170,130,5
g_13_1,170,131,1
g_13_1,170,132,1
g_13_1,170,133,1
g_13_1,170,134,0
g_13_1,170,135,0
g_13_1,170,136,0
g_13_1,170,137,0
g_13_1,170,138,0
g_13_1,170,139,0
g_13_1,170,140,0
g_13_1,170,141,0
g_13_1,170,142,0
g_13_1,170,143,0
g_13_1,170,144,0
g_13_1,170,145,0
g_13_1,170,146,0
g_13_1,170,147,0
g_13_1,170,148,0
g_13_1,170,149,0
g_13_1,170,150,0
g_13_1,170,151,0
g_13_1,170,152,0
g_13_1,170,153,0
g_13_1,170,154,0
g_13_1,170,155,0
g_13_1,170,156,0
g_13_1,170,157,0
g_13_1,170,158,0
g_13_1,170,159,0
g_13_1,170,160,0
g_13_1,170,161,0
g_13_1,170,162,0
g_13_1,170,163,0
g_13_1,170,164,0
g_13_1,170,165,0
g_13_1,170,166,0
g_13_1,170,167,0
g_13_1,170,168,0
g_13_1,170,169,0
g_13_1,170,170,0
g_13_1,170,171,0
g_7_4,65,0,0
g_7_4,65,1,0
g_7_4,65,2,0
g_7_4,65,3,0
g_7_4,65,4,0
g_7_4,65,5,0
g_7_4,65,6,0
g_7_4,65,7,0
g_7_4,65,8,0
g_7_4,65,9,0
g_7_4,65,10,0
g_7_4,65,11,0
g_7_4,65,12,0
g_7_4,65,13,1
g_7_4,65,14,1
g_7_4,65,15,3
g_7_4,65,16,18
g_7_4,65,17,52
g_7_4,65,18,108
g_7_4,65,19,249
g_7_4,65,20,499
g_7_4,65,21,893
g_7_4,65,22,1633
g_7_4,65,23,2937
g_7_4,65,24,4943
g_7_4,65,25,7835
g_7_4,65,26,12158
g_7_4,65,27,18622
g_7_4,65,28,27714
g_7_4,65,29,39863
g_7_4,65,30,56207
g_7_4,65,31,76846
g_7_4,65,32,99782
g_7_4,65,33,127773
g_7_4,65,34,155013
g_7_4,65,35,179470
g_7_4,65,36,196257
g_7_4,65,37,202547
g_7_4,65,38,194379
g_7_4,65,39,172969
g_7_4,65,40,142786
g_7_4,65,41,106959
g_7_4,65,42,73913
g_7_4,65,43,46559
g_7_4,65,44,26519
g_7_4,65,45,13889
g_7_4,65,46,6447
g_7_4,65,47,2689
g_7_4,65,48,1024
g_7_4,65,49,315
g_7_4,65,50,95
g_7_4,65,51,28
g_7_4,65,52,5
g_7_4,65,53,0
g_7_4,65,54,0
g_7_4,65,55,0
g_7_4,65,56,0
g_7_4,65,57,0
g_7_4,65,58,0
g_7_4,65,59,0
g_7_4,65,60,0
g_7_4,65,61,0
g_7_4,65,62,0
g_7_4,65,63,0
g_7_4,65,64,0
g_7_4,65,65,0
g_7_4,65,66,0
g_7_6,85,0,0
g_7_6,85,1,0
g_7_6,85,2,0
g_7_6,85,3,0
g_7_6,85,4,0
g_7_6,85,5,0
g_7_6,85,6,0
g_7_6,85,7,0
g_7_6,85,8,0
g_7_6,85,9,0
g_7_6,85,10,0
g_7_6,85,11,0
g_7_6,85,12,0
g_7_6,85,13,0
g_7_6,85,14,0
g_7_6,85,15,0
g_7_6,85,16,0
g_7_6,85,17,0
g_7_6,85,18,1
g_7_6,85,19,0
g_7_6,85,20,1
g_7_6,85,21,3
g_7_6,85,22,13
g_7_6,85,23,34
g_7_6,85,24,42
g_7_6,85,25,80
g_7_6,85,26,126
g_7_6,85,27,264
g_7_6,85,28,413
g_7_6,85,29,804
g_7_6,85,30,1199
g_7_6,85,31,1980
g_7_6,85,32,2992
g_7_6,85,33,4504
g_7_6,85,34,6706
g_7_6,85,35,9660
g_7_6,85,36,13460
g_7_6,85,37,19256
g_7_6,85,38,25909
g_7_6,85,39,35041
g_7_6,85,40,45873
g_7_6,85,41,60238
g_7_6,85,42,75716
g_7_6,85,43,93990
g_7_6,85,44,112929
g_7_6,85,45,130632
g_7_6,85,46,146833
g_7_6,85,47,158962
g_7_6,85,48,165781
g_7_6,85,49,164767
g_7_6,85,50,155750
g_7_6,85,51,139996
g_7_6,85,52,119331
g_7_6,85,53,95995
g_7_6,85,54,72623
g_7_6,85,55,52124
g_7_6,85,56,35333
g_7_6,85,57,22368
g_7_6,85,58,13292
g_7_6,85,59,7513
g_7_6,85,60,3898
g_7_6,85,61,2068
g_7_6,85,62,858
g_7_6,85,63,423
g_7_6,85,64,151
g_7_6,85,65,45
g_7_6,85,66,19
g_7_6,85,67,4
g_7_6,85,68,0
g_7_6,85,69,0
g_7_6,85,70,0
g_7_6,85,71,0
g_7_6,85,72,0
g_7_6,85,73,0
g_7_6,85,74,0
g_7_6,85,75,0
g_7_6,85,76,0
g_7_6,85,77,0
g_7_6,85,78,0
g_7_6,85,79,0
g_7_6,85,80,0
g_7_6,85,81,0
g_7_6,85,82,0
g_7_6,85,83,0
g_7_6,85,84,0
g_7_6,85,85,0
g_7_6,85,86,0
g_8_1,65,0,0
g_8_1,65,1,0
g_8_1,65,2,0
g_8_1,65,3,0
g_8_1,65,4,0
g_8_1,65,5,0
g_8_1,65,6,0
g_8_1,65,7,0
g_8_1,65,8,0
g_8_1,65,9,0
g_8_1,65,10,0
g_8_1,65,11,2
g_8_1,65,12,1
g_8_1,65,13,9
g_8_1,65,14,6
g_8_1,65,15,28
g_8_1,65,16,45
g_8_1,65,17,110
g_8_1,65,18,230
g_8_1,65,19,439
g_8_1,65,20,743
g_8_1,65,21,1286
g_8_1,65,22,2130
g_8_1,65,23,3477
g_8_1,65,24,5620
g_8_1,65,25,8910
g_8_1,65,26,13237
g_8_1,65,27,19689
g_8_1,65,28,28666
g_8_1,65,29,40718
g_8_1,65,30,56742
g_8_1,65,31,76410
g_8_1,65,32,100095
g_8_1,65,33,126546
g_8_1,65,34,153452
g_8_1,65,35,177153
g_8_1,65,36,194499
g_8_1,65,37,200843
g_8_1,65,38,193824
g_8_1,65,39,172774
g_8_1,65,40,142343
g_8_1,65,41,107257
g_8_1,65,42,74442
g_8_1,65,43,46908
g_8_1,65,44,26633
g_8_1,65,45,13941
g_8_1,65,46,6576
g_8_1,65,47,2768
g_8_1,65,48,1030
g_8_1,65,49,325
g_8_1,65,50,75
g_8_1,65,51,16
g_8_1,65,52,2
g_8_1,65,53,0
g_8_1,65,54,0
g_8_1,65,55,0
g_8_1,65,56,0
g_8_1,65,57,0
g_8_1,65,58,0
g_8_1,65,59,0
g_8_1,65,60,0
g_8_1,65,61,0
g_8_1,65,62,0
g_8_1,65,63,0
g_8_1,65,64,0
g_8_1,65,65,0
g_8_1,65,66,0
g_9_2,85,0,0
g_9_2,85,1,0
g_9_2,85,2,0
g_9_2,85,3,0
g_9_2,85,4,0
g_9_2,85,5,0
g_9_2,85,6,0
g_9_2,85,7,0
g_9_2,85,8,0
g_9_2,85,9,0
g_9_2,85,10,0
g_9_2,85,11,0
g_9_2,85,12,0
g_9_2,85,13,0
g_9_2,85,14,0
g_9_2,85,15,0
g_9_2,85,16,0
g_9_2,85,17,0
g_9_2,85,18,0
g_9_2,85,19,3
g_9_2,85,20,6
g_9_2,85,21,18
g_9_2,85,22,31
g_9_2,85,23,52
g_9_2,85,24,97
g_9_2,85,25,145
g_9_2,85,26,256
g_9_2,85,27,382
g_9_2,85,28,647
g_9_2,85,29,978
g_9_2,85,30,1521
g_9_2,85,31,2205
g_9_2,85,32,3400
g_9_2,85,33,4984
g_9_2,85,34,7341
g_9_2,85,35,10134
g_9_2,85,36,14441
g_9_2,85,37,19639
g_9_2,85,38,26585
g_9_2,85,39,36099
g_9_2,85,40,46785
g_9_2,85,41,60020
g_9_2,85,42,75603
g_9_2,85,43,94192
g_9_2,85,44,111661
g_9_2,85,45,130610
g_9_2,85,46,145724
g_9_2,85,47,158664
g_9_2,85,48,163990
g_9_2,85,49,163063
g_9_2,85,50,155448
g_9_2,85,51,139268
g_9_2,85,52,118954
g_9_2,85,53,96435
g_9_2,85,54,72712
g_9_2,85,55,52194
g_9_2,85,56,34987
g_9_2,85,57,22473
g_9_2,85,58,13363
g_9_2,85,59,7420
g_9_2,85,60,3973
g_9_2,85,61,1988
g_9_2,85,62,910
g_9_2,85,63,401
g_9_2,85,64,137
g_9_2,85,65,40
g_9_2,85,66,16
g_9_2,85,67,3
g_9_2,85,68,1
g_9_2,85,69,0
g_9_2,85,70,1
g_9_2,85,71,0
g_9_2,85,72,0
g_9_2,85,73,0
g_9_2,85,74,0
g_9_2,85,75,0
g_9_2,85,76,0
g_9_2,85,77,0
g_9_2,85,78,0
g_9_2,85,79,0
g_9_2,85,80,0
g_9_2,85,81,0
g_9_2,85,82,0
g_9_2,85,83,0
g_9_2,85,84,0
g_9_2,85,85,0
g_9_2,85,86,0
g_9_7,130,0,0
g_9_7,130,1,0
g_9_7,130,2,0
g_9_7,130,3,0
g_9_7,130,4,0
g_9_7,130,5,0
g_9_7,130,6,0
g_9_7,130,7,0
g_9_7,130,8,0
g_9_7,130,9,0
g_9_7,130,10,0
g_9_7,130,11,0
g_9_7,130,12,0
g_9_7,130,13,0
g_9_7,130,14,0
g_9_7,130,15,0
g_9_7,130,16,0
g_9_7,130,17,0
g_9_7,130,18,0
g_9_7,130,19,0
g_9_7,130,20,0
g_9_7,130,21,0
g_9_7,130,22,0
g_9_7,130,23,0
g_9_7,130,24,0
g_9_7,130,25,0
g_9_7,130,26,0
g_9_7,130,27,0
g_9_7,130,28,0
g_9_7,130,29,0
g_9_7,130,30,0
g_9_7,130,31,2
g_9_7,130,32,0
g_9_7,130,33,0
g_9_7,130,34,1
g_9_7,130,35,1
g_9_7,130,36,3
g_9_7,130,37,7
g_9_7,130,38,12
g_9_7,130,39,11
g_9_7,130,40,28
g_9_7,130,41,52
g_9_7,130,42,70
g_9_7,130,43,90
g_9_7,130,44,162
g_9_7,130,45,237
g_9_7,130,46,328
g_9_7,130,47,447
g_9_7,130,48,614
g_9_7,130,49,859
g_9_7,130,50,1239
g_9_7,130,51,1656
g_9_7,130,52,2231
g_9_7,130,53,3020
g_9_7,130,54,3940
g_9_7,130,55,5205
g_9_7,130,56,6828
g_9_7,130,57,8946
g_9_7,130,58,11445
g_9_7,130,59,14567
g_9_7,130,60,18476
g_9_7,130,61,23112
g_9_7,130,62,28658
g_9_7,130,63,34908
g_9_7,130,64,41982
g_9_7,130,65,50547
g_9_7,130,66,59577
g_9_7,130,67,69638
g_9_7,130,68,79554
g_9_7,130,69,89823
g_9_7,130,70,99205
g_9_7,130,71,108167
g_9_7,130,72,115300
g_9_7,130,73,119877
g_9_7,130,74,122243
g_9_7,130,75,120763
g_9_7,130,76,116461
g_9_7,130,77,110545
g_9_7,130,78,101109
g_9_7,130,79,89359
g_9_7,130,80,77035
g_9_7,130,81,64615
g_9_7,130,82,52473
g_9_7,130,83,41160
g_9_7,130,84,31459
g_9_7,130,85,23187
g_9_7,130,86,16747
g_9_7,130,87,11522
g_9_7,130,88,7572
g_9_7,130,89,5016
g_9_7,130,90,3198
g_9_7,130,91,2019
g_9_7,130,92,1230
g_9_7,130,93,661
g_9_7,130,94,404
g_9_7,130,95,198
g_9_7,130,96,97
g_9_7,130,97,64
g_9_7,130,98,21
g_9_7,130,99,9
g_9_7,130,100,5
g_9_7,130,101,1
g_9_7,130,102,2
g_9_7,130,103,0
g_9_7,130,104,0
g_9_7,130,105,0
g_9_7,130,106,0
g_9_7,130,107,0
g_9_7,130,108,0
g_9_7,130,109,0
g_9_7,130,110,0
g_9_7,130,111,0
g_9_7,130,112,0
g_9_7,130,113,0
g_9_7,130,114,0
g_9_7,130,115,0
g_9_7,130,116,0
g_9_7,130,117,0
g_9_7,130,118,0
g_9_7,130,119,0
g_9_7,130,120,0
g_9_7,130,121,0
g_9_7,130,122,0
g_9_7,130,123,0
g_9_7,130,124,0
g_9_7,130,125,0
g_9_7,130,126,0
g_9_7,130,127,0
g_9_7,130,128,0
g_9_7,130,129,0
g_9_7,130,130,0
g_9_7,130,131,0
g_9_8,145,0,0
g_9_8,145,1,0
g_9_8,145,2,0
g_9_8,145,3,0
g_9_8,145,4,0
g_9_8,145,5,0
g_9_8,145,6,0
g_9_8,145,7,0
g_9_8,145,8,0
g_9_8,145,9,0
g_9_8,145,10,0
g_9_8,145,11,0
g_9_8,145,12,0
g_9_8,145,13,0
g_9_8,145,14,0
g_9_8,145,15,0
g_9_8,145,16,0
g_9_8,145,17,0
g_9_8,145,18,0
g_9_8,145,19,0
g_9_8,145,20,0
g_9_8,145,21,0
g_9_8,145,22,0
g_9_8,145,23,0
g_9_8,145,24,0
g_9_8,145,25,0
g_9_8,145,26,0
g_9_8,145,27,0
g_9_8,145,28,0
g_9_8,145,29,0
g_9_8,145,30,0
g_9_8,145,31,0
g_9_8,145,32,0
g_9_8,145,33,0
g_9_8,145,34,0
g_9_8,145,35,0
g_9_8,145,36,0
g_9_8,145,37,0
g_9_8,145,38,0
g_9_8,145,39,2
g_9_8,145,40,1
g_9_8,145,41,3
g_9_8,145,42,6
g_9_8,145,43,14
g_9_8,145,44,9
g_9_8,145,45,20
g_9_8,145,46,19
g_9_8,145,47,42
g_9_8,145,48,63
g_9_8,145,49,92
g_9_8,145,50,122
g_9_8,145,51,223
g_9_8,145,52,272
g_9_8,145,53,350
g_9_8,145,54,514
g_9_8,145,55,695
g_9_8,145,56,864
g_9_8,145,57,1229
g_9_8,145,58,1606
g_9_8,145,59,2101
g_9_8,145,60,2777
g_9_8,145,61,3711
g_9_8,145,62,4758
g_9_8,145,63,6047
g_9_8,145,64,7955
g_9_8,145,65,9656
g_9_8,145,66,12246
g_9_8,145,67,15141
g_9_8,145,68,18788
g_9_8,145,69,23138
g_9_8,145,70,27803
