observable,mode,L1,L2,w1,w2,sum_abs_weights,l2_norm,condition_number,combined_pooled,combined_batch_mean,batch_sd,batch_se,n_batches,noise_amp_l1,noise_amp_l2,noise_amp_empirical,ref_L,ref_batch_sd,withheld_L,withheld_true,signed_error,abs_error,standardized_error,status
both,shared,16,24,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,163335.876937,0.592953143402485953,0.592951772858526447,0.000594815505915167710,0.000133004790529724326,20,1.49230769230769231,1.27023270476726233,1.23146017311215532,24,0.000483016437642433481,32,0.592684645356142514,0.000268498046343438554,0.000268498046343438554,1.95220242802703364,ok
both,shared,24,32,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,970681.782861,0.592583618342198404,0.592583458051833835,0.000922043555711213778,0.000206175206878588846,20,1.92571428571428571,1.53433625881096899,1.49906394086950166,32,0.000615079537685631408,48,0.592727716312626995,-0.000144097970428590634,0.000144097970428590634,-0.883047859981288290,ok
both,shared,32,48,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,2613374.03077,0.592738318394223175,0.592739479645568941,0.000919019048372105522,0.000205498906477719539,20,1.49230769230769231,1.27023270476726233,1.25931939953014350,48,0.000729774391401414734,64,0.592725646126560646,0.0000126722676625289385,0.0000126722676625289385,0.126894674555015248,ok
both,shared,48,64,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,15530908.5257,0.592724687926152793,0.592726007534052497,0.000636447871068411100,0.000142314070384398893,20,1.92571428571428571,1.53433625881096899,1.42507230173387226,64,0.000446607424966474244,96,0.592872924315839933,-0.000148236389687139966,0.000148236389687139966,-0.940066404778384298,ok
both,shared,64,96,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,41813984.4923,0.592909177408585604,0.592912047653078068,0.000816097491397492503,0.000182484946703184308,20,1.49230769230769231,1.27023270476726233,1.15725948355527134,96,0.000705198361296051758,128,0.592692551895070086,0.000216625513515517646,0.000216625513515517646,1.37569003509088568,ok
both,shared,96,128,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,248494536.411,0.592609065231742328,0.592591530373804205,0.00117373706038113480,0.000262455585472299262,20,1.92571428571428571,1.53433625881096899,1.66673596165450043,128,0.000704212957171701124,192,0.592760921825630005,-0.000151856593887676754,0.000151856593887676754,-0.746097042685641000,ok
both,shared,128,192,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,669023751.877,0.592777751346998600,0.592847120476440345,0.00114989098189983827,0.000257123440224201865,20,1.49230769230769231,1.27023270476726233,1.26329080249443832,192,0.000910234587024075724,256,0.592777028564663633,7.22782334967446154e-7,7.22782334967446154e-7,0.00360142622888015527,ok
both,shared,192,256,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,3975912582.58,0.592784483683873484,0.592765931868472002,0.00114907590057423272,0.000256941182499077399,20,1.92571428571428571,1.53433625881096899,1.28026747357257654,256,0.000897527996526964206,,,,,,ok
M,shared,16,24,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,163335.876937,0.592397946819938780,0.592412666554372027,0.00518560242689503444,0.00115953595308251807,20,1.49230769230769231,1.27023270476726233,1.28213979603686912,24,0.00404449065766765859,32,0.592779672002587965,-0.000381725182649184615,0.000381725182649184615,-0.256126709796683352,ok
M,shared,24,32,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,970681.782861,0.592866436283801406,0.593746600719452782,0.0106786027421072744,0.00244983948479273358,19,1.92571428571428571,1.53433625881096899,1.64377241872099721,32,0.00649639975734365212,48,0.594947955790737559,-0.00208151950693615322,0.00208151950693615322,-1.38482084617470618,ok
M,shared,32,48,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,2613374.03077,0.595481687184743613,0.597266371747465710,0.00765579310781389662,0.00191394827695347416,16,1.49230769230769231,1.27023270476726233,1.23531818598107497,48,0.00619742605159961848,64,0.594670760838317936,0.000810926346425676908,0.000810926346425676908,0.543290685386585802,ok
M,shared,48,64,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,15530908.5257,0.594542459174626568,0.595728807105415879,0.00942489380392615936,0.00243349711615863245,15,1.92571428571428571,1.53433625881096899,1.48830198683159457,64,0.00633264880872097622,96,0.591867838280574210,0.00267462089405235764,0.00267462089405235764,1.21442000721618599,ok
M,shared,64,96,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,41813984.4923,0.591177888112514216,0.590684170683926441,0.00831005979304828371,0.00277001993101609457,9,1.49230769230769231,1.27023270476726233,1.13766523383045141,96,0.00730448601744539995,128,0.586579496171288572,0.00459839194122564391,0.00459839194122564391,1.68425145046987303,ok
M,shared,96,128,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,248494536.411,0.584131749252133505,0.593853558876339737,nan,nan,1,1.92571428571428571,1.53433625881096899,nan,128,0.00610497735649816013,192,0.597574924071262892,-0.0134431748191293867,0.0134431748191293867,-3.98031411766762217,ok
M,shared,128,192,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,669023751.877,0.600281490938948878,0.605487928820921282,nan,nan,1,1.49230769230769231,1.27023270476726233,nan,192,0.00955277377038051337,256,0.588875266755668703,0.0114062241832801755,0.0114062241832801755,3.03259838171557584,ok
M,shared,192,256,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,3975912582.58,0.584848568226736536,0.583181898301874187,0.0148270807558885649,0.00741354037794428244,4,1.92571428571428571,1.53433625881096899,1.48997722021581955,256,0.00995121304857325174,,,,,,ok
H,independent,32,64,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,2236962.13333,0.592864100086487807,0.592858297341882807,0.000455404571664304602,0.000101831557950555963,20,1.13333333333333333,1.06874796945875982,1.04627558572865651,64,0.000435262542561525717,128,0.592650778185861205,0.000213321900626601933,0.000213321900626601933,1.13851986514290768,ok
