observable,mode,topology,model,powers,L_min,train_max,n_train,train_sizes,pc,a4,a6,a8,condition_number,training_rmse,training_max_abs,withheld_L,withheld_true,predicted,signed_error,abs_error,withheld_batch_se,standardized_error,status
H,shared,torus_shared:wrapping_H,B,"4,6",16,96,6,16 24 32 48 64 96,0.592749668284506628,63.9782617926607618,-17186.4541459148990,nan,427028305.949,0.0000724387475880141378,0.000122524723112460200,128,0.592692551895070086,0.592749902714357349,0.0000573508192872633339,0.0000573508192872633339,0.000157466804287202634,0.364208948970994321,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",16,96,6,16 24 32 48 64 96,0.592810696886628799,-524.918772836254857,470920.533351712900,-86635176.0476434737,1.41036499423e+12,0.0000383916179758807672,0.0000678180875896872303,128,0.592692551895070086,0.592808847284444791,0.000116295389374705293,0.000116295389374705293,0.000157466804287202634,0.738539083847760846,ok
H,shared,torus_shared:wrapping_H,A,4,24,96,5,24 32 48 64 96,0.592749279759344488,39.6088306338534726,nan,nan,879838.222425,0.0000753014394535932856,0.000123178211748798226,128,0.592692551895070086,0.592749427313736982,0.0000568754186668956851,0.0000568754186668956851,0.000157466804287202634,0.361189896018725290,ok
H,shared,torus_shared:wrapping_H,B,"4,6",24,96,5,24 32 48 64 96,0.592803449601126964,-362.105727895235673,227958.234161476176,nan,3745399168.13,0.0000443387568753691815,0.0000734468350738898737,128,0.592692551895070086,0.592802152483873367,0.000109600588803281379,0.000109600588803281379,0.000157466804287202634,0.696023452685186971,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",24,96,5,24 32 48 64 96,0.592851489924996727,-1570.22083101748043,2095175.10199748908,-680212673.985414853,2.35410587166e+13,0.0000336305413029564118,0.0000603235531858565403,128,0.592692551895070086,0.592846107344384980,0.000153555449314893584,0.000153555449314893584,0.000157466804287202634,0.975160764898897953,ok
H,shared,torus_shared:wrapping_H,A,4,32,96,4,32 48 64 96,0.592789228666890274,-120.305428347565205,nan,nan,2624843.03633,0.0000548603183483170182,0.0000851120958279220609,128,0.592692551895070086,0.592788780494245199,0.0000962285991751127253,0.0000962285991751127253,0.000157466804287202634,0.611104033073548869,ok
H,shared,torus_shared:wrapping_H,B,"4,6",32,96,4,32 48 64 96,0.592844555350027420,-1200.08441019262062,1058331.69195063162,nan,27585058913.1,0.0000392134390389668062,0.0000627793715615178440,128,0.592692551895070086,0.592840325323983430,0.000147773428913344428,0.000147773428913344428,0.000157466804287202634,0.938441785125844528,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",32,96,4,32 48 64 96,0.592946188892306086,-8665.63122368732197,24254197.3298885356,-16037295298.9782029,4.08974893988e+14,0.0,0.0,128,0.592692551895070086,0.592919199104189086,0.000226647209119000294,0.000226647209119000294,0.000157466804287202634,1.43933326230219285,ok
H,shared,torus_shared:wrapping_H,A,4,48,96,3,48 64 96,0.592831507643206288,-647.663755950914189,nan,nan,13408268.9225,0.0000491953340429942695,0.0000672577485382920324,128,0.592692551895070086,0.592829094907699578,0.000136543012629492213,0.000136543012629492213,0.000157466804287202634,0.867122523045888076,ok
H,shared,torus_shared:wrapping_H,B,"4,6",48,96,3,48 64 96,0.592934380889792272,-6594.03677408814098,12665030.9207748507,nan,257443771103.,0.0,0.0,128,0.592692551895070086,0.592912695883200119,0.000220143988130032874,0.000220143988130032874,0.000157466804287202634,1.39803426586668864,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",48,96,3,48 64 96,,,,,,,,128,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,64,96,2,64 96,0.592909177408585604,-3079.14396128963182,nan,nan,41813984.4923,0.0,0.0,128,0.592692551895070086,0.592897706703459044,0.000205154808388957793,0.000205154808388957793,0.000157466804287202634,1.30284480794299561,ok
H,shared,torus_shared:wrapping_H,B,"4,6",64,96,2,64 96,,,,,,,,128,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",64,96,2,64 96,,,,,,,,128,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,96,96,1,96,,,,,,,,128,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,B,"4,6",96,96,1,96,,,,,,,,128,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",96,96,1,96,,,,,,,,128,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,16,128,7,16 24 32 48 64 96 128,0.592765866756808322,-2.86375599873377956,nan,nan,192655.019673,0.0000826240368434497816,0.000145678434144038638,192,0.592760921825630005,0.592765864649485371,4.94282385536569787e-6,4.94282385536569787e-6,0.000203534641205724293,0.0242849267627602442,ok
