observable,mode,L1,L2,L3,w1,w2,w3,sum_abs_weights,l2_norm,condition_number,combined_pooled,combined_batch_mean,batch_sd,batch_se,n_batches,noise_amp_l1,noise_amp_l2,noise_amp_empirical,ref_L,ref_batch_sd,withheld_L,withheld_true,signed_error,abs_error,standardized_error,status
either,shared,128,192,256,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,1.44895714291e+14,0.592785489665245593,0.592753800237396219,0.00128608693272540039,0.000287577780654819415,20,2.43645320197044335,1.82878637285847411,1.43292124335061841,256,0.000897527996526959544,,,,,,ok
both,shared,16,24,32,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,552738203.994,0.592528401953879575,0.592528422506006203,0.00107878882742889067,0.000241224515149828921,20,2.43645320197044335,1.82878637285847411,1.75390134337432985,32,0.000615079537685631408,48,0.592727716312626995,-0.000199314358747419674,0.000199314358747419674,-1.22141982591401262,ok
both,shared,24,32,48,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,4022565574.01,0.592759452281111805,0.592760794070942589,0.00107004428890162296,0.000239269176891945271,20,1.95925058548009368,1.49673279933677567,1.46626724849411944,48,0.000729774391401414734,64,0.592725646126560646,0.0000338061545511587981,0.0000338061545511587981,0.338520389086363887,ok
both,shared,32,48,64,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,35374949850.2,0.592722651189544575,0.592723994459917856,0.000779297662256713051,0.000174256254751268255,20,2.43645320197044335,1.82878637285847411,1.74492768971589102,64,0.000446607424966474244,96,0.592872924315839933,-0.000150273126295357951,0.000150273126295357951,-0.952982718139826794,ok
both,shared,48,64,96,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,257443771103.,0.592934380889792272,0.592937462969884840,0.000885730903753345880,0.000198055451056480501,20,1.95925058548009368,1.49673279933677567,1.25600249853885314,96,0.000705198361296051758,128,0.592692551895070086,0.000241828994722185763,0.000241828994722185763,1.53574587238786247,ok
both,shared,64,96,128,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,2.26399560959e+12,0.592564220883478391,0.592543636987246042,0.00142232046591722463,0.000318040524758008705,20,2.43645320197044335,1.82878637285847411,2.01973061050967657,128,0.000704212957171701124,192,0.592760921825630005,-0.000196700942151614458,0.000196700942151614458,-0.966424884660266205,ok
both,shared,96,128,192,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,1.64763996481e+13,0.592800795898263119,0.592882037157128342,0.00133567326147353326,0.000298665620838367129,20,1.95925058548009368,1.49673279933677567,1.46739453819304789,192,0.000910234587024075724,256,0.592777028564663633,0.0000237673335994855063,0.0000237673335994855063,0.118426107660180874,ok
both,shared,128,192,256,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,1.44895714291e+14,0.592785489665245593,0.592753800237396272,0.00128608693272539300,0.000287577780654817762,20,2.43645320197044335,1.82878637285847411,1.43292124335060273,256,0.000897527996526964206,,,,,,ok
M,shared,16,24,32,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,552738203.994,0.592936440456562488,0.593966816107706405,0.0127931521799756614,0.00293495039588689343,19,2.43645320197044335,1.82878637285847411,1.96926800348362833,32,0.00649639975734365212,48,0.594947955790737559,-0.00201151533417507127,0.00201151533417507127,-1.33824754362542799,ok
M,shared,24,32,48,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,4022565574.01,0.595838961897987084,0.597701009641369575,0.00910131666054164094,0.00227532916513541024,16,1.95925058548009368,1.49673279933677567,1.46856397878156188,48,0.00619742605159961848,64,0.594670760838317936,0.00116820105966914783,0.00116820105966914783,0.782651540641682953,ok
M,shared,32,48,64,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,35374949850.2,0.594402114759321722,0.595452713841572956,0.0113135153952283683,0.00292113711418537950,15,2.43645320197044335,1.82878637285847411,1.78653763013796314,64,0.00633264880872097622,96,0.591867838280574210,0.00253427647874751180,0.00253427647874751180,1.15069618518732620,ok
M,shared,48,64,96,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,257443771103.,0.590718247257034386,0.587822732647241943,0.0107839899526385141,0.00407596507938581727,7,1.95925058548009368,1.49673279933677567,1.47635164567129969,96,0.00730448601744539995,128,0.586579496171288572,0.00413875108574581444,0.00413875108574581444,1.51589895085002204,ok
M,shared,64,96,128,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,2.26399560959e+12,0.583078877928168571,nan,nan,nan,0,2.43645320197044335,1.82878637285847411,nan,128,0.00610497735649816013,192,0.597574924071262892,-0.0144960461430943205,0.0144960461430943205,-4.29205287367201894,ok
M,shared,96,128,192,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,1.64763996481e+13,0.602487739803267919,nan,nan,nan,0,1.95925058548009368,1.49673279933677567,nan,192,0.00955277377038051337,256,0.588875266755668703,0.0136124730475992155,0.0136124730475992155,3.61917871084879314,ok
M,shared,128,192,256,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,1.44895714291e+14,0.582542499315716300,0.566367561645625790,nan,nan,1,2.43645320197044335,1.82878637285847411,nan,256,0.00995121304857325174,,,,,,ok
H,independent,32,64,128,0.00105820105820105820105820,-0.0846560846560846560846561,1.08359788359788359788360,1.16931216931216931,1.08690024647922048,58862024742.9,0.592633922632211763,0.592626555461988153,0.000897438332177829781,0.000200673311636366427,20,1.16931216931216931,1.08690024647922048,1.07101310756616025,128,0.000837934032588291038,256,0.592801130743031646,-0.000167208110819882919,0.000167208110819882919,-0.909516175726918558,ok
H,independent,64,128,256,0.00105820105820105820105820,-0.0846560846560846560846561,1.08359788359788359788360,1.16931216931216931,1.08690024647922048,3.76716781755e+12,0.592813910359412980,0.592829952334196622,0.000875447281210212469,0.000195755963150340944,20,1.16931216931216931,1.08690024647922048,1.06480011111438469,256,0.000822170538932418221,,,,,,ok
V,independent,32,64,128,0.00105820105820105820105820,-0.0846560846560846560846561,1.08359788359788359788360,1.16931216931216931,1.08690024647922048,58862024742.9,0.592822153106454026,0.592821712861324631,0.000572904351099817168,0.000128105307366459759,20,1.16931216931216931,1.08690024647922048,1.06711265465956534,128,0.000536873355027907024,256,0.592725114517967500,0.0000970385884865259386,0.0000970385884865259386,0.626768420171537750,ok
V,independent,64,128,256,0.00105820105820105820105820,-0.0846560846560846560846561,1.08359788359788359788360,1.16931216931216931,1.08690024647922048,3.76716781755e+12,0.592717447410610526,0.592740701742785905,0.000731487679963022873,0.000163565617710093000,20,1.16931216931216931,1.08690024647922048,1.05646388107522331,256,0.000692392511534370967,,,,,,ok
either,independent,32,64,128,0.00105820105820105820105820,-0.0846560846560846560846561,1.08359788359788359788360,1.16931216931216931,1.08690024647922048,58862024742.9,0.592692404242231384,0.592698244604758094,0.000692590296973573253,0.000154867898458967666,20,1.16931216931216931,1.08690024647922048,1.08011824900193114,128,0.000641217105269309244,256,0.592873235774904916,-0.000180831532673532196,0.000180831532673532196,-1.01975160384773070,ok
either,independent,64,128,256,0.00105820105820105820105820,-0.0846560846560846560846561,1.08359788359788359788360,1.16931216931216931,1.08690024647922048,3.76716781755e+12,0.592887941915898107,0.592887209559717771,0.000838232466551876860,0.000187434477615731541,20,1.16931216931216931,1.08690024647922048,1.05698716556296671,256,0.000793039399021862367,,,,,,ok
both,independent,32,64,128,0.00105820105820105820105820,-0.0846560846560846560846561,1.08359788359788359788360,1.16931216931216931,1.08690024647922048,58862024742.9,0.592764278144505661,0.592768493948080200,0.000642087669748279742,0.000143575167707158878,20,1.16931216931216931,1.08690024647922048,1.10272465646280276,128,0.000582273794265104221,256,0.592651561041179109,0.000112717103326551747,0.000112717103326551747,0.647941087596428164,ok
