n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_black_axis_pairs,sum_white_matching_axis_pairs,sum_even_numerator_squared,sum_i0_even_numerator,sum_i2_even_numerator
130,11,3,first,68,200,14651,16453,65,84,51,15430,8275,2833833,7342,6403
130,9,7,second,68,200,14636,16485,78,70,52,15406,8316,2841178,8688,6568
130,11,3,first,69,200,14433,16452,53,86,61,15863,7956,2863655,5844,7713
130,9,7,second,69,200,14564,16290,59,84,57,15745,8044,2861611,6424,7199
130,11,3,first,70,200,14673,16567,64,85,51,15830,7983,2862955,7104,6433
130,9,7,second,70,200,14614,16203,62,73,65,15619,7937,2803240,6797,8156
130,11,3,first,71,200,14633,16316,57,83,60,15975,7947,2890084,6284,7687
130,9,7,second,71,200,14663,16421,59,76,65,15986,7899,2881189,6654,8155
130,11,3,first,72,200,14486,16325,57,79,64,15928,7933,2871431,6333,7964
130,9,7,second,72,200,14618,16231,61,66,73,15974,7899,2875743,6954,9096
130,11,3,first,73,200,14504,16244,66,71,63,15888,8003,2880349,7465,7963
130,9,7,second,73,200,14513,16332,62,74,64,15901,8028,2888971,6925,8111
130,11,3,first,74,200,14698,16484,63,85,52,16005,7783,2856516,7015,6475
130,9,7,second,74,200,14708,16366,57,71,72,16167,7851,2914714,6265,9154
130,11,3,first,75,200,14635,16310,63,59,78,16478,7680,2946756,7160,9890
130,9,7,second,75,200,14598,16409,58,79,63,16486,7740,2961794,6594,8039
130,11,3,first,76,200,14755,16276,68,66,66,15676,8018,2835614,7467,8316
130,9,7,second,76,200,14549,16220,64,71,65,15688,7941,2816645,7057,8061
130,11,3,first,77,200,14538,16237,61,80,59,15609,8086,2832983,6856,7431
130,9,7,second,77,200,14606,16434,61,79,60,15699,8151,2871112,6814,7595
130,11,3,first,78,200,14689,16479,64,78,58,16142,7772,2886648,7176,7294
130,9,7,second,78,200,14479,16428,53,88,59,16339,7727,2925636,5881,7524
130,11,3,first,79,200,14588,16262,66,72,62,16131,7769,2884624,7302,7862
130,9,7,second,79,200,14670,16362,66,70,64,15936,7737,2833477,7163,8042
130,11,3,first,80,200,14679,16282,54,73,73,16364,7559,2887439,6104,9151
130,9,7,second,80,200,14892,16429,67,74,59,16396,7572,2898402,7545,7432
130,11,3,first,81,200,14535,16171,64,60,76,15928,7954,2881094,7152,9653
130,9,7,second,81,200,14620,16442,70,70,60,15884,7990,2879754,7850,7606
