n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_black_axis_pairs,sum_white_matching_axis_pairs,sum_even_numerator_squared,sum_i0_even_numerator,sum_i2_even_numerator
65,8,1,first,39,200,7116,8223,56,84,60,7970,3989,725181,3077,3772
65,7,4,second,39,200,7326,8412,70,70,60,7949,4038,730673,3855,3894
65,8,1,first,40,200,7316,8395,73,72,55,7816,3932,703644,3911,3488
65,7,4,second,40,200,7176,8382,64,79,57,8009,3982,731007,3547,3632
65,8,1,first,41,200,7224,8256,55,66,79,8274,3933,756937,3054,5148
65,7,4,second,41,200,7262,8342,61,73,66,8325,3920,761755,3428,4319
65,8,1,first,42,200,7204,8288,61,72,67,8157,3954,744859,3386,4328
65,7,4,second,42,200,7229,8425,63,78,59,8147,3965,744810,3565,3870
65,8,1,first,43,200,7248,8345,60,73,67,8134,3905,736495,3307,4359
65,7,4,second,43,200,7336,8445,70,76,54,8036,3964,734184,3846,3528
65,8,1,first,44,200,7126,8288,48,74,78,8308,3767,744575,2509,5084
65,7,4,second,44,200,7317,8378,64,72,64,8307,3792,748045,3401,4271
65,8,1,first,45,200,7284,8387,62,78,60,8358,3895,764157,3429,4042
65,7,4,second,45,200,7214,8342,59,77,64,8445,3834,766517,3224,4253
65,8,1,first,46,200,7220,8413,62,80,58,8174,3960,747942,3461,3812
65,7,4,second,46,200,7215,8323,62,71,67,8194,3953,751087,3463,4331
65,8,1,first,47,200,7365,8481,73,79,48,8005,4050,736647,4163,3073
65,7,4,second,47,200,7234,8414,64,82,54,7964,4111,739723,3584,3490
65,8,1,first,48,200,7280,8413,67,72,61,7955,3888,713609,3617,3884
65,7,4,second,48,200,7330,8448,67,77,56,8067,3973,735544,3709,3642
65,8,1,first,49,200,7214,8390,59,82,59,7990,3999,732175,3204,3830
65,7,4,second,49,200,7222,8335,64,72,64,7908,3997,723029,3381,4161
65,8,1,first,50,200,7206,8398,57,78,65,8255,3889,748414,3132,4261
65,7,4,second,50,200,7166,8333,43,96,61,8227,3945,751202,2411,3855
65,8,1,first,51,200,7218,8289,57,68,75,8332,3925,761829,3282,4903
65,7,4,second,51,200,7244,8335,64,61,75,8234,3974,757892,3567,4931
65,8,1,first,52,200,7271,8308,64,78,58,8068,3912,729814,3563,3833
65,7,4,second,52,200,7335,8411,68,75,57,8081,3939,735878,3697,3789
65,8,1,first,53,200,7299,8329,71,72,57,7898,4117,735577,3806,3751
65,7,4,second,53,200,7187,8409,67,76,57,7889,4138,735471,3724,3653
65,8,1,first,54,200,7083,8417,44,89,67,8350,3857,755877,2467,4362
65,7,4,second,54,200,7202,8393,58,79,63,8299,3833,748016,3224,4162
65,8,1,first,55,200,7286,8361,73,61,66,7948,4101,739915,4017,4259
65,7,4,second,55,200,7195,8344,58,84,58,7959,4193,752208,3226,3852
65,8,1,first,56,200,7300,8346,57,71,72,8115,3925,736684,3117,4625
65,7,4,second,56,200,7295,8359,68,71,61,8140,3914,738652,3722,3994
65,8,1,first,57,200,7305,8442,57,87,56,8034,3981,735881,3108,3707
65,7,4,second,57,200,7215,8436,55,83,62,8127,3895,737582,2840,3978
65,8,1,first,58,200,7258,8288,61,72,67,8144,3990,748716,3406,4378
65,7,4,second,58,200,7331,8363,61,84,55,8085,4021,747244,3305,3648
65,8,1,first,59,200,7221,8340,67,75,58,7992,4053,736971,3694,3715
65,7,4,second,59,200,7260,8371,63,67,70,7851,3983,712014,3388,4419
65,8,1,first,60,200,7246,8261,61,73,66,7918,4080,731618,3403,4240
65,7,4,second,60,200,7397,8438,74,72,54,7920,4105,736037,4088,3521
65,8,1,first,61,200,7309,8438,64,79,57,8075,3964,738071,3457,3715
65,7,4,second,61,200,7261,8334,68,67,65,8075,3972,738669,3766,4241
65,8,1,first,62,200,7213,8328,60,71,69,8072,4004,741312,3321,4547
65,7,4,second,62,200,7303,8411,73,60,67,8022,4008,738816,3967,4380
65,8,1,first,63,200,7269,8393,70,69,61,7912,4094,733508,3963,3894
65,7,4,second,63,200,7239,8322,74,63,63,7918,4123,737527,4110,4037
65,8,1,first,64,200,7195,8333,62,78,60,8052,4087,751167,3422,3944
65,7,4,second,64,200,7282,8376,73,65,62,7880,4129,734215,4020,4085
65,8,1,first,65,200,7163,8280,52,72,76,8354,3847,756693,2861,4894
65,7,4,second,65,200,7315,8397,61,73,66,8149,3853,736152,3195,4388
65,8,1,first,66,200,7153,8396,47,94,59,8283,3839,747836,2608,3825
65,7,4,second,66,200,7154,8323,51,85,64,8360,3895,762015,2854,4190
65,8,1,first,67,200,7231,8385,59,82,59,7931,3975,721476,3186,3817
65,7,4,second,67,200,7230,8313,57,75,68,8059,3954,735143,3072,4425
65,8,1,first,68,200,7223,8356,51,89,60,8409,3714,747515,2762,3937
65,7,4,second,68,200,7300,8388,59,69,72,8413,3788,755945,3334,4700
65,8,1,first,69,200,7326,8368,57,75,68,8413,3817,759582,3224,4488
65,7,4,second,69,200,7213,8447,56,86,58,8417,3827,760822,3130,3792
65,8,1,first,70,200,7080,8342,68,75,57,7652,4135,707221,3643,3647
65,7,4,second,70,200,7156,8327,69,68,63,7740,4199,724261,3905,4026
65,8,1,first,71,200,7267,8390,64,70,66,8130,3968,744052,3591,4267
65,7,4,second,71,200,7328,8421,64,78,58,8088,3940,735234,3596,3748
65,8,1,first,72,200,7299,8261,60,77,63,8167,3966,745401,3376,4050
65,7,4,second,72,200,7218,8381,59,74,67,8255,3928,752721,3360,4355
65,8,1,first,73,200,7209,8319,55,83,62,8081,4074,751445,3007,4014
65,7,4,second,73,200,7273,8355,59,76,65,8092,3987,741735,3244,4240
65,8,1,first,74,200,7359,8418,70,72,58,8068,3969,736489,3850,3751
65,7,4,second,74,200,7262,8303,59,73,68,8124,3962,741958,3277,4411
65,8,1,first,75,200,7102,8342,59,86,55,8142,3985,746277,3271,3576
65,7,4,second,75,200,7225,8354,70,75,55,8131,4041,751526,3979,3612
65,8,1,first,76,200,7325,8418,65,74,61,8098,3999,744393,3575,3940
65,7,4,second,76,200,7279,8345,65,72,63,8092,4058,752326,3607,4135
65,8,1,first,77,200,7206,8316,59,79,62,8230,3924,751344,3318,4099
65,7,4,second,77,200,7286,8369,61,81,58,8138,3842,731586,3287,3806
65,8,1,first,78,200,7217,8335,55,79,66,8189,3895,742654,2969,4339
65,7,4,second,78,200,7238,8353,58,82,60,8275,3943,758538,3270,3924
65,8,1,first,79,200,7249,8279,56,79,65,8117,3883,730150,3123,4116
65,7,4,second,79,200,7292,8352,69,73,58,8045,3954,734047,3731,3781
65,8,1,first,80,200,7277,8406,70,74,56,7966,4108,741384,3865,3661
65,7,4,second,80,200,7277,8330,68,71,61,8050,4044,743766,3747,3940
65,8,1,first,81,200,7271,8287,66,73,61,7946,4063,733527,3654,3908
65,7,4,second,81,200,7214,8264,63,70,67,8065,4087,750248,3592,4353
65,8,1,first,82,200,7149,8314,60,83,57,7837,4178,730809,3430,3595
65,7,4,second,82,200,7254,8456,70,83,47,7696,4196,717352,3916,2997
65,8,1,first,83,200,7083,8235,51,76,73,8261,3935,756614,2761,4847
65,7,4,second,83,200,7244,8356,60,76,64,8298,3847,750059,3226,4213
65,8,1,first,84,200,7194,8358,61,67,72,8365,3986,775673,3451,4801
65,7,4,second,84,200,7264,8300,61,64,75,8252,3958,758432,3361,4970
65,8,1,first,85,200,7185,8390,57,86,57,7838,4076,721774,3074,3644
65,7,4,second,85,200,7354,8358,72,75,53,7969,4029,730852,4011,3481
65,8,1,first,86,200,7259,8363,65,83,52,8224,3961,754523,3607,3433
65,7,4,second,86,200,7182,8331,58,74,68,8143,3910,738881,3185,4434
65,8,1,first,87,200,7233,8325,60,70,70,8401,3835,761478,3337,4565
65,7,4,second,87,200,7289,8355,56,80,64,8347,3842,755805,3090,4222
65,8,1,first,88,200,7268,8366,69,73,58,7906,4144,739746,3825,3725
65,7,4,second,88,200,7201,8349,65,86,49,7923,4201,747190,3526,3218
65,8,1,first,89,200,7214,8351,66,80,54,7897,4132,736967,3685,3524
65,7,4,second,89,200,7235,8434,60,89,51,7727,4131,715714,3228,3312
65,8,1,first,90,200,7103,8265,55,85,60,7924,4098,735340,2991,3891
65,7,4,second,90,200,7230,8381,63,74,63,7916,4087,732669,3470,4104
65,8,1,first,91,200,7171,8357,53,83,64,8231,3870,741895,2936,4064
65,7,4,second,91,200,7282,8423,63,80,57,8209,3867,739362,3562,3684
65,8,1,first,92,200,7242,8246,54,70,76,8281,3744,735505,2836,4920
65,7,4,second,92,200,7334,8275,64,67,69,8229,3830,740157,3492,4512
65,8,1,first,93,200,7210,8307,60,78,62,8125,4000,743821,3368,3952
65,7,4,second,93,200,7232,8360,60,71,69,8181,4048,758749,3426,4476
65,8,1,first,94,200,7263,8271,64,68,68,8295,3935,761038,3542,4529
65,7,4,second,94,200,7322,8426,68,66,66,8148,3924,741420,3759,4302
65,8,1,first,95,200,7151,8383,66,71,63,8022,4022,736786,3634,4080
65,7,4,second,95,200,7280,8287,54,78,68,8094,4010,746234,2972,4388
65,8,1,first,96,200,7265,8363,65,73,62,8205,3951,749526,3640,3999
65,7,4,second,96,200,7215,8388,62,81,57,8094,4000,742996,3500,3626
65,8,1,first,97,200,7305,8430,68,76,56,8050,4069,745303,3823,3646
65,7,4,second,97,200,7183,8321,60,73,67,7961,3998,726973,3293,4256
65,8,1,first,98,200,7179,8235,51,81,68,8156,3905,739685,2746,4373
65,7,4,second,98,200,7130,8326,50,79,71,8199,3950,748753,2820,4559
65,8,1,first,99,200,7295,8384,60,81,59,8053,4069,748356,3273,3841
65,7,4,second,99,200,7173,8428,68,75,57,7963,4065,736418,3714,3755
