N,batch,samples,a1,b1,a2,b2,delta_cos4,delta_M,mean_M_prime,root_gap_jackknife_pseudovalue,A_M,B,A_p_jackknife_pseudovalue
145,62,100000,12,1,9,8,1.9177170035671818,-0.0006184248636543432,11.28464227190334,5.4648204355967935e-05,-1.0488790877347305,1.7457208360631555,-0.5991387125665513
170,62,100000,13,1,11,7,1.5944636678200692,0.003242749363244446,11.984573253687849,-0.0002706529316955841,8.566003594619092,1.7466433261031458,4.905643122427708
65,63,100000,8,1,7,4,1.3633136094674556,0.0028450208094861124,8.38390059316074,-0.00033965585214873126,1.8427816616105939,1.752280433635705,1.0526161885004246
85,63,100000,9,2,7,6,1.5944636678200692,0.004133352757411845,9.250579124458834,-0.00044659024715377766,3.5399212277534366,1.7483840064499514,2.0236362864871236
130,63,100000,11,3,9,7,1.3633136094674556,0.00397662915818639,10.844350822007023,-0.00036678813550997504,7.944695747102537,1.7477318540766698,4.546803792665103
145,63,100000,12,1,9,8,1.9177170035671818,0.006268085068640736,11.284498856258512,-0.0005550997079638315,10.630981603472936,1.7456986498322267,6.085867382012133
170,63,100000,13,1,11,7,1.5944636678200692,-0.0006123030983899645,11.991363643799474,5.1163841870991225e-05,-1.617451722064979,1.7476329641419017,-0.9273557371760109
65,64,100000,8,1,7,4,1.3633136094674556,-0.002591299045127773,8.382417298051083,0.0003092456786318188,-1.678440573857536,1.7519704169592094,-0.9583730281470678
85,64,100000,9,2,7,6,1.5944636678200692,-0.0016677903164715416,9.253453517467237,0.00018017240826629678,-1.4283432097907862,1.7489272743574553,-0.8164159999354044
130,64,100000,11,3,9,7,1.3633136094674556,0.001301395446020262,10.850441870278766,-0.00012000353267926922,2.599988697465356,1.7487135190249894,1.4875958753700556
145,64,100000,12,1,9,8,1.9177170035671818,0.0031744790028597147,11.299952258355155,-0.0002810796798822686,5.384073047899957,1.7480892728912616,3.0816331390564673
170,64,100000,13,1,11,7,1.5944636678200692,-0.0007546138948642987,11.987326063510444,6.300356801274519e-05,-1.9933780295279089,1.747044523275785,-1.1419533428803148
65,65,100000,8,1,7,4,1.3633136094674556,0.003993611229984655,8.3838692295412,-0.0004765485982975697,2.5867485797220398,1.7522738784700944,1.4768559587648533
85,65,100000,9,2,7,6,1.5944636678200692,5.955893359461624e-05,9.263455726656163,-6.459781403104006e-06,0.051007969972046575,1.750817718440988,0.029271234948385943
130,65,100000,11,3,9,7,1.3633136094674556,0.00036276775067696764,10.8436324935408,-3.345399786988928e-05,0.7247543814982437,1.7476160845333644,0.4147047018931891
145,65,100000,12,1,9,8,1.9177170035671818,-0.0013750138400277293,11.302325245228,0.00012182941037598184,-2.332091328975118,1.7484563711587844,-1.3356837053592328
170,65,100000,13,1,11,7,1.5944636678200692,-0.002026247518535355,11.978677176829407,0.00016907412426780694,-5.35250849914467,1.7457840261450253,-3.0645051937872188
65,66,100000,8,1,7,4,1.3633136094674556,-0.001994338148313205,8.377266019325225,0.00023814654568097247,-1.2917760581954514,1.7508937719275535,-0.7380320628465987
85,66,100000,9,2,7,6,1.5944636678200692,-0.0005224250641493824,9.263254396038263,5.648868134532602e-05,-0.44741972994602114,1.7507796664198543,-0.25596740205311275
130,66,100000,11,3,9,7,1.3633136094674556,-1.2858474052322771e-05,10.85600047139535,1.236132206830498e-06,-0.025689260942880415,1.7496093720267056,-0.015323425329551152
145,66,100000,12,1,9,8,1.9177170035671818,0.0021482433050607304,11.2829945557168,-0.000190346792764382,3.6435266601825234,1.745465936314501,2.0868779441527914
170,66,100000,13,1,11,7,1.5944636678200692,-0.0002881452320734673,11.975583778949272,2.4029364761801557e-05,-0.7611606131792217,1.7453331913386494,-0.43553745101354774
65,67,100000,8,1,7,4,1.3633136094674556,0.0026994333557460335,8.373648483099872,-0.00032221193636426324,1.7484815113205656,1.7501376873491146,0.9985563275281816
85,67,100000,9,2,7,6,1.5944636678200692,0.001322935030551795,9.263538483761915,-0.00014273948019618166,1.1329993040616542,1.7508333597536205,0.646796013751372
130,67,100000,11,3,9,7,1.3633136094674556,0.0022209874635410703,10.850722897620564,-0.0002048279115263365,4.437192645846346,1.7487588108497547,2.539101554298479
145,67,100000,12,1,9,8,1.9177170035671818,0.00015309909199279852,11.3035490511486,-1.3576471641365238e-05,0.2596636153881688,1.7486456924897944,0.14884642297520537
170,67,100000,13,1,11,7,1.5944636678200692,0.0011851407806953694,11.968960968778623,-9.898154055029262e-05,3.1306521258272575,1.7443679765629752,1.7940619028430969
65,68,100000,8,1,7,4,1.3633136094674556,0.004462014208112224,8.385244690945045,-0.0005325918837079304,2.8901433441677815,1.752561357320589,1.6505378462003255
85,68,100000,9,2,7,6,1.5944636678200692,0.001053609848186318,9.263870149069955,-0.00011379616960404109,0.9023415339222637,1.7508960453771116,0.5156450673556378
130,68,100000,11,3,9,7,1.3633136094674556,0.0004536202702456069,10.840857280417282,-4.184143544508877e-05,0.9062637949029639,1.7471688167847055,0.5186776205499914
145,68,100000,12,1,9,8,1.9177170035671818,0.0015992580149456527,11.322919026571322,-0.0001413928938181633,2.7124205159807726,1.7516422048182063,1.5501690744761343
170,68,100000,13,1,11,7,1.5944636678200692,-0.0006575133161643848,11.99129721090545,5.491741330764053e-05,-1.7368784321150343,1.7476232821475144,-0.9953900340424142
65,69,100000,8,1,7,4,1.3633136094674556,-0.0014307346672076979,8.371061247974978,0.0001704860056699186,-0.9267178639150658,1.7495969412565064,-0.528347526903054
85,69,100000,9,2,7,6,1.5944636678200692,0.004290170199217174,9.245197561621296,-0.000463437989287537,3.674224158983596,1.7473668767904713,2.0999785320792306
130,69,100000,11,3,9,7,1.3633136094674556,0.003103365511159908,10.835075790402426,-0.0002862734636810663,6.200048784398414,1.7462370418514856,3.5487223941818287
145,69,100000,12,1,9,8,1.9177170035671818,-0.0012118507748406955,11.289171512051094,0.00010732574762171727,-2.0553587183971693,1.7464215041664906,-1.1766719696124104
170,69,100000,13,1,11,7,1.5944636678200692,-0.0007809560929077453,11.962163293715472,6.511303553809016e-05,-2.0629632295708027,1.7433772768083202,-1.1801878995609434
65,70,100000,8,1,7,4,1.3633136094674556,-0.002053964464040116,8.371051525505388,0.00024493210989790133,-1.3303973156585212,1.7495949092079341,-0.7590609799038585
85,70,100000,9,2,7,6,1.5944636678200692,0.0013841608419167867,9.264392506147136,-0.00014932972617460582,1.1854348357129796,1.7509947722510848,0.6766584233848336
130,70,100000,11,3,9,7,1.3633136094674556,0.0012280948107887151,10.846176545409575,-0.0001132523323538739,2.453545259614194,1.748026097134622,1.403906191128035
145,70,100000,12,1,9,8,1.9177170035671818,0.0016433609336685266,11.284589771901098,-0.0001455515993236678,2.78722124259312,1.7457127143747937,1.5957632800291899
170,70,100000,13,1,11,7,1.5944636678200692,-1.4816599093964933e-05,11.993132320371943,1.2394934198675656e-06,-0.039139331129788006,1.747890732780463,-0.022466087222386924
65,71,100000,8,1,7,4,1.3633136094674556,0.000853169042924676,8.379753681929515,-0.00010178006836000612,0.5526160867833642,1.7514137068264166,0.3154232348557004
85,71,100000,9,2,7,6,1.5944636678200692,0.0022407402262482677,9.257652073239482,-0.00024210423197439275,1.9190338590273233,1.7497208125417807,1.0970479361291916
130,71,100000,11,3,9,7,1.3633136094674556,0.0008049249332039363,10.855745117688299,-7.419471483252789e-05,1.6081166835477823,1.7495682178981464,0.919737521845412
145,71,100000,12,1,9,8,1.9177170035671818,0.0038586757603511763,11.28416659053814,-0.00034177733581683325,6.5445045133945525,1.7456472487175803,3.7470953598379473
170,71,100000,13,1,11,7,1.5944636678200692,-6.075552300480374e-05,11.967298687754415,5.002237104555218e-06,-0.16049098161919226,1.7441257141147775,-0.09066663307499054
65,72,100000,8,1,7,4,1.3633136094674556,0.0034327420245795727,8.382728623250419,-0.00040967813024211583,2.223461435095045,1.7520354856046725,1.2696199086203417
85,72,100000,9,2,7,6,1.5944636678200692,9.442688239181144e-05,9.254245612911097,-1.038435844077229e-05,0.08086987611932119,1.7490769824986423,0.047054687572251654
130,72,100000,11,3,9,7,1.3633136094674556,-0.002717209646769292,10.8495860153746,0.0002506599150149044,-5.4285685352966855,1.7485755850072662,-3.107247323238145
145,72,100000,12,1,9,8,1.9177170035671818,-0.0015913437289353652,11.287408654673841,0.0001408341152355965,-2.6989974963410224,1.7461487922115764,-1.5440428735420997
170,72,100000,13,1,11,7,1.5944636678200692,0.00010411423594087297,11.953140372817979,-8.801250445357282e-06,0.27502678111028245,1.7420622675681945,0.15952457431568698
65,73,100000,8,1,7,4,1.3633136094674556,0.0011944950002090642,8.376439267614211,-0.0001425598968505127,0.7737003096537635,1.7507209763617442,0.44180264908284433
85,73,100000,9,2,7,6,1.5944636678200692,-0.002255574221008275,9.254216701470876,0.00024359184160179653,-1.9317381153599507,1.7490715181597065,-1.1037887479613524
130,73,100000,11,3,9,7,1.3633136094674556,0.00032084222478642965,10.839168488620574,-2.9607554933240056e-05,0.640993604722794,1.7468966423349432,0.367023166861228
145,73,100000,12,1,9,8,1.9177170035671818,0.002017915778442972,11.27663853048818,-0.0001787461140307688,3.422484743436493,1.7444826667159805,1.95969323967318
170,73,100000,13,1,11,7,1.5944636678200692,0.004260215251265879,11.994250883145975,-0.0003555500842622435,11.253727953764049,1.7480537532036964,6.444422436559644
65,74,100000,8,1,7,4,1.3633136094674556,-0.00046267841664484943,8.363870474464223,5.49994824641277e-05,-0.29968684185834116,1.7480940308169572,-0.17044707233701728
85,74,100000,9,2,7,6,1.5944636678200692,-0.0017981955097543748,9.257478043348033,0.00019416113589095646,-1.5400259378336363,1.7496879204304048,-0.8798031809216892
130,74,100000,11,3,9,7,1.3633136094674556,-0.0010156180822736094,10.83753066056493,9.367082987637998e-05,-2.0290493123576763,1.7466326814661617,-1.1611686510847608
145,74,100000,12,1,9,8,1.9177170035671818,-0.0008750346229131761,11.311552129705928,7.757830716202067e-05,-1.4841019030089742,1.7498837592936454,-0.8505342055410023
170,74,100000,13,1,11,7,1.5944636678200692,0.00010126215355527403,11.973190885544021,-8.445868592939915e-06,0.2674927582085721,1.7449844487336452,0.15308320111782436
65,75,100000,8,1,7,4,1.3633136094674556,0.00034704085931136475,8.36519716933426,-4.145184876465022e-05,0.22478588881888695,1.7483713171989153,0.12846204997473684
85,75,100000,9,2,7,6,1.5944636678200692,0.005103649502347301,9.24633711069503,-0.0005514144197689879,4.370911043093517,1.7475822545898798,2.4986265057251322
130,75,100000,11,3,9,7,1.3633136094674556,0.0009984359192939708,10.840438725984198,-9.210112198180034e-05,1.9947219834265033,1.7471013603802263,1.1417101323447048
145,75,100000,12,1,9,8,1.9177170035671818,0.0015774106301462219,11.294271224503232,-0.00013963472355220732,2.675366273202745,1.747210423661776,1.530893274254848
170,75,100000,13,1,11,7,1.5944636678200692,0.0007701159338085431,11.974910460309335,-6.432791985065689e-05,2.034328009450953,1.745235061227223,1.165957507345207
65,76,100000,8,1,7,4,1.3633136094674556,0.0005331519474674869,8.391903898531494,-6.342339477678413e-05,0.34533407571894786,1.7539531676155211,0.1965533396505785
85,76,100000,9,2,7,6,1.5944636678200692,0.0006224674058575607,9.253546518245958,-6.72865835242599e-05,0.5330988456353131,1.7489448517514665,0.30489598212509283
130,76,100000,11,3,9,7,1.3633136094674556,-0.001698809592155568,10.834074208996615,0.00015665168687028358,-3.393961268465541,1.7460756217945252,-1.9418961930130945
145,76,100000,12,1,9,8,1.9177170035671818,-0.0013914996294931113,11.308212553450693,0.00012327919479023473,-2.360052041474384,1.7493671307898866,-1.3515784996656748
170,76,100000,13,1,11,7,1.5944636678200692,0.00032731537930256603,11.981228817246677,-2.7337610389833837e-05,0.8646319531999354,1.7461559046934805,0.4955001209568819
65,77,100000,8,1,7,4,1.3633136094674556,-0.0023748579959178375,8.380360074318869,0.000283390934890276,-1.5382470135946609,1.751540446105725,-0.8782474491537731
85,77,100000,9,2,7,6,1.5944636678200692,-5.686464531549701e-05,9.236399968052162,5.8815240460280416e-06,-0.0487005046206224,1.7457041082562448,-0.02665097492666602
130,77,100000,11,3,9,7,1.3633136094674556,-0.003126598967161853,10.839415215794618,0.00028837391226682694,-6.2464656695910294,1.7469364061666766,-3.5747601164291862
145,77,100000,12,1,9,8,1.9177170035671818,-0.0018457764646040505,11.288111899209246,0.0001634648402944099,-3.1305279721712824,1.7462575833109062,-1.7921561214699673
170,77,100000,13,1,11,7,1.5944636678200692,0.0012732251551475044,11.985311559063392,-0.00010620188648729784,3.3633346380001496,1.7467509274444304,1.9249322398666673
65,78,100000,8,1,7,4,1.3633136094674556,-0.0009862668315248689,8.378232505701815,0.00011773836015818023,-0.6388264101720572,1.751095772791979,-0.3648790477948986
85,78,100000,9,2,7,6,1.5944636678200692,0.0012520164509391494,9.265450398561184,-0.00013516327255479275,1.0722626091442522,1.751194716725088,0.6124659118407576
