n,a,b,radius,batch,counter_first,counter_last_exclusive,samples,sum_score_t,sum_score_lambda,sum_global_twice,global_twice_score_t,global_twice_score_lambda,black_pivotal,white_pivotal,black_h4,white_h4,h4_plus,h4_minus,h4_plus_score_t,h4_plus_score_lambda,h4_minus_score_t,h4_minus_score_lambda
130,11,3,4,41,8200,8400,200,-456,-528,-6,2188,900,13,13,1,-1,0,2,16,32,64,-168
170,13,1,1,41,8200,8400,200,-784,-304,-20,2144,1232,9,9,-2,-4,-6,2,20,-52,-68,-28
170,13,1,2,41,8200,8400,200,-784,-304,-20,2144,1232,9,9,-3,-3,-6,0,-36,-84,-100,-60
170,13,1,4,41,8200,8400,200,-784,-304,-20,2144,1232,9,9,-2,1,-1,-3,-80,-68,16,-44
130,11,3,1,42,8400,8600,200,-120,-224,-18,2240,1096,7,18,1,0,1,1,64,-28,80,4
130,11,3,2,42,8400,8600,200,-120,-224,-18,2240,1096,7,18,-1,-2,-3,1,8,60,112,-28
130,11,3,4,42,8400,8600,200,-120,-224,-18,2240,1096,7,18,2,7,9,-5,0,28,0,-76
170,13,1,1,42,8400,8600,200,92,-20,15,2084,1256,8,8,-2,3,1,-5,-56,36,-8,-36
170,13,1,2,42,8400,8600,200,92,-20,15,2084,1256,8,8,-4,-3,-7,-1,32,172,-152,-20
170,13,1,4,42,8400,8600,200,92,-20,15,2084,1256,8,8,0,-3,-3,3,52,32,-44,-56
130,11,3,1,43,8600,8800,200,620,308,3,2292,1056,13,12,-1,-3,-4,2,8,112,-136,-40
130,11,3,2,43,8600,8800,200,620,308,3,2292,1056,13,12,0,-4,-4,4,100,100,-44,-60
130,11,3,4,43,8600,8800,200,620,308,3,2292,1056,13,12,4,0,4,4,4,76,68,-84
170,13,1,1,43,8600,8800,200,420,396,-3,2172,2024,5,8,0,-3,-3,3,116,-56,52,-64
170,13,1,2,43,8600,8800,200,420,396,-3,2172,2024,5,8,-3,-4,-7,1,76,-72,28,-72
170,13,1,4,43,8600,8800,200,420,396,-3,2172,2024,5,8,-2,-1,-3,-1,-48,-116,-24,44
130,11,3,1,44,8800,9000,200,-8,40,0,1676,1292,13,15,3,1,4,2,20,68,-20,4
130,11,3,2,44,8800,9000,200,-8,40,0,1676,1292,13,15,-3,-4,-7,1,8,-36,-104,-20
130,11,3,4,44,8800,9000,200,-8,40,0,1676,1292,13,15,2,-4,-2,6,-56,120,136,-40
170,13,1,1,44,8800,9000,200,56,48,8,1924,1332,12,11,0,-1,-1,1,24,36,104,-84
170,13,1,2,44,8800,9000,200,56,48,8,1924,1332,12,11,-4,-3,-7,-1,12,-48,28,-72
170,13,1,4,44,8800,9000,200,56,48,8,1924,1332,12,11,4,2,6,2,128,-104,240,-72
130,11,3,1,45,9000,9200,200,-356,292,19,1784,1228,22,8,0,-1,-1,1,-12,24,36,-16
130,11,3,2,45,9000,9200,200,-356,292,19,1784,1228,22,8,-9,-5,-14,-4,-16,72,-56,40
130,11,3,4,45,9000,9200,200,-356,292,19,1784,1228,22,8,2,1,3,1,-52,40,36,-24
170,13,1,1,45,9000,9200,200,-500,100,-12,1632,1312,7,13,-1,-3,-4,2,16,104,-200,40
170,13,1,2,45,9000,9200,200,-500,100,-12,1632,1312,7,13,-3,-5,-8,2,-48,24,-128,32
170,13,1,4,45,9000,9200,200,-500,100,-12,1632,1312,7,13,3,1,4,2,32,16,24,-80
130,11,3,1,46,9200,9400,200,-236,28,-5,1892,1288,13,10,-3,-5,-8,2,-52,4,-76,36
130,11,3,2,46,9200,9400,200,-236,28,-5,1892,1288,13,10,-3,-4,-7,1,-8,-84,-104,28
130,11,3,4,46,9200,9400,200,-236,28,-5,1892,1288,13,10,0,-3,-3,3,8,-28,40,-52
170,13,1,1,46,9200,9400,200,-204,-220,-10,1848,1496,14,13,0,1,1,-1,-68,-32,4,-16
170,13,1,2,46,9200,9400,200,-204,-220,-10,1848,1496,14,13,0,-2,-2,2,32,-40,64,-136
170,13,1,4,46,9200,9400,200,-204,-220,-10,1848,1496,14,13,0,-1,-1,1,-60,80,20,40
130,11,3,1,47,9400,9600,200,-284,460,3,1880,1068,10,7,0,-1,-1,1,80,-4,32,68
130,11,3,2,47,9400,9600,200,-284,460,3,1880,1068,10,7,-3,-2,-5,-1,44,-40,-76,-16
130,11,3,4,47,9400,9600,200,-284,460,3,1880,1068,10,7,4,-5,-1,9,24,4,16,4
170,13,1,1,47,9400,9600,200,-264,648,7,2172,1368,6,5,-1,-3,-4,2,16,64,-144,-40
170,13,1,2,47,9400,9600,200,-264,648,7,2172,1368,6,5,-1,-2,-3,1,-48,68,-136,12
170,13,1,4,47,9400,9600,200,-264,648,7,2172,1368,6,5,0,1,1,-1,-12,48,-28,-24
130,11,3,1,48,9600,9800,200,60,316,-8,1796,1196,12,15,-2,-2,-4,0,-28,-116,-44,60
130,11,3,2,48,9600,9800,200,60,316,-8,1796,1196,12,15,-3,-8,-11,5,-88,-12,16,-68
130,11,3,4,48,9600,9800,200,60,316,-8,1796,1196,12,15,-5,3,-2,-8,-72,-16,-80,-64
170,13,1,1,48,9600,9800,200,-8,328,-7,2052,1768,11,9,-1,0,-1,-1,-32,-20,-32,-20
170,13,1,2,48,9600,9800,200,-8,328,-7,2052,1768,11,9,-7,-1,-8,-6,32,-112,48,-184
170,13,1,4,48,9600,9800,200,-8,328,-7,2052,1768,11,9,-3,-1,-4,-2,60,-124,-20,44
130,11,3,1,49,9800,10000,200,-52,-36,10,2032,1568,17,18,2,-1,1,3,12,-24,-4,-80
130,11,3,2,49,9800,10000,200,-52,-36,10,2032,1568,17,18,-3,-3,-6,0,196,-28,124,-156
130,11,3,4,49,9800,10000,200,-52,-36,10,2032,1568,17,18,1,-3,-2,4,20,-68,-20,-116
170,13,1,1,49,9800,10000,200,152,80,13,1832,1436,11,9,-3,-2,-5,-1,28,152,-28,48
170,13,1,2,49,9800,10000,200,152,80,13,1832,1436,11,9,-4,-3,-7,-1,24,-36,0,-20
170,13,1,4,49,9800,10000,200,152,80,13,1832,1436,11,9,-3,-1,-4,-2,20,52,-12,92
130,11,3,1,50,10000,10200,200,440,-472,6,1684,1268,12,8,-1,-2,-3,1,-68,-80,4,-8
130,11,3,2,50,10000,10200,200,440,-472,6,1684,1268,12,8,-2,-3,-5,1,-40,-28,-16,-44
130,11,3,4,50,10000,10200,200,440,-472,6,1684,1268,12,8,-1,-2,-3,1,64,-44,40,92
170,13,1,1,50,10000,10200,200,572,-316,1,1112,1708,8,12,-2,-2,-4,0,-12,-76,-44,-28
170,13,1,2,50,10000,10200,200,572,-316,1,1112,1708,8,12,-2,-3,-5,1,8,-44,80,4
170,13,1,4,50,10000,10200,200,572,-316,1,1112,1708,8,12,-1,-1,-2,0,52,-12,4,28
130,11,3,1,51,10200,10400,200,184,168,5,2348,880,14,11,2,1,3,1,20,-48,4,56
130,11,3,2,51,10200,10400,200,184,168,5,2348,880,14,11,-5,-1,-6,-4,48,-16,-8,96
130,11,3,4,51,10200,10400,200,184,168,5,2348,880,14,11,-2,1,-1,-3,28,-16,52,-16
170,13,1,1,51,10200,10400,200,416,488,15,1716,1184,9,5,0,-1,-1,1,-8,-12,0,-44
170,13,1,2,51,10200,10400,200,416,488,15,1716,1184,9,5,0,-1,-1,1,52,-48,-28,-8
170,13,1,4,51,10200,10400,200,416,488,15,1716,1184,9,5,-2,1,-1,-3,-76,72,12,8
130,11,3,1,52,10400,10600,200,376,-168,14,1924,812,9,8,-2,-1,-3,-1,-24,44,-8,-12
130,11,3,2,52,10400,10600,200,376,-168,14,1924,812,9,8,-1,-2,-3,1,88,-76,-72,-60
130,11,3,4,52,10400,10600,200,376,-168,14,1924,812,9,8,-1,1,0,-2,-84,60,-36,4
170,13,1,1,52,10400,10600,200,428,-212,-7,2236,992,14,11,-1,1,0,-2,-44,84,76,4
170,13,1,2,52,10400,10600,200,428,-212,-7,2236,992,14,11,-6,-5,-11,-1,-12,24,-20,-88
170,13,1,4,52,10400,10600,200,428,-212,-7,2236,992,14,11,0,-3,-3,3,-60,48,-28,-120
130,11,3,1,53,10600,10800,200,412,556,23,1980,1368,14,10,-1,-5,-6,4,0,8,-24,72
130,11,3,2,53,10600,10800,200,412,556,23,1980,1368,14,10,-4,-1,-5,-3,16,-28,-16,60
130,11,3,4,53,10600,10800,200,412,556,23,1980,1368,14,10,-1,-3,-4,2,36,-52,12,-36
170,13,1,1,53,10600,10800,200,136,752,5,2040,1484,8,11,-2,-3,-5,1,-52,-88,-76,-56
170,13,1,2,53,10600,10800,200,136,752,5,2040,1484,8,11,-2,-3,-5,1,-4,-96,-36,24
170,13,1,4,53,10600,10800,200,136,752,5,2040,1484,8,11,-1,0,-1,-1,-52,-16,44,64
130,11,3,1,54,10800,11000,200,-24,-168,-26,2080,1416,12,8,1,-2,-1,3,12,104,4,0
130,11,3,2,54,10800,11000,200,-24,-168,-26,2080,1416,12,8,-2,-3,-5,1,40,92,32,-52
130,11,3,4,54,10800,11000,200,-24,-168,-26,2080,1416,12,8,1,0,1,1,96,-60,48,116
170,13,1,1,54,10800,11000,200,-196,-364,3,1952,2068,7,7,0,0,0,0,0,0,0,0
170,13,1,2,54,10800,11000,200,-196,-364,3,1952,2068,7,7,-3,-1,-4,-2,12,-28,12,12
170,13,1,4,54,10800,11000,200,-196,-364,3,1952,2068,7,7,1,-2,-1,3,36,120,84,-24
130,11,3,1,55,11000,11200,200,164,-196,-10,1956,1140,12,14,-1,-4,-5,3,60,-80,-36,-64
130,11,3,2,55,11000,11200,200,164,-196,-10,1956,1140,12,14,-4,-3,-7,-1,-20,-80,28,-104
130,11,3,4,55,11000,11200,200,164,-196,-10,1956,1140,12,14,1,0,1,1,-24,12,88,-164
170,13,1,1,55,11000,11200,200,-44,60,5,2540,1224,17,8,-2,-1,-3,-1,80,-60,32,-52
170,13,1,2,55,11000,11200,200,-44,60,5,2540,1224,17,8,-7,-1,-8,-6,20,-28,4,-84
170,13,1,4,55,11000,11200,200,-44,60,5,2540,1224,17,8,4,2,6,2,-76,140,4,-100
130,11,3,1,56,11200,11400,200,252,412,-7,1784,1044,12,15,1,0,1,1,0,76,8,-28
130,11,3,2,56,11200,11400,200,252,412,-7,1784,1044,12,15,-7,-5,-12,-2,-68,116,-148,28
130,11,3,4,56,11200,11400,200,252,412,-7,1784,1044,12,15,3,4,7,-1,12,-96,28,32
170,13,1,1,56,11200,11400,200,656,544,24,2100,1476,10,8,-3,-1,-4,-2,24,-56,-8,16
170,13,1,2,56,11200,11400,200,656,544,24,2100,1476,10,8,-2,-2,-4,0,-84,100,-28,-4
170,13,1,4,56,11200,11400,200,656,544,24,2100,1476,10,8,2,-1,1,3,-36,104,-36,48
130,11,3,1,57,11400,11600,200,340,-636,-4,1928,1128,12,11,-2,-4,-6,2,20,12,-36,-76
130,11,3,2,57,11400,11600,200,340,-636,-4,1928,1128,12,11,-5,-6,-11,1,72,84,-152,20
130,11,3,4,57,11400,11600,200,340,-636,-4,1928,1128,12,11,-1,-2,-3,1,132,-40,60,16
170,13,1,1,57,11400,11600,200,456,-728,-12,1860,1668,7,11,-2,-2,-4,0,0,8,-16,56
170,13,1,2,57,11400,11600,200,456,-728,-12,1860,1668,7,11,-2,-2,-4,0,8,-40,40,-88
170,13,1,4,57,11400,11600,200,456,-728,-12,1860,1668,7,11,2,-5,-3,7,-36,16,4,-32
130,11,3,1,58,11600,11800,200,-708,-396,-5,2476,1568,9,5,1,2,3,-1,-32,4,24,12
130,11,3,2,58,11600,11800,200,-708,-396,-5,2476,1568,9,5,-1,-1,-2,0,-4,-28,-28,20
130,11,3,4,58,11600,11800,200,-708,-396,-5,2476,1568,9,5,0,1,1,-1,8,-4,-40,-44
170,13,1,1,58,11600,11800,200,-600,-320,-17,2220,1368,9,11,0,-4,-4,4,40,128,-40,16
170,13,1,2,58,11600,11800,200,-600,-320,-17,2220,1368,9,11,-4,-6,-10,2,48,56,-184,32
170,13,1,4,58,11600,11800,200,-600,-320,-17,2220,1368,9,11,-2,-1,-3,-1,100,-144,-108,40
130,11,3,1,59,11800,12000,200,160,-8,1,1972,1376,19,9,-4,-4,-8,0,-72,104,-40,72
130,11,3,2,59,11800,12000,200,160,-8,1,1972,1376,19,9,0,-1,-1,1,88,68,-16,52
130,11,3,4,59,11800,12000,200,160,-8,1,1972,1376,19,9,-3,2,-1,-5,-92,64,-36,104
170,13,1,1,59,11800,12000,200,-32,-168,-4,2288,1736,7,13,1,-2,-1,3,-20,16,-12,-8
170,13,1,2,59,11800,12000,200,-32,-168,-4,2288,1736,7,13,-3,-2,-5,-1,-56,60,24,-164
170,13,1,4,59,11800,12000,200,-32,-168,-4,2288,1736,7,13,1,1,2,0,24,-24,0,88
130,11,3,1,60,12000,12200,200,240,-48,-17,2032,1764,15,19,-3,-3,-6,0,76,-124,-4,-36
