dps,min_train,holdout,model,folds,median_rmse,worst_rmse,median_max_abs,intercept_median,intercept_range,full_fit_intercept,score,source
60,6,4,4,9,0.00000103085065351786804300379604469,0.00000181856346294279962840582890605,0.00000112574046366014440405785160010,0.592746074238421395164597008222,0.000000584968414556400244614964801419,0.592746641135887686613613786428,-12.2196718324824,audit_dps060_nmin06_h04.json
60,6,4,"4,6",8,0.0000000597289987379552252047869145574,0.000000110692861798592941877397268160,0.0000000692840942186610019024841734622,0.592746051075181172007150271361,0.0000000344536358262419167800749981630,0.592746016992985004534813917643,-14.6865797065235,audit_dps060_nmin06_h04.json
60,6,4,"4,6,8",7,0.00000000932996523063860273633754614146,0.0000000140466420678090288767847389503,0.0000000119138298649002336399499698623,0.592746051059724037528572798413,0.00000000845540096512300234190076839387,0.592746059303971589989847030085,-16.1029857675263,audit_dps060_nmin06_h04.json
60,6,4,"4,6,8,10",6,3.66751422084353286441674765741e-10,3.99565033447347310188862349536e-10,5.21979404244560062606584697374e-10,0.592746050871450070813434491350,8.19574947643683454759584585209e-10,0.592746051634539874494355582245,-18.5220395188618,audit_dps060_nmin06_h04.json
60,6,4,"4,6,8,10,12",5,4.98705445300674859689554921539e-10,9.19578524825726417443681642147e-10,6.98639646468627775064601217562e-10,0.592746050826078971589531446625,5.55846231792370766168480156031e-10,0.592746051313859569732443415047,-18.5572012239239,audit_dps060_nmin06_h04.json
60,7,2,4,10,0.000000349713789469698353493451904869,0.000000514502419926977615520176855891,0.000000368425647336835361697205505435,0.592746070724273387057676117355,0.000000264804521184667093377568008060,0.592746320971994314880462549031,-13.0333618469740,audit_dps060_nmin07_h02.json
60,7,2,"4,6",9,0.00000000994638901101468383277631830136,0.0000000164970127154854889149340964303,0.0000000107893037865582992224712216231,0.592746051107106233164190710308,0.00000000810465511007399081046539889279,0.592746043341965720702739887252,-16.0936000208036,audit_dps060_nmin07_h02.json
60,7,2,"4,6,8",8,0.00000000190816744199603438755480063919,0.00000000199688124919369211868200943429,0.00000000220925473905096367564023706065,0.592746051008845159102806615412,0.00000000332251051091831937428841272965,0.592746054171081135785164062472,-17.1979171550221,audit_dps060_nmin07_h02.json
60,7,2,"4,6,8,10",7,3.00569479678701765499156848789e-10,4.48916674963505170219236838388e-10,3.57111480974310381075489377570e-10,0.592746050862055623818334681251,6.36278697336725440193946480731e-10,0.592746051451243624187397567680,-18.7184077372246,audit_dps060_nmin07_h02.json
60,7,2,"4,6,8,10,12",6,5.51589716681259914670923010271e-11,9.26931196866998114824160049386e-11,6.72451646576909037690602249917e-11,0.592746050820816422875007240035,1.42163387084646300231126977717e-10,0.592746050758013337940072648878,-20.1055960768830,audit_dps060_nmin07_h02.json
60,7,3,4,9,0.000000382545041249703765863031750158,0.000000590742034667964015176191749396,0.000000418413260664686133038025524145,0.592746070724273387057676117355,0.000000264804521184667093377568008060,0.592746320971994314880462549031,-12.9943920273863,audit_dps060_nmin07_h03.json
60,7,3,"4,6",8,0.0000000115076700130769969525860411295,0.0000000201036654210305048255240112040,0.0000000132145121550277172502545873830,0.592746051107106233164190710308,0.00000000810465511007399081046539889279,0.592746043341965720702739887252,-16.0302780617939,audit_dps060_nmin07_h03.json
60,7,3,"4,6,8",7,0.00000000231527272630482186415979887600,0.00000000271025768621024392509067344652,0.00000000292968795411189052716071366278,0.592746051008845159102806615412,0.00000000332251051091831937428841272965,0.592746054171081135785164062472,-17.1139314806200,audit_dps060_nmin07_h03.json
60,7,3,"4,6,8,10",6,3.97875854077616933119922192360e-10,6.26930622796440825211291524600e-10,5.22516199707598814008810140683e-10,0.592746050862055623818334681251,6.36278697336725440193946480731e-10,0.592746051451243624187397567680,-18.5966050328518,audit_dps060_nmin07_h03.json
60,7,3,"4,6,8,10,12",5,7.92342092176672843717725622980e-11,1.35784412141136031005639441050e-10,1.07326744367622018293507205001e-10,0.592746050820816422875007240035,1.42163387084646300231126977717e-10,0.592746050758013337940072648878,-19.9482995099980,audit_dps060_nmin07_h03.json
60,7,4,4,8,0.000000420672349526379721111204221182,0.000000653543739585128204485677736856,0.000000473818850695969644521567920599,0.592746070724273387057676117355,0.000000264804521184667093377568008060,0.592746320971994314880462549031,-12.9531306370598,audit_dps060_nmin07_h04.json
60,7,4,"4,6",7,0.0000000132359793461568628861603651426,0.0000000231945195598899174702467312646,0.0000000157724501098376718604383879219,0.592746051107106233164190710308,0.00000000810465511007399081046539889279,0.592746043341965720702739887252,-15.9695093808257,audit_dps060_nmin07_h04.json
60,7,4,"4,6,8",6,0.00000000278547402578534142379388612877,0.00000000343429020776405186753668080819,0.00000000373665039955615233813598339655,0.592746051008845159102806615412,0.00000000332251051091831937428841272965,0.592746054171081135785164062472,-17.0336345234022,audit_dps060_nmin07_h04.json
