dps,min_train,holdout,model,n_min,train_max,test_min,test_max,intercept,rmse,max_abs,source
160,8,2,"4,6,8,10,12",8,18,19,20,0.592746050946032062664393668067,9.84726985852265174545101541953e-12,1.23754751318021357292753812707e-11,audit_dps160_nmin08_h02.json
160,8,2,"4,6,8,10,12",8,19,20,21,0.592746050927910069079744657682,1.03875072534249654122545750799e-11,1.28363237270850034661670347941e-11,audit_dps160_nmin08_h02.json
160,8,3,4,8,11,12,14,0.592746583160804433904194370550,0.000000246311976439368579666670632789,0.000000305500854555221401889512517519,audit_dps160_nmin08_h03.json
160,8,3,4,8,12,13,15,0.592746487051642152492640629146,0.000000222224087329948797352995826967,0.000000265782128226637857412624533825,audit_dps160_nmin08_h03.json
160,8,3,4,8,13,14,16,0.592746416734101761141256744225,0.000000202407829520851902905475489044,0.000000234908933565662991411711135415,audit_dps160_nmin08_h03.json
160,8,3,4,8,14,15,17,0.592746363626328479036994547809,0.000000185657525437392735120657507393,0.000000210228224892162023480748437325,audit_dps160_nmin08_h03.json
160,8,3,4,8,15,16,18,0.592746322448464887760114288064,0.000000171234325210182667926795817184,0.000000190041115256764279985965933812,audit_dps160_nmin08_h03.json
160,8,3,4,8,16,17,19,0.592746289807582192723277373850,0.000000158653157029309458741371149064,0.000000173216831556103430635208322020,audit_dps160_nmin08_h03.json
160,8,3,4,8,17,18,20,0.592746263442365496245451510971,0.000000147574614718005096694066947720,0.000000158976280225089739785822622104,audit_dps160_nmin08_h03.json
160,8,3,4,8,18,19,21,0.592746241798240835923827829683,0.000000137748195297739531494599976493,0.000000146765925645830635291128247310,audit_dps160_nmin08_h03.json
160,8,3,"4,6",8,12,13,15,0.592746038959124971830372008129,0.00000000479636660354651086766532885478,0.00000000619620690098671647686806651196,audit_dps160_nmin08_h03.json
160,8,3,"4,6",8,13,14,16,0.592746042480279219183311640662,0.00000000385893465682595626189592357543,0.00000000479049906171027084616023104630,audit_dps160_nmin08_h03.json
