N,batch,geometry,a,b,K,count,sum_q,sum_E,occupation_seed,anchor_seed,anchors_per_configuration,window_displacements,source_denominator,sum_B16_total,sum_qB16_total,sum_EB16_total,eligible_pair_count_total,nonzero_pair_count_total,sum_B16_s2,sum_qB16_s2,sum_EB16_s2,eligible_pair_count_s2,nonzero_pair_count_s2,sum_B16_sge3,sum_qB16_sge3,sum_EB16_sge3,eligible_pair_count_sge3,nonzero_pair_count_sge3,s_le1_pair_count,s_le1_nonzero_g16_count,total_minus_s2_minus_sge3_B16
100,0,axis,10,0,17,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,18,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,19,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,20,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,21,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,22,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,23,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,24,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,25,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,26,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,27,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,28,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,29,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,30,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,31,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,32,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,33,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,34,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,35,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,36,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,37,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,38,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,39,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,40,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
