k,replicas,sum_clusters_G,sum_clusters_Gstar,sum_wrap_H_G,sum_wrap_V_G,sum_wrap_E_G,sum_wrap_B_G,sum_wrap_H_Gstar,sum_wrap_V_Gstar,sum_wrap_E_Gstar,sum_wrap_B_Gstar,sum_clusters_G_sq,sum_clusters_Gstar_sq,sum_clusters_G_Gstar,sum_H_G_H_Gstar,sum_V_G_V_Gstar,sum_E_G_E_Gstar,sum_B_G_B_Gstar
139,2000,203975,2000,0,0,0,0,2000,2000,2000,2000,20855749,2000,203975,0,0,0,0
140,2000,204914,2000,0,0,0,0,2000,2000,2000,2000,21048274,2000,204914,0,0,0,0
141,2000,205826,2000,0,0,0,0,2000,2000,2000,2000,21236436,2000,205826,0,0,0,0
142,2000,206786,2000,0,0,0,0,2000,2000,2000,2000,21435446,2000,206786,0,0,0,0
143,2000,207641,2000,0,0,0,0,2000,2000,2000,2000,21613299,2000,207641,0,0,0,0
144,2000,208544,2000,0,0,0,0,2000,2000,2000,2000,21801746,2000,208544,0,0,0,0
145,2000,209426,2000,0,0,0,0,2000,2000,2000,2000,21986648,2000,209426,0,0,0,0
146,2000,210273,2000,0,0,0,0,2000,2000,2000,2000,22164669,2000,210273,0,0,0,0
147,2000,211154,2001,0,0,0,0,2000,2000,2000,2000,22350754,2003,211251,0,0,0,0
148,2000,211991,2001,0,0,0,0,2000,2000,2000,2000,22528789,2003,212089,0,0,0,0
149,2000,212809,2001,0,0,0,0,2000,2000,2000,2000,22703509,2003,212907,0,0,0,0
150,2000,213712,2001,0,0,0,0,2000,2000,2000,2000,22896546,2003,213809,0,0,0,0
151,2000,214575,2001,0,0,0,0,2000,2000,2000,2000,23082783,2003,214673,0,0,0,0
152,2000,215398,2001,0,0,0,0,2000,2000,2000,2000,23260654,2003,215496,0,0,0,0
153,2000,216215,2001,0,0,0,0,2000,2000,2000,2000,23437047,2003,216314,0,0,0,0
154,2000,217043,2002,0,0,0,0,2000,2000,2000,2000,23617849,2006,217248,0,0,0,0
155,2000,217853,2002,0,0,0,0,2000,2000,2000,2000,23794387,2006,218057,0,0,0,0
156,2000,218692,2002,0,0,0,0,2000,2000,2000,2000,23977924,2006,218897,0,0,0,0
157,2000,219453,2002,0,0,0,0,2000,2000,2000,2000,24145313,2006,219658,0,0,0,0
158,2000,220251,2002,0,0,0,0,2000,2000,2000,2000,24321497,2006,220456,0,0,0,0
159,2000,221026,2002,0,0,0,0,2000,2000,2000,2000,24493016,2006,221231,0,0,0,0
160,2000,221814,2002,0,0,0,0,2000,2000,2000,2000,24668620,2006,222019,0,0,0,0
161,2000,222601,2002,0,0,0,0,2000,2000,2000,2000,24843521,2006,222807,0,0,0,0
162,2000,223381,2002,0,0,0,0,2000,2000,2000,2000,25018205,2006,223589,0,0,0,0
163,2000,224114,2002,0,0,0,0,2000,2000,2000,2000,25182520,2006,224320,0,0,0,0
164,2000,224838,2002,0,0,0,0,2000,2000,2000,2000,25345234,2006,225045,0,0,0,0
165,2000,225592,2002,0,0,0,0,2000,2000,2000,2000,25515474,2006,225800,0,0,0,0
166,2000,226339,2002,0,0,0,0,2000,2000,2000,2000,25685133,2006,226548,0,0,0,0
167,2000,227079,2002,0,0,0,0,2000,2000,2000,2000,25853317,2006,227289,0,0,0,0
168,2000,227752,2002,0,0,0,0,2000,2000,2000,2000,26007744,2006,227963,0,0,0,0
169,2000,228491,2002,0,0,0,0,2000,2000,2000,2000,26176923,2006,228702,0,0,0,0
170,2000,229308,2002,0,0,0,0,2000,2000,2000,2000,26364094,2006,229521,0,0,0,0
171,2000,229988,2002,0,0,0,0,2000,2000,2000,2000,26520900,2006,230202,0,0,0,0
172,2000,230668,2002,0,0,0,0,2000,2000,2000,2000,26677878,2006,230883,0,0,0,0
173,2000,231323,2002,0,0,0,0,2000,2000,2000,2000,26830639,2006,231540,0,0,0,0
174,2000,232015,2002,0,0,0,0,2000,2000,2000,2000,26991497,2006,232233,0,0,0,0
175,2000,232711,2002,0,0,0,0,2000,2000,2000,2000,27153873,2006,232930,0,0,0,0
176,2000,233356,2002,0,0,0,0,2000,2000,2000,2000,27305336,2006,233577,0,0,0,0
177,2000,234066,2002,0,0,0,0,2000,2000,2000,2000,27471420,2006,234286,0,0,0,0
178,2000,234696,2002,0,0,0,0,2000,2000,2000,2000,27619164,2006,234916,0,0,0,0
179,2000,235338,2002,0,0,0,0,2000,2000,2000,2000,27770096,2006,235560,0,0,0,0
180,2000,236008,2004,0,0,0,0,2000,2000,2000,2000,27928408,2012,236459,0,0,0,0
181,2000,236560,2004,0,0,0,0,2000,2000,2000,2000,28059734,2012,237013,0,0,0,0
182,2000,237207,2004,0,0,0,0,2000,2000,2000,2000,28213667,2012,237664,0,0,0,0
183,2000,237850,2004,0,0,0,0,2000,2000,2000,2000,28367192,2012,238308,0,0,0,0
184,2000,238460,2005,0,0,0,0,2000,2000,2000,2000,28513648,2015,239033,0,0,0,0
185,2000,239052,2005,0,0,0,0,2000,2000,2000,2000,28655816,2015,239629,0,0,0,0
186,2000,239649,2005,0,0,0,0,2000,2000,2000,2000,28799365,2015,240228,0,0,0,0
187,2000,240209,2005,0,0,0,0,2000,2000,2000,2000,28934685,2015,240792,0,0,0,0
188,2000,240803,2005,0,0,0,0,2000,2000,2000,2000,29078357,2015,241390,0,0,0,0
189,2000,241371,2005,0,0,0,0,2000,2000,2000,2000,29215653,2015,241959,0,0,0,0
190,2000,241903,2005,0,0,0,0,2000,2000,2000,2000,29344723,2015,242494,0,0,0,0
191,2000,242542,2005,0,0,0,0,2000,2000,2000,2000,29500134,2015,243133,0,0,0,0
192,2000,243156,2005,0,0,0,0,2000,2000,2000,2000,29650270,2015,243750,0,0,0,0
193,2000,243746,2005,0,0,0,0,2000,2000,2000,2000,29794094,2015,244342,0,0,0,0
194,2000,244291,2005,0,0,0,0,2000,2000,2000,2000,29928507,2015,244886,0,0,0,0
195,2000,244868,2005,0,0,0,0,2000,2000,2000,2000,30070980,2015,245464,0,0,0,0
196,2000,245393,2005,0,0,0,0,2000,2000,2000,2000,30200121,2015,245991,0,0,0,0
197,2000,245891,2005,0,0,0,0,2000,2000,2000,2000,30323655,2015,246490,0,0,0,0
198,2000,246420,2005,0,0,0,0,2000,2000,2000,2000,30454382,2015,247020,0,0,0,0
199,2000,246968,2005,0,0,0,0,2000,2000,2000,2000,30589796,2015,247569,0,0,0,0
200,2000,247478,2005,0,0,0,0,2000,2000,2000,2000,30716332,2015,248081,0,0,0,0
201,2000,247967,2005,0,0,0,0,2000,2000,2000,2000,30837901,2015,248572,0,0,0,0
202,2000,248449,2005,0,0,0,0,2000,2000,2000,2000,30958175,2015,249057,0,0,0,0
203,2000,248953,2005,0,0,0,0,2000,2000,2000,2000,31084225,2015,249564,0,0,0,0
204,2000,249398,2005,0,0,0,0,2000,2000,2000,2000,31195832,2015,250009,0,0,0,0
205,2000,249845,2005,0,0,0,0,2000,2000,2000,2000,31308293,2015,250456,0,0,0,0
