N,channel,p,mean_F1,mean_F2,mean_A,mean_E,pointwise_se_F1,pointwise_se_F2,pointwise_se_A,pointwise_se_E
325,plus_S,0.08600000000000001,-3.7581088927126847e-124,6.673443788258781e-125,-3.0907645138868074e-124,4.425453271538565e-124,1.0596862038975405e-124,4.6393845945979766e-125,1.1264376038296082e-124,1.1863750732681598e-124
325,plus_S,0.08700000000000001,-3.111518814726217e-123,5.5162622234708376e-124,-2.5598925923791337e-123,3.663145037073301e-123,8.764734868351166e-124,3.836951796442971e-124,9.317486404775001e-124,9.811727671428125e-124
325,plus_S,0.088,-2.5102679213295544e-122,4.443063160422021e-123,-2.0659616052873518e-122,2.9545742373717565e-122,7.063892755671579e-123,3.092119090831583e-123,7.509905133434246e-123,7.907015085216864e-123
325,plus_S,0.089,-1.9745358808389463e-121,3.489116604690577e-122,-1.6256242203698892e-121,2.3234475413080045e-121,5.550676986489345e-122,2.429532526613977e-122,5.901561324644796e-122,6.212637164996219e-122
325,plus_S,0.09,-1.5151357697069445e-120,2.6729334119039766e-121,-1.2478424285165466e-120,1.7824291108973425e-120,4.254892701473706e-121,1.8622162754871857e-121,4.524185937126531e-121,4.76189713473461e-121
325,plus_S,0.091,-1.1347907731326012e-119,1.9986493190828372e-120,-9.349258412243174e-120,1.3346557050408847e-119,3.183524700247893e-120,1.39320353631718e-120,3.385253293737698e-120,3.562548435969444e-120
325,plus_S,0.092,-8.300154412847085e-119,1.4594501327206123e-119,-6.840704280126471e-119,9.759604545567692e-119,2.3261257750347575e-119,1.0178985022109017e-119,2.4737026976990486e-119,2.602835363130934e-119
325,plus_S,0.093,-5.931761401862365e-118,1.0412789856651554e-118,-4.890482416197208e-118,6.973040387527519e-118,1.6606744884693723e-118,7.26642563716062e-119,1.7661616042904112e-118,1.8580558472887856e-118
325,plus_S,0.094,-4.14402340814927e-117,7.262464409510119e-118,-3.4177769671982585e-117,4.8702698491002824e-117,1.158980371978231e-117,5.070812361381957e-118,1.232690009271604e-117,1.296614478706162e-117
325,plus_S,0.095,-2.831449715645371e-116,4.9538983492588786e-117,-2.3360598807194827e-116,3.3268395505712586e-116,7.91070145261857e-117,3.460841406882026e-117,8.414434137461076e-117,8.849324244168652e-117
325,plus_S,0.096,-1.892972154460424e-115,3.306411516220888e-116,-1.5623310028383355e-115,2.223613306082512e-115,5.283258302356641e-116,2.311180677831004e-116,5.620101352447121e-116,5.909586247633716e-116
325,plus_S,0.097,-1.238861244951629e-114,2.1602688206261556e-115,-1.0228343628890133e-114,1.454888127014245e-114,3.4540687483243265e-115,1.510874841932258e-115,3.6745649006442612e-115,3.863190417675839e-115
325,plus_S,0.098,-7.940220146056259e-114,1.3822548472447813e-114,-6.55796529881148e-114,9.32247499330104e-114,2.211519417063353e-114,9.67283629803228e-115,2.352873637342833e-114,2.473236169831782e-114
325,plus_S,0.099,-4.98604826240574e-113,8.66523784993214e-114,-4.119524477412527e-113,5.852572047398953e-113,1.387278971211663e-113,6.067259428301633e-114,1.476062727758129e-113,1.5513083030338334e-113
325,plus_S,0.1,-3.0688211750160305e-112,5.324293603643323e-113,-2.5363918146516987e-112,3.6012505353803632e-112,8.529571726495834e-113,3.7301112346871084e-113,9.076149980947319e-113,9.537198165315754e-113
325,plus_S,0.101,-1.8520370744208865e-111,3.207779100478736e-112,-1.5312591643730127e-111,2.1728149844687596e-111,5.1422459095804535e-112,2.248605717144625e-112,5.472187533650302e-112,5.74917428228672e-112
325,plus_S,0.10200000000000001,-1.0963708918407836e-110,1.8957217095526232e-111,-9.067987208855215e-111,1.285943062796046e-110,3.0409367306055993e-111,1.3296394249080948e-111,3.2363052290704645e-111,3.3995298004170474e-111
325,plus_S,0.10300000000000001,-6.368789502704221e-110,1.0993455558263844e-110,-5.2694439468778365e-110,7.468135058530605e-110,1.7646261195738575e-110,7.71516740245788e-111,1.8781445829239504e-110,1.9725262407270965e-110
325,plus_S,0.10400000000000001,-3.6316586956794896e-109,6.258071492095415e-110,-3.005851546469948e-109,4.2574658448890308e-109,1.0051848875887551e-109,4.394453516644275e-110,1.0699334556079293e-109,1.1235035163467247e-109
325,plus_S,0.105,-2.0335484781451892e-108,3.498211752687775e-109,-1.6837273028764116e-108,2.3833696534139663e-108,5.622633324582694e-109,2.457904958130936e-109,5.985292091455054e-109,6.283858937929028e-109
325,plus_S,0.106,-1.1185456130903535e-107,1.9208755479070503e-108,-9.264580582996489e-108,1.3106331678810587e-107,3.0894589492353485e-108,1.3504368449234157e-108,3.2889938386242483e-108,3.4524472583612215e-108
325,plus_S,0.107,-6.045700716622837e-107,1.0364396501193533e-107,-5.0092610665034844e-107,7.08214036674219e-107,1.6680845471936747e-107,7.290823162366747e-108,1.775963390576783e-107,1.863890607359171e-107
325,plus_S,0.108,-3.211984576390256e-106,5.496934200944602e-107,-2.6622911562957954e-106,3.7616779964847157e-106,8.852923978426987e-107,3.86911847202505e-107,9.426235389580989e-107,9.891145930424685e-107
325,plus_S,0.109,-1.677916428745945e-105,2.8665860257901856e-106,-1.3912578261669267e-105,1.9645750313249636e-105,4.6198158018495425e-106,2.0189096080910164e-106,4.919399360050544e-106,5.161094654591816e-106
325,plus_S,0.11,-8.621240094809018e-105,1.470313004608218e-105,-7.150927090200805e-105,1.009155309941724e-104,2.371178792376467e-105,1.0361522516376986e-105,2.525154045785024e-105,2.648735123230542e-105
325,plus_S,0.111,-4.3581338197297794e-104,7.419657374424552e-105,-3.616168082287325e-104,5.100099557172235e-104,1.1973869682192609e-104,5.231918826332178e-105,1.2752476717311185e-104,1.3374131639749816e-104
325,plus_S,0.112,-2.168144322960956e-103,3.684788112469489e-104,-1.7996655117140067e-103,2.536623134207905e-103,5.950599613651463e-104,2.5998873922446318e-104,6.338076293119864e-104,6.645817431383066e-104
325,plus_S,0.113,-1.061829208014559e-102,1.801431857922364e-103,-8.816860222223226e-103,1.2419723938067953e-102,2.911152492251283e-103,1.2718217427713257e-103,3.1009780668986327e-103,3.250940446342738e-103
325,plus_S,0.114,-5.1205760254195524e-102,8.671986886455468e-103,-4.2533773367740065e-102,5.987774714065098e-102,1.4023809992828293e-102,6.126253120442006e-103,1.4939534026826379e-102,1.5659079509429957e-102
325,plus_S,0.115,-2.4321835188344043e-101,4.111786213342928e-102,-2.0210048975001113e-101,2.8433621401686972e-101,6.653951298969282e-102,2.906540052668888e-102,7.089053166764756e-102,7.429092214559563e-102
325,plus_S,0.116,-1.1381511094975308e-100,1.9207297154774198e-101,-9.46078137949789e-101,1.3302240810452733e-100,3.110415731069762e-101,1.358573255942612e-101,3.31409481249381e-101,3.472404094787807e-101
325,plus_S,0.117,-5.248550220039235e-100,8.841695816713673e-101,-4.364380638367871e-100,6.132719801710606e-100,1.4328220798775906e-100,6.257847385894339e-101,1.5267816121753073e-100,1.5994090196056018e-100
325,plus_S,0.11800000000000001,-2.385731751596701e-99,4.011856870500221e-100,-1.9845460645466783e-99,2.7869174386467227e-99,6.505910258642671e-100,2.8412471123565194e-100,6.933159390893351e-100,7.261570612094858e-100
